construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,probability p
rand,rand,prob,Small.100.10.2.1.gexf,100,1000,2,1,10,10.0,8.0,10.0,8.0,2234,134,114,0,0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 9.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 9.0, 9.0, 8.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 9.0, 9.0, 9.0, 10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",0.05
rand,rand,prob,Small.100.10.2.1.gexf,100,1000,3,2,10,10.0,8.0,10.0,8.0,2297,122,100,0,0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 9.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 9.0, 8.0, 8.0, 9.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 10.0, 9.0, 9.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",0.05
rand,rand,prob,Small.100.10.2.1.gexf,100,1000,5,3,10,10.0,6.0,9.0,6.0,2234,124,111,0,0,"[10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 9.0, 8.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 7.0, 7.0, 6.0, 7.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",0.05
rand,rand,prob,Small.100.10.2.1.gexf,100,F,10,4,10,F,F,F,F,F,F,F,F,F,F,0.05
rand,rand,prob,Small.100.10.5.1.gexf,100,1000,2,1,9,9.0,7.0,9.0,7.0,2137,123,106,0,0,"[9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 8.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 8.0, 9.0, 8.0, 7.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0]",0.05
rand,rand,prob,Small.100.10.5.1.gexf,100,1000,3,2,9,9.0,7.0,9.0,7.0,2124,130,115,0,0,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 7.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0]",0.05
rand,rand,prob,Small.100.10.5.1.gexf,100,1000,5,3,9,9.0,5.0,8.0,5.0,2107,112,97,0,0,"[9.0, 8.0, 8.0, 7.0, 7.0, 7.0, 8.0, 8.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 6.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 8.0, 7.0, 6.0, 7.0, 6.0, 5.0, 5.0, 5.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0]",0.05
rand,rand,prob,Small.100.10.5.1.gexf,100,F,10,4,9,F,F,F,F,F,F,F,F,F,F,0.05
rand,rand,prob,R-MAT.100.5.1.gexf,100,419,2,1,11,15.0,11.0,15.0,11.0,3708,257,167,0,0,"[15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 14.0, 14.0, 12.0, 13.0, 12.0, 14.0, 15.0, 14.0, 15.0, 15.0, 15.0, 13.0, 12.0, 11.0, 13.0, 15.0, 15.0, 14.0, 13.0, 13.0, 15.0, 14.0, 14.0, 13.0, 12.0, 14.0, 14.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 14.0, 15.0, 14.0, 15.0, 13.0, 12.0, 14.0, 14.0, 15.0, 15.0, 13.0, 13.0, 15.0, 14.0, 14.0, 14.0, 12.0, 13.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 15.0, 14.0, 15.0, 14.0, 13.0, 14.0, 15.0, 15.0, 15.0, 15.0, 13.0, 15.0, 15.0, 15.0, 15.0, 15.0, 13.0, 13.0, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 12.0, 14.0, 13.0, 12.0, 13.0, 15.0, 14.0, 14.0, 14.0, 14.0, 13.0, 14.0, 13.0, 14.0, 13.0, 14.0, 15.0, 15.0, 14.0, 13.0, 14.0, 12.0, 13.0, 12.0, 13.0, 12.0, 13.0, 15.0, 15.0, 14.0, 13.0, 12.0, 14.0, 13.0, 14.0, 14.0, 14.0, 15.0, 13.0, 12.0, 14.0, 14.0, 15.0, 13.0, 13.0, 15.0, 15.0, 15.0, 13.0, 13.0, 13.0, 15.0, 15.0, 14.0, 13.0, 13.0, 15.0, 15.0, 13.0, 11.0, 13.0, 13.0, 13.0, 13.0, 15.0, 13.0, 12.0, 13.0, 12.0, 14.0, 15.0, 15.0, 14.0, 13.0, 12.0, 13.0, 15.0, 15.0, 15.0, 15.0, 14.0, 13.0, 14.0, 15.0, 14.0, 12.0, 13.0, 13.0, 15.0, 15.0, 15.0, 14.0, 12.0, 14.0, 13.0, 14.0, 15.0, 14.0, 12.0, 13.0, 13.0, 15.0, 14.0, 14.0, 14.0, 14.0, 15.0, 15.0, 14.0, 13.0, 12.0, 13.0, 13.0, 13.0, 12.0, 14.0, 15.0, 14.0, 15.0, 14.0, 15.0, 14.0, 14.0, 14.0, 15.0, 14.0, 14.0, 13.0, 15.0, 14.0, 15.0, 14.0, 13.0, 14.0, 14.0, 13.0, 14.0, 15.0, 15.0, 15.0, 15.0, 13.0, 13.0, 15.0, 15.0, 14.0, 15.0, 14.0, 13.0, 15.0, 14.0, 15.0, 15.0, 14.0, 13.0, 12.0, 13.0, 14.0, 12.0, 13.0, 13.0, 13.0, 15.0, 15.0, 13.0, 15.0, 15.0, 14.0]",0.05
rand,rand,prob,R-MAT.100.5.1.gexf,100,419,3,2,11,15.0,8.0,14.0,8.0,3834,282,201,0,0,"[15.0, 14.0, 14.0, 13.0, 14.0, 12.0, 10.0, 8.0, 10.0, 12.0, 14.0, 14.0, 14.0, 13.0, 13.0, 11.0, 10.0, 12.0, 11.0, 11.0, 12.0, 12.0, 12.0, 11.0, 13.0, 13.0, 11.0, 13.0, 12.0, 11.0, 13.0, 13.0, 11.0, 12.0, 12.0, 14.0, 14.0, 14.0, 14.0, 13.0, 12.0, 13.0, 13.0, 12.0, 12.0, 13.0, 13.0, 13.0, 12.0, 12.0, 12.0, 13.0, 12.0, 13.0, 12.0, 12.0, 12.0, 11.0, 12.0, 13.0, 12.0, 10.0, 11.0, 11.0, 10.0, 12.0, 14.0, 13.0, 13.0, 13.0, 13.0, 13.0, 14.0, 14.0, 14.0, 14.0, 13.0, 13.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 13.0, 12.0, 12.0, 12.0, 14.0, 13.0, 12.0, 13.0, 12.0, 12.0, 12.0, 13.0, 13.0, 13.0, 13.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 12.0, 12.0, 12.0, 11.0, 13.0, 12.0, 11.0, 13.0, 13.0, 12.0, 12.0, 10.0, 11.0, 10.0, 12.0, 12.0, 12.0, 12.0, 14.0, 14.0, 14.0, 14.0, 13.0, 11.0, 11.0, 13.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 13.0, 12.0, 12.0, 10.0, 11.0, 13.0, 12.0, 11.0, 11.0, 10.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 14.0, 13.0, 13.0, 13.0, 14.0, 14.0, 12.0, 11.0, 12.0, 11.0, 12.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 11.0, 12.0, 11.0, 11.0, 12.0, 12.0, 12.0, 11.0, 12.0, 12.0, 10.0, 9.0, 10.0, 12.0, 10.0, 12.0, 12.0, 12.0, 11.0, 11.0, 9.0, 11.0, 13.0, 14.0, 13.0, 12.0, 12.0, 11.0, 13.0, 14.0, 13.0, 13.0, 13.0, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 11.0, 13.0, 13.0, 14.0, 14.0, 13.0, 13.0, 14.0, 13.0, 13.0, 13.0, 12.0, 11.0, 12.0, 11.0, 12.0, 13.0, 14.0, 14.0, 14.0, 13.0, 14.0, 12.0, 14.0, 14.0, 14.0, 13.0, 12.0, 13.0, 12.0, 12.0, 12.0, 11.0, 12.0, 12.0, 11.0, 12.0, 11.0, 11.0, 13.0, 13.0, 13.0, 13.0, 12.0, 12.0, 12.0, 12.0, 11.0, 12.0, 12.0, 14.0, 14.0, 14.0, 14.0, 13.0]",0.05
