path,k,max multirute flow,iterations
R-MAT.64.32.2.gexf,50,F,F
R-MAT.64.64.2.gexf,2,194.0,1
R-MAT.64.64.2.gexf,3,194.0,1
R-MAT.64.64.2.gexf,5,194.0,1
R-MAT.64.64.2.gexf,10,187.0,2
R-MAT.64.64.2.gexf,50,F,F
R-MAT.64.128.2.gexf,2,372.0,1
R-MAT.64.128.2.gexf,3,372.0,1
R-MAT.64.128.2.gexf,5,372.0,1
R-MAT.64.128.2.gexf,10,364.1,2
R-MAT.64.128.2.gexf,50,102.0,37
R-MAT.64.256.2.gexf,2,820.0,1
R-MAT.64.256.2.gexf,3,820.0,1
R-MAT.64.256.2.gexf,5,820.0,1
R-MAT.64.256.2.gexf,10,782.1,2
R-MAT.64.256.2.gexf,50,272.0000000000002,40
R-MAT.64.512.2.gexf,2,1594.0,1
R-MAT.64.512.2.gexf,3,1594.0,1
R-MAT.64.512.2.gexf,5,1594.0,1
R-MAT.64.512.2.gexf,10,1508.1,2
R-MAT.64.512.2.gexf,50,464.1000000000009,42
R-MAT.128.2.2.gexf,2,11.0,1
R-MAT.128.2.2.gexf,3,11.0,1
R-MAT.128.2.2.gexf,5,11.0,1
R-MAT.128.2.2.gexf,10,11.0,1
R-MAT.128.2.2.gexf,50,F,F
R-MAT.128.4.2.gexf,2,20.0,1
R-MAT.128.4.2.gexf,3,20.0,1
R-MAT.128.4.2.gexf,5,20.0,1
R-MAT.128.4.2.gexf,10,19.25,4
R-MAT.128.4.2.gexf,50,F,F
R-MAT.128.8.2.gexf,2,38.0,1
R-MAT.128.8.2.gexf,3,38.0,1
R-MAT.128.8.2.gexf,5,38.0,1
R-MAT.128.8.2.gexf,10,38.0,1
R-MAT.128.8.2.gexf,50,F,F
R-MAT.128.16.2.gexf,2,64.0,1
R-MAT.128.16.2.gexf,3,64.0,1
R-MAT.128.16.2.gexf,5,64.0,1
R-MAT.128.16.2.gexf,10,62.7,2
R-MAT.128.16.2.gexf,50,F,F
R-MAT.128.32.2.gexf,2,138.0,1
R-MAT.128.32.2.gexf,3,138.0,1
R-MAT.128.32.2.gexf,5,138.0,1
R-MAT.128.32.2.gexf,10,135.3,2
R-MAT.128.32.2.gexf,50,83.21052631578945,33
R-MAT.128.64.2.gexf,2,270.0,1
R-MAT.128.64.2.gexf,3,270.0,1
R-MAT.128.64.2.gexf,5,270.0,1
R-MAT.128.64.2.gexf,10,267.3,2
R-MAT.128.64.2.gexf,50,167.87499999999994,29
R-MAT.128.128.2.gexf,2,560.0,1
R-MAT.128.128.2.gexf,3,560.0,1
R-MAT.128.128.2.gexf,5,560.0,1
R-MAT.128.128.2.gexf,10,545.6,2
R-MAT.128.128.2.gexf,50,397.79999999999995,22
R-MAT.128.256.2.gexf,2,1154.0,1
R-MAT.128.256.2.gexf,3,1154.0,1
R-MAT.128.256.2.gexf,5,1154.0,1
R-MAT.128.256.2.gexf,10,1127.5,2
R-MAT.128.256.2.gexf,50,805.7999999999995,23
R-MAT.128.512.2.gexf,2,2292.0,1
R-MAT.128.512.2.gexf,3,2292.0,1
R-MAT.128.512.2.gexf,5,2292.0,1
R-MAT.128.512.2.gexf,10,2285.8,2
R-MAT.128.512.2.gexf,50,1748.9999999999993,19
R-MAT.64.2.3.gexf,2,5.0,1
R-MAT.64.2.3.gexf,3,5.0,1
R-MAT.64.2.3.gexf,5,F,F
R-MAT.64.2.3.gexf,10,F,F
R-MAT.64.2.3.gexf,50,F,F
R-MAT.64.4.3.gexf,2,10.5,2
R-MAT.64.4.3.gexf,3,9.333333333333334,2
R-MAT.64.4.3.gexf,5,8.4,2
R-MAT.64.4.3.gexf,10,F,F
R-MAT.64.4.3.gexf,50,F,F
R-MAT.64.8.3.gexf,2,21.0,1
R-MAT.64.8.3.gexf,3,21.0,1
R-MAT.64.8.3.gexf,5,20.4,2
R-MAT.64.8.3.gexf,10,17.285714285714285,5
R-MAT.64.8.3.gexf,50,F,F
R-MAT.64.16.3.gexf,2,56.0,1
R-MAT.64.16.3.gexf,3,56.0,1
R-MAT.64.16.3.gexf,5,56.0,1
R-MAT.64.16.3.gexf,10,53.9,3
R-MAT.64.16.3.gexf,50,F,F
R-MAT.64.32.3.gexf,2,103.0,1
R-MAT.64.32.3.gexf,3,103.0,1
R-MAT.64.32.3.gexf,5,103.0,1
R-MAT.64.32.3.gexf,10,101.2,2
R-MAT.64.32.3.gexf,50,F,F
R-MAT.64.64.3.gexf,2,208.0,1
R-MAT.64.64.3.gexf,3,208.0,1
R-MAT.64.64.3.gexf,5,208.0,1
R-MAT.64.64.3.gexf,10,200.2,2
R-MAT.64.64.3.gexf,50,57.79999999999991,38
R-MAT.64.128.3.gexf,2,392.0,1
R-MAT.64.128.3.gexf,3,392.0,1
R-MAT.64.128.3.gexf,5,392.0,1
R-MAT.64.128.3.gexf,10,371.8,2
R-MAT.64.128.3.gexf,50,112.19999999999956,45
R-MAT.64.256.3.gexf,2,857.0,1
R-MAT.64.256.3.gexf,3,857.0,1
R-MAT.64.256.3.gexf,5,857.0,1
R-MAT.64.256.3.gexf,10,809.6,2
R-MAT.64.256.3.gexf,50,254.99999999999972,38
R-MAT.64.512.3.gexf,2,1575.0,1
R-MAT.64.512.3.gexf,3,1575.0,1
R-MAT.64.512.3.gexf,5,1575.0,1
R-MAT.64.512.3.gexf,10,1503.7,2
R-MAT.64.512.3.gexf,50,537.4615384615383,39
R-MAT.128.2.3.gexf,2,7.0,1
R-MAT.128.2.3.gexf,3,7.0,1
R-MAT.128.2.3.gexf,5,7.0,1
R-MAT.128.2.3.gexf,10,F,F
R-MAT.128.2.3.gexf,50,F,F
R-MAT.128.4.3.gexf,2,22.0,1
R-MAT.128.4.3.gexf,3,22.0,1
R-MAT.128.4.3.gexf,5,22.0,1
R-MAT.128.4.3.gexf,10,22.0,1
R-MAT.128.4.3.gexf,50,F,F
R-MAT.128.8.3.gexf,2,42.0,1
R-MAT.128.8.3.gexf,3,42.0,1
R-MAT.128.8.3.gexf,5,42.0,1
R-MAT.128.8.3.gexf,10,39.6,3
R-MAT.128.8.3.gexf,50,F,F
R-MAT.128.16.3.gexf,2,82.0,1
R-MAT.128.16.3.gexf,3,82.0,1
R-MAT.128.16.3.gexf,5,82.0,1
R-MAT.128.16.3.gexf,10,82.0,1
R-MAT.128.16.3.gexf,50,F,F
R-MAT.128.32.3.gexf,2,149.0,1
R-MAT.128.32.3.gexf,3,149.0,1
R-MAT.128.32.3.gexf,5,149.0,1
R-MAT.128.32.3.gexf,10,147.4,3
R-MAT.128.32.3.gexf,50,93.49999999999986,35
R-MAT.128.64.3.gexf,2,267.0,1
R-MAT.128.64.3.gexf,3,267.0,1
R-MAT.128.64.3.gexf,5,267.0,1
R-MAT.128.64.3.gexf,10,264.0,2
R-MAT.128.64.3.gexf,50,180.32142857142847,25
R-MAT.128.128.3.gexf,2,582.0,1
R-MAT.128.128.3.gexf,3,582.0,1
R-MAT.128.128.3.gexf,5,582.0,1
R-MAT.128.128.3.gexf,10,570.9,2
R-MAT.128.128.3.gexf,50,401.20000000000005,22
R-MAT.128.256.3.gexf,2,1152.0,1
R-MAT.128.256.3.gexf,3,1152.0,1
R-MAT.128.256.3.gexf,5,1152.0,1
R-MAT.128.256.3.gexf,10,1151.7,2
R-MAT.128.256.3.gexf,50,855.0999999999997,23
R-MAT.128.512.3.gexf,2,2215.0,1
R-MAT.128.512.3.gexf,3,2215.0,1
R-MAT.128.512.3.gexf,5,2215.0,1
R-MAT.128.512.3.gexf,10,2215.0,1
R-MAT.128.512.3.gexf,50,1725.4999999999989,23
R-MAT.64.2.4.gexf,2,5.0,1
R-MAT.64.2.4.gexf,3,5.0,1
R-MAT.64.2.4.gexf,5,F,F
R-MAT.64.2.4.gexf,10,F,F
R-MAT.64.2.4.gexf,50,F,F
R-MAT.64.4.4.gexf,2,20.0,1
