path,edge connectivity,k,max multirute flow,iterations
R-MAT.64.4.26.gexf,1,9,14.0,1
R-MAT.64.4.26.gexf,2,9,13.5,2
R-MAT.64.4.26.gexf,3,9,12.0,2
R-MAT.64.4.26.gexf,4,9,11.25,2
R-MAT.64.4.26.gexf,5,9,10.5,3
R-MAT.64.4.26.gexf,6,9,9.8,3
R-MAT.64.4.26.gexf,7,9,9.333333333333334,3
R-MAT.64.4.26.gexf,8,9,9.0,3
R-MAT.64.8.26.gexf,1,13,16.0,1
R-MAT.64.8.26.gexf,2,13,16.0,1
R-MAT.64.8.26.gexf,3,13,16.0,1
R-MAT.64.8.26.gexf,4,13,16.0,1
R-MAT.64.8.26.gexf,5,13,16.0,1
R-MAT.64.8.26.gexf,6,13,16.0,1
R-MAT.64.8.26.gexf,7,13,16.0,1
R-MAT.64.8.26.gexf,8,13,15.0,4
R-MAT.64.8.26.gexf,9,13,14.285714285714286,4
R-MAT.64.8.26.gexf,10,13,13.75,4
R-MAT.64.8.26.gexf,11,13,13.333333333333332,5
R-MAT.64.8.26.gexf,12,13,13.0,4
R-MAT.64.16.26.gexf,1,33,74.0,1
R-MAT.64.16.26.gexf,2,33,74.0,1
R-MAT.64.16.26.gexf,3,33,74.0,1
R-MAT.64.16.26.gexf,4,33,74.0,1
R-MAT.64.16.26.gexf,5,33,73.2,2
R-MAT.64.16.26.gexf,6,33,71.16666666666666,2
R-MAT.64.16.26.gexf,7,33,69.71428571428572,2
R-MAT.64.16.26.gexf,8,33,68.625,3
R-MAT.64.16.26.gexf,9,33,67.5,3
R-MAT.64.16.26.gexf,10,33,66.0,3
R-MAT.64.16.26.gexf,11,33,64.8,4
R-MAT.64.16.26.gexf,12,33,63.81818181818181,4
R-MAT.64.16.26.gexf,13,33,63.0,3
R-MAT.64.16.26.gexf,14,33,62.30769230769231,4
R-MAT.64.16.26.gexf,15,33,61.714285714285715,3
R-MAT.64.16.26.gexf,16,33,61.2,3
R-MAT.64.16.26.gexf,17,33,60.75,3
R-MAT.64.16.26.gexf,18,33,60.35294117647059,3
R-MAT.64.16.26.gexf,19,33,60.0,4
R-MAT.64.16.26.gexf,20,33,56.69999999999997,12
R-MAT.64.16.26.gexf,21,33,53.999999999999986,12
R-MAT.64.16.26.gexf,22,33,51.75,12
R-MAT.64.16.26.gexf,23,33,49.84615384615386,12
R-MAT.64.16.26.gexf,24,33,47.222222222222186,17
R-MAT.64.16.26.gexf,25,33,44.20000000000001,17
R-MAT.64.16.26.gexf,26,33,41.72727272727274,18
R-MAT.64.16.26.gexf,27,33,39.666666666666664,17
R-MAT.64.16.26.gexf,28,33,37.923076923076906,18
R-MAT.64.16.26.gexf,29,33,36.4285714285714,17
R-MAT.64.16.26.gexf,30,33,35.13333333333332,17
R-MAT.64.16.26.gexf,31,33,34.0,18
R-MAT.64.16.26.gexf,32,33,32.99999999999999,18
R-MAT.64.32.26.gexf,1,37,96.0,1
R-MAT.64.32.26.gexf,2,37,96.0,1
R-MAT.64.32.26.gexf,3,37,96.0,1
R-MAT.64.32.26.gexf,4,37,96.0,1
R-MAT.64.32.26.gexf,5,37,96.0,1
R-MAT.64.32.26.gexf,6,37,95.66666666666666,3
R-MAT.64.32.26.gexf,7,37,93.71428571428572,2
R-MAT.64.32.26.gexf,8,37,92.25,2
R-MAT.64.32.26.gexf,9,37,91.11111111111111,2
R-MAT.64.32.26.gexf,10,37,90.2,2
R-MAT.64.32.26.gexf,11,37,88.80000000000001,3
R-MAT.64.32.26.gexf,12,37,87.10000000000001,4
R-MAT.64.32.26.gexf,13,37,85.27272727272728,4
R-MAT.64.32.26.gexf,14,37,83.75,4
R-MAT.64.32.26.gexf,15,37,82.46153846153847,4
R-MAT.64.32.26.gexf,16,37,80.75,7
R-MAT.64.32.26.gexf,17,37,78.92307692307693,6
R-MAT.64.32.26.gexf,18,37,77.35714285714286,6
R-MAT.64.32.26.gexf,19,37,74.00000000000001,11
R-MAT.64.32.26.gexf,20,37,70.63636363636361,14
R-MAT.64.32.26.gexf,21,37,67.83333333333334,11
R-MAT.64.32.26.gexf,22,37,65.16666666666669,12
R-MAT.64.32.26.gexf,23,37,62.769230769230745,13
R-MAT.64.32.26.gexf,24,37,60.714285714285715,12
R-MAT.64.32.26.gexf,25,37,58.93333333333332,13
R-MAT.64.32.26.gexf,26,37,57.375,13
R-MAT.64.32.26.gexf,27,37,55.99999999999999,12
R-MAT.64.32.26.gexf,28,37,52.19999999999995,20
R-MAT.64.32.26.gexf,29,37,49.09090909090907,20
R-MAT.64.32.26.gexf,30,37,46.49999999999999,20
R-MAT.64.32.26.gexf,31,37,44.307692307692314,20
R-MAT.64.32.26.gexf,32,37,42.42857142857142,20
R-MAT.64.32.26.gexf,33,37,40.80000000000001,21
R-MAT.64.32.26.gexf,34,37,39.37499999999999,20
R-MAT.64.32.26.gexf,35,37,38.117647058823536,20
R-MAT.64.32.26.gexf,36,37,36.99999999999999,21
R-MAT.64.64.26.gexf,1,50,199.0,1
R-MAT.64.64.26.gexf,2,50,199.0,1
R-MAT.64.64.26.gexf,3,50,199.0,1
R-MAT.64.64.26.gexf,4,50,199.0,1
R-MAT.64.64.26.gexf,5,50,199.0,1
R-MAT.64.64.26.gexf,6,50,193.66666666666669,2
R-MAT.64.64.26.gexf,7,50,189.71428571428572,2
R-MAT.64.64.26.gexf,8,50,186.75,2
R-MAT.64.64.26.gexf,9,50,184.44444444444446,2
R-MAT.64.64.26.gexf,10,50,182.6,3
R-MAT.64.64.26.gexf,11,50,181.0909090909091,2
R-MAT.64.64.26.gexf,12,50,179.83333333333334,2
R-MAT.64.64.26.gexf,13,50,178.76923076923077,2
R-MAT.64.64.26.gexf,14,50,177.85714285714286,2
R-MAT.64.64.26.gexf,15,50,177.06666666666666,2
R-MAT.64.64.26.gexf,16,50,175.66666666666669,3
R-MAT.64.64.26.gexf,17,50,174.375,3
R-MAT.64.64.26.gexf,18,50,173.23529411764707,3
R-MAT.64.64.26.gexf,19,50,171.25,5
R-MAT.64.64.26.gexf,20,50,169.23529411764707,5
R-MAT.64.64.26.gexf,21,50,166.94117647058826,6
R-MAT.64.64.26.gexf,22,50,164.83333333333334,6
R-MAT.64.64.26.gexf,23,50,162.0,9
R-MAT.64.64.26.gexf,24,50,158.82352941176467,9
R-MAT.64.64.26.gexf,25,50,156.0,9
R-MAT.64.64.26.gexf,26,50,153.00000000000003,10
R-MAT.64.64.26.gexf,27,50,150.3157894736842,12
R-MAT.64.64.26.gexf,28,50,147.89999999999998,10
R-MAT.64.64.26.gexf,29,50,144.375,15
R-MAT.64.64.26.gexf,30,50,140.41176470588238,15
R-MAT.64.64.26.gexf,31,50,136.8888888888888,15
R-MAT.64.64.26.gexf,32,50,133.73684210526318,15
R-MAT.64.64.26.gexf,33,50,129.625,20
R-MAT.64.64.26.gexf,34,50,125.58823529411768,20
R-MAT.64.64.26.gexf,35,50,121.99999999999994,20
R-MAT.64.64.26.gexf,36,50,118.78947368421044,19
R-MAT.64.64.26.gexf,37,50,115.89999999999995,20
R-MAT.64.64.26.gexf,38,50,110.50000000000011,28
R-MAT.64.64.26.gexf,39,50,104.61538461538453,29
R-MAT.64.64.26.gexf,40,50,99.5714285714286,28
R-MAT.64.64.26.gexf,41,50,95.19999999999997,30
R-MAT.64.64.26.gexf,42,50,91.37499999999997,29
R-MAT.64.64.26.gexf,43,50,87.99999999999996,28
R-MAT.64.64.26.gexf,44,50,77.14285714285691,39
R-MAT.64.64.26.gexf,45,50,68.99999999999993,41
R-MAT.64.64.26.gexf,46,50,62.666666666666494,39
R-MAT.64.64.26.gexf,47,50,57.60000000000004,39
R-MAT.64.64.26.gexf,48,50,53.45454545454537,39
R-MAT.64.64.26.gexf,49,50,49.999999999999915,40
R-MAT.64.128.26.gexf,1,57,400.0,1
R-MAT.64.128.26.gexf,2,57,400.0,1
R-MAT.64.128.26.gexf,3,57,400.0,1
R-MAT.64.128.26.gexf,4,57,400.0,1
R-MAT.64.128.26.gexf,5,57,400.0,1
R-MAT.64.128.26.gexf,6,57,400.0,1
R-MAT.64.128.26.gexf,7,57,400.0,1
R-MAT.64.128.26.gexf,8,57,399.375,2
R-MAT.64.128.26.gexf,9,57,394.44444444444446,2
R-MAT.64.128.26.gexf,10,57,390.5,2
R-MAT.64.128.26.gexf,11,57,387.27272727272725,3
R-MAT.64.128.26.gexf,12,57,384.5833333333333,2
R-MAT.64.128.26.gexf,13,57,382.3076923076923,2
R-MAT.64.128.26.gexf,14,57,378.46153846153845,3
R-MAT.64.128.26.gexf,15,57,374.15384615384613,4
R-MAT.64.128.26.gexf,16,57,369.14285714285717,5
R-MAT.64.128.26.gexf,17,57,362.7692307692307,6
R-MAT.64.128.26.gexf,18,57,355.1538461538461,9
R-MAT.64.128.26.gexf,19,57,347.1428571428571,8
R-MAT.64.128.26.gexf,20,57,340.2,7
R-MAT.64.128.26.gexf,21,57,334.125,7
R-MAT.64.128.26.gexf,22,57,327.75,8
R-MAT.64.128.26.gexf,23,57,321.88235294117646,8
R-MAT.64.128.26.gexf,24,57,315.625,10
R-MAT.64.128.26.gexf,25,57,308.94117647058823,11
R-MAT.64.128.26.gexf,26,57,303.00000000000006,10
R-MAT.64.128.26.gexf,27,57,296.4705882352941,12
R-MAT.64.128.26.gexf,28,57,290.0,13
R-MAT.64.128.26.gexf,29,57,282.35294117647055,15
R-MAT.64.128.26.gexf,30,57,274.57142857142867,18
R-MAT.64.128.26.gexf,31,57,264.5333333333334,18
R-MAT.64.128.26.gexf,32,57,255.74999999999997,18
R-MAT.64.128.26.gexf,33,57,248.00000000000014,18
