path,edge connectivity,k,max multirute flow,iterations
R-MAT.64.64.51.gexf,7,47,197.71428571428572,2
R-MAT.64.64.51.gexf,8,47,194.625,2
R-MAT.64.64.51.gexf,9,47,192.22222222222223,2
R-MAT.64.64.51.gexf,10,47,190.3,2
R-MAT.64.64.51.gexf,11,47,188.4,3
R-MAT.64.64.51.gexf,12,47,185.54545454545456,3
R-MAT.64.64.51.gexf,13,47,183.16666666666669,3
R-MAT.64.64.51.gexf,14,47,178.63636363636363,5
R-MAT.64.64.51.gexf,15,47,174.54545454545453,7
R-MAT.64.64.51.gexf,16,47,170.0,6
R-MAT.64.64.51.gexf,17,47,165.0,7
R-MAT.64.64.51.gexf,18,47,160.76923076923077,7
R-MAT.64.64.51.gexf,19,47,157.14285714285717,7
R-MAT.64.64.51.gexf,20,47,154.0,7
R-MAT.64.64.51.gexf,21,47,150.85714285714286,9
R-MAT.64.64.51.gexf,22,47,147.20000000000005,9
R-MAT.64.64.51.gexf,23,47,144.0,10
R-MAT.64.64.51.gexf,24,47,139.99999999999997,12
R-MAT.64.64.51.gexf,25,47,136.5,11
R-MAT.64.64.51.gexf,26,47,132.75000000000006,16
R-MAT.64.64.51.gexf,27,47,127.076923076923,17
R-MAT.64.64.51.gexf,28,47,122.21428571428564,16
R-MAT.64.64.51.gexf,29,47,117.50000000000004,20
R-MAT.64.64.51.gexf,30,47,112.07692307692304,20
R-MAT.64.64.51.gexf,31,47,107.42857142857143,19
R-MAT.64.64.51.gexf,32,47,103.39999999999992,20
R-MAT.64.64.51.gexf,33,47,98.90909090909086,24
R-MAT.64.64.51.gexf,34,47,93.33333333333333,24
R-MAT.64.64.51.gexf,35,47,88.61538461538461,24
R-MAT.64.64.51.gexf,36,47,84.57142857142853,24
R-MAT.64.64.51.gexf,37,47,81.0666666666666,24
R-MAT.64.64.51.gexf,38,47,78.0,25
R-MAT.64.64.51.gexf,39,47,71.11111111111092,34
R-MAT.64.64.51.gexf,40,47,65.59999999999984,33
R-MAT.64.64.51.gexf,41,47,61.090909090908994,33
R-MAT.64.64.51.gexf,42,47,57.33333333333339,33
R-MAT.64.64.51.gexf,43,47,54.15384615384603,34
R-MAT.64.64.51.gexf,44,47,51.42857142857145,33
R-MAT.64.64.51.gexf,45,47,49.06666666666656,32
R-MAT.64.64.51.gexf,46,47,46.99999999999999,32
R-MAT.64.128.51.gexf,1,50,401.0,1
R-MAT.64.128.51.gexf,2,50,401.0,1
R-MAT.64.128.51.gexf,3,50,401.0,1
R-MAT.64.128.51.gexf,4,50,401.0,1
R-MAT.64.128.51.gexf,5,50,401.0,1
R-MAT.64.128.51.gexf,6,50,401.0,1
R-MAT.64.128.51.gexf,7,50,396.57142857142856,2
R-MAT.64.128.51.gexf,8,50,390.375,2
R-MAT.64.128.51.gexf,9,50,385.55555555555554,2
R-MAT.64.128.51.gexf,10,50,381.7,3
R-MAT.64.128.51.gexf,11,50,378.5454545454545,2
R-MAT.64.128.51.gexf,12,50,375.91666666666663,2
R-MAT.64.128.51.gexf,13,50,373.6923076923077,2
R-MAT.64.128.51.gexf,14,50,371.25,5
R-MAT.64.128.51.gexf,15,50,365.3333333333333,5
R-MAT.64.128.51.gexf,16,50,357.0,6
R-MAT.64.128.51.gexf,17,50,348.9230769230769,6
R-MAT.64.128.51.gexf,18,50,340.53846153846155,8
R-MAT.64.128.51.gexf,19,50,332.8571428571429,7
R-MAT.64.128.51.gexf,20,50,326.20000000000005,7
R-MAT.64.128.51.gexf,21,50,320.375,7
R-MAT.64.128.51.gexf,22,50,314.8125,8
R-MAT.64.128.51.gexf,23,50,309.17647058823525,9
R-MAT.64.128.51.gexf,24,50,304.16666666666663,8
R-MAT.64.128.51.gexf,25,50,298.2352941176471,11
R-MAT.64.128.51.gexf,26,50,292.235294117647,11
R-MAT.64.128.51.gexf,27,50,286.22222222222223,11
R-MAT.64.128.51.gexf,28,50,279.764705882353,13
R-MAT.64.128.51.gexf,29,50,273.33333333333337,14
R-MAT.64.128.51.gexf,30,50,266.23529411764713,16
R-MAT.64.128.51.gexf,31,50,259.55555555555554,16
R-MAT.64.128.51.gexf,32,50,249.85714285714297,20
R-MAT.64.128.51.gexf,33,50,240.2666666666666,21
R-MAT.64.128.51.gexf,34,50,230.0000000000002,22
R-MAT.64.128.51.gexf,35,50,220.79999999999984,23
R-MAT.64.128.51.gexf,36,50,208.5454545454543,28
R-MAT.64.128.51.gexf,37,50,196.3333333333331,28
R-MAT.64.128.51.gexf,38,50,183.29999999999976,30
R-MAT.64.128.51.gexf,39,50,170.90909090909105,30
R-MAT.64.128.51.gexf,40,50,158.87499999999963,35
R-MAT.64.128.51.gexf,41,50,144.66666666666663,35
R-MAT.64.128.51.gexf,42,50,133.2999999999998,36
R-MAT.64.128.51.gexf,43,50,120.99999999999987,37
R-MAT.64.128.51.gexf,44,50,109.99999999999993,37
R-MAT.64.128.51.gexf,45,50,101.20000000000006,37
R-MAT.64.128.51.gexf,46,50,93.99999999999984,37
R-MAT.64.128.51.gexf,47,50,71.99999999999977,46
R-MAT.64.128.51.gexf,48,50,58.7999999999988,47
R-MAT.64.128.51.gexf,49,50,49.99999999999997,45
R-MAT.64.256.51.gexf,1,60,822.0,1
R-MAT.64.256.51.gexf,2,60,822.0,1
R-MAT.64.256.51.gexf,3,60,822.0,1
R-MAT.64.256.51.gexf,4,60,822.0,1
R-MAT.64.256.51.gexf,5,60,822.0,1
R-MAT.64.256.51.gexf,6,60,822.0,1
R-MAT.64.256.51.gexf,7,60,805.7142857142858,2
R-MAT.64.256.51.gexf,8,60,793.125,2
R-MAT.64.256.51.gexf,9,60,783.3333333333333,2
R-MAT.64.256.51.gexf,10,60,775.5,2
R-MAT.64.256.51.gexf,11,60,769.0909090909091,2
R-MAT.64.256.51.gexf,12,60,759.9090909090909,3
R-MAT.64.256.51.gexf,13,60,750.1666666666667,3
R-MAT.64.256.51.gexf,14,60,741.9230769230769,3
R-MAT.64.256.51.gexf,15,60,734.8571428571429,3
R-MAT.64.256.51.gexf,16,60,728.7333333333333,3
R-MAT.64.256.51.gexf,17,60,721.2857142857142,5
R-MAT.64.256.51.gexf,18,60,709.7857142857142,6
R-MAT.64.256.51.gexf,19,60,697.3333333333334,6
R-MAT.64.256.51.gexf,20,60,686.4375,6
R-MAT.64.256.51.gexf,21,60,675.125,8
R-MAT.64.256.51.gexf,22,60,664.2941176470588,7
R-MAT.64.256.51.gexf,23,60,654.6666666666667,7
R-MAT.64.256.51.gexf,24,60,645.8333333333333,9
R-MAT.64.256.51.gexf,25,60,636.3157894736842,9
R-MAT.64.256.51.gexf,26,60,627.75,8
R-MAT.64.256.51.gexf,27,60,620.0,8
R-MAT.64.256.51.gexf,28,60,610.45,11
R-MAT.64.256.51.gexf,29,60,600.0,11
R-MAT.64.256.51.gexf,30,60,590.4761904761904,12
R-MAT.64.256.51.gexf,31,60,579.2000000000002,13
R-MAT.64.256.51.gexf,32,60,566.2105263157893,16
R-MAT.64.256.51.gexf,33,60,552.9473684210524,16
R-MAT.64.256.51.gexf,34,60,535.9375,21
R-MAT.64.256.51.gexf,35,60,517.5,21
R-MAT.64.256.51.gexf,36,60,498.2666666666663,24
R-MAT.64.256.51.gexf,37,60,478.80000000000024,25
R-MAT.64.256.51.gexf,38,60,460.6874999999999,24
R-MAT.64.256.51.gexf,39,60,444.7058823529412,24
R-MAT.64.256.51.gexf,40,60,427.9374999999999,27
R-MAT.64.256.51.gexf,41,60,411.5999999999999,28
R-MAT.64.256.51.gexf,42,60,395.06249999999994,28
R-MAT.64.256.51.gexf,43,60,379.49999999999994,29
R-MAT.64.256.51.gexf,44,60,365.29411764705895,29
R-MAT.64.256.51.gexf,45,60,349.60000000000053,32
R-MAT.64.256.51.gexf,46,60,334.875,33
R-MAT.64.256.51.gexf,47,60,321.0,33
R-MAT.64.256.51.gexf,48,60,308.4117647058821,33
R-MAT.64.256.51.gexf,49,60,295.8333333333328,39
R-MAT.64.256.51.gexf,50,60,278.53846153846115,41
R-MAT.64.256.51.gexf,51,60,263.7142857142851,40
R-MAT.64.256.51.gexf,52,60,234.71428571428393,48
R-MAT.64.256.51.gexf,53,60,206.99999999999773,51
R-MAT.64.256.51.gexf,54,60,180.71428571428623,49
R-MAT.64.256.51.gexf,55,60,154.0,53
R-MAT.64.256.51.gexf,56,60,125.39999999999937,53
R-MAT.64.256.51.gexf,57,60,96.66666666666671,56
R-MAT.64.256.51.gexf,58,60,73.75,56
R-MAT.64.256.51.gexf,59,60,59.99999999999915,57
R-MAT.64.512.51.gexf,1,63,1519.0,1
R-MAT.64.512.51.gexf,2,63,1519.0,1
R-MAT.64.512.51.gexf,3,63,1519.0,1
R-MAT.64.512.51.gexf,4,63,1519.0,1
R-MAT.64.512.51.gexf,5,63,1519.0,1
R-MAT.64.512.51.gexf,6,63,1505.0,2
R-MAT.64.512.51.gexf,7,63,1474.2857142857142,2
R-MAT.64.512.51.gexf,8,63,1451.25,2
R-MAT.64.512.51.gexf,9,63,1433.3333333333335,2
R-MAT.64.512.51.gexf,10,63,1419.0,2
R-MAT.64.512.51.gexf,11,63,1407.2727272727273,2
R-MAT.64.512.51.gexf,12,63,1397.5,2
R-MAT.64.512.51.gexf,13,63,1389.2307692307693,2
