construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows
card,tabu,sim,Rand.Uni.1000.5.1.gexf,1000,5000,2,1,"[10, 10, 10, 10]",4.821185941157136,3.083848362407877,3.083848362407877,3.8323231162542184,206,200,197,0,3,"[4.821185941157136, 3.083848362407877, 3.8323231162542184, 4.821185941157136, 4.407427794330263, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.742467124981699, 4.742467124981699, 4.742467124981699, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 4.821185941157136, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184]"
card,tabu,sim,Rand.Uni.1000.5.1.gexf,1000,5000,3,2,"[10, 10, 10, 10]",4.821185941157136,1.6693058206528884,1.6693058206528884,2.4177805744992296,256,256,255,0,2,"[4.821185941157136, 1.6693058206528884, 2.4177805744992296, 2.4177805744992296, 2.4177805744992296, 3.1622732056577876, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.4280098978396047, 3.4280098978396047, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184]"
card,tabu,sim,Rand.Uni.1000.5.1.gexf,1000,5000,5,3,"[10, 10, 10, 10]",4.821185941157136,0.6056864634149134,0.6056864634149134,1.3541612172612547,249,247,246,45,4,"[4.821185941157136, 0.6056864634149134, 1.3541612172612547, 1.9371132179795394, 2.4177805744992296, 2.4177805744992296, 3.0878304850956604, 3.0878304850956604, 3.0878304850956604, 3.0878304850956604, 3.0878304850956604, 3.0878304850956604, 3.0878304850956604, 3.0878304850956604, 3.0878304850956604, 3.0878304850956604, 3.0878304850956604, 3.0878304850956604, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.8323231162542184, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047, 3.4280098978396047]"
card,tabu,sim,Rand.Uni.1000.5.1.gexf,1000,F,10,4,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
card,tabu,sim,Rand.Uni.1000.5.1.gexf,1000,F,50,5,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
card,tabu,sim,Rand.Uni.1000.10.1.gexf,1000,10000,2,1,"[16, 16, 16, 16]",8.62746284830862,7.122291945389656,7.122291945389656,8.003559867349939,133,133,131,0,1,"[8.62746284830862, 7.122291945389656, 8.003559867349939, 8.003559867349939, 8.003559867349939, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.305843116952966, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.627462848308621, 8.3709703827109]"
card,tabu,sim,Rand.Uni.1000.10.1.gexf,1000,10000,3,2,"[16, 16, 16, 16]",8.62746284830862,6.249477781502727,6.249477781502727,7.122291945389657,129,129,129,0,0,"[8.62746284830862, 6.249477781502727, 7.122291945389657, 8.087082668453824, 8.087082668453824, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109, 8.3709703827109]"
card,tabu,sim,Rand.Uni.1000.10.1.gexf,1000,10000,5,3,"[16, 16, 16, 16]",8.62746284830862,4.672862865531093,4.672862865531093,5.637653588595262,118,118,118,21,1,"[8.62746284830862, 4.672862865531093, 5.637653588595262, 6.37442323113113, 7.255691153091413, 8.095536426527175, 8.095536426527175, 8.095536426527175, 8.095536426527175, 8.095536426527175, 8.095536426527175, 8.095536426527175, 8.095536426527175, 8.095536426527175, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897, 8.370970382710897]"
card,tabu,sim,Rand.Uni.1000.10.1.gexf,1000,10000,10,4,"[16, 16, 16, 16]",8.62746284830862,1.6699853513530845,1.6699853513530845,2.2404677152783092,97,96,96,17,0,"[8.62746284830862, 1.6699853513530845, 2.2404677152783092, 2.9381725202708866, 3.4741977655878378, 4.3140430390236, 4.3140430390236, 4.3140430390236, 4.8367432481495465, 5.512708138966859, 6.385522302853789, 6.385522302853789, 6.385522302853789, 7.350313025917957, 7.350313025917957, 8.23158094787824, 8.23158094787824, 8.23158094787824, 8.23158094787824, 8.23158094787824, 8.23158094787824, 8.23158094787824, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901, 8.370970382710901]"
card,tabu,sim,Rand.Uni.1000.10.1.gexf,1000,F,50,5,"[16, 16, 16, 16]",F,F,F,F,F,F,F,F,F,F
