path,k,max multirute flow,iterations
R-MAT.500.25.28.gexf,3,272.0,1
R-MAT.500.25.28.gexf,5,272.0,1
R-MAT.500.25.28.gexf,10,272.0,1
R-MAT.500.25.28.gexf,50,220.17073170731703,12
R-MAT.50.5.29.gexf,2,17.0,1
R-MAT.50.5.29.gexf,3,17.0,1
R-MAT.50.5.29.gexf,5,16.8,2
R-MAT.50.5.29.gexf,10,12.83333333333333,8
R-MAT.50.5.29.gexf,50,F,F
R-MAT.50.10.29.gexf,2,26.0,1
R-MAT.50.10.29.gexf,3,25.333333333333332,2
R-MAT.50.10.29.gexf,5,22.8,2
R-MAT.50.10.29.gexf,10,17.599999999999998,7
R-MAT.50.10.29.gexf,50,F,F
R-MAT.50.25.29.gexf,2,52.0,1
R-MAT.50.25.29.gexf,3,52.0,1
R-MAT.50.25.29.gexf,5,52.0,1
R-MAT.50.25.29.gexf,10,47.666666666666664,3
R-MAT.50.25.29.gexf,50,F,F
R-MAT.100.5.29.gexf,2,22.0,1
R-MAT.100.5.29.gexf,3,22.0,1
R-MAT.100.5.29.gexf,5,22.0,1
R-MAT.100.5.29.gexf,10,18.333333333333336,6
R-MAT.100.5.29.gexf,50,F,F
R-MAT.100.10.29.gexf,2,43.0,1
R-MAT.100.10.29.gexf,3,43.0,1
R-MAT.100.10.29.gexf,5,43.0,1
R-MAT.100.10.29.gexf,10,40.7,5
R-MAT.100.10.29.gexf,50,F,F
R-MAT.100.25.29.gexf,2,110.0,1
R-MAT.100.25.29.gexf,3,110.0,1
R-MAT.100.25.29.gexf,5,110.0,1
R-MAT.100.25.29.gexf,10,110.0,1
R-MAT.100.25.29.gexf,50,F,F
R-MAT.500.5.29.gexf,2,50.0,1
R-MAT.500.5.29.gexf,3,50.0,1
R-MAT.500.5.29.gexf,5,50.0,1
R-MAT.500.5.29.gexf,10,47.666666666666664,3
R-MAT.500.5.29.gexf,50,F,F
R-MAT.500.10.29.gexf,2,103.0,1
R-MAT.500.10.29.gexf,3,103.0,1
R-MAT.500.10.29.gexf,5,103.0,1
R-MAT.500.10.29.gexf,10,102.3,3
R-MAT.500.10.29.gexf,50,82.70270270270268,15
R-MAT.500.25.29.gexf,2,256.0,1
R-MAT.500.25.29.gexf,3,256.0,1
R-MAT.500.25.29.gexf,5,256.0,1
R-MAT.500.25.29.gexf,10,256.0,1
R-MAT.500.25.29.gexf,50,208.74418604651163,9
R-MAT.50.5.30.gexf,2,12.0,1
R-MAT.50.5.30.gexf,3,12.0,1
R-MAT.50.5.30.gexf,5,12.0,1
R-MAT.50.5.30.gexf,10,F,F
R-MAT.50.5.30.gexf,50,F,F
R-MAT.50.10.30.gexf,2,25.0,1
R-MAT.50.10.30.gexf,3,25.0,1
R-MAT.50.10.30.gexf,5,25.0,1
R-MAT.50.10.30.gexf,10,20.166666666666664,6
R-MAT.50.10.30.gexf,50,F,F
R-MAT.50.25.30.gexf,2,55.0,1
R-MAT.50.25.30.gexf,3,55.0,1
R-MAT.50.25.30.gexf,5,55.0,1
R-MAT.50.25.30.gexf,10,46.75,4
R-MAT.50.25.30.gexf,50,F,F
R-MAT.100.5.30.gexf,2,15.0,1
R-MAT.100.5.30.gexf,3,15.0,1
R-MAT.100.5.30.gexf,5,15.0,1
R-MAT.100.5.30.gexf,10,12.375,5
R-MAT.100.5.30.gexf,50,F,F
R-MAT.100.10.30.gexf,2,38.0,1
R-MAT.100.10.30.gexf,3,38.0,1
R-MAT.100.10.30.gexf,5,38.0,1
R-MAT.100.10.30.gexf,10,36.66666666666667,3
R-MAT.100.10.30.gexf,50,F,F
R-MAT.100.25.30.gexf,2,131.0,1
R-MAT.100.25.30.gexf,3,131.0,1
R-MAT.100.25.30.gexf,5,131.0,1
R-MAT.100.25.30.gexf,10,126.5,2
R-MAT.100.25.30.gexf,50,F,F
R-MAT.500.5.30.gexf,2,38.0,1
R-MAT.500.5.30.gexf,3,38.0,1
R-MAT.500.5.30.gexf,5,38.0,1
R-MAT.500.5.30.gexf,10,35.44444444444444,3
R-MAT.500.5.30.gexf,50,F,F
R-MAT.500.10.30.gexf,2,115.0,1
R-MAT.500.10.30.gexf,3,115.0,1
R-MAT.500.10.30.gexf,5,115.0,1
R-MAT.500.10.30.gexf,10,115.0,1
R-MAT.500.10.30.gexf,50,103.18604651162791,9
R-MAT.500.25.30.gexf,2,251.0,1
R-MAT.500.25.30.gexf,3,251.0,1
R-MAT.500.25.30.gexf,5,251.0,1
R-MAT.500.25.30.gexf,10,251.0,1
R-MAT.500.25.30.gexf,50,216.14285714285714,10
R-MAT.50.5.31.gexf,2,13.0,1
R-MAT.50.5.31.gexf,3,13.0,1
R-MAT.50.5.31.gexf,5,13.0,1
R-MAT.50.5.31.gexf,10,F,F
R-MAT.50.5.31.gexf,50,F,F
R-MAT.50.10.31.gexf,2,23.0,1
R-MAT.50.10.31.gexf,3,23.0,1
R-MAT.50.10.31.gexf,5,21.6,2
R-MAT.50.10.31.gexf,10,15.400000000000002,7
R-MAT.50.10.31.gexf,50,F,F
R-MAT.50.25.31.gexf,2,67.0,1
R-MAT.50.25.31.gexf,3,67.0,1
R-MAT.50.25.31.gexf,5,67.0,1
R-MAT.50.25.31.gexf,10,61.875,4
R-MAT.50.25.31.gexf,50,F,F
