construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4
cut,cap,first,R-MAT.100.5.51.gexf,100,424,2,1,"[11, 11, 11, 11]",14.0,9.0,9.0,inf,2232,0,0,0,0,"[14.0, 9.0]",R-MAT,100,5,51,gexf
cut,cap,first,R-MAT.100.5.51.gexf,100,424,3,2,"[11, 11, 11, 11]",14.0,8.0,8.0,inf,2314,0,0,0,0,"[14.0, 8.0]",R-MAT,100,5,51,gexf
cut,cap,first,R-MAT.100.5.51.gexf,100,424,5,3,"[11, 11, 11, 11]",14.0,6.0,6.0,inf,2383,0,0,0,0,"[14.0, 6.0]",R-MAT,100,5,51,gexf
cut,cap,first,R-MAT.100.5.51.gexf,100,424,10,4,"[11, 11, 11, 11]",14.0,1.0,1.0,inf,2506,0,0,0,0,"[14.0, 1.0]",R-MAT,100,5,51,gexf
cut,cap,first,R-MAT.100.5.51.gexf,100,F,50,5,"[11, 11, 11, 11]",F,F,F,F,F,F,F,F,F,F,R-MAT,100,5,51,gexf
cut,cap,first,R-MAT.100.10.51.gexf,100,732,2,1,"[24, 24, 24, 24]",50.0,35.0,35.0,inf,287,0,0,0,0,"[50.0, 35.0]",R-MAT,100,10,51,gexf
cut,cap,first,R-MAT.100.10.51.gexf,100,732,3,2,"[24, 24, 24, 24]",50.0,31.0,31.0,inf,1275,0,0,0,0,"[50.0, 31.0]",R-MAT,100,10,51,gexf
cut,cap,first,R-MAT.100.10.51.gexf,100,732,5,3,"[24, 24, 24, 24]",50.0,26.0,26.0,inf,822,0,0,0,0,"[50.0, 26.0]",R-MAT,100,10,51,gexf
cut,cap,first,R-MAT.100.10.51.gexf,100,732,10,4,"[24, 24, 24, 24]",50.0,16.0,16.0,inf,885,0,0,0,0,"[50.0, 16.0]",R-MAT,100,10,51,gexf
cut,cap,first,R-MAT.100.10.51.gexf,100,F,50,5,"[24, 24, 24, 24]",F,F,F,F,F,F,F,F,F,F,R-MAT,100,10,51,gexf
cut,cap,first,R-MAT.100.25.51.gexf,100,1418,2,1,"[43, 43, 43, 43]",117.0,98.0,98.0,inf,639,0,0,0,0,"[117.0, 98.0]",R-MAT,100,25,51,gexf
cut,cap,first,R-MAT.100.25.51.gexf,100,1418,3,2,"[43, 43, 43, 43]",117.0,91.0,91.0,inf,160,0,0,0,0,"[117.0, 91.0]",R-MAT,100,25,51,gexf
cut,cap,first,R-MAT.100.25.51.gexf,100,1418,5,3,"[43, 43, 43, 43]",117.0,78.0,78.0,inf,187,0,0,0,0,"[117.0, 78.0]",R-MAT,100,25,51,gexf
cut,cap,first,R-MAT.100.25.51.gexf,100,1418,10,4,"[43, 43, 43, 43]",117.0,57.0,57.0,inf,355,0,0,0,0,"[117.0, 57.0]",R-MAT,100,25,51,gexf
cut,cap,first,R-MAT.100.25.51.gexf,100,F,50,5,"[43, 43, 43, 43]",F,F,F,F,F,F,F,F,F,F,R-MAT,100,25,51,gexf
cut,cap,first,R-MAT.100.5.52.gexf,100,413,2,1,"[18, 18, 18, 18]",24.0,17.0,18.0,17.0,980,1,0,0,0,"[24.0, 18.0, 17.0]",R-MAT,100,5,52,gexf
cut,cap,first,R-MAT.100.5.52.gexf,100,413,3,2,"[18, 18, 18, 18]",24.0,15.0,17.0,15.0,1328,1,0,0,0,"[24.0, 17.0, 15.0]",R-MAT,100,5,52,gexf
cut,cap,first,R-MAT.100.5.52.gexf,100,413,5,3,"[18, 18, 18, 18]",24.0,13.0,15.0,13.0,2085,1,0,0,0,"[24.0, 15.0, 13.0]",R-MAT,100,5,52,gexf
cut,cap,first,R-MAT.100.5.52.gexf,100,413,10,4,"[18, 18, 18, 18]",24.0,8.0,10.0,8.0,2241,1,0,0,0,"[24.0, 10.0, 8.0]",R-MAT,100,5,52,gexf
cut,cap,first,R-MAT.100.5.52.gexf,100,F,50,5,"[18, 18, 18, 18]",F,F,F,F,F,F,F,F,F,F,R-MAT,100,5,52,gexf
cut,cap,first,R-MAT.100.10.52.gexf,100,728,2,1,"[23, 23, 23, 23]",49.0,37.0,37.0,inf,471,0,0,0,0,"[49.0, 37.0]",R-MAT,100,10,52,gexf
cut,cap,first,R-MAT.100.10.52.gexf,100,728,3,2,"[23, 23, 23, 23]",49.0,33.0,33.0,inf,482,0,0,0,0,"[49.0, 33.0]",R-MAT,100,10,52,gexf
cut,cap,first,R-MAT.100.10.52.gexf,100,728,5,3,"[23, 23, 23, 23]",49.0,27.0,27.0,inf,620,0,0,0,0,"[49.0, 27.0]",R-MAT,100,10,52,gexf
cut,cap,first,R-MAT.100.10.52.gexf,100,728,10,4,"[23, 23, 23, 23]",49.0,17.0,17.0,inf,896,0,0,0,0,"[49.0, 17.0]",R-MAT,100,10,52,gexf
cut,cap,first,R-MAT.100.10.52.gexf,100,F,50,5,"[23, 23, 23, 23]",F,F,F,F,F,F,F,F,F,F,R-MAT,100,10,52,gexf
cut,cap,first,R-MAT.100.25.52.gexf,100,1393,2,1,"[37, 37, 37, 37]",104.0,86.0,86.0,inf,224,0,0,0,0,"[104.0, 86.0]",R-MAT,100,25,52,gexf
