construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	max.c	ex	k.4
868	cut	cap	first	Complete.100.20.37.gexf	100	9900	5	3	[99, 99, 99, 99]	918	824	824	inf	40	0	0	0	0	[918, 824]	Complete	100	20	37	gexf
869	cut	cap	first	Complete.100.20.37.gexf	100	9900	10	4	[99, 99, 99, 99]	918	738	738	inf	47	0	0	0	0	[918, 738]	Complete	100	20	37	gexf
870	cut	cap	first	Complete.100.20.37.gexf	100	9900	50	5	[99, 99, 99, 99]	918	236	236	inf	88	0	0	0	0	[918, 236]	Complete	100	20	37	gexf
871	cut	cap	first	Complete.100.1.38.gexf	100	9900	2	1	[99, 99, 99, 99]	45.656718892569	43.6815890461898	43.68158904618978	inf	40	0	0	0	0	[45.65671889256904, 43.68158904618978]	Complete	100	1	38	gexf
872	cut	cap	first	Complete.100.1.38.gexf	100	9900	3	2	[99, 99, 99, 99]	45.656718892569	42.701091348108	42.70109134810797	inf	49	0	0	0	0	[45.65671889256904, 42.70109134810797]	Complete	100	1	38	gexf
873	cut	cap	first	Complete.100.1.38.gexf	100	9900	5	3	[99, 99, 99, 99]	45.656718892569	40.7987404673359	40.7987404673359	inf	40	0	0	0	0	[45.65671889256904, 40.7987404673359]	Complete	100	1	38	gexf
874	cut	cap	first	Complete.100.1.38.gexf	100	9900	10	4	[99, 99, 99, 99]	45.656718892569	36.3040032981498	36.304003298149816	inf	62	0	0	0	0	[45.65671889256904, 36.304003298149816]	Complete	100	1	38	gexf
875	cut	cap	first	Complete.100.1.38.gexf	100	9900	50	5	[99, 99, 99, 99]	45.656718892569	9.44700924333032	9.447009243330323	inf	63	0	0	0	0	[45.65671889256904, 9.447009243330323]	Complete	100	1	38	gexf
876	cut	cap	first	Complete.100.20.38.gexf	100	9900	2	1	[99, 99, 99, 99]	982	944	944	inf	30	0	0	0	0	[982, 944]	Complete	100	20	38	gexf
877	cut	cap	first	Complete.100.20.38.gexf	100	9900	3	2	[99, 99, 99, 99]	982	925	925	inf	59	0	0	0	0	[982, 925]	Complete	100	20	38	gexf
878	cut	cap	first	Complete.100.20.38.gexf	100	9900	5	3	[99, 99, 99, 99]	982	887	887	inf	41	0	0	0	0	[982, 887]	Complete	100	20	38	gexf
879	cut	cap	first	Complete.100.20.38.gexf	100	9900	10	4	[99, 99, 99, 99]	982	795	795	inf	85	0	0	0	0	[982, 795]	Complete	100	20	38	gexf
880	cut	cap	first	Complete.100.20.38.gexf	100	9900	50	5	[99, 99, 99, 99]	982	237	237	inf	89	0	0	0	0	[982, 237]	Complete	100	20	38	gexf
881	cut	cap	first	Complete.100.1.39.gexf	100	9900	2	1	[99, 99, 99, 99]	47.6290144272205	45.7211665919727	45.72116659197273	inf	62	0	0	0	0	[47.62901442722053, 45.72116659197273]	Complete	100	1	39	gexf
882	cut	cap	first	Complete.100.1.39.gexf	100	9900	3	2	[99, 99, 99, 99]	47.6290144272205	44.8056741538201	44.805674153820064	inf	59	0	0	0	0	[47.62901442722053, 44.805674153820064]	Complete	100	1	39	gexf
883	cut	cap	first	Complete.100.1.39.gexf	100	9900	5	3	[99, 99, 99, 99]	47.6290144272205	42.9832991719837	42.983299171983724	inf	29	0	0	0	0	[47.62901442722053, 42.983299171983724]	Complete	100	1	39	gexf
884	cut	cap	first	Complete.100.1.39.gexf	100	9900	10	4	[99, 99, 99, 99]	47.6290144272205	38.5255254360884	38.52552543608839	inf	49	0	0	0	0	[47.62901442722053, 38.52552543608839]	Complete	100	1	39	gexf
885	cut	cap	first	Complete.100.1.39.gexf	100	9900	50	5	[99, 99, 99, 99]	47.6290144272205	13.3190068271565	13.319006827156521	inf	62	0	0	0	0	[47.62901442722053, 13.319006827156521]	Complete	100	1	39	gexf
886	cut	cap	first	Complete.100.20.39.gexf	100	9900	2	1	[99, 99, 99, 99]	1013	975	975	inf	63	0	0	0	0	[1013, 975]	Complete	100	20	39	gexf
887	cut	cap	first	Complete.100.20.39.gexf	100	9900	3	2	[99, 99, 99, 99]	1013	956	956	inf	46	0	0	0	0	[1013, 956]	Complete	100	20	39	gexf
888	cut	cap	first	Complete.100.20.39.gexf	100	9900	5	3	[99, 99, 99, 99]	1013	918	918	inf	45	0	0	0	0	[1013, 918]	Complete	100	20	39	gexf
889	cut	cap	first	Complete.100.20.39.gexf	100	9900	10	4	[99, 99, 99, 99]	1013	829	829	inf	40	0	0	0	0	[1013, 829]	Complete	100	20	39	gexf
890	cut	cap	first	Complete.100.20.39.gexf	100	9900	50	5	[99, 99, 99, 99]	1013	273	273	inf	142	0	0	0	0	[1013, 273]	Complete	100	20	39	gexf
891	cut	cap	first	Complete.100.1.40.gexf	100	9900	2	1	[99, 99, 99, 99]	48.1690387520647	46.2102642895254	46.210264289525426	inf	49	0	0	0	0	[48.16903875206472, 46.210264289525426]	Complete	100	1	40	gexf
892	cut	cap	first	Complete.100.1.40.gexf	100	9900	3	2	[99, 99, 99, 99]	48.1690387520647	45.2405314318219	45.24053143182195	inf	34	0	0	0	0	[48.16903875206472, 45.24053143182195]	Complete	100	1	40	gexf
893	cut	cap	first	Complete.100.1.40.gexf	100	9900	5	3	[99, 99, 99, 99]	48.1690387520647	43.3281460369817	43.32814603698166	inf	34	0	0	0	0	[48.16903875206472, 43.32814603698166]	Complete	100	1	40	gexf
894	cut	cap	first	Complete.100.1.40.gexf	100	9900	10	4	[99, 99, 99, 99]	48.1690387520647	38.8833942570746	38.88339425707465	inf	62	0	0	0	0	[48.16903875206472, 38.88339425707465]	Complete	100	1	40	gexf
895	cut	cap	first	Complete.100.1.40.gexf	100	9900	50	5	[99, 99, 99, 99]	48.1690387520647	12.4061723135605	12.406172313560525	inf	63	0	0	0	0	[48.16903875206472, 12.406172313560525]	Complete	100	1	40	gexf
896	cut	cap	first	Complete.100.20.40.gexf	100	9900	2	1	[99, 99, 99, 99]	955	917	917	inf	40	0	0	0	0	[955, 917]	Complete	100	20	40	gexf
897	cut	cap	first	Complete.100.20.40.gexf	100	9900	3	2	[99, 99, 99, 99]	955	898	898	inf	52	0	0	0	0	[955, 898]	Complete	100	20	40	gexf
898	cut	cap	first	Complete.100.20.40.gexf	100	9900	5	3	[99, 99, 99, 99]	955	860	860	inf	80	0	0	0	0	[955, 860]	Complete	100	20	40	gexf
899	cut	cap	first	Complete.100.20.40.gexf	100	9900	10	4	[99, 99, 99, 99]	955	770	770	inf	49	0	0	0	0	[955, 770]	Complete	100	20	40	gexf
900	cut	cap	first	Complete.100.20.40.gexf	100	9900	50	5	[99, 99, 99, 99]	955	230	230	inf	89	0	0	0	0	[955, 230]	Complete	100	20	40	gexf
901	cut	cap	first	Complete.100.1.41.gexf	100	9900	2	1	[99, 99, 99, 99]	51.5094238136054	49.5327649214604	49.53276492146043	inf	62	0	0	0	0	[51.50942381360539, 49.53276492146043]	Complete	100	1	41	gexf
902	cut	cap	first	Complete.100.1.41.gexf	100	9900	3	2	[99, 99, 99, 99]	51.5094238136054	48.5649687418458	48.56496874184582	inf	34	0	0	0	0	[51.50942381360539, 48.56496874184582]	Complete	100	1	41	gexf
903	cut	cap	first	Complete.100.1.41.gexf	100	9900	5	3	[99, 99, 99, 99]	51.5094238136054	46.6386459481628	46.638645948162846	inf	48	0	0	0	0	[51.50942381360539, 46.638645948162846]	Complete	100	1	41	gexf
904	cut	cap	first	Complete.100.1.41.gexf	100	9900	10	4	[99, 99, 99, 99]	51.5094238136054	41.8789557579392	41.87895575793916	inf	40	0	0	0	0	[51.50942381360539, 41.87895575793916]	Complete	100	1	41	gexf
905	cut	cap	first	Complete.100.1.41.gexf	100	9900	50	5	[99, 99, 99, 99]	51.5094238136054	12.7126254752963	12.712625475296251	inf	63	0	0	0	0	[51.50942381360539, 12.712625475296251]	Complete	100	1	41	gexf
906	cut	cap	first	Complete.100.20.41.gexf	100	9900	2	1	[99, 99, 99, 99]	940	902	902	inf	39	0	0	0	0	[940, 902]	Complete	100	20	41	gexf
907	cut	cap	first	Complete.100.20.41.gexf	100	9900	3	2	[99, 99, 99, 99]	940	883	883	inf	49	0	0	0	0	[940, 883]	Complete	100	20	41	gexf
908	cut	cap	first	Complete.100.20.41.gexf	100	9900	5	3	[99, 99, 99, 99]	940	846	846	inf	48	0	0	0	0	[940, 846]	Complete	100	20	41	gexf
909	cut	cap	first	Complete.100.20.41.gexf	100	9900	10	4	[99, 99, 99, 99]	940	756	756	inf	49	0	0	0	0	[940, 756]	Complete	100	20	41	gexf
910	cut	cap	first	Complete.100.20.41.gexf	100	9900	50	5	[99, 99, 99, 99]	940	241	241	inf	76	0	0	0	0	[940, 241]	Complete	100	20	41	gexf
911	cut	cap	first	Complete.100.1.42.gexf	100	9900	2	1	[99, 99, 99, 99]	46.8810448751069	44.9051677654663	44.905167765466295	inf	61	0	0	0	0	[46.88104487510691, 44.905167765466295]	Complete	100	1	42	gexf
912	cut	cap	first	Complete.100.1.42.gexf	100	9900	3	2	[99, 99, 99, 99]	46.8810448751069	43.9294839015012	43.929483901501165	inf	48	0	0	0	0	[46.88104487510691, 43.929483901501165]	Complete	100	1	42	gexf
913	cut	cap	first	Complete.100.1.42.gexf	100	9900	5	3	[99, 99, 99, 99]	46.8810448751069	41.9891190032256	41.989119003225554	inf	39	0	0	0	0	[46.88104487510691, 41.989119003225554]	Complete	100	1	42	gexf
914	cut	cap	first	Complete.100.1.42.gexf	100	9900	10	4	[99, 99, 99, 99]	46.8810448751069	37.3066374808457	37.306637480845694	inf	39	0	0	0	0	[46.88104487510691, 37.306637480845694]	Complete	100	1	42	gexf
915	cut	cap	first	Complete.100.1.42.gexf	100	9900	50	5	[99, 99, 99, 99]	46.8810448751069	11.0616094676835	11.061609467683512	inf	62	0	0	0	0	[46.88104487510691, 11.061609467683512]	Complete	100	1	42	gexf
916	cut	cap	first	Complete.100.20.42.gexf	100	9900	2	1	[99, 99, 99, 99]	893	855	855	inf	44	0	0	0	0	[893, 855]	Complete	100	20	42	gexf
917	cut	cap	first	Complete.100.20.42.gexf	100	9900	3	2	[99, 99, 99, 99]	893	836	836	inf	52	0	0	0	0	[893, 836]	Complete	100	20	42	gexf
918	cut	cap	first	Complete.100.20.42.gexf	100	9900	5	3	[99, 99, 99, 99]	893	798	798	inf	53	0	0	0	0	[893, 798]	Complete	100	20	42	gexf
919	cut	cap	first	Complete.100.20.42.gexf	100	9900	10	4	[99, 99, 99, 99]	893	708	708	inf	43	0	0	0	0	[893, 708]	Complete	100	20	42	gexf
920	cut	cap	first	Complete.100.20.42.gexf	100	9900	50	5	[99, 99, 99, 99]	893	217	217	inf	141	0	0	0	0	[893, 217]	Complete	100	20	42	gexf
921	cut	cap	first	Complete.100.1.43.gexf	100	9900	2	1	[99, 99, 99, 99]	45.7546968406097	43.7604235777354	43.76042357773538	inf	62	0	0	0	0	[45.75469684060969, 43.76042357773538]	Complete	100	1	43	gexf
922	cut	cap	first	Complete.100.1.43.gexf	100	9900	3	2	[99, 99, 99, 99]	45.7546968406097	42.7777167101979	42.77771671019791	inf	33	0	0	0	0	[45.75469684060969, 42.77771671019791]	Complete	100	1	43	gexf
923	cut	cap	first	Complete.100.1.43.gexf	100	9900	5	3	[99, 99, 99, 99]	45.7546968406097	40.8479239796772	40.847923979677226	inf	40	0	0	0	0	[45.75469684060969, 40.847923979677226]	Complete	100	1	43	gexf
924	cut	cap	first	Complete.100.1.43.gexf	100	9900	10	4	[99, 99, 99, 99]	45.7546968406097	36.2686623843509	36.26866238435089	inf	40	0	0	0	0	[45.75469684060969, 36.26866238435089]	Complete	100	1	43	gexf
925	cut	cap	first	Complete.100.1.43.gexf	100	9900	50	5	[99, 99, 99, 99]	45.7546968406097	10.2981382107899	10.298138210789888	inf	141	0	0	0	0	[45.75469684060969, 10.298138210789888]	Complete	100	1	43	gexf
926	cut	cap	first	Complete.100.20.43.gexf	100	9900	2	1	[99, 99, 99, 99]	961	923	923	inf	48	0	0	0	0	[961, 923]	Complete	100	20	43	gexf
927	cut	cap	first	Complete.100.20.43.gexf	100	9900	3	2	[99, 99, 99, 99]	961	904	904	inf	63	0	0	0	0	[961, 904]	Complete	100	20	43	gexf
928	cut	cap	first	Complete.100.20.43.gexf	100	9900	5	3	[99, 99, 99, 99]	961	866	866	inf	66	0	0	0	0	[961, 866]	Complete	100	20	43	gexf
929	cut	cap	first	Complete.100.20.43.gexf	100	9900	10	4	[99, 99, 99, 99]	961	775	775	inf	48	0	0	0	0	[961, 775]	Complete	100	20	43	gexf
930	cut	cap	first	Complete.100.20.43.gexf	100	9900	50	5	[99, 99, 99, 99]	961	240	240	inf	87	0	0	0	0	[961, 240]	Complete	100	20	43	gexf
931	cut	cap	first	Complete.100.1.44.gexf	100	9900	2	1	[99, 99, 99, 99]	49.6773723755834	47.7091393634651	47.70913936346511	inf	62	0	0	0	0	[49.67737237558341, 47.70913936346511]	Complete	100	1	44	gexf
932	cut	cap	first	Complete.100.1.44.gexf	100	9900	3	2	[99, 99, 99, 99]	49.6773723755834	46.7453156314478	46.745315631447816	inf	29	0	0	0	0	[49.67737237558341, 46.745315631447816]	Complete	100	1	44	gexf
933	cut	cap	first	Complete.100.1.44.gexf	100	9900	5	3	[99, 99, 99, 99]	49.6773723755834	44.8414779003572	44.84147790035723	inf	59	0	0	0	0	[49.67737237558341, 44.84147790035723]	Complete	100	1	44	gexf
934	cut	cap	first	Complete.100.1.44.gexf	100	9900	10	4	[99, 99, 99, 99]	49.6773723755834	40.2515008999251	40.251500899925084	inf	47	0	0	0	0	[49.67737237558341, 40.251500899925084]	Complete	100	1	44	gexf
935	cut	cap	first	Complete.100.1.44.gexf	100	9900	50	5	[99, 99, 99, 99]	49.6773723755834	12.2408484049747	12.24084840497474	inf	62	0	0	0	0	[49.67737237558341, 12.24084840497474]	Complete	100	1	44	gexf
936	cut	cap	first	Complete.100.20.44.gexf	100	9900	2	1	[99, 99, 99, 99]	936	898	898	inf	37	0	0	0	0	[936, 898]	Complete	100	20	44	gexf
937	cut	cap	first	Complete.100.20.44.gexf	100	9900	3	2	[99, 99, 99, 99]	936	879	879	inf	49	0	0	0	0	[936, 879]	Complete	100	20	44	gexf
938	cut	cap	first	Complete.100.20.44.gexf	100	9900	5	3	[99, 99, 99, 99]	936	841	841	inf	49	0	0	0	0	[936, 841]	Complete	100	20	44	gexf
939	cut	cap	first	Complete.100.20.44.gexf	100	9900	10	4	[99, 99, 99, 99]	936	752	752	inf	62	0	0	0	0	[936, 752]	Complete	100	20	44	gexf
940	cut	cap	first	Complete.100.20.44.gexf	100	9900	50	5	[99, 99, 99, 99]	936	229	229	inf	101	0	0	0	0	[936, 229]	Complete	100	20	44	gexf
941	cut	cap	first	Complete.100.1.45.gexf	100	9900	2	1	[99, 99, 99, 99]	47.9541878212079	46.0097757947189	46.00977579471893	inf	47	0	0	0	0	[47.95418782120788, 46.00977579471893]	Complete	100	1	45	gexf
942	cut	cap	first	Complete.100.1.45.gexf	100	9900	3	2	[99, 99, 99, 99]	47.9541878212079	45.0648735412672	45.06487354126721	inf	40	0	0	0	0	[47.95418782120788, 45.06487354126721]	Complete	100	1	45	gexf
943	cut	cap	first	Complete.100.1.45.gexf	100	9900	5	3	[99, 99, 99, 99]	47.9541878212079	43.1882032092582	43.1882032092582	inf	19	0	0	0	0	[47.95418782120788, 43.1882032092582]	Complete	100	1	45	gexf
944	cut	cap	first	Complete.100.1.45.gexf	100	9900	10	4	[99, 99, 99, 99]	47.9541878212079	38.6415353823963	38.641535382396306	inf	60	0	0	0	0	[47.95418782120788, 38.641535382396306]	Complete	100	1	45	gexf
945	cut	cap	first	Complete.100.1.45.gexf	100	9900	50	5	[99, 99, 99, 99]	47.9541878212079	11.9657893869053	11.965789386905264	inf	135	0	0	0	0	[47.95418782120788, 11.965789386905264]	Complete	100	1	45	gexf
946	cut	cap	first	Complete.100.20.45.gexf	100	9900	2	1	[99, 99, 99, 99]	860	822	822	inf	37	0	0	0	0	[860, 822]	Complete	100	20	45	gexf
947	cut	cap	first	Complete.100.20.45.gexf	100	9900	3	2	[99, 99, 99, 99]	860	804	804	inf	34	0	0	0	0	[860, 804]	Complete	100	20	45	gexf
948	cut	cap	first	Complete.100.20.45.gexf	100	9900	5	3	[99, 99, 99, 99]	860	769	769	inf	49	0	0	0	0	[860, 769]	Complete	100	20	45	gexf
949	cut	cap	first	Complete.100.20.45.gexf	100	9900	10	4	[99, 99, 99, 99]	860	688	688	inf	41	0	0	0	0	[860, 688]	Complete	100	20	45	gexf
950	cut	cap	first	Complete.100.20.45.gexf	100	9900	50	5	[99, 99, 99, 99]	860	228	228	inf	110	0	0	0	0	[860, 228]	Complete	100	20	45	gexf
951	cut	cap	first	Complete.100.1.46.gexf	100	9900	2	1	[99, 99, 99, 99]	47.1093744329761	45.1410191186895	45.14101911868948	inf	48	0	0	0	0	[47.10937443297606, 45.14101911868948]	Complete	100	1	46	gexf
952	cut	cap	first	Complete.100.1.46.gexf	100	9900	3	2	[99, 99, 99, 99]	47.1093744329761	44.1661559413636	44.16615594136363	inf	40	0	0	0	0	[47.10937443297606, 44.16615594136363]	Complete	100	1	46	gexf
953	cut	cap	first	Complete.100.1.46.gexf	100	9900	5	3	[99, 99, 99, 99]	47.1093744329761	42.2258495882982	42.225849588298175	inf	38	0	0	0	0	[47.10937443297606, 42.225849588298175]	Complete	100	1	46	gexf
954	cut	cap	first	Complete.100.1.46.gexf	100	9900	10	4	[99, 99, 99, 99]	47.1093744329761	37.7216365947297	37.721636594729745	inf	30	0	0	0	0	[47.10937443297606, 37.721636594729745]	Complete	100	1	46	gexf
955	cut	cap	first	Complete.100.1.46.gexf	100	9900	50	5	[99, 99, 99, 99]	47.1093744329761	10.9190161075372	10.919016107537196	inf	143	0	0	0	0	[47.10937443297606, 10.919016107537196]	Complete	100	1	46	gexf
956	cut	cap	first	Complete.100.20.46.gexf	100	9900	2	1	[99, 99, 99, 99]	910	872	872	inf	61	0	0	0	0	[910, 872]	Complete	100	20	46	gexf
957	cut	cap	first	Complete.100.20.46.gexf	100	9900	3	2	[99, 99, 99, 99]	910	853	853	inf	46	0	0	0	0	[910, 853]	Complete	100	20	46	gexf
958	cut	cap	first	Complete.100.20.46.gexf	100	9900	5	3	[99, 99, 99, 99]	910	815	815	inf	57	0	0	0	0	[910, 815]	Complete	100	20	46	gexf
959	cut	cap	first	Complete.100.20.46.gexf	100	9900	10	4	[99, 99, 99, 99]	910	725	725	inf	43	0	0	0	0	[910, 725]	Complete	100	20	46	gexf
960	cut	cap	first	Complete.100.20.46.gexf	100	9900	50	5	[99, 99, 99, 99]	910	200	200	inf	140	0	0	0	0	[910, 200]	Complete	100	20	46	gexf
961	cut	cap	first	Complete.100.1.47.gexf	100	9900	2	1	[99, 99, 99, 99]	49.4008067920516	47.405660307582	47.405660307582025	inf	33	0	0	0	0	[49.40080679205159, 47.405660307582025]	Complete	100	1	47	gexf
962	cut	cap	first	Complete.100.1.47.gexf	100	9900	3	2	[99, 99, 99, 99]	49.4008067920516	46.419584798473	46.41958479847303	inf	60	0	0	0	0	[49.40080679205159, 46.41958479847303]	Complete	100	1	47	gexf
963	cut	cap	first	Complete.100.1.47.gexf	100	9900	5	3	[99, 99, 99, 99]	49.4008067920516	44.4901242913743	44.49012429137432	inf	61	0	0	0	0	[49.40080679205159, 44.49012429137432]	Complete	100	1	47	gexf
964	cut	cap	first	Complete.100.1.47.gexf	100	9900	10	4	[99, 99, 99, 99]	49.4008067920516	39.8141767402626	39.814176740262646	inf	48	0	0	0	0	[49.40080679205159, 39.814176740262646]	Complete	100	1	47	gexf
965	cut	cap	first	Complete.100.1.47.gexf	100	9900	50	5	[99, 99, 99, 99]	49.4008067920516	11.0064878382231	11.006487838223102	inf	142	0	0	0	0	[49.40080679205159, 11.006487838223102]	Complete	100	1	47	gexf
966	cut	cap	first	Complete.100.20.47.gexf	100	9900	2	1	[99, 99, 99, 99]	1006	968	968	inf	48	0	0	0	0	[1006, 968]	Complete	100	20	47	gexf
967	cut	cap	first	Complete.100.20.47.gexf	100	9900	3	2	[99, 99, 99, 99]	1006	949	949	inf	45	0	0	0	0	[1006, 949]	Complete	100	20	47	gexf
968	cut	cap	first	Complete.100.20.47.gexf	100	9900	5	3	[99, 99, 99, 99]	1006	911	911	inf	53	0	0	0	0	[1006, 911]	Complete	100	20	47	gexf
969	cut	cap	first	Complete.100.20.47.gexf	100	9900	10	4	[99, 99, 99, 99]	1006	820	820	inf	57	0	0	0	0	[1006, 820]	Complete	100	20	47	gexf
970	cut	cap	first	Complete.100.20.47.gexf	100	9900	50	5	[99, 99, 99, 99]	1006	259	259	inf	64	0	0	0	0	[1006, 259]	Complete	100	20	47	gexf
971	cut	cap	first	Complete.100.1.48.gexf	100	9900	2	1	[99, 99, 99, 99]	45.8000243103128	43.8498908216277	43.84989082162771	inf	34	0	0	0	0	[45.800024310312764, 43.84989082162771]	Complete	100	1	48	gexf
972	cut	cap	first	Complete.100.1.48.gexf	100	9900	3	2	[99, 99, 99, 99]	45.8000243103128	42.8800296287382	42.88002962873818	inf	34	0	0	0	0	[45.800024310312764, 42.88002962873818]	Complete	100	1	48	gexf
973	cut	cap	first	Complete.100.1.48.gexf	100	9900	5	3	[99, 99, 99, 99]	45.8000243103128	41.0422409291443	41.04224092914431	inf	34	0	0	0	0	[45.800024310312764, 41.04224092914431]	Complete	100	1	48	gexf
974	cut	cap	first	Complete.100.1.48.gexf	100	9900	10	4	[99, 99, 99, 99]	45.8000243103128	36.7869534365561	36.786953436556075	inf	137	0	0	0	0	[45.800024310312764, 36.786953436556075]	Complete	100	1	48	gexf
975	cut	cap	first	Complete.100.1.48.gexf	100	9900	50	5	[99, 99, 99, 99]	45.8000243103128	11.1849893516673	11.184989351667268	inf	87	0	0	0	0	[45.800024310312764, 11.184989351667268]	Complete	100	1	48	gexf
976	cut	cap	first	Complete.100.20.48.gexf	100	9900	2	1	[99, 99, 99, 99]	992	954	954	inf	44	0	0	0	0	[992, 954]	Complete	100	20	48	gexf
977	cut	cap	first	Complete.100.20.48.gexf	100	9900	3	2	[99, 99, 99, 99]	992	935	935	inf	36	0	0	0	0	[992, 935]	Complete	100	20	48	gexf
978	cut	cap	first	Complete.100.20.48.gexf	100	9900	5	3	[99, 99, 99, 99]	992	899	899	inf	40	0	0	0	0	[992, 899]	Complete	100	20	48	gexf
979	cut	cap	first	Complete.100.20.48.gexf	100	9900	10	4	[99, 99, 99, 99]	992	809	809	inf	39	0	0	0	0	[992, 809]	Complete	100	20	48	gexf
980	cut	cap	first	Complete.100.20.48.gexf	100	9900	50	5	[99, 99, 99, 99]	992	258	258	inf	95	0	0	0	0	[992, 258]	Complete	100	20	48	gexf
981	cut	cap	first	Complete.100.1.49.gexf	100	9900	2	1	[99, 99, 99, 99]	48.4048566416166	46.421119326437	46.42111932643702	inf	48	0	0	0	0	[48.404856641616554, 46.42111932643702]	Complete	100	1	49	gexf
982	cut	cap	first	Complete.100.1.49.gexf	100	9900	3	2	[99, 99, 99, 99]	48.4048566416166	45.4573561935364	45.45735619353644	inf	63	0	0	0	0	[48.404856641616554, 45.45735619353644]	Complete	100	1	49	gexf
983	cut	cap	first	Complete.100.1.49.gexf	100	9900	5	3	[99, 99, 99, 99]	48.4048566416166	43.55697535907	43.556975359069995	inf	40	0	0	0	0	[48.404856641616554, 43.556975359069995]	Complete	100	1	49	gexf
984	cut	cap	first	Complete.100.1.49.gexf	100	9900	10	4	[99, 99, 99, 99]	48.4048566416166	38.9223512589937	38.92235125899367	inf	62	0	0	0	0	[48.404856641616554, 38.92235125899367]	Complete	100	1	49	gexf
985	cut	cap	first	Complete.100.1.49.gexf	100	9900	50	5	[99, 99, 99, 99]	48.4048566416166	11.3509849467783	11.35098494677833	inf	140	0	0	0	0	[48.404856641616554, 11.35098494677833]	Complete	100	1	49	gexf
986	cut	cap	first	Complete.100.20.49.gexf	100	9900	2	1	[99, 99, 99, 99]	1011	973	973	inf	48	0	0	0	0	[1011, 973]	Complete	100	20	49	gexf
987	cut	cap	first	Complete.100.20.49.gexf	100	9900	3	2	[99, 99, 99, 99]	1011	954	954	inf	36	0	0	0	0	[1011, 954]	Complete	100	20	49	gexf
988	cut	cap	first	Complete.100.20.49.gexf	100	9900	5	3	[99, 99, 99, 99]	1011	916	916	inf	37	0	0	0	0	[1011, 916]	Complete	100	20	49	gexf
989	cut	cap	first	Complete.100.20.49.gexf	100	9900	10	4	[99, 99, 99, 99]	1011	824	824	inf	49	0	0	0	0	[1011, 824]	Complete	100	20	49	gexf
990	cut	cap	first	Complete.100.20.49.gexf	100	9900	50	5	[99, 99, 99, 99]	1011	258	258	inf	65	0	0	0	0	[1011, 258]	Complete	100	20	49	gexf
991	cut	cap	first	Complete.100.1.50.gexf	100	9900	2	1	[99, 99, 99, 99]	46.8897889243592	44.9691382314968	44.96913823149677	inf	49	0	0	0	0	[46.889788924359216, 44.96913823149677]	Complete	100	1	50	gexf
992	cut	cap	first	Complete.100.1.50.gexf	100	9900	3	2	[99, 99, 99, 99]	46.8897889243592	44.009967754099	44.00996775409901	inf	40	0	0	0	0	[46.889788924359216, 44.00996775409901]	Complete	100	1	50	gexf
993	cut	cap	first	Complete.100.1.50.gexf	100	9900	5	3	[99, 99, 99, 99]	46.8897889243592	42.1167951554863	42.11679515548626	inf	60	0	0	0	0	[46.889788924359216, 42.11679515548626]	Complete	100	1	50	gexf
994	cut	cap	first	Complete.100.1.50.gexf	100	9900	10	4	[99, 99, 99, 99]	46.8897889243592	37.5345135356516	37.53451353565161	inf	49	0	0	0	0	[46.889788924359216, 37.53451353565161]	Complete	100	1	50	gexf
995	cut	cap	first	Complete.100.1.50.gexf	100	9900	50	5	[99, 99, 99, 99]	46.8897889243592	11.0244744300938	11.024474430093774	inf	142	0	0	0	0	[46.889788924359216, 11.024474430093774]	Complete	100	1	50	gexf
996	cut	cap	first	Complete.100.20.50.gexf	100	9900	2	1	[99, 99, 99, 99]	863	825	825	inf	41	0	0	0	0	[863, 825]	Complete	100	20	50	gexf
997	cut	cap	first	Complete.100.20.50.gexf	100	9900	3	2	[99, 99, 99, 99]	863	806	806	inf	47	0	0	0	0	[863, 806]	Complete	100	20	50	gexf
998	cut	cap	first	Complete.100.20.50.gexf	100	9900	5	3	[99, 99, 99, 99]	863	770	770	inf	73	0	0	0	0	[863, 770]	Complete	100	20	50	gexf
999	cut	cap	first	Complete.100.20.50.gexf	100	9900	10	4	[99, 99, 99, 99]	863	682	682	inf	55	0	0	0	0	[863, 682]	Complete	100	20	50	gexf
1000	cut	cap	first	Complete.100.20.50.gexf	100	9900	50	5	[99, 99, 99, 99]	863	202	202	inf	119	0	0	0	0	[863, 202]	Complete	100	20	50	gexf
1001	cut	cap	first	Complete.500.1.1.gexf	500	249500	2	1	[499, 499, 499, 499]	237.310190592602	235.31842241108	235.31842241108026	inf	2	0	0	0	0	[237.31019059260217, 235.31842241108026]	Complete	500	1	1	gexf
1002	cut	cap	first	Complete.500.1.1.gexf	500	249500	3	2	[499, 499, 499, 499]	237.310190592602	234.326289478952	234.32628947895185	inf	3	0	0	0	0	[237.31019059260217, 234.32628947895185]	Complete	500	1	1	gexf
1003	cut	cap	first	Complete.500.1.1.gexf	500	249500	5	3	[499, 499, 499, 499]	237.310190592602	232.351325505374	232.35132550537443	inf	2	0	0	0	0	[237.31019059260217, 232.35132550537443]	Complete	500	1	1	gexf
