construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	max.c	ex	k.4
98	cut	cap	first	Complete.50.20.10.gexf	50	2450	5	3	[49, 49, 49, 49]	426	345	345	inf	223	0	0	0	0	[426, 345]	Complete	50	20	10	gexf
99	cut	cap	first	Complete.50.20.10.gexf	50	2450	10	4	[49, 49, 49, 49]	426	276	276	inf	218	0	0	0	0	[426, 276]	Complete	50	20	10	gexf
101	cut	cap	first	Complete.50.1.11.gexf	50	2450	2	1	[49, 49, 49, 49]	23.7919211391467	21.8106622989383	21.81066229893827	inf	155	0	0	0	0	[23.791921139146684, 21.81066229893827]	Complete	50	1	11	gexf
102	cut	cap	first	Complete.50.1.11.gexf	50	2450	3	2	[49, 49, 49, 49]	23.7919211391467	20.842178581662	20.84217858166201	inf	247	0	0	0	0	[23.791921139146684, 20.84217858166201]	Complete	50	1	11	gexf
103	cut	cap	first	Complete.50.1.11.gexf	50	2450	5	3	[49, 49, 49, 49]	23.7919211391467	19.0205321864758	19.020532186475783	inf	196	0	0	0	0	[23.791921139146684, 19.020532186475783]	Complete	50	1	11	gexf
104	cut	cap	first	Complete.50.1.11.gexf	50	2450	10	4	[49, 49, 49, 49]	23.7919211391467	14.9854460859835	14.985446085983533	inf	252	0	0	0	0	[23.791921139146684, 14.985446085983533]	Complete	50	1	11	gexf
106	cut	cap	first	Complete.50.20.11.gexf	50	2450	2	1	[49, 49, 49, 49]	425	389	389	inf	196	0	0	0	0	[425, 389]	Complete	50	20	11	gexf
107	cut	cap	first	Complete.50.20.11.gexf	50	2450	3	2	[49, 49, 49, 49]	425	372	372	inf	553	0	0	0	0	[425, 372]	Complete	50	20	11	gexf
108	cut	cap	first	Complete.50.20.11.gexf	50	2450	5	3	[49, 49, 49, 49]	425	340	340	inf	178	0	0	0	0	[425, 340]	Complete	50	20	11	gexf
109	cut	cap	first	Complete.50.20.11.gexf	50	2450	10	4	[49, 49, 49, 49]	425	265	265	inf	254	0	0	0	0	[425, 265]	Complete	50	20	11	gexf
111	cut	cap	first	Complete.50.1.12.gexf	50	2450	2	1	[49, 49, 49, 49]	27.1004515908875	25.1736845641681	25.173684564168063	inf	117	0	0	0	0	[27.100451590887516, 25.173684564168063]	Complete	50	1	12	gexf
112	cut	cap	first	Complete.50.1.12.gexf	50	2450	3	2	[49, 49, 49, 49]	27.1004515908875	24.2431215727144	24.24312157271441	inf	137	0	0	0	0	[27.100451590887516, 24.24312157271441]	Complete	50	1	12	gexf
113	cut	cap	first	Complete.50.1.12.gexf	50	2450	5	3	[49, 49, 49, 49]	27.1004515908875	22.4430046094063	22.44300460940634	inf	160	0	0	0	0	[27.100451590887516, 22.44300460940634]	Complete	50	1	12	gexf
114	cut	cap	first	Complete.50.1.12.gexf	50	2450	10	4	[49, 49, 49, 49]	27.1004515908875	18.1999522172682	18.19995221726818	inf	197	0	0	0	0	[27.100451590887516, 18.19995221726818]	Complete	50	1	12	gexf
116	cut	cap	first	Complete.50.20.12.gexf	50	2450	2	1	[49, 49, 49, 49]	406	368	368	inf	247	0	0	0	0	[406, 368]	Complete	50	20	12	gexf
117	cut	cap	first	Complete.50.20.12.gexf	50	2450	3	2	[49, 49, 49, 49]	406	350	350	inf	347	0	0	0	0	[406, 350]	Complete	50	20	12	gexf
118	cut	cap	first	Complete.50.20.12.gexf	50	2450	5	3	[49, 49, 49, 49]	406	314	314	inf	249	0	0	0	0	[406, 314]	Complete	50	20	12	gexf
119	cut	cap	first	Complete.50.20.12.gexf	50	2450	10	4	[49, 49, 49, 49]	406	229	229	inf	563	0	0	0	0	[406, 229]	Complete	50	20	12	gexf
121	cut	cap	first	Complete.50.1.13.gexf	50	2450	2	1	[49, 49, 49, 49]	23.5632127856033	21.6449819897954	21.64498198979543	inf	193	0	0	0	0	[23.56321278560334, 21.64498198979543]	Complete	50	1	13	gexf
122	cut	cap	first	Complete.50.1.13.gexf	50	2450	3	2	[49, 49, 49, 49]	23.5632127856033	20.7229473866029	20.722947386602872	inf	336	0	0	0	0	[23.56321278560334, 20.722947386602872]	Complete	50	1	13	gexf
123	cut	cap	first	Complete.50.1.13.gexf	50	2450	5	3	[49, 49, 49, 49]	23.5632127856033	18.9084669647833	18.908466964783305	inf	137	0	0	0	0	[23.56321278560334, 18.908466964783305]	Complete	50	1	13	gexf
124	cut	cap	first	Complete.50.1.13.gexf	50	2450	10	4	[49, 49, 49, 49]	23.5632127856033	14.7170884841797	14.717088484179696	inf	349	0	0	0	0	[23.56321278560334, 14.717088484179696]	Complete	50	1	13	gexf
126	cut	cap	first	Complete.50.20.13.gexf	50	2450	2	1	[49, 49, 49, 49]	471	434	434	inf	159	0	0	0	0	[471, 434]	Complete	50	20	13	gexf
127	cut	cap	first	Complete.50.20.13.gexf	50	2450	3	2	[49, 49, 49, 49]	471	416	416	inf	196	0	0	0	0	[471, 416]	Complete	50	20	13	gexf
128	cut	cap	first	Complete.50.20.13.gexf	50	2450	5	3	[49, 49, 49, 49]	471	380	380	inf	266	0	0	0	0	[471, 380]	Complete	50	20	13	gexf
129	cut	cap	first	Complete.50.20.13.gexf	50	2450	10	4	[49, 49, 49, 49]	471	301	301	inf	202	0	0	0	0	[471, 301]	Complete	50	20	13	gexf
131	cut	cap	first	Complete.50.1.14.gexf	50	2450	2	1	[49, 49, 49, 49]	23.354380907327	21.4586724787848	21.45867247878479	inf	340	0	0	0	0	[23.35438090732696, 21.45867247878479]	Complete	50	1	14	gexf
132	cut	cap	first	Complete.50.1.14.gexf	50	2450	3	2	[49, 49, 49, 49]	23.354380907327	20.5348442793073	20.53484427930732	inf	248	0	0	0	0	[23.35438090732696, 20.53484427930732]	Complete	50	1	14	gexf
133	cut	cap	first	Complete.50.1.14.gexf	50	2450	5	3	[49, 49, 49, 49]	23.354380907327	18.7238801142086	18.72388011420863	inf	163	0	0	0	0	[23.35438090732696, 18.72388011420863]	Complete	50	1	14	gexf
134	cut	cap	first	Complete.50.1.14.gexf	50	2450	10	4	[49, 49, 49, 49]	23.354380907327	14.476927930339	14.476927930339018	inf	197	0	0	0	0	[23.35438090732696, 14.476927930339018]	Complete	50	1	14	gexf
136	cut	cap	first	Complete.50.20.14.gexf	50	2450	2	1	[49, 49, 49, 49]	464	426	426	inf	251	0	0	0	0	[464, 426]	Complete	50	20	14	gexf
137	cut	cap	first	Complete.50.20.14.gexf	50	2450	3	2	[49, 49, 49, 49]	464	408	408	inf	244	0	0	0	0	[464, 408]	Complete	50	20	14	gexf
138	cut	cap	first	Complete.50.20.14.gexf	50	2450	5	3	[49, 49, 49, 49]	464	372	372	inf	210	0	0	0	0	[464, 372]	Complete	50	20	14	gexf
139	cut	cap	first	Complete.50.20.14.gexf	50	2450	10	4	[49, 49, 49, 49]	464	287	287	inf	374	0	0	0	0	[464, 287]	Complete	50	20	14	gexf
141	cut	cap	first	Complete.50.1.15.gexf	50	2450	2	1	[49, 49, 49, 49]	22.5897025471705	20.604209485837	20.604209485837046	inf	117	0	0	0	0	[22.589702547170518, 20.604209485837046]	Complete	50	1	15	gexf
142	cut	cap	first	Complete.50.1.15.gexf	50	2450	3	2	[49, 49, 49, 49]	22.5897025471705	19.633103968163	19.633103968163013	inf	331	0	0	0	0	[22.589702547170518, 19.633103968163013]	Complete	50	1	15	gexf
143	cut	cap	first	Complete.50.1.15.gexf	50	2450	5	3	[49, 49, 49, 49]	22.5897025471705	17.7312724012429	17.731272401242887	inf	192	0	0	0	0	[22.589702547170518, 17.731272401242887]	Complete	50	1	15	gexf
144	cut	cap	first	Complete.50.1.15.gexf	50	2450	10	4	[49, 49, 49, 49]	22.5897025471705	13.5162329640764	13.516232964076416	inf	334	0	0	0	0	[22.589702547170518, 13.516232964076416]	Complete	50	1	15	gexf
146	cut	cap	first	Complete.50.20.15.gexf	50	2450	2	1	[49, 49, 49, 49]	430	392	392	inf	147	0	0	0	0	[430, 392]	Complete	50	20	15	gexf
147	cut	cap	first	Complete.50.20.15.gexf	50	2450	3	2	[49, 49, 49, 49]	430	373	373	inf	152	0	0	0	0	[430, 373]	Complete	50	20	15	gexf
148	cut	cap	first	Complete.50.20.15.gexf	50	2450	5	3	[49, 49, 49, 49]	430	337	337	inf	287	0	0	0	0	[430, 337]	Complete	50	20	15	gexf
149	cut	cap	first	Complete.50.20.15.gexf	50	2450	10	4	[49, 49, 49, 49]	430	252	252	inf	220	0	0	0	0	[430, 252]	Complete	50	20	15	gexf
151	cut	cap	first	Complete.50.1.16.gexf	50	2450	2	1	[49, 49, 49, 49]	23.951258843925	21.9795487585835	21.979548758583544	inf	135	0	0	0	0	[23.951258843925025, 21.979548758583544]	Complete	50	1	16	gexf
152	cut	cap	first	Complete.50.1.16.gexf	50	2450	3	2	[49, 49, 49, 49]	23.951258843925	21.1096741476045	21.109674147604515	inf	137	0	0	0	0	[23.951258843925025, 21.109674147604515]	Complete	50	1	16	gexf
153	cut	cap	first	Complete.50.1.16.gexf	50	2450	5	3	[49, 49, 49, 49]	23.951258843925	19.4554620146024	19.455462014602446	inf	249	0	0	0	0	[23.951258843925025, 19.455462014602446]	Complete	50	1	16	gexf
154	cut	cap	first	Complete.50.1.16.gexf	50	2450	10	4	[49, 49, 49, 49]	23.951258843925	15.5313893187146	15.531389318714567	inf	197	0	0	0	0	[23.951258843925025, 15.531389318714567]	Complete	50	1	16	gexf
156	cut	cap	first	Complete.50.20.16.gexf	50	2450	2	1	[49, 49, 49, 49]	482	444	444	inf	117	0	0	0	0	[482, 444]	Complete	50	20	16	gexf
157	cut	cap	first	Complete.50.20.16.gexf	50	2450	3	2	[49, 49, 49, 49]	482	425	425	inf	227	0	0	0	0	[482, 425]	Complete	50	20	16	gexf
158	cut	cap	first	Complete.50.20.16.gexf	50	2450	5	3	[49, 49, 49, 49]	482	388	388	inf	199	0	0	0	0	[482, 388]	Complete	50	20	16	gexf
159	cut	cap	first	Complete.50.20.16.gexf	50	2450	10	4	[49, 49, 49, 49]	482	304	304	inf	197	0	0	0	0	[482, 304]	Complete	50	20	16	gexf
161	cut	cap	first	Complete.50.1.17.gexf	50	2450	2	1	[49, 49, 49, 49]	23.3752909848517	21.4788904842168	21.478890484216787	inf	137	0	0	0	0	[23.375290984851716, 21.478890484216787]	Complete	50	1	17	gexf
162	cut	cap	first	Complete.50.1.17.gexf	50	2450	3	2	[49, 49, 49, 49]	23.3752909848517	20.5597249279493	20.55972492794932	inf	159	0	0	0	0	[23.375290984851716, 20.55972492794932]	Complete	50	1	17	gexf
163	cut	cap	first	Complete.50.1.17.gexf	50	2450	5	3	[49, 49, 49, 49]	23.3752909848517	18.7783993985215	18.77839939852148	inf	137	0	0	0	0	[23.375290984851716, 18.77839939852148]	Complete	50	1	17	gexf
164	cut	cap	first	Complete.50.1.17.gexf	50	2450	10	4	[49, 49, 49, 49]	23.3752909848517	14.6217750649674	14.621775064967382	inf	194	0	0	0	0	[23.375290984851716, 14.621775064967382]	Complete	50	1	17	gexf
166	cut	cap	first	Complete.50.20.17.gexf	50	2450	2	1	[49, 49, 49, 49]	484	448	448	inf	160	0	0	0	0	[484, 448]	Complete	50	20	17	gexf
167	cut	cap	first	Complete.50.20.17.gexf	50	2450	3	2	[49, 49, 49, 49]	484	430	430	inf	193	0	0	0	0	[484, 430]	Complete	50	20	17	gexf
168	cut	cap	first	Complete.50.20.17.gexf	50	2450	5	3	[49, 49, 49, 49]	484	396	396	inf	194	0	0	0	0	[484, 396]	Complete	50	20	17	gexf
