path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5
131	Small.50.10.2.2.gexf	2	8	1	Small	50	10	2	2	gexf
132	Small.50.10.2.2.gexf	3	8	1	Small	50	10	2	2	gexf
133	Small.50.10.2.2.gexf	5	8	1	Small	50	10	2	2	gexf
136	Small.50.10.5.2.gexf	2	9	1	Small	50	10	5	2	gexf
137	Small.50.10.5.2.gexf	3	9	1	Small	50	10	5	2	gexf
138	Small.50.10.5.2.gexf	5	9	1	Small	50	10	5	2	gexf
141	Small.50.24.2.2.gexf	2	23	1	Small	50	24	2	2	gexf
142	Small.50.24.2.2.gexf	3	23	1	Small	50	24	2	2	gexf
143	Small.50.24.2.2.gexf	5	23	1	Small	50	24	2	2	gexf
144	Small.50.24.2.2.gexf	10	23	1	Small	50	24	2	2	gexf
146	Small.50.24.5.2.gexf	2	24	1	Small	50	24	5	2	gexf
147	Small.50.24.5.2.gexf	3	24	1	Small	50	24	5	2	gexf
148	Small.50.24.5.2.gexf	5	24	1	Small	50	24	5	2	gexf
149	Small.50.24.5.2.gexf	10	24	1	Small	50	24	5	2	gexf
151	Small.100.6.2.2.gexf	2	5	1	Small	100	6	2	2	gexf
152	Small.100.6.2.2.gexf	3	5	1	Small	100	6	2	2	gexf
156	Small.100.6.5.2.gexf	2	5	1	Small	100	6	5	2	gexf
157	Small.100.6.5.2.gexf	3	5	1	Small	100	6	5	2	gexf
161	Small.100.10.2.2.gexf	2	10	1	Small	100	10	2	2	gexf
162	Small.100.10.2.2.gexf	3	10	1	Small	100	10	2	2	gexf
163	Small.100.10.2.2.gexf	5	10	1	Small	100	10	2	2	gexf
166	Small.100.10.5.2.gexf	2	6	1	Small	100	10	5	2	gexf
167	Small.100.10.5.2.gexf	3	6	1	Small	100	10	5	2	gexf
168	Small.100.10.5.2.gexf	5	6	1	Small	100	10	5	2	gexf
171	Small.100.24.2.2.gexf	2	24	1	Small	100	24	2	2	gexf
172	Small.100.24.2.2.gexf	3	24	1	Small	100	24	2	2	gexf
173	Small.100.24.2.2.gexf	5	24	1	Small	100	24	2	2	gexf
174	Small.100.24.2.2.gexf	10	24	1	Small	100	24	2	2	gexf
176	Small.100.24.5.2.gexf	2	21	1	Small	100	24	5	2	gexf
177	Small.100.24.5.2.gexf	3	21	1	Small	100	24	5	2	gexf
178	Small.100.24.5.2.gexf	5	21	1	Small	100	24	5	2	gexf
179	Small.100.24.5.2.gexf	10	21	1	Small	100	24	5	2	gexf
181	Small.500.6.2.2.gexf	2	4	1	Small	500	6	2	2	gexf
182	Small.500.6.2.2.gexf	3	4	1	Small	500	6	2	2	gexf
186	Small.500.6.5.2.gexf	2	5	1	Small	500	6	5	2	gexf
187	Small.500.6.5.2.gexf	3	5	1	Small	500	6	5	2	gexf
191	Small.500.10.2.2.gexf	2	8	1	Small	500	10	2	2	gexf
192	Small.500.10.2.2.gexf	3	8	1	Small	500	10	2	2	gexf
193	Small.500.10.2.2.gexf	5	8	1	Small	500	10	2	2	gexf
196	Small.500.10.5.2.gexf	2	8	1	Small	500	10	5	2	gexf
197	Small.500.10.5.2.gexf	3	8	1	Small	500	10	5	2	gexf
198	Small.500.10.5.2.gexf	5	8	1	Small	500	10	5	2	gexf
201	Small.500.24.2.2.gexf	2	25	1	Small	500	24	2	2	gexf
202	Small.500.24.2.2.gexf	3	25	1	Small	500	24	2	2	gexf
203	Small.500.24.2.2.gexf	5	25	1	Small	500	24	2	2	gexf
204	Small.500.24.2.2.gexf	10	25	2	Small	500	24	2	2	gexf
206	Small.500.24.5.2.gexf	2	26	1	Small	500	24	5	2	gexf
207	Small.500.24.5.2.gexf	3	26	1	Small	500	24	5	2	gexf
208	Small.500.24.5.2.gexf	5	26	1	Small	500	24	5	2	gexf
209	Small.500.24.5.2.gexf	10	26	1	Small	500	24	5	2	gexf
211	Small.1000.6.2.2.gexf	2	7	1	Small	1000	6	2	2	gexf
212	Small.1000.6.2.2.gexf	3	7	1	Small	1000	6	2	2	gexf
213	Small.1000.6.2.2.gexf	5	7	1	Small	1000	6	2	2	gexf
216	Small.1000.6.5.2.gexf	2	3	1	Small	1000	6	5	2	gexf
221	Small.1000.10.2.2.gexf	2	8	1	Small	1000	10	2	2	gexf
222	Small.1000.10.2.2.gexf	3	8	1	Small	1000	10	2	2	gexf
223	Small.1000.10.2.2.gexf	5	8	1	Small	1000	10	2	2	gexf
226	Small.1000.10.5.2.gexf	2	13	1	Small	1000	10	5	2	gexf
227	Small.1000.10.5.2.gexf	3	13	1	Small	1000	10	5	2	gexf
228	Small.1000.10.5.2.gexf	5	13	1	Small	1000	10	5	2	gexf
229	Small.1000.10.5.2.gexf	10	13	1	Small	1000	10	5	2	gexf
231	Small.1000.24.2.2.gexf	2	22	1	Small	1000	24	2	2	gexf
232	Small.1000.24.2.2.gexf	3	22	1	Small	1000	24	2	2	gexf
233	Small.1000.24.2.2.gexf	5	22	1	Small	1000	24	2	2	gexf
234	Small.1000.24.2.2.gexf	10	22	1	Small	1000	24	2	2	gexf
236	Small.1000.24.5.2.gexf	2	23	1	Small	1000	24	5	2	gexf
237	Small.1000.24.5.2.gexf	3	23	1	Small	1000	24	5	2	gexf
238	Small.1000.24.5.2.gexf	5	23	1	Small	1000	24	5	2	gexf
239	Small.1000.24.5.2.gexf	10	23	1	Small	1000	24	5	2	gexf
241	Small.50.6.2.3.gexf	2	7	1	Small	50	6	2	3	gexf
242	Small.50.6.2.3.gexf	3	7	1	Small	50	6	2	3	gexf
243	Small.50.6.2.3.gexf	5	7	1	Small	50	6	2	3	gexf
246	Small.50.6.5.3.gexf	2	5	1	Small	50	6	5	3	gexf
247	Small.50.6.5.3.gexf	3	5	1	Small	50	6	5	3	gexf
251	Small.50.10.2.3.gexf	2	10	1	Small	50	10	2	3	gexf
252	Small.50.10.2.3.gexf	3	10	1	Small	50	10	2	3	gexf
253	Small.50.10.2.3.gexf	5	10	1	Small	50	10	2	3	gexf
256	Small.50.10.5.3.gexf	2	9	1	Small	50	10	5	3	gexf
257	Small.50.10.5.3.gexf	3	9	1	Small	50	10	5	3	gexf
258	Small.50.10.5.3.gexf	5	9	1	Small	50	10	5	3	gexf
261	Small.50.24.2.3.gexf	2	21	1	Small	50	24	2	3	gexf
262	Small.50.24.2.3.gexf	3	21	1	Small	50	24	2	3	gexf
263	Small.50.24.2.3.gexf	5	21	1	Small	50	24	2	3	gexf
264	Small.50.24.2.3.gexf	10	21	1	Small	50	24	2	3	gexf
266	Small.50.24.5.3.gexf	2	22	1	Small	50	24	5	3	gexf
267	Small.50.24.5.3.gexf	3	22	1	Small	50	24	5	3	gexf
268	Small.50.24.5.3.gexf	5	22	1	Small	50	24	5	3	gexf
269	Small.50.24.5.3.gexf	10	22	1	Small	50	24	5	3	gexf
271	Small.100.6.2.3.gexf	2	5	1	Small	100	6	2	3	gexf
272	Small.100.6.2.3.gexf	3	5	1	Small	100	6	2	3	gexf
276	Small.100.6.5.3.gexf	2	5	1	Small	100	6	5	3	gexf
277	Small.100.6.5.3.gexf	3	5	1	Small	100	6	5	3	gexf
281	Small.100.10.2.3.gexf	2	9	1	Small	100	10	2	3	gexf
282	Small.100.10.2.3.gexf	3	9	1	Small	100	10	2	3	gexf
