path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5
3176	Small.100.24.5.27.gexf	2	25	1	Small	100	24	5	27	gexf
3177	Small.100.24.5.27.gexf	3	25	1	Small	100	24	5	27	gexf
3178	Small.100.24.5.27.gexf	5	25	1	Small	100	24	5	27	gexf
3179	Small.100.24.5.27.gexf	10	25	2	Small	100	24	5	27	gexf
3181	Small.500.6.2.27.gexf	2	5	1	Small	500	6	2	27	gexf
3182	Small.500.6.2.27.gexf	3	5	1	Small	500	6	2	27	gexf
3186	Small.500.6.5.27.gexf	2	5	1	Small	500	6	5	27	gexf
3187	Small.500.6.5.27.gexf	3	5	1	Small	500	6	5	27	gexf
3191	Small.500.10.2.27.gexf	2	8	1	Small	500	10	2	27	gexf
3192	Small.500.10.2.27.gexf	3	8	1	Small	500	10	2	27	gexf
3193	Small.500.10.2.27.gexf	5	8	1	Small	500	10	2	27	gexf
3196	Small.500.10.5.27.gexf	2	6	1	Small	500	10	5	27	gexf
3197	Small.500.10.5.27.gexf	3	6	1	Small	500	10	5	27	gexf
3198	Small.500.10.5.27.gexf	5	6	1	Small	500	10	5	27	gexf
3201	Small.500.24.2.27.gexf	2	22	1	Small	500	24	2	27	gexf
3202	Small.500.24.2.27.gexf	3	22	1	Small	500	24	2	27	gexf
3203	Small.500.24.2.27.gexf	5	22	1	Small	500	24	2	27	gexf
3204	Small.500.24.2.27.gexf	10	22	1	Small	500	24	2	27	gexf
3206	Small.500.24.5.27.gexf	2	19	1	Small	500	24	5	27	gexf
3207	Small.500.24.5.27.gexf	3	19	1	Small	500	24	5	27	gexf
3208	Small.500.24.5.27.gexf	5	19	1	Small	500	24	5	27	gexf
3209	Small.500.24.5.27.gexf	10	19	1	Small	500	24	5	27	gexf
3211	Small.1000.6.2.27.gexf	2	5	1	Small	1000	6	2	27	gexf
3212	Small.1000.6.2.27.gexf	3	5	1	Small	1000	6	2	27	gexf
3216	Small.1000.6.5.27.gexf	2	4	1	Small	1000	6	5	27	gexf
3217	Small.1000.6.5.27.gexf	3	4	1	Small	1000	6	5	27	gexf
3221	Small.1000.10.2.27.gexf	2	10	1	Small	1000	10	2	27	gexf
3222	Small.1000.10.2.27.gexf	3	10	1	Small	1000	10	2	27	gexf
3223	Small.1000.10.2.27.gexf	5	10	1	Small	1000	10	2	27	gexf
3226	Small.1000.10.5.27.gexf	2	10	1	Small	1000	10	5	27	gexf
3227	Small.1000.10.5.27.gexf	3	10	1	Small	1000	10	5	27	gexf
3228	Small.1000.10.5.27.gexf	5	10	1	Small	1000	10	5	27	gexf
3231	Small.1000.24.2.27.gexf	2	23	1	Small	1000	24	2	27	gexf
3232	Small.1000.24.2.27.gexf	3	23	1	Small	1000	24	2	27	gexf
3233	Small.1000.24.2.27.gexf	5	23	1	Small	1000	24	2	27	gexf
3234	Small.1000.24.2.27.gexf	10	23	1	Small	1000	24	2	27	gexf
3236	Small.1000.24.5.27.gexf	2	24	1	Small	1000	24	5	27	gexf
3237	Small.1000.24.5.27.gexf	3	24	1	Small	1000	24	5	27	gexf
3238	Small.1000.24.5.27.gexf	5	24	1	Small	1000	24	5	27	gexf
3239	Small.1000.24.5.27.gexf	10	24	1	Small	1000	24	5	27	gexf
3241	Small.50.6.2.28.gexf	2	7	1	Small	50	6	2	28	gexf
3242	Small.50.6.2.28.gexf	3	7	1	Small	50	6	2	28	gexf
3243	Small.50.6.2.28.gexf	5	7	1	Small	50	6	2	28	gexf
3246	Small.50.6.5.28.gexf	2	5	1	Small	50	6	5	28	gexf
3247	Small.50.6.5.28.gexf	3	5	1	Small	50	6	5	28	gexf
3251	Small.50.10.2.28.gexf	2	9	1	Small	50	10	2	28	gexf
3252	Small.50.10.2.28.gexf	3	9	1	Small	50	10	2	28	gexf
3253	Small.50.10.2.28.gexf	5	9	1	Small	50	10	2	28	gexf
3256	Small.50.10.5.28.gexf	2	9	1	Small	50	10	5	28	gexf
3257	Small.50.10.5.28.gexf	3	9	1	Small	50	10	5	28	gexf
3258	Small.50.10.5.28.gexf	5	9	1	Small	50	10	5	28	gexf
3261	Small.50.24.2.28.gexf	2	22	1	Small	50	24	2	28	gexf
3262	Small.50.24.2.28.gexf	3	22	1	Small	50	24	2	28	gexf
3263	Small.50.24.2.28.gexf	5	22	1	Small	50	24	2	28	gexf
3264	Small.50.24.2.28.gexf	10	22	1	Small	50	24	2	28	gexf
3266	Small.50.24.5.28.gexf	2	24	1	Small	50	24	5	28	gexf
3267	Small.50.24.5.28.gexf	3	24	1	Small	50	24	5	28	gexf
3268	Small.50.24.5.28.gexf	5	24	1	Small	50	24	5	28	gexf
3269	Small.50.24.5.28.gexf	10	24	1	Small	50	24	5	28	gexf
3271	Small.100.6.2.28.gexf	2	6	1	Small	100	6	2	28	gexf
3272	Small.100.6.2.28.gexf	3	6	1	Small	100	6	2	28	gexf
3273	Small.100.6.2.28.gexf	5	6	1	Small	100	6	2	28	gexf
3276	Small.100.6.5.28.gexf	2	8	1	Small	100	6	5	28	gexf
3277	Small.100.6.5.28.gexf	3	8	1	Small	100	6	5	28	gexf
3278	Small.100.6.5.28.gexf	5	8	1	Small	100	6	5	28	gexf
3281	Small.100.10.2.28.gexf	2	8	1	Small	100	10	2	28	gexf
3282	Small.100.10.2.28.gexf	3	8	1	Small	100	10	2	28	gexf
3283	Small.100.10.2.28.gexf	5	8	1	Small	100	10	2	28	gexf
3286	Small.100.10.5.28.gexf	2	6	1	Small	100	10	5	28	gexf
3287	Small.100.10.5.28.gexf	3	6	1	Small	100	10	5	28	gexf
3288	Small.100.10.5.28.gexf	5	6	1	Small	100	10	5	28	gexf
3291	Small.100.24.2.28.gexf	2	23	1	Small	100	24	2	28	gexf
3292	Small.100.24.2.28.gexf	3	23	1	Small	100	24	2	28	gexf
3293	Small.100.24.2.28.gexf	5	23	1	Small	100	24	2	28	gexf
3294	Small.100.24.2.28.gexf	10	23	1	Small	100	24	2	28	gexf
3296	Small.100.24.5.28.gexf	2	23	1	Small	100	24	5	28	gexf
3297	Small.100.24.5.28.gexf	3	23	1	Small	100	24	5	28	gexf
3298	Small.100.24.5.28.gexf	5	23	1	Small	100	24	5	28	gexf
3299	Small.100.24.5.28.gexf	10	23	1	Small	100	24	5	28	gexf
3301	Small.500.6.2.28.gexf	2	6	1	Small	500	6	2	28	gexf
3302	Small.500.6.2.28.gexf	3	6	1	Small	500	6	2	28	gexf
3303	Small.500.6.2.28.gexf	5	6	1	Small	500	6	2	28	gexf
3306	Small.500.6.5.28.gexf	2	6	1	Small	500	6	5	28	gexf
3307	Small.500.6.5.28.gexf	3	6	1	Small	500	6	5	28	gexf
3308	Small.500.6.5.28.gexf	5	6	1	Small	500	6	5	28	gexf
3311	Small.500.10.2.28.gexf	2	10	1	Small	500	10	2	28	gexf
3312	Small.500.10.2.28.gexf	3	10	1	Small	500	10	2	28	gexf
3313	Small.500.10.2.28.gexf	5	10	1	Small	500	10	2	28	gexf
3316	Small.500.10.5.28.gexf	2	8	1	Small	500	10	5	28	gexf
3317	Small.500.10.5.28.gexf	3	8	1	Small	500	10	5	28	gexf
3318	Small.500.10.5.28.gexf	5	8	1	Small	500	10	5	28	gexf
3321	Small.500.24.2.28.gexf	2	22	1	Small	500	24	2	28	gexf
3322	Small.500.24.2.28.gexf	3	22	1	Small	500	24	2	28	gexf
3323	Small.500.24.2.28.gexf	5	22	1	Small	500	24	2	28	gexf
3324	Small.500.24.2.28.gexf	10	22	1	Small	500	24	2	28	gexf
3326	Small.500.24.5.28.gexf	2	19	1	Small	500	24	5	28	gexf
3327	Small.500.24.5.28.gexf	3	19	1	Small	500	24	5	28	gexf
3328	Small.500.24.5.28.gexf	5	19	1	Small	500	24	5	28	gexf
3329	Small.500.24.5.28.gexf	10	19	1	Small	500	24	5	28	gexf
3331	Small.1000.6.2.28.gexf	2	4	1	Small	1000	6	2	28	gexf
3332	Small.1000.6.2.28.gexf	3	4	1	Small	1000	6	2	28	gexf
3336	Small.1000.6.5.28.gexf	2	4	1	Small	1000	6	5	28	gexf
3337	Small.1000.6.5.28.gexf	3	4	1	Small	1000	6	5	28	gexf
3341	Small.1000.10.2.28.gexf	2	8	1	Small	1000	10	2	28	gexf
3342	Small.1000.10.2.28.gexf	3	8	1	Small	1000	10	2	28	gexf
3343	Small.1000.10.2.28.gexf	5	8	1	Small	1000	10	2	28	gexf
3346	Small.1000.10.5.28.gexf	2	11	1	Small	1000	10	5	28	gexf
3347	Small.1000.10.5.28.gexf	3	11	1	Small	1000	10	5	28	gexf
3348	Small.1000.10.5.28.gexf	5	11	1	Small	1000	10	5	28	gexf
3349	Small.1000.10.5.28.gexf	10	11	1	Small	1000	10	5	28	gexf
3351	Small.1000.24.2.28.gexf	2	23	1	Small	1000	24	2	28	gexf
3352	Small.1000.24.2.28.gexf	3	23	1	Small	1000	24	2	28	gexf
3353	Small.1000.24.2.28.gexf	5	23	1	Small	1000	24	2	28	gexf
3354	Small.1000.24.2.28.gexf	10	23	1	Small	1000	24	2	28	gexf
3356	Small.1000.24.5.28.gexf	2	19	1	Small	1000	24	5	28	gexf
3357	Small.1000.24.5.28.gexf	3	19	1	Small	1000	24	5	28	gexf
3358	Small.1000.24.5.28.gexf	5	19	1	Small	1000	24	5	28	gexf
3359	Small.1000.24.5.28.gexf	10	19	1	Small	1000	24	5	28	gexf
3361	Small.50.6.2.29.gexf	2	5	1	Small	50	6	2	29	gexf
3362	Small.50.6.2.29.gexf	3	5	1	Small	50	6	2	29	gexf
3366	Small.50.6.5.29.gexf	2	5	1	Small	50	6	5	29	gexf
3367	Small.50.6.5.29.gexf	3	5	1	Small	50	6	5	29	gexf
3371	Small.50.10.2.29.gexf	2	10	1	Small	50	10	2	29	gexf
3372	Small.50.10.2.29.gexf	3	10	1	Small	50	10	2	29	gexf
3373	Small.50.10.2.29.gexf	5	10	1	Small	50	10	2	29	gexf
3376	Small.50.10.5.29.gexf	2	9	1	Small	50	10	5	29	gexf
3377	Small.50.10.5.29.gexf	3	9	1	Small	50	10	5	29	gexf
3378	Small.50.10.5.29.gexf	5	9	1	Small	50	10	5	29	gexf
3381	Small.50.24.2.29.gexf	2	24	1	Small	50	24	2	29	gexf
3382	Small.50.24.2.29.gexf	3	24	1	Small	50	24	2	29	gexf
3383	Small.50.24.2.29.gexf	5	24	1	Small	50	24	2	29	gexf
3384	Small.50.24.2.29.gexf	10	24	1	Small	50	24	2	29	gexf
3386	Small.50.24.5.29.gexf	2	24	1	Small	50	24	5	29	gexf
3387	Small.50.24.5.29.gexf	3	24	1	Small	50	24	5	29	gexf
3388	Small.50.24.5.29.gexf	5	24	1	Small	50	24	5	29	gexf
3389	Small.50.24.5.29.gexf	10	24	1	Small	50	24	5	29	gexf
3391	Small.100.6.2.29.gexf	2	5	1	Small	100	6	2	29	gexf
3392	Small.100.6.2.29.gexf	3	5	1	Small	100	6	2	29	gexf
3396	Small.100.6.5.29.gexf	2	4	1	Small	100	6	5	29	gexf
3397	Small.100.6.5.29.gexf	3	4	1	Small	100	6	5	29	gexf
3401	Small.100.10.2.29.gexf	2	9	1	Small	100	10	2	29	gexf
3402	Small.100.10.2.29.gexf	3	9	1	Small	100	10	2	29	gexf
3403	Small.100.10.2.29.gexf	5	9	1	Small	100	10	2	29	gexf
3406	Small.100.10.5.29.gexf	2	8	1	Small	100	10	5	29	gexf
3407	Small.100.10.5.29.gexf	3	8	1	Small	100	10	5	29	gexf
3408	Small.100.10.5.29.gexf	5	8	1	Small	100	10	5	29	gexf
3411	Small.100.24.2.29.gexf	2	22	1	Small	100	24	2	29	gexf
3412	Small.100.24.2.29.gexf	3	22	1	Small	100	24	2	29	gexf
3413	Small.100.24.2.29.gexf	5	22	1	Small	100	24	2	29	gexf
3414	Small.100.24.2.29.gexf	10	22	1	Small	100	24	2	29	gexf
3416	Small.100.24.5.29.gexf	2	28	1	Small	100	24	5	29	gexf
3417	Small.100.24.5.29.gexf	3	28	1	Small	100	24	5	29	gexf
3418	Small.100.24.5.29.gexf	5	28	1	Small	100	24	5	29	gexf
3419	Small.100.24.5.29.gexf	10	28	1	Small	100	24	5	29	gexf
3421	Small.500.6.2.29.gexf	2	7	1	Small	500	6	2	29	gexf
3422	Small.500.6.2.29.gexf	3	7	1	Small	500	6	2	29	gexf
3423	Small.500.6.2.29.gexf	5	7	1	Small	500	6	2	29	gexf
3426	Small.500.6.5.29.gexf	2	6	1	Small	500	6	5	29	gexf
3427	Small.500.6.5.29.gexf	3	6	1	Small	500	6	5	29	gexf
3428	Small.500.6.5.29.gexf	5	6	1	Small	500	6	5	29	gexf
3431	Small.500.10.2.29.gexf	2	8	1	Small	500	10	2	29	gexf
3432	Small.500.10.2.29.gexf	3	8	1	Small	500	10	2	29	gexf
3433	Small.500.10.2.29.gexf	5	8	1	Small	500	10	2	29	gexf
3436	Small.500.10.5.29.gexf	2	7	1	Small	500	10	5	29	gexf
3437	Small.500.10.5.29.gexf	3	7	1	Small	500	10	5	29	gexf
3438	Small.500.10.5.29.gexf	5	7	1	Small	500	10	5	29	gexf
3441	Small.500.24.2.29.gexf	2	22	1	Small	500	24	2	29	gexf
3442	Small.500.24.2.29.gexf	3	22	1	Small	500	24	2	29	gexf
3443	Small.500.24.2.29.gexf	5	22	1	Small	500	24	2	29	gexf
3444	Small.500.24.2.29.gexf	10	22	1	Small	500	24	2	29	gexf
3446	Small.500.24.5.29.gexf	2	21	1	Small	500	24	5	29	gexf
3447	Small.500.24.5.29.gexf	3	21	1	Small	500	24	5	29	gexf
3448	Small.500.24.5.29.gexf	5	21	1	Small	500	24	5	29	gexf
3449	Small.500.24.5.29.gexf	10	21	1	Small	500	24	5	29	gexf
3451	Small.1000.6.2.29.gexf	2	6	1	Small	1000	6	2	29	gexf
3452	Small.1000.6.2.29.gexf	3	6	1	Small	1000	6	2	29	gexf
3453	Small.1000.6.2.29.gexf	5	6	1	Small	1000	6	2	29	gexf
3456	Small.1000.6.5.29.gexf	2	4	1	Small	1000	6	5	29	gexf
3457	Small.1000.6.5.29.gexf	3	4	1	Small	1000	6	5	29	gexf
3461	Small.1000.10.2.29.gexf	2	9	1	Small	1000	10	2	29	gexf
3462	Small.1000.10.2.29.gexf	3	9	1	Small	1000	10	2	29	gexf
3463	Small.1000.10.2.29.gexf	5	9	1	Small	1000	10	2	29	gexf
3466	Small.1000.10.5.29.gexf	2	6	1	Small	1000	10	5	29	gexf
3467	Small.1000.10.5.29.gexf	3	6	1	Small	1000	10	5	29	gexf
3468	Small.1000.10.5.29.gexf	5	6	1	Small	1000	10	5	29	gexf
3471	Small.1000.24.2.29.gexf	2	24	1	Small	1000	24	2	29	gexf
3472	Small.1000.24.2.29.gexf	3	24	1	Small	1000	24	2	29	gexf
3473	Small.1000.24.2.29.gexf	5	24	1	Small	1000	24	2	29	gexf
3474	Small.1000.24.2.29.gexf	10	24	1	Small	1000	24	2	29	gexf
3476	Small.1000.24.5.29.gexf	2	21	1	Small	1000	24	5	29	gexf
3477	Small.1000.24.5.29.gexf	3	21	1	Small	1000	24	5	29	gexf
3478	Small.1000.24.5.29.gexf	5	21	1	Small	1000	24	5	29	gexf
3479	Small.1000.24.5.29.gexf	10	21	1	Small	1000	24	5	29	gexf
3481	Small.50.6.2.30.gexf	2	6	1	Small	50	6	2	30	gexf
3482	Small.50.6.2.30.gexf	3	6	1	Small	50	6	2	30	gexf
3483	Small.50.6.2.30.gexf	5	6	1	Small	50	6	2	30	gexf
3486	Small.50.6.5.30.gexf	2	5	1	Small	50	6	5	30	gexf
3487	Small.50.6.5.30.gexf	3	5	1	Small	50	6	5	30	gexf
3491	Small.50.10.2.30.gexf	2	9	1	Small	50	10	2	30	gexf
3492	Small.50.10.2.30.gexf	3	9	1	Small	50	10	2	30	gexf
3493	Small.50.10.2.30.gexf	5	9	1	Small	50	10	2	30	gexf
3496	Small.50.10.5.30.gexf	2	8	1	Small	50	10	5	30	gexf
3497	Small.50.10.5.30.gexf	3	8	1	Small	50	10	5	30	gexf
3498	Small.50.10.5.30.gexf	5	8	1	Small	50	10	5	30	gexf
3501	Small.50.24.2.30.gexf	2	23	1	Small	50	24	2	30	gexf
3502	Small.50.24.2.30.gexf	3	23	1	Small	50	24	2	30	gexf
3503	Small.50.24.2.30.gexf	5	23	1	Small	50	24	2	30	gexf
3504	Small.50.24.2.30.gexf	10	23	1	Small	50	24	2	30	gexf
3506	Small.50.24.5.30.gexf	2	25	1	Small	50	24	5	30	gexf
3507	Small.50.24.5.30.gexf	3	25	1	Small	50	24	5	30	gexf
3508	Small.50.24.5.30.gexf	5	25	1	Small	50	24	5	30	gexf
3509	Small.50.24.5.30.gexf	10	25	2	Small	50	24	5	30	gexf
3511	Small.100.6.2.30.gexf	2	6	1	Small	100	6	2	30	gexf
3512	Small.100.6.2.30.gexf	3	6	1	Small	100	6	2	30	gexf
3513	Small.100.6.2.30.gexf	5	6	1	Small	100	6	2	30	gexf
3516	Small.100.6.5.30.gexf	2	7	1	Small	100	6	5	30	gexf
3517	Small.100.6.5.30.gexf	3	7	1	Small	100	6	5	30	gexf
3518	Small.100.6.5.30.gexf	5	7	1	Small	100	6	5	30	gexf
3521	Small.100.10.2.30.gexf	2	7	1	Small	100	10	2	30	gexf
3522	Small.100.10.2.30.gexf	3	7	1	Small	100	10	2	30	gexf
3523	Small.100.10.2.30.gexf	5	7	1	Small	100	10	2	30	gexf
3526	Small.100.10.5.30.gexf	2	6	1	Small	100	10	5	30	gexf
3527	Small.100.10.5.30.gexf	3	6	1	Small	100	10	5	30	gexf
3528	Small.100.10.5.30.gexf	5	6	1	Small	100	10	5	30	gexf
3531	Small.100.24.2.30.gexf	2	22	1	Small	100	24	2	30	gexf
3532	Small.100.24.2.30.gexf	3	22	1	Small	100	24	2	30	gexf
3533	Small.100.24.2.30.gexf	5	22	1	Small	100	24	2	30	gexf
3534	Small.100.24.2.30.gexf	10	22	1	Small	100	24	2	30	gexf
3536	Small.100.24.5.30.gexf	2	22	1	Small	100	24	5	30	gexf
3537	Small.100.24.5.30.gexf	3	22	1	Small	100	24	5	30	gexf
3538	Small.100.24.5.30.gexf	5	22	1	Small	100	24	5	30	gexf
3539	Small.100.24.5.30.gexf	10	22	1	Small	100	24	5	30	gexf
3541	Small.500.6.2.30.gexf	2	5	1	Small	500	6	2	30	gexf
3542	Small.500.6.2.30.gexf	3	5	1	Small	500	6	2	30	gexf
3546	Small.500.6.5.30.gexf	2	5	1	Small	500	6	5	30	gexf
3547	Small.500.6.5.30.gexf	3	5	1	Small	500	6	5	30	gexf
3551	Small.500.10.2.30.gexf	2	9	1	Small	500	10	2	30	gexf
3552	Small.500.10.2.30.gexf	3	9	1	Small	500	10	2	30	gexf
3553	Small.500.10.2.30.gexf	5	9	1	Small	500	10	2	30	gexf
3556	Small.500.10.5.30.gexf	2	7	1	Small	500	10	5	30	gexf
3557	Small.500.10.5.30.gexf	3	7	1	Small	500	10	5	30	gexf
3558	Small.500.10.5.30.gexf	5	7	1	Small	500	10	5	30	gexf
3561	Small.500.24.2.30.gexf	2	23	1	Small	500	24	2	30	gexf
3562	Small.500.24.2.30.gexf	3	23	1	Small	500	24	2	30	gexf
3563	Small.500.24.2.30.gexf	5	23	1	Small	500	24	2	30	gexf
3564	Small.500.24.2.30.gexf	10	23	1	Small	500	24	2	30	gexf
3566	Small.500.24.5.30.gexf	2	23	1	Small	500	24	5	30	gexf
3567	Small.500.24.5.30.gexf	3	23	1	Small	500	24	5	30	gexf
3568	Small.500.24.5.30.gexf	5	23	1	Small	500	24	5	30	gexf
3569	Small.500.24.5.30.gexf	10	23	1	Small	500	24	5	30	gexf
3571	Small.1000.6.2.30.gexf	2	6	1	Small	1000	6	2	30	gexf
3572	Small.1000.6.2.30.gexf	3	6	1	Small	1000	6	2	30	gexf
3573	Small.1000.6.2.30.gexf	5	6	1	Small	1000	6	2	30	gexf
3576	Small.1000.6.5.30.gexf	2	5	1	Small	1000	6	5	30	gexf
3577	Small.1000.6.5.30.gexf	3	5	1	Small	1000	6	5	30	gexf
3581	Small.1000.10.2.30.gexf	2	10	1	Small	1000	10	2	30	gexf
3582	Small.1000.10.2.30.gexf	3	10	1	Small	1000	10	2	30	gexf
3583	Small.1000.10.2.30.gexf	5	10	1	Small	1000	10	2	30	gexf
3586	Small.1000.10.5.30.gexf	2	11	1	Small	1000	10	5	30	gexf
3587	Small.1000.10.5.30.gexf	3	11	1	Small	1000	10	5	30	gexf
3588	Small.1000.10.5.30.gexf	5	11	1	Small	1000	10	5	30	gexf
3589	Small.1000.10.5.30.gexf	10	11	1	Small	1000	10	5	30	gexf
3591	Small.1000.24.2.30.gexf	2	23	1	Small	1000	24	2	30	gexf
3592	Small.1000.24.2.30.gexf	3	23	1	Small	1000	24	2	30	gexf
3593	Small.1000.24.2.30.gexf	5	23	1	Small	1000	24	2	30	gexf
3594	Small.1000.24.2.30.gexf	10	23	1	Small	1000	24	2	30	gexf
3596	Small.1000.24.5.30.gexf	2	23	1	Small	1000	24	5	30	gexf
3597	Small.1000.24.5.30.gexf	3	23	1	Small	1000	24	5	30	gexf
3598	Small.1000.24.5.30.gexf	5	23	1	Small	1000	24	5	30	gexf
3599	Small.1000.24.5.30.gexf	10	23	1	Small	1000	24	5	30	gexf
3601	Small.50.6.2.31.gexf	2	6	1	Small	50	6	2	31	gexf
3602	Small.50.6.2.31.gexf	3	6	1	Small	50	6	2	31	gexf
3603	Small.50.6.2.31.gexf	5	6	1	Small	50	6	2	31	gexf
3606	Small.50.6.5.31.gexf	2	4	1	Small	50	6	5	31	gexf
3607	Small.50.6.5.31.gexf	3	4	1	Small	50	6	5	31	gexf
3611	Small.50.10.2.31.gexf	2	9	1	Small	50	10	2	31	gexf
3612	Small.50.10.2.31.gexf	3	9	1	Small	50	10	2	31	gexf
3613	Small.50.10.2.31.gexf	5	9	1	Small	50	10	2	31	gexf
3616	Small.50.10.5.31.gexf	2	11	1	Small	50	10	5	31	gexf
3617	Small.50.10.5.31.gexf	3	11	1	Small	50	10	5	31	gexf
3618	Small.50.10.5.31.gexf	5	11	1	Small	50	10	5	31	gexf
3619	Small.50.10.5.31.gexf	10	11	1	Small	50	10	5	31	gexf
3621	Small.50.24.2.31.gexf	2	23	1	Small	50	24	2	31	gexf
3622	Small.50.24.2.31.gexf	3	23	1	Small	50	24	2	31	gexf
3623	Small.50.24.2.31.gexf	5	23	1	Small	50	24	2	31	gexf
3624	Small.50.24.2.31.gexf	10	23	1	Small	50	24	2	31	gexf
3626	Small.50.24.5.31.gexf	2	25	1	Small	50	24	5	31	gexf
3627	Small.50.24.5.31.gexf	3	25	1	Small	50	24	5	31	gexf
3628	Small.50.24.5.31.gexf	5	25	1	Small	50	24	5	31	gexf
3629	Small.50.24.5.31.gexf	10	25	2	Small	50	24	5	31	gexf
3631	Small.100.6.2.31.gexf	2	5	1	Small	100	6	2	31	gexf
3632	Small.100.6.2.31.gexf	3	5	1	Small	100	6	2	31	gexf
3636	Small.100.6.5.31.gexf	2	5	1	Small	100	6	5	31	gexf
3637	Small.100.6.5.31.gexf	3	5	1	Small	100	6	5	31	gexf
3641	Small.100.10.2.31.gexf	2	10	1	Small	100	10	2	31	gexf
3642	Small.100.10.2.31.gexf	3	10	1	Small	100	10	2	31	gexf
3643	Small.100.10.2.31.gexf	5	10	1	Small	100	10	2	31	gexf
3646	Small.100.10.5.31.gexf	2	6	1	Small	100	10	5	31	gexf
3647	Small.100.10.5.31.gexf	3	6	1	Small	100	10	5	31	gexf
3648	Small.100.10.5.31.gexf	5	6	1	Small	100	10	5	31	gexf
3651	Small.100.24.2.31.gexf	2	24	1	Small	100	24	2	31	gexf
3652	Small.100.24.2.31.gexf	3	24	1	Small	100	24	2	31	gexf
3653	Small.100.24.2.31.gexf	5	24	1	Small	100	24	2	31	gexf
3654	Small.100.24.2.31.gexf	10	24	1	Small	100	24	2	31	gexf
3656	Small.100.24.5.31.gexf	2	22	1	Small	100	24	5	31	gexf
3657	Small.100.24.5.31.gexf	3	22	1	Small	100	24	5	31	gexf
3658	Small.100.24.5.31.gexf	5	22	1	Small	100	24	5	31	gexf
3659	Small.100.24.5.31.gexf	10	22	1	Small	100	24	5	31	gexf
3661	Small.500.6.2.31.gexf	2	6	1	Small	500	6	2	31	gexf
3662	Small.500.6.2.31.gexf	3	6	1	Small	500	6	2	31	gexf
3663	Small.500.6.2.31.gexf	5	6	1	Small	500	6	2	31	gexf
3666	Small.500.6.5.31.gexf	2	4	1	Small	500	6	5	31	gexf
3667	Small.500.6.5.31.gexf	3	4	1	Small	500	6	5	31	gexf
3671	Small.500.10.2.31.gexf	2	10	1	Small	500	10	2	31	gexf
3672	Small.500.10.2.31.gexf	3	10	1	Small	500	10	2	31	gexf
3673	Small.500.10.2.31.gexf	5	10	1	Small	500	10	2	31	gexf
3676	Small.500.10.5.31.gexf	2	9	1	Small	500	10	5	31	gexf
3677	Small.500.10.5.31.gexf	3	9	1	Small	500	10	5	31	gexf
3678	Small.500.10.5.31.gexf	5	9	1	Small	500	10	5	31	gexf
3681	Small.500.24.2.31.gexf	2	22	1	Small	500	24	2	31	gexf
3682	Small.500.24.2.31.gexf	3	22	1	Small	500	24	2	31	gexf
3683	Small.500.24.2.31.gexf	5	22	1	Small	500	24	2	31	gexf
3684	Small.500.24.2.31.gexf	10	22	1	Small	500	24	2	31	gexf
3686	Small.500.24.5.31.gexf	2	26	1	Small	500	24	5	31	gexf
3687	Small.500.24.5.31.gexf	3	26	1	Small	500	24	5	31	gexf
3688	Small.500.24.5.31.gexf	5	26	1	Small	500	24	5	31	gexf
3689	Small.500.24.5.31.gexf	10	26	1	Small	500	24	5	31	gexf
3691	Small.1000.6.2.31.gexf	2	5	1	Small	1000	6	2	31	gexf
3692	Small.1000.6.2.31.gexf	3	5	1	Small	1000	6	2	31	gexf
3696	Small.1000.6.5.31.gexf	2	4	1	Small	1000	6	5	31	gexf
3697	Small.1000.6.5.31.gexf	3	4	1	Small	1000	6	5	31	gexf
3701	Small.1000.10.2.31.gexf	2	8	1	Small	1000	10	2	31	gexf
3702	Small.1000.10.2.31.gexf	3	8	1	Small	1000	10	2	31	gexf
3703	Small.1000.10.2.31.gexf	5	8	1	Small	1000	10	2	31	gexf
3706	Small.1000.10.5.31.gexf	2	8	1	Small	1000	10	5	31	gexf
3707	Small.1000.10.5.31.gexf	3	8	1	Small	1000	10	5	31	gexf
3708	Small.1000.10.5.31.gexf	5	8	1	Small	1000	10	5	31	gexf
3711	Small.1000.24.2.31.gexf	2	25	1	Small	1000	24	2	31	gexf
3712	Small.1000.24.2.31.gexf	3	25	1	Small	1000	24	2	31	gexf
3713	Small.1000.24.2.31.gexf	5	25	1	Small	1000	24	2	31	gexf
3714	Small.1000.24.2.31.gexf	10	25	2	Small	1000	24	2	31	gexf
3716	Small.1000.24.5.31.gexf	2	22	1	Small	1000	24	5	31	gexf
3717	Small.1000.24.5.31.gexf	3	22	1	Small	1000	24	5	31	gexf
3718	Small.1000.24.5.31.gexf	5	22	1	Small	1000	24	5	31	gexf
3719	Small.1000.24.5.31.gexf	10	22	1	Small	1000	24	5	31	gexf
3721	Small.50.6.2.32.gexf	2	6	1	Small	50	6	2	32	gexf
3722	Small.50.6.2.32.gexf	3	6	1	Small	50	6	2	32	gexf
3723	Small.50.6.2.32.gexf	5	6	1	Small	50	6	2	32	gexf
3726	Small.50.6.5.32.gexf	2	5	1	Small	50	6	5	32	gexf
3727	Small.50.6.5.32.gexf	3	5	1	Small	50	6	5	32	gexf
3731	Small.50.10.2.32.gexf	2	9	1	Small	50	10	2	32	gexf
3732	Small.50.10.2.32.gexf	3	9	1	Small	50	10	2	32	gexf
3733	Small.50.10.2.32.gexf	5	9	1	Small	50	10	2	32	gexf
