construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	max.c	ex	k.4	mem	constant	best
32	cut	cap	first	Complete.50.1.4.gexf	50	2450	3	2	[49, 49, 49, 49]	22.1031482036976	19.2983048517833	19.298304851783293	inf	119	0	0	0	0	[22.1031482036976, 19.298304851783293]	Complete	50	1	4	gexf	22.1031482036976	1.14534143664204	0.5
33	cut	cap	first	Complete.50.1.4.gexf	50	2450	5	3	[49, 49, 49, 49]	22.1031482036976	17.4646549696915	17.464654969691537	inf	162	0	0	0	0	[22.1031482036976, 17.464654969691537]	Complete	50	1	4	gexf	22.1031482036976	1.26559317902677	0.5
34	cut	cap	first	Complete.50.1.4.gexf	50	2450	10	4	[49, 49, 49, 49]	22.1031482036976	13.2802276445565	13.280227644556515	inf	555	0	0	0	0	[22.1031482036976, 13.280227644556515]	Complete	50	1	4	gexf	22.1031482036976	1.66436515964073	0.5
36	cut	cap	first	Complete.50.20.4.gexf	50	2450	2	1	[49, 49, 49, 49]	480	443	443	inf	248	0	0	0	0	[480, 443]	Complete	50	20	4	gexf	480	1.08352144469526	0.5
37	cut	cap	first	Complete.50.20.4.gexf	50	2450	3	2	[49, 49, 49, 49]	480	425	425	inf	339	0	0	0	0	[480, 425]	Complete	50	20	4	gexf	480	1.12941176470588	0.5
38	cut	cap	first	Complete.50.20.4.gexf	50	2450	5	3	[49, 49, 49, 49]	480	389	389	inf	169	0	0	0	0	[480, 389]	Complete	50	20	4	gexf	480	1.23393316195373	0.5
39	cut	cap	first	Complete.50.20.4.gexf	50	2450	10	4	[49, 49, 49, 49]	480	307	307	inf	311	0	0	0	0	[480, 307]	Complete	50	20	4	gexf	480	1.56351791530945	0.5
41	cut	cap	first	Complete.50.1.5.gexf	50	2450	2	1	[49, 49, 49, 49]	22.0053767851533	20.0172539960542	20.017253996054205	inf	338	0	0	0	0	[22.005376785153267, 20.017253996054205]	Complete	50	1	5	gexf	22.0053767851533	1.0993204557174	0.5
42	cut	cap	first	Complete.50.1.5.gexf	50	2450	3	2	[49, 49, 49, 49]	22.0053767851533	19.0445056681195	19.04450566811953	inf	162	0	0	0	0	[22.005376785153267, 19.04450566811953]	Complete	50	1	5	gexf	22.0053767851533	1.15547114577987	0.5
43	cut	cap	first	Complete.50.1.5.gexf	50	2450	5	3	[49, 49, 49, 49]	22.0053767851533	17.1629310017712	17.1629310017712	inf	248	0	0	0	0	[22.005376785153267, 17.1629310017712]	Complete	50	1	5	gexf	22.0053767851533	1.2821456185358	0
44	cut	cap	first	Complete.50.1.5.gexf	50	2450	10	4	[49, 49, 49, 49]	22.0053767851533	13.0692676444873	13.06926764448734	inf	566	0	0	0	0	[22.005376785153267, 13.06926764448734]	Complete	50	1	5	gexf	22.0053767851533	1.68374980019903	0.5
46	cut	cap	first	Complete.50.20.5.gexf	50	2450	2	1	[49, 49, 49, 49]	452	415	415	inf	192	0	0	0	0	[452, 415]	Complete	50	20	5	gexf	452	1.08915662650602	0.5
47	cut	cap	first	Complete.50.20.5.gexf	50	2450	3	2	[49, 49, 49, 49]	452	397	397	inf	221	0	0	0	0	[452, 397]	Complete	50	20	5	gexf	452	1.13853904282116	0.5
48	cut	cap	first	Complete.50.20.5.gexf	50	2450	5	3	[49, 49, 49, 49]	452	364	364	inf	160	0	0	0	0	[452, 364]	Complete	50	20	5	gexf	452	1.24175824175824	0.5
49	cut	cap	first	Complete.50.20.5.gexf	50	2450	10	4	[49, 49, 49, 49]	452	286	286	inf	289	0	0	0	0	[452, 286]	Complete	50	20	5	gexf	452	1.58041958041958	0.5
51	cut	cap	first	Complete.50.1.6.gexf	50	2450	2	1	[49, 49, 49, 49]	25.3981012407941	23.4176106133222	23.417610613322186	inf	195	0	0	0	0	[25.39810124079408, 23.417610613322186]	Complete	50	1	6	gexf	25.3981012407941	1.08457270300434	0.5
52	cut	cap	first	Complete.50.1.6.gexf	50	2450	3	2	[49, 49, 49, 49]	25.3981012407941	22.4370888046613	22.43708880466127	inf	119	0	0	0	0	[25.39810124079408, 22.43708880466127]	Complete	50	1	6	gexf	25.3981012407941	1.13196954658029	0.5
53	cut	cap	first	Complete.50.1.6.gexf	50	2450	5	3	[49, 49, 49, 49]	25.3981012407941	20.5013965474162	20.501396547416245	inf	542	0	0	0	0	[25.39810124079408, 20.501396547416245]	Complete	50	1	6	gexf	25.3981012407941	1.23884737227791	0.5
54	cut	cap	first	Complete.50.1.6.gexf	50	2450	10	4	[49, 49, 49, 49]	25.3981012407941	16.0055248564859	16.005524856485913	inf	198	0	0	0	0	[25.39810124079408, 16.005524856485913]	Complete	50	1	6	gexf	25.3981012407941	1.58683338837851	0.5
56	cut	cap	first	Complete.50.20.6.gexf	50	2450	2	1	[49, 49, 49, 49]	499	462	462	inf	195	0	0	0	0	[499, 462]	Complete	50	20	6	gexf	499	1.08008658008658	0.5
57	cut	cap	first	Complete.50.20.6.gexf	50	2450	3	2	[49, 49, 49, 49]	499	444	444	inf	159	0	0	0	0	[499, 444]	Complete	50	20	6	gexf	499	1.12387387387387	0.5
58	cut	cap	first	Complete.50.20.6.gexf	50	2450	5	3	[49, 49, 49, 49]	499	408	408	inf	187	0	0	0	0	[499, 408]	Complete	50	20	6	gexf	499	1.22303921568627	0.5
59	cut	cap	first	Complete.50.20.6.gexf	50	2450	10	4	[49, 49, 49, 49]	499	323	323	inf	302	0	0	0	0	[499, 323]	Complete	50	20	6	gexf	499	1.54489164086687	0.5
61	cut	cap	first	Complete.50.1.7.gexf	50	2450	2	1	[49, 49, 49, 49]	23.9381422321978	21.9429299580518	21.942929958051757	inf	155	0	0	0	0	[23.938142232197777, 21.942929958051757]	Complete	50	1	7	gexf	23.9381422321978	1.09092734096861	0.5
62	cut	cap	first	Complete.50.1.7.gexf	50	2450	3	2	[49, 49, 49, 49]	23.9381422321978	20.9635127809119	20.963512780911906	inf	245	0	0	0	0	[23.938142232197777, 20.963512780911906]	Complete	50	1	7	gexf	23.9381422321978	1.14189556313264	0.5
63	cut	cap	first	Complete.50.1.7.gexf	50	2450	5	3	[49, 49, 49, 49]	23.9381422321978	19.0415102237578	19.041510223757847	inf	192	0	0	0	0	[23.938142232197777, 19.041510223757847]	Complete	50	1	7	gexf	23.9381422321978	1.25715565366924	0.5
64	cut	cap	first	Complete.50.1.7.gexf	50	2450	10	4	[49, 49, 49, 49]	23.9381422321978	14.6773591344736	14.677359134473573	inf	336	0	0	0	0	[23.938142232197777, 14.677359134473573]	Complete	50	1	7	gexf	23.9381422321978	1.63095704158202	0
66	cut	cap	first	Complete.50.20.7.gexf	50	2450	2	1	[49, 49, 49, 49]	452	414	414	inf	217	0	0	0	0	[452, 414]	Complete	50	20	7	gexf	452	1.09178743961353	0.5
67	cut	cap	first	Complete.50.20.7.gexf	50	2450	3	2	[49, 49, 49, 49]	452	396	396	inf	194	0	0	0	0	[452, 396]	Complete	50	20	7	gexf	452	1.14141414141414	0.5
68	cut	cap	first	Complete.50.20.7.gexf	50	2450	5	3	[49, 49, 49, 49]	452	360	360	inf	153	0	0	0	0	[452, 360]	Complete	50	20	7	gexf	452	1.25555555555556	0.5
69	cut	cap	first	Complete.50.20.7.gexf	50	2450	10	4	[49, 49, 49, 49]	452	282	282	inf	252	0	0	0	0	[452, 282]	Complete	50	20	7	gexf	452	1.60283687943262	0.5
71	cut	cap	first	Complete.50.1.8.gexf	50	2450	2	1	[49, 49, 49, 49]	21.5106400752924	19.5899154238143	19.589915423814283	inf	160	0	0	0	0	[21.51064007529242, 19.589915423814283]	Complete	50	1	8	gexf	21.5106400752924	1.09804660254649	0.5
72	cut	cap	first	Complete.50.1.8.gexf	50	2450	3	2	[49, 49, 49, 49]	21.5106400752924	18.7344801236194	18.734480123619445	inf	549	0	0	0	0	[21.51064007529242, 18.734480123619445]	Complete	50	1	8	gexf	21.5106400752924	1.14818452037924	0
