construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	max.c	ex	k.4	mem	constant	best
524	cut	cap	first	Complete.100.1.3.gexf	100	9900	10	4	[99, 99, 99, 99]	48.4409491149289	38.9235604335489	38.923560433548936	inf	61	0	0	0	0	[48.440949114928905, 38.923560433548936]	Complete	100	1	3	gexf	48.4409491149289	1.24451485360976	0
525	cut	cap	first	Complete.100.1.3.gexf	100	9900	50	5	[99, 99, 99, 99]	48.4409491149289	12.2640021184834	12.264002118483427	inf	137	0	0	0	0	[48.440949114928905, 12.264002118483427]	Complete	100	1	3	gexf	48.3011360532101	3.93844811722709	0.5
526	cut	cap	first	Complete.100.20.3.gexf	100	9900	2	1	[99, 99, 99, 99]	972	934	934	inf	50	0	0	0	0	[972, 934]	Complete	100	20	3	gexf	972	1.0406852248394	0.5
527	cut	cap	first	Complete.100.20.3.gexf	100	9900	3	2	[99, 99, 99, 99]	972	915	915	inf	35	0	0	0	0	[972, 915]	Complete	100	20	3	gexf	972	1.06229508196721	0.5
528	cut	cap	first	Complete.100.20.3.gexf	100	9900	5	3	[99, 99, 99, 99]	972	877	877	inf	41	0	0	0	0	[972, 877]	Complete	100	20	3	gexf	972	1.10832383124287	0.5
529	cut	cap	first	Complete.100.20.3.gexf	100	9900	10	4	[99, 99, 99, 99]	972	787	787	inf	58	0	0	0	0	[972, 787]	Complete	100	20	3	gexf	972	1.23506988564168	0.5
530	cut	cap	first	Complete.100.20.3.gexf	100	9900	50	5	[99, 99, 99, 99]	972	257	257	inf	50	0	0	0	0	[972, 257]	Complete	100	20	3	gexf	972	3.78210116731517	0.5
531	cut	cap	first	Complete.100.1.4.gexf	100	9900	2	1	[99, 99, 99, 99]	47.6363440528146	45.6803745591049	45.68037455910487	inf	40	0	0	0	0	[47.63634405281463, 45.68037455910487]	Complete	100	1	4	gexf	47.6363440528146	1.04281859578842	0.5
532	cut	cap	first	Complete.100.1.4.gexf	100	9900	3	2	[99, 99, 99, 99]	47.6363440528146	44.7128563101774	44.71285631017737	inf	39	0	0	0	0	[47.63634405281463, 44.71285631017737]	Complete	100	1	4	gexf	47.6363440528146	1.06538360516172	0
533	cut	cap	first	Complete.100.1.4.gexf	100	9900	5	3	[99, 99, 99, 99]	47.6363440528146	42.8111302627547	42.81113026275467	inf	39	0	0	0	0	[47.63634405281463, 42.81113026275467]	Complete	100	1	4	gexf	47.6363440528146	1.11270932957026	0
534	cut	cap	first	Complete.100.1.4.gexf	100	9900	10	4	[99, 99, 99, 99]	47.6363440528146	38.2670389466953	38.267038946695315	inf	61	0	0	0	0	[47.63634405281463, 38.267038946695315]	Complete	100	1	4	gexf	47.6363440528146	1.2448400859855	0
535	cut	cap	first	Complete.100.1.4.gexf	100	9900	50	5	[99, 99, 99, 99]	47.6363440528146	11.2212671480195	11.221267148019539	inf	139	0	0	0	0	[47.63634405281463, 11.221267148019539]	Complete	100	1	4	gexf	47.4645139869671	4.22987113316737	0.5
536	cut	cap	first	Complete.100.20.4.gexf	100	9900	2	1	[99, 99, 99, 99]	937	899	899	inf	44	0	0	0	0	[937, 899]	Complete	100	20	4	gexf	937	1.04226918798665	0.5
537	cut	cap	first	Complete.100.20.4.gexf	100	9900	3	2	[99, 99, 99, 99]	937	880	880	inf	40	0	0	0	0	[937, 880]	Complete	100	20	4	gexf	937	1.06477272727273	0.5
538	cut	cap	first	Complete.100.20.4.gexf	100	9900	5	3	[99, 99, 99, 99]	937	842	842	inf	63	0	0	0	0	[937, 842]	Complete	100	20	4	gexf	937	1.11282660332542	0.5
539	cut	cap	first	Complete.100.20.4.gexf	100	9900	10	4	[99, 99, 99, 99]	937	751	751	inf	54	0	0	0	0	[937, 751]	Complete	100	20	4	gexf	937	1.24766977363515	0.5
540	cut	cap	first	Complete.100.20.4.gexf	100	9900	50	5	[99, 99, 99, 99]	937	216	216	inf	143	0	0	0	0	[937, 216]	Complete	100	20	4	gexf	932.733333333333	4.31820987654321	0.5
541	cut	cap	first	Complete.100.1.5.gexf	100	9900	2	1	[99, 99, 99, 99]	47.6437151963338	45.6526799631782	45.65267996317822	inf	34	0	0	0	0	[47.6437151963338, 45.65267996317822]	Complete	100	1	5	gexf	47.6437151963338	1.04361266928385	0.5
542	cut	cap	first	Complete.100.1.5.gexf	100	9900	3	2	[99, 99, 99, 99]	47.6437151963338	44.6680500771334	44.66805007713341	inf	30	0	0	0	0	[47.6437151963338, 44.66805007713341]	Complete	100	1	5	gexf	47.6437151963338	1.06661730507739	0.5
543	cut	cap	first	Complete.100.1.5.gexf	100	9900	5	3	[99, 99, 99, 99]	47.6437151963338	42.7267366206132	42.726736620613195	inf	84	0	0	0	0	[47.6437151963338, 42.726736620613195]	Complete	100	1	5	gexf	47.6437151963338	1.1150796659099	0.5
544	cut	cap	first	Complete.100.1.5.gexf	100	9900	10	4	[99, 99, 99, 99]	47.6437151963338	38.1017606652972	38.10176066529721	inf	48	0	0	0	0	[47.6437151963338, 38.10176066529721]	Complete	100	1	5	gexf	47.6437151963338	1.25043342786328	0.5
545	cut	cap	first	Complete.100.1.5.gexf	100	9900	50	5	[99, 99, 99, 99]	47.6437151963338	11.0305500460922	11.030550046092173	inf	88	0	0	0	0	[47.6437151963338, 11.030550046092173]	Complete	100	1	5	gexf	47.3127537489874	4.28924700502574	0.5
546	cut	cap	first	Complete.100.20.5.gexf	100	9900	2	1	[99, 99, 99, 99]	978	940	940	inf	49	0	0	0	0	[978, 940]	Complete	100	20	5	gexf	978	1.04042553191489	0.5
547	cut	cap	first	Complete.100.20.5.gexf	100	9900	3	2	[99, 99, 99, 99]	978	921	921	inf	40	0	0	0	0	[978, 921]	Complete	100	20	5	gexf	978	1.06188925081433	0.5
548	cut	cap	first	Complete.100.20.5.gexf	100	9900	5	3	[99, 99, 99, 99]	978	883	883	inf	40	0	0	0	0	[978, 883]	Complete	100	20	5	gexf	978	1.10758776896942	0.5
549	cut	cap	first	Complete.100.20.5.gexf	100	9900	10	4	[99, 99, 99, 99]	978	791	791	inf	43	0	0	0	0	[978, 791]	Complete	100	20	5	gexf	978	1.23640960809102	0.5
550	cut	cap	first	Complete.100.20.5.gexf	100	9900	50	5	[99, 99, 99, 99]	978	245	245	inf	113	0	0	0	0	[978, 245]	Complete	100	20	5	gexf	978	3.99183673469388	0.5
551	cut	cap	first	Complete.100.1.6.gexf	100	9900	2	1	[99, 99, 99, 99]	49.872713153695	47.9082187773647	47.90821877736474	inf	49	0	0	0	0	[49.87271315369495, 47.90821877736474]	Complete	100	1	6	gexf	49.872713153695	1.04100537290813	0
552	cut	cap	first	Complete.100.1.6.gexf	100	9900	3	2	[99, 99, 99, 99]	49.872713153695	46.9736446776946	46.97364467769464	inf	33	0	0	0	0	[49.87271315369495, 46.97364467769464]	Complete	100	1	6	gexf	49.872713153695	1.06171691585552	0
553	cut	cap	first	Complete.100.1.6.gexf	100	9900	5	3	[99, 99, 99, 99]	49.872713153695	45.1099146839348	45.10991468393479	inf	39	0	0	0	0	[49.87271315369495, 45.10991468393479]	Complete	100	1	6	gexf	49.872713153695	1.10558207664836	0.5
554	cut	cap	first	Complete.100.1.6.gexf	100	9900	10	4	[99, 99, 99, 99]	49.872713153695	40.5157004604059	40.51570046040585	inf	47	0	0	0	0	[49.87271315369495, 40.51570046040585]	Complete	100	1	6	gexf	49.872713153695	1.23094781990585	0
555	cut	cap	first	Complete.100.1.6.gexf	100	9900	50	5	[99, 99, 99, 99]	49.872713153695	12.5491823261079	12.54918232610785	inf	84	0	0	0	0	[49.87271315369495, 12.54918232610785]	Complete	100	1	6	gexf	49.8620045115965	3.97332696392987	0.5
556	cut	cap	first	Complete.100.20.6.gexf	100	9900	2	1	[99, 99, 99, 99]	1016	978	978	inf	25	0	0	0	0	[1016, 978]	Complete	100	20	6	gexf	1016	1.03885480572597	0.5
557	cut	cap	first	Complete.100.20.6.gexf	100	9900	3	2	[99, 99, 99, 99]	1016	959	959	inf	35	0	0	0	0	[1016, 959]	Complete	100	20	6	gexf	1016	1.05943691345151	0.5
558	cut	cap	first	Complete.100.20.6.gexf	100	9900	5	3	[99, 99, 99, 99]	1016	921	921	inf	49	0	0	0	0	[1016, 921]	Complete	100	20	6	gexf	1016	1.10314875135722	0.5
559	cut	cap	first	Complete.100.20.6.gexf	100	9900	10	4	[99, 99, 99, 99]	1016	829	829	inf	57	0	0	0	0	[1016, 829]	Complete	100	20	6	gexf	1016	1.22557297949337	0.5
560	cut	cap	first	Complete.100.20.6.gexf	100	9900	50	5	[99, 99, 99, 99]	1016	272	272	inf	144	0	0	0	0	[1016, 272]	Complete	100	20	6	gexf	1016	3.73529411764706	0
561	cut	cap	first	Complete.100.1.7.gexf	100	9900	2	1	[99, 99, 99, 99]	48.6671063581238	46.7090841182233	46.70908411822329	inf	87	0	0	0	0	[48.66710635812379, 46.70908411822329]	Complete	100	1	7	gexf	48.6671063581238	1.04191951687481	0.5
562	cut	cap	first	Complete.100.1.7.gexf	100	9900	3	2	[99, 99, 99, 99]	48.6671063581238	45.77206639815	45.772066398150045	inf	58	0	0	0	0	[48.66710635812379, 45.772066398150045]	Complete	100	1	7	gexf	48.6671063581238	1.06324905532539	0.5
563	cut	cap	first	Complete.100.1.7.gexf	100	9900	5	3	[99, 99, 99, 99]	48.6671063581238	43.9132271232703	43.9132271232703	inf	61	0	0	0	0	[48.66710635812379, 43.9132271232703]	Complete	100	1	7	gexf	48.6671063581238	1.10825620311413	0.5
564	cut	cap	first	Complete.100.1.7.gexf	100	9900	10	4	[99, 99, 99, 99]	48.6671063581238	39.4497458565606	39.44974585656063	inf	48	0	0	0	0	[48.66710635812379, 39.44974585656063]	Complete	100	1	7	gexf	48.6671063581238	1.23364815923219	0.5
565	cut	cap	first	Complete.100.1.7.gexf	100	9900	50	5	[99, 99, 99, 99]	48.6671063581238	11.4841875702509	11.484187570250906	inf	144	0	0	0	0	[48.66710635812379, 11.484187570250906]	Complete	100	1	7	gexf	48.6155773475386	4.23326221817156	0.5
566	cut	cap	first	Complete.100.20.7.gexf	100	9900	2	1	[99, 99, 99, 99]	954	916	916	inf	59	0	0	0	0	[954, 916]	Complete	100	20	7	gexf	954	1.04148471615721	0.5
567	cut	cap	first	Complete.100.20.7.gexf	100	9900	3	2	[99, 99, 99, 99]	954	897	897	inf	63	0	0	0	0	[954, 897]	Complete	100	20	7	gexf	954	1.06354515050167	0.5
568	cut	cap	first	Complete.100.20.7.gexf	100	9900	5	3	[99, 99, 99, 99]	954	859	859	inf	67	0	0	0	0	[954, 859]	Complete	100	20	7	gexf	954	1.11059371362049	0.5
569	cut	cap	first	Complete.100.20.7.gexf	100	9900	10	4	[99, 99, 99, 99]	954	766	766	inf	103	0	0	0	0	[954, 766]	Complete	100	20	7	gexf	954	1.24543080939948	0.5
570	cut	cap	first	Complete.100.20.7.gexf	100	9900	50	5	[99, 99, 99, 99]	954	224	224	inf	89	0	0	0	0	[954, 224]	Complete	100	20	7	gexf	951.209302325581	4.24647009966777	0.5
571	cut	cap	first	Complete.100.1.8.gexf	100	9900	2	1	[99, 99, 99, 99]	44.7139776209752	42.717174016562	42.717174016561984	inf	30	0	0	0	0	[44.71397762097517, 42.717174016561984]	Complete	100	1	8	gexf	44.7139776209752	1.04674474963253	0.5
572	cut	cap	first	Complete.100.1.8.gexf	100	9900	3	2	[99, 99, 99, 99]	44.7139776209752	41.7205077692401	41.72050776924009	inf	87	0	0	0	0	[44.71397762097517, 41.72050776924009]	Complete	100	1	8	gexf	44.7139776209752	1.07175056133766	0.5
573	cut	cap	first	Complete.100.1.8.gexf	100	9900	5	3	[99, 99, 99, 99]	44.7139776209752	39.7711297959185	39.77112979591852	inf	62	0	0	0	0	[44.71397762097517, 39.77112979591852]	Complete	100	1	8	gexf	44.7139776209752	1.12428230855951	0.5
574	cut	cap	first	Complete.100.1.8.gexf	100	9900	10	4	[99, 99, 99, 99]	44.7139776209752	35.2520343505068	35.25203435050682	inf	63	0	0	0	0	[44.71397762097517, 35.25203435050682]	Complete	100	1	8	gexf	44.7139776209752	1.26840843215995	0.5
575	cut	cap	first	Complete.100.1.8.gexf	100	9900	50	5	[99, 99, 99, 99]	44.7139776209752	9.91116015557261	9.911160155572613	inf	141	0	0	0	0	[44.71397762097517, 9.911160155572613]	Complete	100	1	8	gexf	43.8425501251927	4.42355379562119	0.5
576	cut	cap	first	Complete.100.20.8.gexf	100	9900	2	1	[99, 99, 99, 99]	913	875	875	inf	54	0	0	0	0	[913, 875]	Complete	100	20	8	gexf	913	1.04342857142857	0.5
577	cut	cap	first	Complete.100.20.8.gexf	100	9900	3	2	[99, 99, 99, 99]	913	856	856	inf	53	0	0	0	0	[913, 856]	Complete	100	20	8	gexf	913	1.06658878504673	0.5
578	cut	cap	first	Complete.100.20.8.gexf	100	9900	5	3	[99, 99, 99, 99]	913	819	819	inf	48	0	0	0	0	[913, 819]	Complete	100	20	8	gexf	913	1.11477411477411	0.5
579	cut	cap	first	Complete.100.20.8.gexf	100	9900	10	4	[99, 99, 99, 99]	913	732	732	inf	53	0	0	0	0	[913, 732]	Complete	100	20	8	gexf	913	1.24726775956284	0.5
580	cut	cap	first	Complete.100.20.8.gexf	100	9900	50	5	[99, 99, 99, 99]	913	212	212	inf	115	0	0	0	0	[913, 212]	Complete	100	20	8	gexf	907.568181818182	4.2809819897084	0.5
581	cut	cap	first	Complete.100.1.9.gexf	100	9900	2	1	[99, 99, 99, 99]	44.3517092334302	42.3614828985641	42.361482898564084	inf	48	0	0	0	0	[44.3517092334302, 42.361482898564084]	Complete	100	1	9	gexf	44.3517092334302	1.04698197982426	0.5
582	cut	cap	first	Complete.100.1.9.gexf	100	9900	3	2	[99, 99, 99, 99]	44.3517092334302	41.3684738168259	41.36847381682586	inf	41	0	0	0	0	[44.3517092334302, 41.36847381682586]	Complete	100	1	9	gexf	44.3517092334302	1.07211374124687	0.5
583	cut	cap	first	Complete.100.1.9.gexf	100	9900	5	3	[99, 99, 99, 99]	44.3517092334302	39.4773793324919	39.477379332491935	inf	63	0	0	0	0	[44.3517092334302, 39.477379332491935]	Complete	100	1	9	gexf	44.3517092334302	1.12347146602324	0.5
584	cut	cap	first	Complete.100.1.9.gexf	100	9900	10	4	[99, 99, 99, 99]	44.3517092334302	35.255268168845	35.25526816884501	inf	87	0	0	0	0	[44.3517092334302, 35.25526816884501]	Complete	100	1	9	gexf	44.3517092334302	1.25801650468294	0.5
585	cut	cap	first	Complete.100.1.9.gexf	100	9900	50	5	[99, 99, 99, 99]	44.3517092334302	9.75637113969551	9.75637113969551	inf	142	0	0	0	0	[44.3517092334302, 9.75637113969551]	Complete	100	1	9	gexf	43.7148738398021	4.48064892303456	0.5
586	cut	cap	first	Complete.100.20.9.gexf	100	9900	2	1	[99, 99, 99, 99]	1001	963	963	inf	56	0	0	0	0	[1001, 963]	Complete	100	20	9	gexf	1001	1.03946002076843	0.5
587	cut	cap	first	Complete.100.20.9.gexf	100	9900	3	2	[99, 99, 99, 99]	1001	944	944	inf	36	0	0	0	0	[1001, 944]	Complete	100	20	9	gexf	1001	1.0603813559322	0.5
588	cut	cap	first	Complete.100.20.9.gexf	100	9900	5	3	[99, 99, 99, 99]	1001	906	906	inf	53	0	0	0	0	[1001, 906]	Complete	100	20	9	gexf	1001	1.10485651214128	0.5
589	cut	cap	first	Complete.100.20.9.gexf	100	9900	10	4	[99, 99, 99, 99]	1001	813	813	inf	73	0	0	0	0	[1001, 813]	Complete	100	20	9	gexf	1001	1.23124231242312	0.5
590	cut	cap	first	Complete.100.20.9.gexf	100	9900	50	5	[99, 99, 99, 99]	1001	249	249	inf	74	0	0	0	0	[1001, 249]	Complete	100	20	9	gexf	1001	4.02008032128514	0.5
591	cut	cap	first	Complete.100.1.10.gexf	100	9900	2	1	[99, 99, 99, 99]	46.5682483206704	44.5948617642174	44.59486176421737	inf	25	0	0	0	0	[46.56824832067039, 44.59486176421737]	Complete	100	1	10	gexf	46.5682483206704	1.04425143342493	0.5
592	cut	cap	first	Complete.100.1.10.gexf	100	9900	3	2	[99, 99, 99, 99]	46.5682483206704	43.6444238827505	43.644423882750516	inf	34	0	0	0	0	[46.56824832067039, 43.644423882750516]	Complete	100	1	10	gexf	46.5682483206704	1.06699193568862	0.5
593	cut	cap	first	Complete.100.1.10.gexf	100	9900	5	3	[99, 99, 99, 99]	46.5682483206704	41.7545444095715	41.754544409571544	inf	40	0	0	0	0	[46.56824832067039, 41.754544409571544]	Complete	100	1	10	gexf	46.5682483206704	1.11528574863328	0.5
594	cut	cap	first	Complete.100.1.10.gexf	100	9900	10	4	[99, 99, 99, 99]	46.5682483206704	37.1558543419374	37.15585434193744	inf	85	0	0	0	0	[46.56824832067039, 37.15585434193744]	Complete	100	1	10	gexf	46.5682483206704	1.25332196353535	0.5
595	cut	cap	first	Complete.100.1.10.gexf	100	9900	50	5	[99, 99, 99, 99]	46.5682483206704	10.9790316618096	10.979031661809598	inf	50	0	0	0	0	[46.56824832067039, 10.979031661809598]	Complete	100	1	10	gexf	46.2063331069876	4.20859821979708	0.5
596	cut	cap	first	Complete.100.20.10.gexf	100	9900	2	1	[99, 99, 99, 99]	1038	1000	1000	inf	31	0	0	0	0	[1038, 1000]	Complete	100	20	10	gexf	1038	1.038	0.5
597	cut	cap	first	Complete.100.20.10.gexf	100	9900	3	2	[99, 99, 99, 99]	1038	981	981	inf	31	0	0	0	0	[1038, 981]	Complete	100	20	10	gexf	1038	1.05810397553517	0.5
598	cut	cap	first	Complete.100.20.10.gexf	100	9900	5	3	[99, 99, 99, 99]	1038	943	943	inf	40	0	0	0	0	[1038, 943]	Complete	100	20	10	gexf	1038	1.10074231177094	0.5
599	cut	cap	first	Complete.100.20.10.gexf	100	9900	10	4	[99, 99, 99, 99]	1038	849	849	inf	41	0	0	0	0	[1038, 849]	Complete	100	20	10	gexf	1038	1.2226148409894	0.5
600	cut	cap	first	Complete.100.20.10.gexf	100	9900	50	5	[99, 99, 99, 99]	1038	252	252	inf	75	0	0	0	0	[1038, 252]	Complete	100	20	10	gexf	1038	4.11904761904762	0.5
601	cut	cap	first	Complete.100.1.11.gexf	100	9900	2	1	[99, 99, 99, 99]	52.5796641277933	50.6026332042649	50.60263320426494	inf	49	0	0	0	0	[52.579664127793286, 50.60263320426494]	Complete	100	1	11	gexf	52.5796641277933	1.03906972420877	0.5
602	cut	cap	first	Complete.100.1.11.gexf	100	9900	3	2	[99, 99, 99, 99]	52.5796641277933	49.617333820498	49.61733382049796	inf	83	0	0	0	0	[52.579664127793286, 49.61733382049796]	Complete	100	1	11	gexf	52.5796641277933	1.05970353663121	0.5
603	cut	cap	first	Complete.100.1.11.gexf	100	9900	5	3	[99, 99, 99, 99]	52.5796641277933	47.6703289260088	47.670328926008814	inf	60	0	0	0	0	[52.579664127793286, 47.670328926008814]	Complete	100	1	11	gexf	52.5796641277933	1.10298513378006	0.5
604	cut	cap	first	Complete.100.1.11.gexf	100	9900	10	4	[99, 99, 99, 99]	52.5796641277933	42.9199749206776	42.91997492067761	inf	83	0	0	0	0	[52.579664127793286, 42.91997492067761]	Complete	100	1	11	gexf	52.5796641277933	1.22506278778047	0.5
605	cut	cap	first	Complete.100.1.11.gexf	100	9900	50	5	[99, 99, 99, 99]	52.5796641277933	12.9022577391274	12.902257739127407	inf	62	0	0	0	0	[52.579664127793286, 12.902257739127407]	Complete	100	1	11	gexf	52.5796641277933	4.07522971490021	0
606	cut	cap	first	Complete.100.20.11.gexf	100	9900	2	1	[99, 99, 99, 99]	870	833	833	inf	47	0	0	0	0	[870, 833]	Complete	100	20	11	gexf	870	1.04441776710684	0.5
607	cut	cap	first	Complete.100.20.11.gexf	100	9900	3	2	[99, 99, 99, 99]	870	815	815	inf	55	0	0	0	0	[870, 815]	Complete	100	20	11	gexf	870	1.06748466257669	0.5
608	cut	cap	first	Complete.100.20.11.gexf	100	9900	5	3	[99, 99, 99, 99]	870	781	781	inf	44	0	0	0	0	[870, 781]	Complete	100	20	11	gexf	870	1.11395646606914	0.5
609	cut	cap	first	Complete.100.20.11.gexf	100	9900	10	4	[99, 99, 99, 99]	870	697	697	inf	62	0	0	0	0	[870, 697]	Complete	100	20	11	gexf	870	1.24820659971306	0.5
610	cut	cap	first	Complete.100.20.11.gexf	100	9900	50	5	[99, 99, 99, 99]	870	212	212	inf	88	0	0	0	0	[870, 212]	Complete	100	20	11	gexf	865.785714285714	4.0838948787062	0.5
611	cut	cap	first	Complete.100.1.12.gexf	100	9900	2	1	[99, 99, 99, 99]	50.9980440195348	49.0081027347414	49.00810273474139	inf	62	0	0	0	0	[50.99804401953478, 49.00810273474139]	Complete	100	1	12	gexf	50.9980440195348	1.04060433221755	0.5
612	cut	cap	first	Complete.100.1.12.gexf	100	9900	3	2	[99, 99, 99, 99]	50.9980440195348	48.019722632241	48.01972263224097	inf	39	0	0	0	0	[50.99804401953478, 48.01972263224097]	Complete	100	1	12	gexf	50.9980440195348	1.06202287776844	0.5
613	cut	cap	first	Complete.100.1.12.gexf	100	9900	5	3	[99, 99, 99, 99]	50.9980440195348	46.0715313099632	46.07153130996321	inf	86	0	0	0	0	[50.99804401953478, 46.07153130996321]	Complete	100	1	12	gexf	50.9980440195348	1.10693182035619	0.5
614	cut	cap	first	Complete.100.1.12.gexf	100	9900	10	4	[99, 99, 99, 99]	50.9980440195348	41.4419511098502	41.44195110985015	inf	62	0	0	0	0	[50.99804401953478, 41.44195110985015]	Complete	100	1	12	gexf	50.9980440195348	1.23058984081986	0.5
615	cut	cap	first	Complete.100.1.12.gexf	100	9900	50	5	[99, 99, 99, 99]	50.9980440195348	13.1686541511223	13.168654151122324	inf	140	0	0	0	0	[50.99804401953478, 13.168654151122324]	Complete	100	1	12	gexf	50.9980440195348	3.87268459132465	0.5
616	cut	cap	first	Complete.100.20.12.gexf	100	9900	2	1	[99, 99, 99, 99]	936	898	898	inf	48	0	0	0	0	[936, 898]	Complete	100	20	12	gexf	936	1.04231625835189	0.5
617	cut	cap	first	Complete.100.20.12.gexf	100	9900	3	2	[99, 99, 99, 99]	936	879	879	inf	43	0	0	0	0	[936, 879]	Complete	100	20	12	gexf	936	1.06484641638225	0.5
618	cut	cap	first	Complete.100.20.12.gexf	100	9900	5	3	[99, 99, 99, 99]	936	843	843	inf	88	0	0	0	0	[936, 843]	Complete	100	20	12	gexf	936	1.11032028469751	0.5
619	cut	cap	first	Complete.100.20.12.gexf	100	9900	10	4	[99, 99, 99, 99]	936	753	753	inf	61	0	0	0	0	[936, 753]	Complete	100	20	12	gexf	936	1.24302788844622	0.5
620	cut	cap	first	Complete.100.20.12.gexf	100	9900	50	5	[99, 99, 99, 99]	936	229	229	inf	89	0	0	0	0	[936, 229]	Complete	100	20	12	gexf	933.9375	4.07832969432314	0.5
621	cut	cap	first	Complete.100.1.13.gexf	100	9900	2	1	[99, 99, 99, 99]	49.0838124211921	47.1040233065762	47.104023306576195	inf	48	0	0	0	0	[49.08381242119209, 47.104023306576195]	Complete	100	1	13	gexf	49.0838124211921	1.04203014892657	0
622	cut	cap	first	Complete.100.1.13.gexf	100	9900	3	2	[99, 99, 99, 99]	49.0838124211921	46.1227512516601	46.12275125166014	inf	62	0	0	0	0	[49.08381242119209, 46.12275125166014]	Complete	100	1	13	gexf	49.0838124211921	1.06419957806453	0
623	cut	cap	first	Complete.100.1.13.gexf	100	9900	5	3	[99, 99, 99, 99]	49.0838124211921	44.2358477849676	44.23584778496761	inf	84	0	0	0	0	[49.08381242119209, 44.23584778496761]	Complete	100	1	13	gexf	49.0838124211921	1.1095935735151	0
624	cut	cap	first	Complete.100.1.13.gexf	100	9900	10	4	[99, 99, 99, 99]	49.0838124211921	39.7368925135031	39.73689251350309	inf	29	0	0	0	0	[49.08381242119209, 39.73689251350309]	Complete	100	1	13	gexf	49.0838124211921	1.2352202025992	0.5
625	cut	cap	first	Complete.100.1.13.gexf	100	9900	50	5	[99, 99, 99, 99]	49.0838124211921	12.3063054645207	12.306305464520706	inf	86	0	0	0	0	[49.08381242119209, 12.306305464520706]	Complete	100	1	13	gexf	49.0054232048888	3.9821393468716	0.5
626	cut	cap	first	Complete.100.20.13.gexf	100	9900	2	1	[99, 99, 99, 99]	987	949	949	inf	48	0	0	0	0	[987, 949]	Complete	100	20	13	gexf	987	1.04004214963119	0.5
627	cut	cap	first	Complete.100.20.13.gexf	100	9900	3	2	[99, 99, 99, 99]	987	930	930	inf	40	0	0	0	0	[987, 930]	Complete	100	20	13	gexf	987	1.06129032258065	0.5
628	cut	cap	first	Complete.100.20.13.gexf	100	9900	5	3	[99, 99, 99, 99]	987	893	893	inf	49	0	0	0	0	[987, 893]	Complete	100	20	13	gexf	987	1.10526315789474	0.5
629	cut	cap	first	Complete.100.20.13.gexf	100	9900	10	4	[99, 99, 99, 99]	987	807	807	inf	42	0	0	0	0	[987, 807]	Complete	100	20	13	gexf	987	1.22304832713755	0.5
630	cut	cap	first	Complete.100.20.13.gexf	100	9900	50	5	[99, 99, 99, 99]	987	275	275	inf	87	0	0	0	0	[987, 275]	Complete	100	20	13	gexf	987	3.58909090909091	0.5
631	cut	cap	first	Complete.100.1.14.gexf	100	9900	2	1	[99, 99, 99, 99]	45.7729197643063	43.8502072076519	43.850207207651934	inf	33	0	0	0	0	[45.77291976430633, 43.850207207651934]	Complete	100	1	14	gexf	45.7729197643064	1.0438472855453	0.5
632	cut	cap	first	Complete.100.1.14.gexf	100	9900	3	2	[99, 99, 99, 99]	45.7729197643063	42.9085520560463	42.9085520560463	inf	23	0	0	0	0	[45.77291976430633, 42.9085520560463]	Complete	100	1	14	gexf	45.7729197643064	1.06675517049652	0.5
633	cut	cap	first	Complete.100.1.14.gexf	100	9900	5	3	[99, 99, 99, 99]	45.7729197643063	41.0550014744598	41.0550014744598	inf	48	0	0	0	0	[45.77291976430633, 41.0550014744598]	Complete	100	1	14	gexf	45.7729197643064	1.11491701669482	0.5
634	cut	cap	first	Complete.100.1.14.gexf	100	9900	10	4	[99, 99, 99, 99]	45.7729197643063	36.6332807578806	36.63328075788065	inf	84	0	0	0	0	[45.77291976430633, 36.63328075788065]	Complete	100	1	14	gexf	45.7729197643064	1.24949004886655	0.5
635	cut	cap	first	Complete.100.1.14.gexf	100	9900	50	5	[99, 99, 99, 99]	45.7729197643063	10.3087704812329	10.30877048123295	inf	86	0	0	0	0	[45.77291976430633, 10.30877048123295]	Complete	100	1	14	gexf	45.4851945101645	4.41228123110995	0.5
636	cut	cap	first	Complete.100.20.14.gexf	100	9900	2	1	[99, 99, 99, 99]	1029	991	991	inf	49	0	0	0	0	[1029, 991]	Complete	100	20	14	gexf	1029	1.03834510595358	0.5
637	cut	cap	first	Complete.100.20.14.gexf	100	9900	3	2	[99, 99, 99, 99]	1029	972	972	inf	41	0	0	0	0	[1029, 972]	Complete	100	20	14	gexf	1029	1.05864197530864	0.5
638	cut	cap	first	Complete.100.20.14.gexf	100	9900	5	3	[99, 99, 99, 99]	1029	935	935	inf	88	0	0	0	0	[1029, 935]	Complete	100	20	14	gexf	1029	1.10053475935829	0.5
639	cut	cap	first	Complete.100.20.14.gexf	100	9900	10	4	[99, 99, 99, 99]	1029	846	846	inf	50	0	0	0	0	[1029, 846]	Complete	100	20	14	gexf	1029	1.21631205673759	0.5
640	cut	cap	first	Complete.100.20.14.gexf	100	9900	50	5	[99, 99, 99, 99]	1029	261	261	inf	89	0	0	0	0	[1029, 261]	Complete	100	20	14	gexf	1029	3.94252873563218	0.5
