construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4
cut,cap,first,R-MAT.1000.5.1.gexf,1000,4704,2,1,"[70, 70, 70, 70]",87.0,78.0,78.0,inf,66,0,0,0,0,"[87.0, 78.0]",R-MAT,1000,5,1,gexf
cut,cap,first,R-MAT.1000.5.1.gexf,1000,4704,3,2,"[70, 70, 70, 70]",87.0,75.0,75.0,inf,83,0,0,0,0,"[87.0, 75.0]",R-MAT,1000,5,1,gexf
cut,cap,first,R-MAT.1000.5.1.gexf,1000,4704,5,3,"[70, 70, 70, 70]",87.0,71.0,71.0,inf,145,0,0,0,0,"[87.0, 71.0]",R-MAT,1000,5,1,gexf
cut,cap,first,R-MAT.1000.5.1.gexf,1000,4704,10,4,"[70, 70, 70, 70]",87.0,61.0,61.0,inf,121,0,0,0,0,"[87.0, 61.0]",R-MAT,1000,5,1,gexf
cut,cap,first,R-MAT.1000.5.1.gexf,1000,4704,50,5,"[70, 70, 70, 70]",87.0,20.0,20.0,inf,195,0,0,0,0,"[87.0, 20.0]",R-MAT,1000,5,1,gexf
cut,cap,first,R-MAT.1000.10.1.gexf,1000,9053,2,1,"[99, 99, 99, 99]",151.0,136.0,136.0,inf,25,0,0,0,0,"[151.0, 136.0]",R-MAT,1000,10,1,gexf
cut,cap,first,R-MAT.1000.10.1.gexf,1000,9053,3,2,"[99, 99, 99, 99]",151.0,130.0,130.0,inf,29,0,0,0,0,"[151.0, 130.0]",R-MAT,1000,10,1,gexf
cut,cap,first,R-MAT.1000.10.1.gexf,1000,9053,5,3,"[99, 99, 99, 99]",151.0,119.0,119.0,inf,30,0,0,0,0,"[151.0, 119.0]",R-MAT,1000,10,1,gexf
cut,cap,first,R-MAT.1000.10.1.gexf,1000,9053,10,4,"[99, 99, 99, 99]",151.0,104.0,104.0,inf,66,0,0,0,0,"[151.0, 104.0]",R-MAT,1000,10,1,gexf
cut,cap,first,R-MAT.1000.10.1.gexf,1000,9053,50,5,"[99, 99, 99, 99]",151.0,49.0,49.0,inf,107,0,0,0,0,"[151.0, 49.0]",R-MAT,1000,10,1,gexf
cut,cap,first,R-MAT.1000.25.1.gexf,1000,20737,2,1,"[198, 198, 198, 198]",343.0,318.0,318.0,inf,10,0,0,0,0,"[343.0, 318.0]",R-MAT,1000,25,1,gexf
cut,cap,first,R-MAT.1000.25.1.gexf,1000,20737,3,2,"[198, 198, 198, 198]",343.0,309.0,309.0,inf,17,0,0,0,0,"[343.0, 309.0]",R-MAT,1000,25,1,gexf
cut,cap,first,R-MAT.1000.25.1.gexf,1000,20737,5,3,"[198, 198, 198, 198]",343.0,297.0,297.0,inf,17,0,0,0,0,"[343.0, 297.0]",R-MAT,1000,25,1,gexf
cut,cap,first,R-MAT.1000.25.1.gexf,1000,20737,10,4,"[198, 198, 198, 198]",343.0,270.0,270.0,inf,21,0,0,0,0,"[343.0, 270.0]",R-MAT,1000,25,1,gexf
cut,cap,first,R-MAT.1000.25.1.gexf,1000,20737,50,5,"[198, 198, 198, 198]",343.0,165.0,165.0,inf,37,0,0,0,0,"[343.0, 165.0]",R-MAT,1000,25,1,gexf
cut,cap,first,R-MAT.1000.5.2.gexf,1000,4745,2,1,"[50, 50, 50, 50]",69.0,60.0,60.0,inf,66,0,0,0,0,"[69.0, 60.0]",R-MAT,1000,5,2,gexf
cut,cap,first,R-MAT.1000.5.2.gexf,1000,4745,3,2,"[50, 50, 50, 50]",69.0,57.0,57.0,inf,81,0,0,0,0,"[69.0, 57.0]",R-MAT,1000,5,2,gexf
cut,cap,first,R-MAT.1000.5.2.gexf,1000,4745,5,3,"[50, 50, 50, 50]",69.0,52.0,52.0,inf,113,0,0,0,0,"[69.0, 52.0]",R-MAT,1000,5,2,gexf
cut,cap,first,R-MAT.1000.5.2.gexf,1000,4745,10,4,"[50, 50, 50, 50]",69.0,42.0,42.0,inf,123,0,0,0,0,"[69.0, 42.0]",R-MAT,1000,5,2,gexf
cut,cap,first,R-MAT.1000.5.2.gexf,1000,F,50,5,"[50, 50, 50, 50]",F,F,F,F,F,F,F,F,F,F,R-MAT,1000,5,2,gexf
cut,cap,first,R-MAT.1000.10.2.gexf,1000,9088,2,1,"[103, 103, 103, 103]",147.0,128.0,128.0,inf,20,0,0,0,0,"[147.0, 128.0]",R-MAT,1000,10,2,gexf
cut,cap,first,R-MAT.1000.10.2.gexf,1000,9088,3,2,"[103, 103, 103, 103]",147.0,123.0,123.0,inf,29,0,0,0,0,"[147.0, 123.0]",R-MAT,1000,10,2,gexf
cut,cap,first,R-MAT.1000.10.2.gexf,1000,9088,5,3,"[103, 103, 103, 103]",147.0,114.0,114.0,inf,46,0,0,0,0,"[147.0, 114.0]",R-MAT,1000,10,2,gexf
cut,cap,first,R-MAT.1000.10.2.gexf,1000,9088,10,4,"[103, 103, 103, 103]",147.0,100.0,100.0,inf,64,0,0,0,0,"[147.0, 100.0]",R-MAT,1000,10,2,gexf
cut,cap,first,R-MAT.1000.10.2.gexf,1000,9088,50,5,"[103, 103, 103, 103]",147.0,53.0,53.0,inf,106,0,0,0,0,"[147.0, 53.0]",R-MAT,1000,10,2,gexf
cut,cap,first,R-MAT.1000.25.2.gexf,1000,20669,2,1,"[195, 195, 195, 195]",372.0,336.0,336.0,inf,6,0,0,0,0,"[372.0, 336.0]",R-MAT,1000,25,2,gexf
cut,cap,first,R-MAT.1000.25.2.gexf,1000,20669,3,2,"[195, 195, 195, 195]",372.0,322.0,322.0,inf,11,0,0,0,0,"[372.0, 322.0]",R-MAT,1000,25,2,gexf
cut,cap,first,R-MAT.1000.25.2.gexf,1000,20669,5,3,"[195, 195, 195, 195]",372.0,301.0,301.0,inf,11,0,0,0,0,"[372.0, 301.0]",R-MAT,1000,25,2,gexf
cut,cap,first,R-MAT.1000.25.2.gexf,1000,20669,10,4,"[195, 195, 195, 195]",372.0,265.0,265.0,inf,14,0,0,0,0,"[372.0, 265.0]",R-MAT,1000,25,2,gexf
cut,cap,first,R-MAT.1000.25.2.gexf,1000,20669,50,5,"[195, 195, 195, 195]",372.0,159.0,159.0,inf,37,0,0,0,0,"[372.0, 159.0]",R-MAT,1000,25,2,gexf
cut,cap,first,R-MAT.1000.5.3.gexf,1000,4733,2,1,"[57, 57, 57, 57]",79.0,66.0,66.0,inf,46,0,0,0,0,"[79.0, 66.0]",R-MAT,1000,5,3,gexf
cut,cap,first,R-MAT.1000.5.3.gexf,1000,4733,3,2,"[57, 57, 57, 57]",79.0,63.0,63.0,inf,82,0,0,0,0,"[79.0, 63.0]",R-MAT,1000,5,3,gexf
cut,cap,first,R-MAT.1000.5.3.gexf,1000,4733,5,3,"[57, 57, 57, 57]",79.0,59.0,59.0,inf,115,0,0,0,0,"[79.0, 59.0]",R-MAT,1000,5,3,gexf
cut,cap,first,R-MAT.1000.5.3.gexf,1000,4733,10,4,"[57, 57, 57, 57]",79.0,49.0,49.0,inf,115,0,0,0,0,"[79.0, 49.0]",R-MAT,1000,5,3,gexf
