path	k	max.multirute.flow	iterations	k.0	n	max.c	ex	k.4	small_1	constant1	uni_2	constant2	best.constant	best.alg
71	Complete.1000.1.2.gexf	2	492.524834570674	1	Complete	1000	1	2	gexf	490.525604425595	1.00407568968274	490.525604425595	1.00407568968274	1.00407568968274	NA
72	Complete.1000.1.2.gexf	3	492.524834570674	1	Complete	1000	1	2	gexf	489.526126050051	1.00612573744494	489.526126050052	1.00612573744494	1.00612573744494	NA
73	Complete.1000.1.2.gexf	5	492.524834570674	1	Complete	1000	1	2	gexf	487.528166246005	1.01024898389593	487.528166246006	1.01024898389593	1.01024898389593	NA
74	Complete.1000.1.2.gexf	10	492.524834570674	1	Complete	1000	1	2	gexf	482.550705814139	1.02066959728036	482.550705814139	1.02066959728037	1.02066959728037	2
75	Complete.1000.1.2.gexf	50	492.524834570674	2	Complete	1000	1	2	gexf	443.713199885175	1.11000717287232	443.713199885175	1.11000717287232	1.11000717287232	NA
76	Complete.1000.20.2.gexf	2	9860	1	Complete	1000	20	2	gexf	9822	1.00386886581144	9860	1	1.00386886581144	NA
77	Complete.1000.20.2.gexf	3	9860	1	Complete	1000	20	2	gexf	9803	1.00581454656738	9860	1	1.00581454656738	NA
78	Complete.1000.20.2.gexf	5	9860	1	Complete	1000	20	2	gexf	9765	1.00972862263185	9860	1	1.00972862263185	NA
79	Complete.1000.20.2.gexf	10	9860	1	Complete	1000	20	2	gexf	9670	1.01964839710445	9800	1.00612244897959	1.01964839710445	NA
80	Complete.1000.20.2.gexf	50	9860	1	Complete	1000	20	2	gexf	8916	1.10587707492149	9045	1.09010503040354	1.10587707492149	NA
81	Complete.50.1.3.gexf	2	24.341771101625	2	Complete	50	1	3	gexf	22.3791400203332	1.08769912872026	22.4223249729909	1.08560424179679	1.08769912872026	NA
82	Complete.50.1.3.gexf	3	24.341771101625	1	Complete	50	1	3	gexf	21.4210144490813	1.13635006220114	21.4718033020598	1.13366216890082	1.13635006220114	NA
83	Complete.50.1.3.gexf	5	24.341771101625	3	Complete	50	1	3	gexf	19.5421422739378	1.24560402643718	19.6182067357711	1.24077452284368	1.24560402643718	NA
84	Complete.50.1.3.gexf	10	24.341771101625	1	Complete	50	1	3	gexf	15.1260039101006	1.60926648216522	15.340242825486	1.58679177236908	1.60926648216522	NA
86	Complete.50.20.3.gexf	2	478	1	Complete	50	20	3	gexf	440	1.08636363636364	450	1.06222222222222	1.08636363636364	NA
87	Complete.50.20.3.gexf	3	478	1	Complete	50	20	3	gexf	421	1.1353919239905	433	1.10392609699769	1.1353919239905	NA
88	Complete.50.20.3.gexf	5	478	1	Complete	50	20	3	gexf	385	1.24155844155844	397	1.20403022670025	1.24155844155844	NA
89	Complete.50.20.3.gexf	10	478	1	Complete	50	20	3	gexf	301	1.58803986710963	310	1.54193548387097	1.58803986710963	NA
91	Complete.100.1.3.gexf	2	48.4409491149289	1	Complete	100	1	3	gexf	46.4635857130506	1.04255727085056	46.4635857130506	1.04255727085056	1.04255727085056	2
92	Complete.100.1.3.gexf	3	48.4409491149289	1	Complete	100	1	3	gexf	45.497862890021	1.06468625201192	45.497862890021	1.06468625201192	1.06468625201192	NA
93	Complete.100.1.3.gexf	5	48.4409491149289	1	Complete	100	1	3	gexf	43.574434336931	1.11168279868807	43.574434336931	1.11168279868807	1.11168279868807	NA
94	Complete.100.1.3.gexf	10	48.4409491149289	1	Complete	100	1	3	gexf	38.9235604335489	1.24451485360976	38.9235604335489	1.24451485360976	1.24451485360976	2
95	Complete.100.1.3.gexf	50	48.3011360532101	8	Complete	100	1	3	gexf	12.2640021184834	3.93844811722709	12.2640021184834	3.93844811722709	3.93844811722709	NA
96	Complete.100.20.3.gexf	2	972	1	Complete	100	20	3	gexf	934	1.0406852248394	934	1.0406852248394	1.0406852248394	NA
97	Complete.100.20.3.gexf	3	972	1	Complete	100	20	3	gexf	915	1.06229508196721	915	1.06229508196721	1.06229508196721	NA
98	Complete.100.20.3.gexf	5	972	1	Complete	100	20	3	gexf	877	1.10832383124287	877	1.10832383124287	1.10832383124287	NA
99	Complete.100.20.3.gexf	10	972	1	Complete	100	20	3	gexf	787	1.23506988564168	787	1.23506988564168	1.23506988564168	NA
100	Complete.100.20.3.gexf	50	972	1	Complete	100	20	3	gexf	257	3.78210116731517	257	3.78210116731517	3.78210116731517	NA
101	Complete.500.1.3.gexf	2	254.628338111687	1	Complete	500	1	3	gexf	252.633018527205	1.0078980950159	252.633018527205	1.0078980950159	1.0078980950159	2
102	Complete.500.1.3.gexf	3	254.628338111687	1	Complete	500	1	3	gexf	251.638800639512	1.01188027229735	251.638800639512	1.01188027229735	1.01188027229735	NA
103	Complete.500.1.3.gexf	5	254.628338111687	1	Complete	500	1	3	gexf	249.656034512846	1.01991661691072	249.656034512845	1.01991661691072	1.01991661691072	2
104	Complete.500.1.3.gexf	10	254.628338111687	1	Complete	500	1	3	gexf	244.723545098259	1.04047339625393	244.723545098259	1.04047339625393	1.04047339625393	NA
105	Complete.500.1.3.gexf	50	254.628338111687	1	Complete	500	1	3	gexf	207.183416460472	1.22899961040206	207.183416460472	1.22899961040206	1.22899961040206	NA
106	Complete.500.20.3.gexf	2	4877	1	Complete	500	20	3	gexf	4839	1.0078528621616	4877	1	1.0078528621616	NA
107	Complete.500.20.3.gexf	3	4877	1	Complete	500	20	3	gexf	4820	1.01182572614108	4877	1	1.01182572614108	NA
108	Complete.500.20.3.gexf	5	4877	1	Complete	500	20	3	gexf	4782	1.01986616478461	4843	1.00702044187487	1.01986616478461	NA
109	Complete.500.20.3.gexf	10	4877	1	Complete	500	20	3	gexf	4687	1.04053765735012	4748	1.02716933445661	1.04053765735012	NA
110	Complete.500.20.3.gexf	50	4877	1	Complete	500	20	3	gexf	3958	1.2321879737241	4010	1.21620947630923	1.2321879737241	NA
111	Complete.1000.1.3.gexf	2	489.121304456693	1	Complete	1000	1	3	gexf	487.122318798573	1.00410366263457	489.121304456693	1	1.00410366263457	NA
112	Complete.1000.1.3.gexf	3	489.121304456693	1	Complete	1000	1	3	gexf	486.123732990793	1.00616627262252	489.121304456693	1	1.00616627262252	NA
113	Complete.1000.1.3.gexf	5	489.121304456693	1	Complete	1000	1	3	gexf	484.131994612165	1.01030568088879	489.121304456693	1	1.01030568088879	NA
114	Complete.1000.1.3.gexf	10	489.121304456693	1	Complete	1000	1	3	gexf	479.182729176202	1.02074067923437	489.121304456694	0.999999999999998	1.02074067923437	NA
115	Complete.1000.1.3.gexf	50	489.121304456693	1	Complete	1000	1	3	gexf	440.559269578136	1.11022815369441	462.270156881183	1.05808540130877	1.11022815369441	NA
116	Complete.1000.20.3.gexf	2	9934	1	Complete	1000	20	3	gexf	9896	1.00383993532741	9934	1	1.00383993532741	NA
117	Complete.1000.20.3.gexf	3	9934	1	Complete	1000	20	3	gexf	9877	1.00577098309203	9934	1	1.00577098309203	NA
118	Complete.1000.20.3.gexf	5	9934	1	Complete	1000	20	3	gexf	9839	1.00965545278992	9900	1.00343434343434	1.00965545278992	NA
119	Complete.1000.20.3.gexf	10	9934	1	Complete	1000	20	3	gexf	9744	1.01949917898194	9805	1.01315655277919	1.01949917898194	NA
120	Complete.1000.20.3.gexf	50	9934	1	Complete	1000	20	3	gexf	8984	1.10574354407836	9045	1.09828634604754	1.10574354407836	NA
121	Complete.50.1.4.gexf	2	22.1031482036976	1	Complete	50	1	4	gexf	20.221031001158	1.0930772126521	20.5697096447021	1.07454838135698	1.0930772126521	NA
122	Complete.50.1.4.gexf	3	22.1031482036976	1	Complete	50	1	4	gexf	19.2983048517833	1.14534143664204	20.220145063781	1.09312510538263	1.14534143664204	NA
123	Complete.50.1.4.gexf	5	22.1031482036976	1	Complete	50	1	4	gexf	17.4646549696915	1.26559317902677	18.3328272061672	1.20565955022268	1.26559317902677	NA
124	Complete.50.1.4.gexf	10	22.1031482036976	1	Complete	50	1	4	gexf	13.2802276445565	1.66436515964073	14.8212887508985	1.49131081481411	1.66436515964073	NA
126	Complete.50.20.4.gexf	2	480	1	Complete	50	20	4	gexf	443	1.08352144469526	448	1.07142857142857	1.08352144469526	NA
127	Complete.50.20.4.gexf	3	480	1	Complete	50	20	4	gexf	425	1.12941176470588	430	1.11627906976744	1.12941176470588	NA
128	Complete.50.20.4.gexf	5	480	1	Complete	50	20	4	gexf	389	1.23393316195373	394	1.21827411167513	1.23393316195373	NA
129	Complete.50.20.4.gexf	10	480	1	Complete	50	20	4	gexf	307	1.56351791530945	317	1.51419558359621	1.56351791530945	NA
131	Complete.100.1.4.gexf	2	47.6363440528146	1	Complete	100	1	4	gexf	45.6803745591049	1.04281859578842	45.6803745591049	1.04281859578842	1.04281859578842	NA
132	Complete.100.1.4.gexf	3	47.6363440528146	1	Complete	100	1	4	gexf	44.7128563101774	1.06538360516172	44.7128563101774	1.06538360516172	1.06538360516172	2
133	Complete.100.1.4.gexf	5	47.6363440528146	1	Complete	100	1	4	gexf	42.8111302627547	1.11270932957026	42.8111302627546	1.11270932957026	1.11270932957026	2
134	Complete.100.1.4.gexf	10	47.6363440528146	1	Complete	100	1	4	gexf	38.2670389466953	1.2448400859855	38.2670389466953	1.2448400859855	1.2448400859855	2
135	Complete.100.1.4.gexf	50	47.4645139869671	6	Complete	100	1	4	gexf	11.2212671480195	4.22987113316737	11.2212671480195	4.22987113316736	4.22987113316737	NA
136	Complete.100.20.4.gexf	2	937	1	Complete	100	20	4	gexf	899	1.04226918798665	923	1.01516793066089	1.04226918798665	NA
137	Complete.100.20.4.gexf	3	937	1	Complete	100	20	4	gexf	880	1.06477272727273	906	1.03421633554084	1.06477272727273	NA
138	Complete.100.20.4.gexf	5	937	1	Complete	100	20	4	gexf	842	1.11282660332542	869	1.07825086306099	1.11282660332542	NA
139	Complete.100.20.4.gexf	10	937	1	Complete	100	20	4	gexf	751	1.24766977363515	783	1.19667943805875	1.24766977363515	NA
140	Complete.100.20.4.gexf	50	932.733333333333	7	Complete	100	20	4	gexf	216	4.31820987654321	272	3.42916666666667	4.31820987654321	NA
141	Complete.500.1.4.gexf	2	245.992010445526	1	Complete	500	1	4	gexf	244.000177612597	1.00816324337309	245.992010445526	1	1.00816324337309	NA
142	Complete.500.1.4.gexf	3	245.992010445526	1	Complete	500	1	4	gexf	243.007865340722	1.01228003505409	245.992010445526	1	1.01228003505409	NA
143	Complete.500.1.4.gexf	5	245.992010445526	1	Complete	500	1	4	gexf	241.031195388093	1.02058163072811	245.992010445526	1	1.02058163072811	NA
144	Complete.500.1.4.gexf	10	245.992010445526	1	Complete	500	1	4	gexf	236.118559139099	1.04181565118145	245.853506264152	1.00056336061047	1.04181565118145	NA
145	Complete.500.1.4.gexf	50	245.992010445526	1	Complete	500	1	4	gexf	198.636927801498	1.2384001966208	208.148369215363	1.18181089466527	1.2384001966208	NA
146	Complete.500.20.4.gexf	2	4794	1	Complete	500	20	4	gexf	4756	1.00798990748528	4756	1.00798990748528	1.00798990748528	NA
147	Complete.500.20.4.gexf	3	4794	1	Complete	500	20	4	gexf	4737	1.01203293223559	4737	1.01203293223559	1.01203293223559	NA
148	Complete.500.20.4.gexf	5	4794	1	Complete	500	20	4	gexf	4699	1.02021706746116	4699	1.02021706746116	1.02021706746116	NA
149	Complete.500.20.4.gexf	10	4794	1	Complete	500	20	4	gexf	4604	1.04126846220678	4604	1.04126846220678	1.04126846220678	NA
150	Complete.500.20.4.gexf	50	4794	1	Complete	500	20	4	gexf	3879	1.23588553750967	3879	1.23588553750967	1.23588553750967	NA
151	Complete.1000.1.4.gexf	2	498.683928399112	2	Complete	1000	1	4	gexf	496.687084887734	1.00402032501374	496.687084887734	1.00402032501374	1.00402032501374	2
152	Complete.1000.1.4.gexf	3	498.683928399112	1	Complete	1000	1	4	gexf	495.69260662531	1.00603463060336	495.69260662531	1.00603463060336	1.00603463060336	2
153	Complete.1000.1.4.gexf	5	498.683928399112	3	Complete	1000	1	4	gexf	493.707069039276	1.01008059165432	493.707069039276	1.01008059165432	1.01008059165432	2
154	Complete.1000.1.4.gexf	10	498.683928399112	1	Complete	1000	1	4	gexf	488.760789924728	1.02030264840989	488.760789924728	1.02030264840989	1.02030264840989	2
155	Complete.1000.1.4.gexf	50	498.683928399112	1	Complete	1000	1	4	gexf	450.082672013299	1.10798295381693	450.082672013298	1.10798295381693	1.10798295381693	2
156	Complete.1000.20.4.gexf	2	9760	1	Complete	1000	20	4	gexf	9722	1.00390866076939	9760	1	1.00390866076939	NA
157	Complete.1000.20.4.gexf	3	9760	1	Complete	1000	20	4	gexf	9703	1.00587447181284	9760	1	1.00587447181284	NA
158	Complete.1000.20.4.gexf	5	9760	1	Complete	1000	20	4	gexf	9665	1.0098292809105	9760	1	1.0098292809105	NA
159	Complete.1000.20.4.gexf	10	9760	1	Complete	1000	20	4	gexf	9570	1.01985370950888	9760	1	1.01985370950888	NA
160	Complete.1000.20.4.gexf	50	9760	1	Complete	1000	20	4	gexf	8810	1.10783200908059	9166	1.06480471307004	1.10783200908059	NA
161	Complete.50.1.5.gexf	2	22.0053767851533	1	Complete	50	1	5	gexf	20.0172539960542	1.0993204557174	20.0172539960542	1.0993204557174	1.0993204557174	NA
162	Complete.50.1.5.gexf	3	22.0053767851533	1	Complete	50	1	5	gexf	19.0445056681195	1.15547114577987	19.0445056681195	1.15547114577987	1.15547114577987	NA
163	Complete.50.1.5.gexf	5	22.0053767851533	1	Complete	50	1	5	gexf	17.1629310017712	1.2821456185358	17.1629310017712	1.2821456185358	1.2821456185358	2
164	Complete.50.1.5.gexf	10	22.0053767851533	1	Complete	50	1	5	gexf	13.0692676444873	1.68374980019903	13.0692676444873	1.68374980019903	1.68374980019903	NA
166	Complete.50.20.5.gexf	2	452	1	Complete	50	20	5	gexf	415	1.08915662650602	415	1.08915662650602	1.08915662650602	NA
167	Complete.50.20.5.gexf	3	452	1	Complete	50	20	5	gexf	397	1.13853904282116	397	1.13853904282116	1.13853904282116	NA
168	Complete.50.20.5.gexf	5	452	1	Complete	50	20	5	gexf	364	1.24175824175824	364	1.24175824175824	1.24175824175824	NA
169	Complete.50.20.5.gexf	10	452	1	Complete	50	20	5	gexf	286	1.58041958041958	286	1.58041958041958	1.58041958041958	NA
171	Complete.100.1.5.gexf	2	47.6437151963338	1	Complete	100	1	5	gexf	45.6526799631782	1.04361266928385	47.6437151963338	1	1.04361266928385	NA
172	Complete.100.1.5.gexf	3	47.6437151963338	1	Complete	100	1	5	gexf	44.6680500771334	1.06661730507739	47.428082883621	1.00454651125667	1.06661730507739	NA
173	Complete.100.1.5.gexf	5	47.6437151963338	1	Complete	100	1	5	gexf	42.7267366206132	1.1150796659099	46.5916021463484	1.0225816027249	1.1150796659099	NA
174	Complete.100.1.5.gexf	10	47.6437151963338	1	Complete	100	1	5	gexf	38.1017606652972	1.25043342786328	42.6769327552877	1.11638096087003	1.25043342786328	NA
175	Complete.100.1.5.gexf	50	47.3127537489874	10	Complete	100	1	5	gexf	11.0305500460922	4.28924700502574	13.0942690102283	3.61324131282396	4.28924700502574	NA
176	Complete.100.20.5.gexf	2	978	1	Complete	100	20	5	gexf	940	1.04042553191489	959	1.01981230448384	1.04042553191489	NA
177	Complete.100.20.5.gexf	3	978	1	Complete	100	20	5	gexf	921	1.06188925081433	961	1.01768990634755	1.06188925081433	NA
178	Complete.100.20.5.gexf	5	978	1	Complete	100	20	5	gexf	883	1.10758776896942	923	1.05958829902492	1.10758776896942	NA
179	Complete.100.20.5.gexf	10	978	1	Complete	100	20	5	gexf	791	1.23640960809102	831	1.17689530685921	1.23640960809102	NA
180	Complete.100.20.5.gexf	50	978	1	Complete	100	20	5	gexf	245	3.99183673469388	280	3.49285714285714	3.99183673469388	NA
181	Complete.500.1.5.gexf	2	250.15229789813	1	Complete	500	1	5	gexf	248.160852049453	1.00802481871025	250.15229789813	1	1.00802481871025	NA
182	Complete.500.1.5.gexf	3	250.15229789813	1	Complete	500	1	5	gexf	247.165855000958	1.01208274863516	250.15229789813	1	1.01208274863516	NA
183	Complete.500.1.5.gexf	5	250.15229789813	1	Complete	500	1	5	gexf	245.178556406259	1.02028620106413	250.15229789813	1	1.02028620106413	NA
184	Complete.500.1.5.gexf	10	250.15229789813	1	Complete	500	1	5	gexf	240.249094233149	1.04122056608201	249.123420235805	1.00412999171796	1.04122056608201	NA
185	Complete.500.1.5.gexf	50	250.15229789813	1	Complete	500	1	5	gexf	202.474620646102	1.23547483185738	211.444960126817	1.1830610564002	1.23547483185738	NA
186	Complete.500.20.5.gexf	2	4821	1	Complete	500	20	5	gexf	4783	1.00794480451599	4821	1	1.00794480451599	NA
187	Complete.500.20.5.gexf	3	4821	1	Complete	500	20	5	gexf	4764	1.01196473551637	4821	1	1.01196473551637	NA
188	Complete.500.20.5.gexf	5	4821	1	Complete	500	20	5	gexf	4726	1.02010156580618	4784	1.00773411371237	1.02010156580618	NA
189	Complete.500.20.5.gexf	10	4821	1	Complete	500	20	5	gexf	4631	1.0410278557547	4689	1.02815099168266	1.0410278557547	NA
190	Complete.500.20.5.gexf	50	4821	1	Complete	500	20	5	gexf	3899	1.23647088997179	3958	1.21803941384538	1.23647088997179	NA
191	Complete.1000.1.5.gexf	2	506.24840900094	2	Complete	1000	1	5	gexf	504.249245726366	1.00396463314822	504.249245726367	1.00396463314822	1.00396463314822	NA
192	Complete.1000.1.5.gexf	3	506.24840900094	1	Complete	1000	1	5	gexf	503.25128027401	1.0059555312513	503.251280274011	1.0059555312513	1.0059555312513	NA
193	Complete.1000.1.5.gexf	5	506.24840900094	3	Complete	1000	1	5	gexf	501.260683604444	1.00995036227583	501.260683604445	1.00995036227583	1.00995036227583	NA
