construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4
cut,cap,first,Complete.50.1.51.gexf,50,2450,2,1,"[49, 49, 49, 49]",26.605423981271993,24.627879621263876,24.627879621263876,inf,123,0,0,0,0,"[26.605423981271993, 24.627879621263876]",Complete,50,1,51,gexf
cut,cap,first,Complete.50.1.51.gexf,50,2450,3,2,"[49, 49, 49, 49]",26.605423981271993,23.65487875245736,23.65487875245736,inf,122,0,0,0,0,"[26.605423981271993, 23.65487875245736]",Complete,50,1,51,gexf
cut,cap,first,Complete.50.1.51.gexf,50,2450,5,3,"[49, 49, 49, 49]",26.605423981271993,21.765400757771417,21.765400757771417,inf,145,0,0,0,0,"[26.605423981271993, 21.765400757771417]",Complete,50,1,51,gexf
cut,cap,first,Complete.50.1.51.gexf,50,2450,10,4,"[49, 49, 49, 49]",26.605423981271993,17.418728887834916,17.418728887834916,inf,314,0,0,0,0,"[26.605423981271993, 17.418728887834916]",Complete,50,1,51,gexf
cut,cap,first,Complete.50.1.51.gexf,50,F,50,5,"[49, 49, 49, 49]",F,F,F,F,F,F,F,F,F,F,Complete,50,1,51,gexf
cut,cap,first,Complete.50.20.51.gexf,50,2450,2,1,"[49, 49, 49, 49]",457,419,419,inf,201,0,0,0,0,"[457, 419]",Complete,50,20,51,gexf
cut,cap,first,Complete.50.20.51.gexf,50,2450,3,2,"[49, 49, 49, 49]",457,400,400,inf,210,0,0,0,0,"[457, 400]",Complete,50,20,51,gexf
cut,cap,first,Complete.50.20.51.gexf,50,2450,5,3,"[49, 49, 49, 49]",457,363,363,inf,182,0,0,0,0,"[457, 363]",Complete,50,20,51,gexf
cut,cap,first,Complete.50.20.51.gexf,50,2450,10,4,"[49, 49, 49, 49]",457,281,281,inf,529,0,0,0,0,"[457, 281]",Complete,50,20,51,gexf
cut,cap,first,Complete.50.20.51.gexf,50,F,50,5,"[49, 49, 49, 49]",F,F,F,F,F,F,F,F,F,F,Complete,50,20,51,gexf
cut,cap,first,Complete.50.1.52.gexf,50,2450,2,1,"[49, 49, 49, 49]",25.54347890279209,23.616927555620663,23.616927555620663,inf,146,0,0,0,0,"[25.54347890279209, 23.616927555620663]",Complete,50,1,52,gexf
cut,cap,first,Complete.50.1.52.gexf,50,2450,3,2,"[49, 49, 49, 49]",25.54347890279209,22.661314161612538,22.661314161612538,inf,478,0,0,0,0,"[25.54347890279209, 22.661314161612538]",Complete,50,1,52,gexf
cut,cap,first,Complete.50.1.52.gexf,50,2450,5,3,"[49, 49, 49, 49]",25.54347890279209,20.779264373392184,20.779264373392184,inf,110,0,0,0,0,"[25.54347890279209, 20.779264373392184]",Complete,50,1,52,gexf
cut,cap,first,Complete.50.1.52.gexf,50,2450,10,4,"[49, 49, 49, 49]",25.54347890279209,16.26760537480125,16.26760537480125,inf,518,0,0,0,0,"[25.54347890279209, 16.26760537480125]",Complete,50,1,52,gexf
cut,cap,first,Complete.50.1.52.gexf,50,F,50,5,"[49, 49, 49, 49]",F,F,F,F,F,F,F,F,F,F,Complete,50,1,52,gexf
cut,cap,first,Complete.50.20.52.gexf,50,2450,2,1,"[49, 49, 49, 49]",446,410,410,inf,203,0,0,0,0,"[446, 410]",Complete,50,20,52,gexf
cut,cap,first,Complete.50.20.52.gexf,50,2450,3,2,"[49, 49, 49, 49]",446,392,392,inf,197,0,0,0,0,"[446, 392]",Complete,50,20,52,gexf
cut,cap,first,Complete.50.20.52.gexf,50,2450,5,3,"[49, 49, 49, 49]",446,356,356,inf,283,0,0,0,0,"[446, 356]",Complete,50,20,52,gexf
cut,cap,first,Complete.50.20.52.gexf,50,2450,10,4,"[49, 49, 49, 49]",446,277,277,inf,269,0,0,0,0,"[446, 277]",Complete,50,20,52,gexf
cut,cap,first,Complete.50.20.52.gexf,50,F,50,5,"[49, 49, 49, 49]",F,F,F,F,F,F,F,F,F,F,Complete,50,20,52,gexf
cut,cap,first,Complete.50.1.53.gexf,50,2450,2,1,"[49, 49, 49, 49]",23.998665054353125,22.028957261685754,22.028957261685754,inf,149,0,0,0,0,"[23.998665054353125, 22.028957261685754]",Complete,50,1,53,gexf
cut,cap,first,Complete.50.1.53.gexf,50,2450,3,2,"[49, 49, 49, 49]",23.998665054353125,21.08403102766232,21.08403102766232,inf,181,0,0,0,0,"[23.998665054353125, 21.08403102766232]",Complete,50,1,53,gexf
cut,cap,first,Complete.50.1.53.gexf,50,2450,5,3,"[49, 49, 49, 49]",23.998665054353125,19.226646913405737,19.226646913405737,inf,183,0,0,0,0,"[23.998665054353125, 19.226646913405737]",Complete,50,1,53,gexf
cut,cap,first,Complete.50.1.53.gexf,50,2450,10,4,"[49, 49, 49, 49]",23.998665054353125,14.950149857835118,14.950149857835118,inf,110,0,0,0,0,"[23.998665054353125, 14.950149857835118]",Complete,50,1,53,gexf
cut,cap,first,Complete.50.1.53.gexf,50,F,50,5,"[49, 49, 49, 49]",F,F,F,F,F,F,F,F,F,F,Complete,50,1,53,gexf
cut,cap,first,Complete.50.20.53.gexf,50,2450,2,1,"[49, 49, 49, 49]",432,394,394,inf,236,0,0,0,0,"[432, 394]",Complete,50,20,53,gexf
cut,cap,first,Complete.50.20.53.gexf,50,2450,3,2,"[49, 49, 49, 49]",432,375,375,inf,252,0,0,0,0,"[432, 375]",Complete,50,20,53,gexf
cut,cap,first,Complete.50.20.53.gexf,50,2450,5,3,"[49, 49, 49, 49]",432,339,339,inf,267,0,0,0,0,"[432, 339]",Complete,50,20,53,gexf
cut,cap,first,Complete.50.20.53.gexf,50,2450,10,4,"[49, 49, 49, 49]",432,260,260,inf,237,0,0,0,0,"[432, 260]",Complete,50,20,53,gexf
cut,cap,first,Complete.50.20.53.gexf,50,F,50,5,"[49, 49, 49, 49]",F,F,F,F,F,F,F,F,F,F,Complete,50,20,53,gexf
cut,cap,first,Complete.50.1.54.gexf,50,2450,2,1,"[49, 49, 49, 49]",24.110155231864276,22.205180148221775,22.205180148221775,inf,178,0,0,0,0,"[24.110155231864276, 22.205180148221775]",Complete,50,1,54,gexf
cut,cap,first,Complete.50.1.54.gexf,50,2450,3,2,"[49, 49, 49, 49]",24.110155231864276,21.294073906239063,21.294073906239063,inf,148,0,0,0,0,"[24.110155231864276, 21.294073906239063]",Complete,50,1,54,gexf
cut,cap,first,Complete.50.1.54.gexf,50,2450,5,3,"[49, 49, 49, 49]",24.110155231864276,19.58245676458204,19.58245676458204,inf,507,0,0,0,0,"[24.110155231864276, 19.58245676458204]",Complete,50,1,54,gexf
cut,cap,first,Complete.50.1.54.gexf,50,2450,10,4,"[49, 49, 49, 49]",24.110155231864276,15.408513291170049,15.408513291170049,inf,508,0,0,0,0,"[24.110155231864276, 15.408513291170049]",Complete,50,1,54,gexf
cut,cap,first,Complete.50.1.54.gexf,50,F,50,5,"[49, 49, 49, 49]",F,F,F,F,F,F,F,F,F,F,Complete,50,1,54,gexf
cut,cap,first,Complete.50.20.54.gexf,50,2450,2,1,"[49, 49, 49, 49]",489,451,451,inf,150,0,0,0,0,"[489, 451]",Complete,50,20,54,gexf
cut,cap,first,Complete.50.20.54.gexf,50,2450,3,2,"[49, 49, 49, 49]",489,432,432,inf,195,0,0,0,0,"[489, 432]",Complete,50,20,54,gexf
cut,cap,first,Complete.50.20.54.gexf,50,2450,5,3,"[49, 49, 49, 49]",489,395,395,inf,232,0,0,0,0,"[489, 395]",Complete,50,20,54,gexf
cut,cap,first,Complete.50.20.54.gexf,50,2450,10,4,"[49, 49, 49, 49]",489,310,310,inf,140,0,0,0,0,"[489, 310]",Complete,50,20,54,gexf
cut,cap,first,Complete.50.20.54.gexf,50,F,50,5,"[49, 49, 49, 49]",F,F,F,F,F,F,F,F,F,F,Complete,50,20,54,gexf
cut,cap,first,Complete.50.1.55.gexf,50,2450,2,1,"[49, 49, 49, 49]",21.414218471548892,19.45784119057329,19.45784119057329,inf,181,0,0,0,0,"[21.414218471548892, 19.45784119057329]",Complete,50,1,55,gexf
cut,cap,first,Complete.50.1.55.gexf,50,2450,3,2,"[49, 49, 49, 49]",21.414218471548892,18.517229598496016,18.517229598496016,inf,232,0,0,0,0,"[21.414218471548892, 18.517229598496016]",Complete,50,1,55,gexf
