construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5	mem	constant	best
2002	cut	cap	first	Small.50.24.2.67.gexf	50	1200	3	2	[24, 24, 24, 24]	24	21	21.0	inf	1028	0	0	0	0	[24.0, 21.0]	Small	50	24	2	67	gexf	24	1.14285714285714	0.5
2003	cut	cap	first	Small.50.24.2.67.gexf	50	1200	5	3	[24, 24, 24, 24]	24	19	19.0	inf	1037	0	0	0	0	[24.0, 19.0]	Small	50	24	2	67	gexf	24	1.26315789473684	0.5
2004	cut	cap	first	Small.50.24.2.67.gexf	50	1200	10	4	[24, 24, 24, 24]	24	14	14.0	inf	1048	0	0	0	0	[24.0, 14.0]	Small	50	24	2	67	gexf	24	1.71428571428571	0.5
2006	cut	cap	first	Small.50.24.5.67.gexf	50	1200	2	1	[23, 23, 23, 23]	23	21	21.0	inf	1018	0	0	0	0	[23.0, 21.0]	Small	50	24	5	67	gexf	23	1.0952380952381	0.5
2007	cut	cap	first	Small.50.24.5.67.gexf	50	1200	3	2	[23, 23, 23, 23]	23	20	20.0	inf	1020	0	0	0	0	[23.0, 20.0]	Small	50	24	5	67	gexf	23	1.15	0.5
2008	cut	cap	first	Small.50.24.5.67.gexf	50	1200	5	3	[23, 23, 23, 23]	23	18	18.0	inf	1030	0	0	0	0	[23.0, 18.0]	Small	50	24	5	67	gexf	23	1.27777777777778	0.5
2009	cut	cap	first	Small.50.24.5.67.gexf	50	1200	10	4	[23, 23, 23, 23]	23	13	13.0	inf	1038	0	0	0	0	[23.0, 13.0]	Small	50	24	5	67	gexf	23	1.76923076923077	0.5
2011	cut	cap	first	Small.50.6.2.68.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3516	0	0	0	0	[5.0, 3.0]	Small	50	6	2	68	gexf	5	1.66666666666667	0.5
2012	cut	cap	first	Small.50.6.2.68.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3553	0	0	0	0	[5.0, 2.0]	Small	50	6	2	68	gexf	5	2.5	0.5
2016	cut	cap	first	Small.50.6.5.68.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3388	0	0	0	0	[6.0, 4.0]	Small	50	6	5	68	gexf	6	1.5	0.5
2017	cut	cap	first	Small.50.6.5.68.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3419	0	0	0	0	[6.0, 3.0]	Small	50	6	5	68	gexf	6	2	0.5
2018	cut	cap	first	Small.50.6.5.68.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3590	0	0	0	0	[6.0, 1.0]	Small	50	6	5	68	gexf	6	6	0.5
2021	cut	cap	first	Small.50.10.2.68.gexf	50	500	2	1	[9, 9, 9, 9]	9	7	7.0	inf	2383	0	0	0	0	[9.0, 7.0]	Small	50	10	2	68	gexf	9	1.28571428571429	0.5
2022	cut	cap	first	Small.50.10.2.68.gexf	50	500	3	2	[9, 9, 9, 9]	9	6	6.0	inf	2391	0	0	0	0	[9.0, 6.0]	Small	50	10	2	68	gexf	9	1.5	0.5
2023	cut	cap	first	Small.50.10.2.68.gexf	50	500	5	3	[9, 9, 9, 9]	9	4	4.0	inf	2404	0	0	0	0	[9.0, 4.0]	Small	50	10	2	68	gexf	9	2.25	0.5
2026	cut	cap	first	Small.50.10.5.68.gexf	50	500	2	1	[11, 11, 11, 11]	11	9	9.0	inf	2325	0	0	0	0	[11.0, 9.0]	Small	50	10	5	68	gexf	11	1.22222222222222	0.5
2027	cut	cap	first	Small.50.10.5.68.gexf	50	500	3	2	[11, 11, 11, 11]	11	8	8.0	inf	2328	0	0	0	0	[11.0, 8.0]	Small	50	10	5	68	gexf	11	1.375	0.5
2028	cut	cap	first	Small.50.10.5.68.gexf	50	500	5	3	[11, 11, 11, 11]	11	6	6.0	inf	2357	0	0	0	0	[11.0, 6.0]	Small	50	10	5	68	gexf	11	1.83333333333333	0.5
2029	cut	cap	first	Small.50.10.5.68.gexf	50	500	10	4	[11, 11, 11, 11]	11	1	1.0	inf	2402	0	0	0	0	[11.0, 1.0]	Small	50	10	5	68	gexf	11	11	0.5
2031	cut	cap	first	Small.50.24.2.68.gexf	50	1200	2	1	[24, 24, 24, 24]	24	22	22.0	inf	1033	0	0	0	0	[24.0, 22.0]	Small	50	24	2	68	gexf	24	1.09090909090909	0.5
2032	cut	cap	first	Small.50.24.2.68.gexf	50	1200	3	2	[24, 24, 24, 24]	24	21	21.0	inf	1034	0	0	0	0	[24.0, 21.0]	Small	50	24	2	68	gexf	24	1.14285714285714	0.5
2033	cut	cap	first	Small.50.24.2.68.gexf	50	1200	5	3	[24, 24, 24, 24]	24	19	19.0	inf	1037	0	0	0	0	[24.0, 19.0]	Small	50	24	2	68	gexf	24	1.26315789473684	0.5
2034	cut	cap	first	Small.50.24.2.68.gexf	50	1200	10	4	[24, 24, 24, 24]	24	14	14.0	inf	1041	0	0	0	0	[24.0, 14.0]	Small	50	24	2	68	gexf	24	1.71428571428571	0.5
2036	cut	cap	first	Small.50.24.5.68.gexf	50	1200	2	1	[25, 25, 25, 25]	25	23	23.0	inf	1019	0	0	0	0	[25.0, 23.0]	Small	50	24	5	68	gexf	25	1.08695652173913	0.5
2037	cut	cap	first	Small.50.24.5.68.gexf	50	1200	3	2	[25, 25, 25, 25]	25	22	22.0	inf	1014	0	0	0	0	[25.0, 22.0]	Small	50	24	5	68	gexf	25	1.13636363636364	0.5
2038	cut	cap	first	Small.50.24.5.68.gexf	50	1200	5	3	[25, 25, 25, 25]	25	20	20.0	inf	1024	0	0	0	0	[25.0, 20.0]	Small	50	24	5	68	gexf	25	1.25	0.5
2039	cut	cap	first	Small.50.24.5.68.gexf	50	1200	10	4	[25, 25, 25, 25]	25	15	15.0	inf	1036	0	0	0	0	[25.0, 15.0]	Small	50	24	5	68	gexf	25	1.66666666666667	0.5
2041	cut	cap	first	Small.50.6.2.69.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3691	0	0	0	0	[5.0, 3.0]	Small	50	6	2	69	gexf	5	1.66666666666667	0.5
2042	cut	cap	first	Small.50.6.2.69.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3637	0	0	0	0	[5.0, 2.0]	Small	50	6	2	69	gexf	5	2.5	0.5
2046	cut	cap	first	Small.50.6.5.69.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3476	0	0	0	0	[6.0, 4.0]	Small	50	6	5	69	gexf	6	1.5	0.5
2047	cut	cap	first	Small.50.6.5.69.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3465	0	0	0	0	[6.0, 3.0]	Small	50	6	5	69	gexf	6	2	0.5
2048	cut	cap	first	Small.50.6.5.69.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3652	0	0	0	0	[6.0, 1.0]	Small	50	6	5	69	gexf	6	6	0.5
2051	cut	cap	first	Small.50.10.2.69.gexf	50	500	2	1	[10, 10, 10, 10]	10	8	8.0	inf	2314	0	0	0	0	[10.0, 8.0]	Small	50	10	2	69	gexf	10	1.25	0.5
2052	cut	cap	first	Small.50.10.2.69.gexf	50	500	3	2	[10, 10, 10, 10]	10	7	7.0	inf	2322	0	0	0	0	[10.0, 7.0]	Small	50	10	2	69	gexf	10	1.42857142857143	0.5
2053	cut	cap	first	Small.50.10.2.69.gexf	50	500	5	3	[10, 10, 10, 10]	10	5	5.0	inf	2356	0	0	0	0	[10.0, 5.0]	Small	50	10	2	69	gexf	10	2	0.5
2056	cut	cap	first	Small.50.10.5.69.gexf	50	500	2	1	[10, 10, 10, 10]	10	8	8.0	inf	2398	0	0	0	0	[10.0, 8.0]	Small	50	10	5	69	gexf	10	1.25	0.5
2057	cut	cap	first	Small.50.10.5.69.gexf	50	500	3	2	[10, 10, 10, 10]	10	7	7.0	inf	2405	0	0	0	0	[10.0, 7.0]	Small	50	10	5	69	gexf	10	1.42857142857143	0.5
2058	cut	cap	first	Small.50.10.5.69.gexf	50	500	5	3	[10, 10, 10, 10]	10	5	5.0	inf	2410	0	0	0	0	[10.0, 5.0]	Small	50	10	5	69	gexf	10	2	0.5
2061	cut	cap	first	Small.50.24.2.69.gexf	50	1200	2	1	[23, 23, 23, 23]	23	21	21.0	inf	1035	0	0	0	0	[23.0, 21.0]	Small	50	24	2	69	gexf	23	1.0952380952381	0.5
2062	cut	cap	first	Small.50.24.2.69.gexf	50	1200	3	2	[23, 23, 23, 23]	23	20	20.0	inf	1035	0	0	0	0	[23.0, 20.0]	Small	50	24	2	69	gexf	23	1.15	0.5
2063	cut	cap	first	Small.50.24.2.69.gexf	50	1200	5	3	[23, 23, 23, 23]	23	18	18.0	inf	1038	0	0	0	0	[23.0, 18.0]	Small	50	24	2	69	gexf	23	1.27777777777778	0.5
2064	cut	cap	first	Small.50.24.2.69.gexf	50	1200	10	4	[23, 23, 23, 23]	23	13	13.0	inf	1049	0	0	0	0	[23.0, 13.0]	Small	50	24	2	69	gexf	23	1.76923076923077	0.5
2066	cut	cap	first	Small.50.24.5.69.gexf	50	1200	2	1	[21, 21, 21, 21]	21	19	19.0	inf	1048	0	0	0	0	[21.0, 19.0]	Small	50	24	5	69	gexf	21	1.10526315789474	0.5
2067	cut	cap	first	Small.50.24.5.69.gexf	50	1200	3	2	[21, 21, 21, 21]	21	18	18.0	inf	1048	0	0	0	0	[21.0, 18.0]	Small	50	24	5	69	gexf	21	1.16666666666667	0.5
2068	cut	cap	first	Small.50.24.5.69.gexf	50	1200	5	3	[21, 21, 21, 21]	21	16	16.0	inf	1053	0	0	0	0	[21.0, 16.0]	Small	50	24	5	69	gexf	21	1.3125	0.5
2069	cut	cap	first	Small.50.24.5.69.gexf	50	1200	10	4	[21, 21, 21, 21]	21	11	11.0	inf	1057	0	0	0	0	[21.0, 11.0]	Small	50	24	5	69	gexf	21	1.90909090909091	0.5
2071	cut	cap	first	Small.50.6.2.70.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3660	0	0	0	0	[5.0, 3.0]	Small	50	6	2	70	gexf	5	1.66666666666667	0.5
2072	cut	cap	first	Small.50.6.2.70.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3661	0	0	0	0	[5.0, 2.0]	Small	50	6	2	70	gexf	5	2.5	0.5
2076	cut	cap	first	Small.50.6.5.70.gexf	50	300	2	1	[3, 3, 3, 3]	3	1	1.0	inf	3710	0	0	0	0	[3.0, 1.0]	Small	50	6	5	70	gexf	3	3	0.5
2081	cut	cap	first	Small.50.10.2.70.gexf	50	500	2	1	[9, 9, 9, 9]	9	7	7.0	inf	2348	0	0	0	0	[9.0, 7.0]	Small	50	10	2	70	gexf	9	1.28571428571429	0.5
2082	cut	cap	first	Small.50.10.2.70.gexf	50	500	3	2	[9, 9, 9, 9]	9	6	6.0	inf	2379	0	0	0	0	[9.0, 6.0]	Small	50	10	2	70	gexf	9	1.5	0.5
2083	cut	cap	first	Small.50.10.2.70.gexf	50	500	5	3	[9, 9, 9, 9]	9	4	4.0	inf	2390	0	0	0	0	[9.0, 4.0]	Small	50	10	2	70	gexf	9	2.25	0.5
2086	cut	cap	first	Small.50.10.5.70.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2325	0	0	0	0	[8.0, 6.0]	Small	50	10	5	70	gexf	8	1.33333333333333	0.5
2087	cut	cap	first	Small.50.10.5.70.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2343	0	0	0	0	[8.0, 5.0]	Small	50	10	5	70	gexf	8	1.6	0.5
2088	cut	cap	first	Small.50.10.5.70.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2352	0	0	0	0	[8.0, 3.0]	Small	50	10	5	70	gexf	8	2.66666666666667	0.5
2091	cut	cap	first	Small.50.24.2.70.gexf	50	1200	2	1	[26, 26, 26, 26]	26	24	24.0	inf	1050	0	0	0	0	[26.0, 24.0]	Small	50	24	2	70	gexf	26	1.08333333333333	0.5
2092	cut	cap	first	Small.50.24.2.70.gexf	50	1200	3	2	[26, 26, 26, 26]	26	23	23.0	inf	1047	0	0	0	0	[26.0, 23.0]	Small	50	24	2	70	gexf	26	1.1304347826087	0.5
2093	cut	cap	first	Small.50.24.2.70.gexf	50	1200	5	3	[26, 26, 26, 26]	26	21	21.0	inf	1054	0	0	0	0	[26.0, 21.0]	Small	50	24	2	70	gexf	26	1.23809523809524	0.5
2094	cut	cap	first	Small.50.24.2.70.gexf	50	1200	10	4	[26, 26, 26, 26]	26	16	16.0	inf	1065	0	0	0	0	[26.0, 16.0]	Small	50	24	2	70	gexf	26	1.625	0.5
2096	cut	cap	first	Small.50.24.5.70.gexf	50	1200	2	1	[19, 19, 19, 19]	19	17	17.0	inf	1041	0	0	0	0	[19.0, 17.0]	Small	50	24	5	70	gexf	19	1.11764705882353	0.5
2097	cut	cap	first	Small.50.24.5.70.gexf	50	1200	3	2	[19, 19, 19, 19]	19	16	16.0	inf	1040	0	0	0	0	[19.0, 16.0]	Small	50	24	5	70	gexf	19	1.1875	0.5
2098	cut	cap	first	Small.50.24.5.70.gexf	50	1200	5	3	[19, 19, 19, 19]	19	14	14.0	inf	1049	0	0	0	0	[19.0, 14.0]	Small	50	24	5	70	gexf	19	1.35714285714286	0.5
2099	cut	cap	first	Small.50.24.5.70.gexf	50	1200	10	4	[19, 19, 19, 19]	19	9	9.0	inf	1062	0	0	0	0	[19.0, 9.0]	Small	50	24	5	70	gexf	19	2.11111111111111	0.5
2101	cut	cap	first	Small.50.6.2.71.gexf	50	300	2	1	[7, 7, 7, 7]	7	5	5.0	inf	3551	0	0	0	0	[7.0, 5.0]	Small	50	6	2	71	gexf	7	1.4	0.5
2102	cut	cap	first	Small.50.6.2.71.gexf	50	300	3	2	[7, 7, 7, 7]	7	4	4.0	inf	3585	0	0	0	0	[7.0, 4.0]	Small	50	6	2	71	gexf	7	1.75	0.5
2103	cut	cap	first	Small.50.6.2.71.gexf	50	300	5	3	[7, 7, 7, 7]	7	2	2.0	inf	3614	0	0	0	0	[7.0, 2.0]	Small	50	6	2	71	gexf	7	3.5	0.5
2106	cut	cap	first	Small.50.6.5.71.gexf	50	300	2	1	[8, 8, 8, 8]	8	6	6.0	inf	3559	0	0	0	0	[8.0, 6.0]	Small	50	6	5	71	gexf	8	1.33333333333333	0.5
2107	cut	cap	first	Small.50.6.5.71.gexf	50	300	3	2	[8, 8, 8, 8]	8	5	5.0	inf	3539	0	0	0	0	[8.0, 5.0]	Small	50	6	5	71	gexf	8	1.6	0.5
2108	cut	cap	first	Small.50.6.5.71.gexf	50	300	5	3	[8, 8, 8, 8]	8	3	3.0	inf	3619	0	0	0	0	[8.0, 3.0]	Small	50	6	5	71	gexf	8	2.66666666666667	0.5
2111	cut	cap	first	Small.50.10.2.71.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2387	0	0	0	0	[8.0, 6.0]	Small	50	10	2	71	gexf	8	1.33333333333333	0.5
2112	cut	cap	first	Small.50.10.2.71.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2400	0	0	0	0	[8.0, 5.0]	Small	50	10	2	71	gexf	8	1.6	0.5
2113	cut	cap	first	Small.50.10.2.71.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2432	0	0	0	0	[8.0, 3.0]	Small	50	10	2	71	gexf	8	2.66666666666667	0.5
2116	cut	cap	first	Small.50.10.5.71.gexf	50	500	2	1	[10, 10, 10, 10]	10	8	8.0	inf	2305	0	0	0	0	[10.0, 8.0]	Small	50	10	5	71	gexf	10	1.25	0.5
2117	cut	cap	first	Small.50.10.5.71.gexf	50	500	3	2	[10, 10, 10, 10]	10	7	7.0	inf	2314	0	0	0	0	[10.0, 7.0]	Small	50	10	5	71	gexf	10	1.42857142857143	0.5
2118	cut	cap	first	Small.50.10.5.71.gexf	50	500	5	3	[10, 10, 10, 10]	10	5	5.0	inf	2349	0	0	0	0	[10.0, 5.0]	Small	50	10	5	71	gexf	10	2	0.5
2121	cut	cap	first	Small.50.24.2.71.gexf	50	1200	2	1	[23, 23, 23, 23]	23	21	21.0	inf	1033	0	0	0	0	[23.0, 21.0]	Small	50	24	2	71	gexf	23	1.0952380952381	0.5
2122	cut	cap	first	Small.50.24.2.71.gexf	50	1200	3	2	[23, 23, 23, 23]	23	20	20.0	inf	1042	0	0	0	0	[23.0, 20.0]	Small	50	24	2	71	gexf	23	1.15	0.5
2123	cut	cap	first	Small.50.24.2.71.gexf	50	1200	5	3	[23, 23, 23, 23]	23	18	18.0	inf	1044	0	0	0	0	[23.0, 18.0]	Small	50	24	2	71	gexf	23	1.27777777777778	0.5
2124	cut	cap	first	Small.50.24.2.71.gexf	50	1200	10	4	[23, 23, 23, 23]	23	13	13.0	inf	1043	0	0	0	0	[23.0, 13.0]	Small	50	24	2	71	gexf	23	1.76923076923077	0.5
2126	cut	cap	first	Small.50.24.5.71.gexf	50	1200	2	1	[24, 24, 24, 24]	24	22	22.0	inf	1045	0	0	0	0	[24.0, 22.0]	Small	50	24	5	71	gexf	24	1.09090909090909	0.5
2127	cut	cap	first	Small.50.24.5.71.gexf	50	1200	3	2	[24, 24, 24, 24]	24	21	21.0	inf	1049	0	0	0	0	[24.0, 21.0]	Small	50	24	5	71	gexf	24	1.14285714285714	0.5
2128	cut	cap	first	Small.50.24.5.71.gexf	50	1200	5	3	[24, 24, 24, 24]	24	19	19.0	inf	1052	0	0	0	0	[24.0, 19.0]	Small	50	24	5	71	gexf	24	1.26315789473684	0.5
2129	cut	cap	first	Small.50.24.5.71.gexf	50	1200	10	4	[24, 24, 24, 24]	24	14	14.0	inf	1054	0	0	0	0	[24.0, 14.0]	Small	50	24	5	71	gexf	24	1.71428571428571	0.5
2131	cut	cap	first	Small.50.6.2.72.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3579	0	0	0	0	[6.0, 4.0]	Small	50	6	2	72	gexf	6	1.5	0.5
2132	cut	cap	first	Small.50.6.2.72.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3633	0	0	0	0	[6.0, 3.0]	Small	50	6	2	72	gexf	6	2	0.5
2133	cut	cap	first	Small.50.6.2.72.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3680	0	0	0	0	[6.0, 1.0]	Small	50	6	2	72	gexf	6	6	0.5
2136	cut	cap	first	Small.50.6.5.72.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3544	0	0	0	0	[6.0, 4.0]	Small	50	6	5	72	gexf	6	1.5	0.5
2137	cut	cap	first	Small.50.6.5.72.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3593	0	0	0	0	[6.0, 3.0]	Small	50	6	5	72	gexf	6	2	0.5
2138	cut	cap	first	Small.50.6.5.72.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3677	0	0	0	0	[6.0, 1.0]	Small	50	6	5	72	gexf	6	6	0.5
2141	cut	cap	first	Small.50.10.2.72.gexf	50	500	2	1	[10, 10, 10, 10]	10	8	8.0	inf	2354	0	0	0	0	[10.0, 8.0]	Small	50	10	2	72	gexf	10	1.25	0.5
2142	cut	cap	first	Small.50.10.2.72.gexf	50	500	3	2	[10, 10, 10, 10]	10	7	7.0	inf	2372	0	0	0	0	[10.0, 7.0]	Small	50	10	2	72	gexf	10	1.42857142857143	0.5
2143	cut	cap	first	Small.50.10.2.72.gexf	50	500	5	3	[10, 10, 10, 10]	10	5	5.0	inf	2410	0	0	0	0	[10.0, 5.0]	Small	50	10	2	72	gexf	10	2	0.5
2146	cut	cap	first	Small.50.10.5.72.gexf	50	500	2	1	[6, 6, 6, 6]	6	4	4.0	inf	2330	0	0	0	0	[6.0, 4.0]	Small	50	10	5	72	gexf	6	1.5	0.5
2147	cut	cap	first	Small.50.10.5.72.gexf	50	500	3	2	[6, 6, 6, 6]	6	3	3.0	inf	2343	0	0	0	0	[6.0, 3.0]	Small	50	10	5	72	gexf	6	2	0.5
2148	cut	cap	first	Small.50.10.5.72.gexf	50	500	5	3	[6, 6, 6, 6]	6	1	1.0	inf	2370	0	0	0	0	[6.0, 1.0]	Small	50	10	5	72	gexf	6	6	0.5
2151	cut	cap	first	Small.50.24.2.72.gexf	50	1200	2	1	[23, 23, 23, 23]	23	21	21.0	inf	1022	0	0	0	0	[23.0, 21.0]	Small	50	24	2	72	gexf	23	1.0952380952381	0.5
2152	cut	cap	first	Small.50.24.2.72.gexf	50	1200	3	2	[23, 23, 23, 23]	23	20	20.0	inf	1034	0	0	0	0	[23.0, 20.0]	Small	50	24	2	72	gexf	23	1.15	0.5
2153	cut	cap	first	Small.50.24.2.72.gexf	50	1200	5	3	[23, 23, 23, 23]	23	18	18.0	inf	1035	0	0	0	0	[23.0, 18.0]	Small	50	24	2	72	gexf	23	1.27777777777778	0.5
2154	cut	cap	first	Small.50.24.2.72.gexf	50	1200	10	4	[23, 23, 23, 23]	23	13	13.0	inf	1036	0	0	0	0	[23.0, 13.0]	Small	50	24	2	72	gexf	23	1.76923076923077	0.5
2156	cut	cap	first	Small.50.24.5.72.gexf	50	1200	2	1	[19, 19, 19, 19]	19	17	17.0	inf	1041	0	0	0	0	[19.0, 17.0]	Small	50	24	5	72	gexf	19	1.11764705882353	0.5
2157	cut	cap	first	Small.50.24.5.72.gexf	50	1200	3	2	[19, 19, 19, 19]	19	16	16.0	inf	1046	0	0	0	0	[19.0, 16.0]	Small	50	24	5	72	gexf	19	1.1875	0.5
2158	cut	cap	first	Small.50.24.5.72.gexf	50	1200	5	3	[19, 19, 19, 19]	19	14	14.0	inf	1047	0	0	0	0	[19.0, 14.0]	Small	50	24	5	72	gexf	19	1.35714285714286	0.5
2159	cut	cap	first	Small.50.24.5.72.gexf	50	1200	10	4	[19, 19, 19, 19]	19	9	9.0	inf	1059	0	0	0	0	[19.0, 9.0]	Small	50	24	5	72	gexf	19	2.11111111111111	0.5
2161	cut	cap	first	Small.50.6.2.73.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3563	0	0	0	0	[6.0, 4.0]	Small	50	6	2	73	gexf	6	1.5	0
2162	cut	cap	first	Small.50.6.2.73.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3635	0	0	0	0	[6.0, 3.0]	Small	50	6	2	73	gexf	6	2	0.5
2163	cut	cap	first	Small.50.6.2.73.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3742	0	0	0	0	[6.0, 1.0]	Small	50	6	2	73	gexf	6	6	0.5
2166	cut	cap	first	Small.50.6.5.73.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3746	0	0	0	0	[5.0, 3.0]	Small	50	6	5	73	gexf	5	1.66666666666667	0.5
2167	cut	cap	first	Small.50.6.5.73.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3751	0	0	0	0	[5.0, 2.0]	Small	50	6	5	73	gexf	5	2.5	0.5
2171	cut	cap	first	Small.50.10.2.73.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2394	0	0	0	0	[8.0, 6.0]	Small	50	10	2	73	gexf	8	1.33333333333333	0.5
2172	cut	cap	first	Small.50.10.2.73.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2399	0	0	0	0	[8.0, 5.0]	Small	50	10	2	73	gexf	8	1.6	0.5
2173	cut	cap	first	Small.50.10.2.73.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2418	0	0	0	0	[8.0, 3.0]	Small	50	10	2	73	gexf	8	2.66666666666667	0.5
2176	cut	cap	first	Small.50.10.5.73.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2349	0	0	0	0	[8.0, 6.0]	Small	50	10	5	73	gexf	8	1.33333333333333	0.5
2177	cut	cap	first	Small.50.10.5.73.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2372	0	0	0	0	[8.0, 5.0]	Small	50	10	5	73	gexf	8	1.6	0.5
2178	cut	cap	first	Small.50.10.5.73.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2413	0	0	0	0	[8.0, 3.0]	Small	50	10	5	73	gexf	8	2.66666666666667	0.5
2181	cut	cap	first	Small.50.24.2.73.gexf	50	1200	2	1	[25, 25, 25, 25]	25	23	23.0	inf	1055	0	0	0	0	[25.0, 23.0]	Small	50	24	2	73	gexf	25	1.08695652173913	0.5
2182	cut	cap	first	Small.50.24.2.73.gexf	50	1200	3	2	[25, 25, 25, 25]	25	22	22.0	inf	1054	0	0	0	0	[25.0, 22.0]	Small	50	24	2	73	gexf	25	1.13636363636364	0.5
2183	cut	cap	first	Small.50.24.2.73.gexf	50	1200	5	3	[25, 25, 25, 25]	25	20	20.0	inf	1054	0	0	0	0	[25.0, 20.0]	Small	50	24	2	73	gexf	25	1.25	0.5
2184	cut	cap	first	Small.50.24.2.73.gexf	50	1200	10	4	[25, 25, 25, 25]	25	15	15.0	inf	1054	0	0	0	0	[25.0, 15.0]	Small	50	24	2	73	gexf	25	1.66666666666667	0.5
2186	cut	cap	first	Small.50.24.5.73.gexf	50	1200	2	1	[22, 22, 22, 22]	22	20	20.0	inf	1029	0	0	0	0	[22.0, 20.0]	Small	50	24	5	73	gexf	22	1.1	0.5
2187	cut	cap	first	Small.50.24.5.73.gexf	50	1200	3	2	[22, 22, 22, 22]	22	19	19.0	inf	1019	0	0	0	0	[22.0, 19.0]	Small	50	24	5	73	gexf	22	1.15789473684211	0.5
2188	cut	cap	first	Small.50.24.5.73.gexf	50	1200	5	3	[22, 22, 22, 22]	22	17	17.0	inf	1025	0	0	0	0	[22.0, 17.0]	Small	50	24	5	73	gexf	22	1.29411764705882	0.5
2189	cut	cap	first	Small.50.24.5.73.gexf	50	1200	10	4	[22, 22, 22, 22]	22	12	12.0	inf	1027	0	0	0	0	[22.0, 12.0]	Small	50	24	5	73	gexf	22	1.83333333333333	0.5
2191	cut	cap	first	Small.50.6.2.74.gexf	50	300	2	1	[4, 4, 4, 4]	4	2	2.0	inf	3666	0	0	0	0	[4.0, 2.0]	Small	50	6	2	74	gexf	4	2	0.5
2192	cut	cap	first	Small.50.6.2.74.gexf	50	300	3	2	[4, 4, 4, 4]	4	1	1.0	inf	3688	0	0	0	0	[4.0, 1.0]	Small	50	6	2	74	gexf	4	4	0.5
2196	cut	cap	first	Small.50.6.5.74.gexf	50	300	2	1	[7, 7, 7, 7]	7	5	5.0	inf	3640	0	0	0	0	[7.0, 5.0]	Small	50	6	5	74	gexf	7	1.4	0.5
2197	cut	cap	first	Small.50.6.5.74.gexf	50	300	3	2	[7, 7, 7, 7]	7	4	4.0	inf	3586	0	0	0	0	[7.0, 4.0]	Small	50	6	5	74	gexf	7	1.75	0.5
2198	cut	cap	first	Small.50.6.5.74.gexf	50	300	5	3	[7, 7, 7, 7]	7	2	2.0	inf	3636	0	0	0	0	[7.0, 2.0]	Small	50	6	5	74	gexf	7	3.5	0.5
2201	cut	cap	first	Small.50.10.2.74.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2356	0	0	0	0	[8.0, 6.0]	Small	50	10	2	74	gexf	8	1.33333333333333	0.5
2202	cut	cap	first	Small.50.10.2.74.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2381	0	0	0	0	[8.0, 5.0]	Small	50	10	2	74	gexf	8	1.6	0.5
