construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5	mem	constant	best
98	cut	cap	first	Small.50.6.5.4.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3698	0	0	0	0	[6.0, 1.0]	Small	50	6	5	4	gexf	6	6	0.5
101	cut	cap	first	Small.50.10.2.4.gexf	50	500	2	1	[9, 9, 9, 9]	9	7	7.0	inf	2399	0	0	0	0	[9.0, 7.0]	Small	50	10	2	4	gexf	9	1.28571428571429	0.5
102	cut	cap	first	Small.50.10.2.4.gexf	50	500	3	2	[9, 9, 9, 9]	9	6	6.0	inf	2400	0	0	0	0	[9.0, 6.0]	Small	50	10	2	4	gexf	9	1.5	0.5
103	cut	cap	first	Small.50.10.2.4.gexf	50	500	5	3	[9, 9, 9, 9]	9	4	4.0	inf	2415	0	0	0	0	[9.0, 4.0]	Small	50	10	2	4	gexf	9	2.25	0.5
106	cut	cap	first	Small.50.10.5.4.gexf	50	500	2	1	[6, 6, 6, 6]	6	4	4.0	inf	2378	0	0	0	0	[6.0, 4.0]	Small	50	10	5	4	gexf	6	1.5	0.5
107	cut	cap	first	Small.50.10.5.4.gexf	50	500	3	2	[6, 6, 6, 6]	6	3	3.0	inf	2400	0	0	0	0	[6.0, 3.0]	Small	50	10	5	4	gexf	6	2	0.5
108	cut	cap	first	Small.50.10.5.4.gexf	50	500	5	3	[6, 6, 6, 6]	6	1	1.0	inf	2407	0	0	0	0	[6.0, 1.0]	Small	50	10	5	4	gexf	6	6	0.5
111	cut	cap	first	Small.50.24.2.4.gexf	50	1200	2	1	[26, 26, 26, 26]	26	24	24.0	inf	1023	0	0	0	0	[26.0, 24.0]	Small	50	24	2	4	gexf	26	1.08333333333333	0.5
112	cut	cap	first	Small.50.24.2.4.gexf	50	1200	3	2	[26, 26, 26, 26]	26	23	23.0	inf	1035	0	0	0	0	[26.0, 23.0]	Small	50	24	2	4	gexf	26	1.1304347826087	0.5
113	cut	cap	first	Small.50.24.2.4.gexf	50	1200	5	3	[26, 26, 26, 26]	26	21	21.0	inf	1025	0	0	0	0	[26.0, 21.0]	Small	50	24	2	4	gexf	26	1.23809523809524	0.5
114	cut	cap	first	Small.50.24.2.4.gexf	50	1200	10	4	[26, 26, 26, 26]	26	16	16.0	inf	1040	0	0	0	0	[26.0, 16.0]	Small	50	24	2	4	gexf	26	1.625	0.5
116	cut	cap	first	Small.50.24.5.4.gexf	50	1200	2	1	[26, 26, 26, 26]	26	24	24.0	inf	1016	0	0	0	0	[26.0, 24.0]	Small	50	24	5	4	gexf	26	1.08333333333333	0.5
117	cut	cap	first	Small.50.24.5.4.gexf	50	1200	3	2	[26, 26, 26, 26]	26	23	23.0	inf	1021	0	0	0	0	[26.0, 23.0]	Small	50	24	5	4	gexf	26	1.1304347826087	0.5
118	cut	cap	first	Small.50.24.5.4.gexf	50	1200	5	3	[26, 26, 26, 26]	26	21	21.0	inf	1017	0	0	0	0	[26.0, 21.0]	Small	50	24	5	4	gexf	26	1.23809523809524	0.5
119	cut	cap	first	Small.50.24.5.4.gexf	50	1200	10	4	[26, 26, 26, 26]	26	16	16.0	inf	1029	0	0	0	0	[26.0, 16.0]	Small	50	24	5	4	gexf	26	1.625	0.5
121	cut	cap	first	Small.50.6.2.5.gexf	50	300	2	1	[7, 7, 7, 7]	7	5	5.0	inf	3604	0	0	0	0	[7.0, 5.0]	Small	50	6	2	5	gexf	7	1.4	0.5
122	cut	cap	first	Small.50.6.2.5.gexf	50	300	3	2	[7, 7, 7, 7]	7	4	4.0	inf	3705	0	0	0	0	[7.0, 4.0]	Small	50	6	2	5	gexf	7	1.75	0.5
