path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4
Complete.50.1.3.gexf,10,24.34177110162501,1,Complete,50,1,3,gexf
Complete.50.1.3.gexf,50,F,F,Complete,50,1,3,gexf
Complete.50.20.3.gexf,2,478,1,Complete,50,20,3,gexf
Complete.50.20.3.gexf,3,478,1,Complete,50,20,3,gexf
Complete.50.20.3.gexf,5,478,1,Complete,50,20,3,gexf
Complete.50.20.3.gexf,10,478,1,Complete,50,20,3,gexf
Complete.50.20.3.gexf,50,F,F,Complete,50,20,3,gexf
Complete.100.1.3.gexf,2,48.44094911492888,1,Complete,100,1,3,gexf
Complete.100.1.3.gexf,3,48.44094911492888,1,Complete,100,1,3,gexf
Complete.100.1.3.gexf,5,48.44094911492888,1,Complete,100,1,3,gexf
Complete.100.1.3.gexf,10,48.44094911492888,1,Complete,100,1,3,gexf
Complete.100.1.3.gexf,50,48.301136053210115,8,Complete,100,1,3,gexf
Complete.100.20.3.gexf,2,972,1,Complete,100,20,3,gexf
Complete.100.20.3.gexf,3,972,1,Complete,100,20,3,gexf
Complete.100.20.3.gexf,5,972,1,Complete,100,20,3,gexf
Complete.100.20.3.gexf,10,972,1,Complete,100,20,3,gexf
Complete.100.20.3.gexf,50,972,1,Complete,100,20,3,gexf
Complete.500.1.3.gexf,2,254.62833811168727,1,Complete,500,1,3,gexf
Complete.500.1.3.gexf,3,254.62833811168727,1,Complete,500,1,3,gexf
Complete.500.1.3.gexf,5,254.62833811168727,1,Complete,500,1,3,gexf
Complete.500.1.3.gexf,10,254.62833811168727,1,Complete,500,1,3,gexf
Complete.500.1.3.gexf,50,254.62833811168727,1,Complete,500,1,3,gexf
Complete.500.20.3.gexf,2,4877,1,Complete,500,20,3,gexf
Complete.500.20.3.gexf,3,4877,1,Complete,500,20,3,gexf
Complete.500.20.3.gexf,5,4877,1,Complete,500,20,3,gexf
Complete.500.20.3.gexf,10,4877,1,Complete,500,20,3,gexf
Complete.500.20.3.gexf,50,4877,1,Complete,500,20,3,gexf
Complete.1000.1.3.gexf,2,489.12130445669345,1,Complete,1000,1,3,gexf
Complete.1000.1.3.gexf,3,489.12130445669345,1,Complete,1000,1,3,gexf
Complete.1000.1.3.gexf,5,489.12130445669345,1,Complete,1000,1,3,gexf
Complete.1000.1.3.gexf,10,489.12130445669345,1,Complete,1000,1,3,gexf
Complete.1000.1.3.gexf,50,489.12130445669345,1,Complete,1000,1,3,gexf
Complete.1000.20.3.gexf,2,9934,1,Complete,1000,20,3,gexf
Complete.1000.20.3.gexf,3,9934,1,Complete,1000,20,3,gexf
Complete.1000.20.3.gexf,5,9934,1,Complete,1000,20,3,gexf
Complete.1000.20.3.gexf,10,9934,1,Complete,1000,20,3,gexf
Complete.1000.20.3.gexf,50,9934,1,Complete,1000,20,3,gexf
Complete.50.1.4.gexf,2,22.10314820369759,1,Complete,50,1,4,gexf
Complete.50.1.4.gexf,3,22.10314820369759,1,Complete,50,1,4,gexf
Complete.50.1.4.gexf,5,22.10314820369759,1,Complete,50,1,4,gexf
Complete.50.1.4.gexf,10,22.10314820369759,1,Complete,50,1,4,gexf
Complete.50.1.4.gexf,50,F,F,Complete,50,1,4,gexf
Complete.50.20.4.gexf,2,480,1,Complete,50,20,4,gexf
Complete.50.20.4.gexf,3,480,1,Complete,50,20,4,gexf
Complete.50.20.4.gexf,5,480,1,Complete,50,20,4,gexf
Complete.50.20.4.gexf,10,480,1,Complete,50,20,4,gexf
Complete.50.20.4.gexf,50,F,F,Complete,50,20,4,gexf
Complete.100.1.4.gexf,2,47.63634405281464,1,Complete,100,1,4,gexf
Complete.100.1.4.gexf,3,47.63634405281464,1,Complete,100,1,4,gexf
Complete.100.1.4.gexf,5,47.63634405281464,1,Complete,100,1,4,gexf
Complete.100.1.4.gexf,10,47.63634405281464,1,Complete,100,1,4,gexf
Complete.100.1.4.gexf,50,47.464513986967134,6,Complete,100,1,4,gexf
Complete.100.20.4.gexf,2,937,1,Complete,100,20,4,gexf
Complete.100.20.4.gexf,3,937,1,Complete,100,20,4,gexf
Complete.100.20.4.gexf,5,937,1,Complete,100,20,4,gexf
Complete.100.20.4.gexf,10,937,1,Complete,100,20,4,gexf
Complete.100.20.4.gexf,50,932.7333333333333,7,Complete,100,20,4,gexf
Complete.500.1.4.gexf,2,245.99201044552615,1,Complete,500,1,4,gexf
Complete.500.1.4.gexf,3,245.99201044552615,1,Complete,500,1,4,gexf
Complete.500.1.4.gexf,5,245.99201044552615,1,Complete,500,1,4,gexf
Complete.500.1.4.gexf,10,245.99201044552615,1,Complete,500,1,4,gexf
Complete.500.1.4.gexf,50,245.99201044552615,1,Complete,500,1,4,gexf
Complete.500.20.4.gexf,2,4794,1,Complete,500,20,4,gexf
Complete.500.20.4.gexf,3,4794,1,Complete,500,20,4,gexf
Complete.500.20.4.gexf,5,4794,1,Complete,500,20,4,gexf
Complete.500.20.4.gexf,10,4794,1,Complete,500,20,4,gexf
Complete.500.20.4.gexf,50,4794,1,Complete,500,20,4,gexf
Complete.1000.1.4.gexf,2,498.68392839911184,2,Complete,1000,1,4,gexf
Complete.1000.1.4.gexf,3,498.68392839911184,1,Complete,1000,1,4,gexf
Complete.1000.1.4.gexf,5,498.68392839911184,3,Complete,1000,1,4,gexf
Complete.1000.1.4.gexf,10,498.68392839911184,1,Complete,1000,1,4,gexf
Complete.1000.1.4.gexf,50,498.68392839911184,1,Complete,1000,1,4,gexf
Complete.1000.20.4.gexf,2,9760,1,Complete,1000,20,4,gexf
Complete.1000.20.4.gexf,3,9760,1,Complete,1000,20,4,gexf
Complete.1000.20.4.gexf,5,9760,1,Complete,1000,20,4,gexf
Complete.1000.20.4.gexf,10,9760,1,Complete,1000,20,4,gexf
Complete.1000.20.4.gexf,50,9760,1,Complete,1000,20,4,gexf
