path	k	max.multirute.flow	iterations	k.0	n	multiple	ex	k.4
1227	R-MAT.100.25.21.gexf	3	121	1	R-MAT	100	25	21	gexf
1228	R-MAT.100.25.21.gexf	5	121	1	R-MAT	100	25	21	gexf
1229	R-MAT.100.25.21.gexf	10	121	1	R-MAT	100	25	21	gexf
1231	R-MAT.500.5.21.gexf	2	56	1	R-MAT	500	5	21	gexf
1232	R-MAT.500.5.21.gexf	3	56	1	R-MAT	500	5	21	gexf
1233	R-MAT.500.5.21.gexf	5	56	1	R-MAT	500	5	21	gexf
1234	R-MAT.500.5.21.gexf	10	52.8	2	R-MAT	500	5	21	gexf
1236	R-MAT.500.10.21.gexf	2	114	1	R-MAT	500	10	21	gexf
1237	R-MAT.500.10.21.gexf	3	114	1	R-MAT	500	10	21	gexf
1238	R-MAT.500.10.21.gexf	5	114	1	R-MAT	500	10	21	gexf
1239	R-MAT.500.10.21.gexf	10	112.444444444444	3	R-MAT	500	10	21	gexf
1240	R-MAT.500.10.21.gexf	50	84	18	R-MAT	500	10	21	gexf
1241	R-MAT.500.25.21.gexf	2	289	1	R-MAT	500	25	21	gexf
1242	R-MAT.500.25.21.gexf	3	289	1	R-MAT	500	25	21	gexf
1243	R-MAT.500.25.21.gexf	5	289	1	R-MAT	500	25	21	gexf
1244	R-MAT.500.25.21.gexf	10	288.2	2	R-MAT	500	25	21	gexf
1245	R-MAT.500.25.21.gexf	50	220.227272727273	9	R-MAT	500	25	21	gexf
1246	R-MAT.1000.5.21.gexf	2	64	1	R-MAT	1000	5	21	gexf
1247	R-MAT.1000.5.21.gexf	3	64	1	R-MAT	1000	5	21	gexf
1248	R-MAT.1000.5.21.gexf	5	64	1	R-MAT	1000	5	21	gexf
1249	R-MAT.1000.5.21.gexf	10	64	1	R-MAT	1000	5	21	gexf
1251	R-MAT.1000.10.21.gexf	2	123	1	R-MAT	1000	10	21	gexf
1252	R-MAT.1000.10.21.gexf	3	123	1	R-MAT	1000	10	21	gexf
1253	R-MAT.1000.10.21.gexf	5	123	1	R-MAT	1000	10	21	gexf
1254	R-MAT.1000.10.21.gexf	10	123	1	R-MAT	1000	10	21	gexf
1255	R-MAT.1000.10.21.gexf	50	106.744186046512	9	R-MAT	1000	10	21	gexf
1256	R-MAT.1000.25.21.gexf	2	356	1	R-MAT	1000	25	21	gexf
1257	R-MAT.1000.25.21.gexf	3	356	1	R-MAT	1000	25	21	gexf
1258	R-MAT.1000.25.21.gexf	5	356	1	R-MAT	1000	25	21	gexf
1259	R-MAT.1000.25.21.gexf	10	356	2	R-MAT	1000	25	21	gexf
1260	R-MAT.1000.25.21.gexf	50	316.674418604651	9	R-MAT	1000	25	21	gexf
1261	R-MAT.50.5.22.gexf	2	9	1	R-MAT	50	5	22	gexf
1262	R-MAT.50.5.22.gexf	3	9	1	R-MAT	50	5	22	gexf
1263	R-MAT.50.5.22.gexf	5	8.4	2	R-MAT	50	5	22	gexf
1266	R-MAT.50.10.22.gexf	2	22	1	R-MAT	50	10	22	gexf
1267	R-MAT.50.10.22.gexf	3	22	1	R-MAT	50	10	22	gexf
1268	R-MAT.50.10.22.gexf	5	22	1	R-MAT	50	10	22	gexf
1269	R-MAT.50.10.22.gexf	10	13.2	8	R-MAT	50	10	22	gexf
1271	R-MAT.50.25.22.gexf	2	74	1	R-MAT	50	25	22	gexf
1272	R-MAT.50.25.22.gexf	3	74	1	R-MAT	50	25	22	gexf
1273	R-MAT.50.25.22.gexf	5	74	1	R-MAT	50	25	22	gexf
1274	R-MAT.50.25.22.gexf	10	69.3	2	R-MAT	50	25	22	gexf
1276	R-MAT.100.5.22.gexf	2	23	1	R-MAT	100	5	22	gexf
1277	R-MAT.100.5.22.gexf	3	23	1	R-MAT	100	5	22	gexf
1278	R-MAT.100.5.22.gexf	5	23	1	R-MAT	100	5	22	gexf
1279	R-MAT.100.5.22.gexf	10	18.3333333333333	6	R-MAT	100	5	22	gexf
1281	R-MAT.100.10.22.gexf	2	45	1	R-MAT	100	10	22	gexf
1282	R-MAT.100.10.22.gexf	3	45	1	R-MAT	100	10	22	gexf
1283	R-MAT.100.10.22.gexf	5	45	1	R-MAT	100	10	22	gexf
1284	R-MAT.100.10.22.gexf	10	44	2	R-MAT	100	10	22	gexf
1286	R-MAT.100.25.22.gexf	2	95	1	R-MAT	100	25	22	gexf
1287	R-MAT.100.25.22.gexf	3	95	1	R-MAT	100	25	22	gexf
1288	R-MAT.100.25.22.gexf	5	95	1	R-MAT	100	25	22	gexf
1289	R-MAT.100.25.22.gexf	10	95	1	R-MAT	100	25	22	gexf
1291	R-MAT.500.5.22.gexf	2	41	1	R-MAT	500	5	22	gexf
1292	R-MAT.500.5.22.gexf	3	41	1	R-MAT	500	5	22	gexf
1293	R-MAT.500.5.22.gexf	5	41	1	R-MAT	500	5	22	gexf
1294	R-MAT.500.5.22.gexf	10	40.7	2	R-MAT	500	5	22	gexf
1296	R-MAT.500.10.22.gexf	2	99	1	R-MAT	500	10	22	gexf
1297	R-MAT.500.10.22.gexf	3	99	1	R-MAT	500	10	22	gexf
1298	R-MAT.500.10.22.gexf	5	99	1	R-MAT	500	10	22	gexf
1299	R-MAT.500.10.22.gexf	10	96.8	3	R-MAT	500	10	22	gexf
1300	R-MAT.500.10.22.gexf	50	70.2972972972973	15	R-MAT	500	10	22	gexf
1301	R-MAT.500.25.22.gexf	2	264	1	R-MAT	500	25	22	gexf
1302	R-MAT.500.25.22.gexf	3	264	1	R-MAT	500	25	22	gexf
1303	R-MAT.500.25.22.gexf	5	264	1	R-MAT	500	25	22	gexf
1304	R-MAT.500.25.22.gexf	10	261.8	2	R-MAT	500	25	22	gexf
1305	R-MAT.500.25.22.gexf	50	206.318181818182	9	R-MAT	500	25	22	gexf
1306	R-MAT.1000.5.22.gexf	2	61	1	R-MAT	1000	5	22	gexf
1307	R-MAT.1000.5.22.gexf	3	61	1	R-MAT	1000	5	22	gexf
1308	R-MAT.1000.5.22.gexf	5	61	1	R-MAT	1000	5	22	gexf
1309	R-MAT.1000.5.22.gexf	10	61	2	R-MAT	1000	5	22	gexf
1310	R-MAT.1000.5.22.gexf	50	52.1333333333333	7	R-MAT	1000	5	22	gexf
1311	R-MAT.1000.10.22.gexf	2	153	1	R-MAT	1000	10	22	gexf
1312	R-MAT.1000.10.22.gexf	3	153	1	R-MAT	1000	10	22	gexf
1313	R-MAT.1000.10.22.gexf	5	153	1	R-MAT	1000	10	22	gexf
1314	R-MAT.1000.10.22.gexf	10	152.9	2	R-MAT	1000	10	22	gexf
1315	R-MAT.1000.10.22.gexf	50	128.659090909091	8	R-MAT	1000	10	22	gexf
1316	R-MAT.1000.25.22.gexf	2	342	1	R-MAT	1000	25	22	gexf
1317	R-MAT.1000.25.22.gexf	3	342	1	R-MAT	1000	25	22	gexf
1318	R-MAT.1000.25.22.gexf	5	342	1	R-MAT	1000	25	22	gexf
1319	R-MAT.1000.25.22.gexf	10	342	1	R-MAT	1000	25	22	gexf
1320	R-MAT.1000.25.22.gexf	50	317.860465116279	9	R-MAT	1000	25	22	gexf
1321	R-MAT.50.5.23.gexf	2	10	1	R-MAT	50	5	23	gexf
1322	R-MAT.50.5.23.gexf	3	10	1	R-MAT	50	5	23	gexf
1323	R-MAT.50.5.23.gexf	5	8	5	R-MAT	50	5	23	gexf
1326	R-MAT.50.10.23.gexf	2	27	1	R-MAT	50	10	23	gexf
1327	R-MAT.50.10.23.gexf	3	27	1	R-MAT	50	10	23	gexf
1328	R-MAT.50.10.23.gexf	5	27	1	R-MAT	50	10	23	gexf
1329	R-MAT.50.10.23.gexf	10	23.375	4	R-MAT	50	10	23	gexf
1331	R-MAT.50.25.23.gexf	2	76	1	R-MAT	50	25	23	gexf
1332	R-MAT.50.25.23.gexf	3	76	1	R-MAT	50	25	23	gexf
1333	R-MAT.50.25.23.gexf	5	76	2	R-MAT	50	25	23	gexf
1334	R-MAT.50.25.23.gexf	10	70.4	2	R-MAT	50	25	23	gexf
1336	R-MAT.100.5.23.gexf	2	18	1	R-MAT	100	5	23	gexf
1337	R-MAT.100.5.23.gexf	3	17.3333333333333	2	R-MAT	100	5	23	gexf
1338	R-MAT.100.5.23.gexf	5	15.6	3	R-MAT	100	5	23	gexf
1339	R-MAT.100.5.23.gexf	10	11	5	R-MAT	100	5	23	gexf
1341	R-MAT.100.10.23.gexf	2	36	1	R-MAT	100	10	23	gexf
1342	R-MAT.100.10.23.gexf	3	36	1	R-MAT	100	10	23	gexf
1343	R-MAT.100.10.23.gexf	5	36	1	R-MAT	100	10	23	gexf
1344	R-MAT.100.10.23.gexf	10	28.875	4	R-MAT	100	10	23	gexf
1346	R-MAT.100.25.23.gexf	2	115	1	R-MAT	100	25	23	gexf
1347	R-MAT.100.25.23.gexf	3	115	1	R-MAT	100	25	23	gexf
1348	R-MAT.100.25.23.gexf	5	115	1	R-MAT	100	25	23	gexf
1349	R-MAT.100.25.23.gexf	10	113.666666666667	3	R-MAT	100	25	23	gexf
1351	R-MAT.500.5.23.gexf	2	56	1	R-MAT	500	5	23	gexf
1352	R-MAT.500.5.23.gexf	3	56	1	R-MAT	500	5	23	gexf
1353	R-MAT.500.5.23.gexf	5	56	1	R-MAT	500	5	23	gexf
1354	R-MAT.500.5.23.gexf	10	55	2	R-MAT	500	5	23	gexf
1356	R-MAT.500.10.23.gexf	2	92	1	R-MAT	500	10	23	gexf
1357	R-MAT.500.10.23.gexf	3	92	1	R-MAT	500	10	23	gexf
1358	R-MAT.500.10.23.gexf	5	92	1	R-MAT	500	10	23	gexf
1359	R-MAT.500.10.23.gexf	10	88	2	R-MAT	500	10	23	gexf
1360	R-MAT.500.10.23.gexf	50	63.75	16	R-MAT	500	10	23	gexf
1361	R-MAT.500.25.23.gexf	2	302	1	R-MAT	500	25	23	gexf
1362	R-MAT.500.25.23.gexf	3	302	1	R-MAT	500	25	23	gexf
1363	R-MAT.500.25.23.gexf	5	302	1	R-MAT	500	25	23	gexf
1364	R-MAT.500.25.23.gexf	10	300.3	2	R-MAT	500	25	23	gexf
1365	R-MAT.500.25.23.gexf	50	230.714285714286	10	R-MAT	500	25	23	gexf
1366	R-MAT.1000.5.23.gexf	2	85	1	R-MAT	1000	5	23	gexf
1367	R-MAT.1000.5.23.gexf	3	85	1	R-MAT	1000	5	23	gexf
1368	R-MAT.1000.5.23.gexf	5	85	1	R-MAT	1000	5	23	gexf
1369	R-MAT.1000.5.23.gexf	10	85	1	R-MAT	1000	5	23	gexf
1370	R-MAT.1000.5.23.gexf	50	62.475	12	R-MAT	1000	5	23	gexf
1371	R-MAT.1000.10.23.gexf	2	149	1	R-MAT	1000	10	23	gexf
1372	R-MAT.1000.10.23.gexf	3	149	1	R-MAT	1000	10	23	gexf
1373	R-MAT.1000.10.23.gexf	5	149	1	R-MAT	1000	10	23	gexf
1374	R-MAT.1000.10.23.gexf	10	149	1	R-MAT	1000	10	23	gexf
1375	R-MAT.1000.10.23.gexf	50	123.348837209302	9	R-MAT	1000	10	23	gexf
1376	R-MAT.1000.25.23.gexf	2	366	1	R-MAT	1000	25	23	gexf
1377	R-MAT.1000.25.23.gexf	3	366	1	R-MAT	1000	25	23	gexf
1378	R-MAT.1000.25.23.gexf	5	366	1	R-MAT	1000	25	23	gexf
1379	R-MAT.1000.25.23.gexf	10	366	1	R-MAT	1000	25	23	gexf
1380	R-MAT.1000.25.23.gexf	50	338.866666666667	7	R-MAT	1000	25	23	gexf
1381	R-MAT.50.5.24.gexf	2	18	1	R-MAT	50	5	24	gexf
1382	R-MAT.50.5.24.gexf	3	17.3333333333333	2	R-MAT	50	5	24	gexf
1383	R-MAT.50.5.24.gexf	5	15.6	3	R-MAT	50	5	24	gexf
1384	R-MAT.50.5.24.gexf	10	12.375	5	R-MAT	50	5	24	gexf
1386	R-MAT.50.10.24.gexf	2	26	1	R-MAT	50	10	24	gexf
1387	R-MAT.50.10.24.gexf	3	25.3333333333333	2	R-MAT	50	10	24	gexf
1388	R-MAT.50.10.24.gexf	5	22.5	4	R-MAT	50	10	24	gexf
1389	R-MAT.50.10.24.gexf	10	14.6666666666667	6	R-MAT	50	10	24	gexf
1391	R-MAT.50.25.24.gexf	2	71	1	R-MAT	50	25	24	gexf
1392	R-MAT.50.25.24.gexf	3	71	1	R-MAT	50	25	24	gexf
1393	R-MAT.50.25.24.gexf	5	71	1	R-MAT	50	25	24	gexf
1394	R-MAT.50.25.24.gexf	10	66	2	R-MAT	50	25	24	gexf
1396	R-MAT.100.5.24.gexf	2	17	1	R-MAT	100	5	24	gexf
1397	R-MAT.100.5.24.gexf	3	17	1	R-MAT	100	5	24	gexf
1398	R-MAT.100.5.24.gexf	5	16.8	2	R-MAT	100	5	24	gexf
1399	R-MAT.100.5.24.gexf	10	11	6	R-MAT	100	5	24	gexf
1401	R-MAT.100.10.24.gexf	2	50	1	R-MAT	100	10	24	gexf
1402	R-MAT.100.10.24.gexf	3	50	1	R-MAT	100	10	24	gexf
1403	R-MAT.100.10.24.gexf	5	50	1	R-MAT	100	10	24	gexf
1404	R-MAT.100.10.24.gexf	10	44	4	R-MAT	100	10	24	gexf
1406	R-MAT.100.25.24.gexf	2	106	1	R-MAT	100	25	24	gexf
1407	R-MAT.100.25.24.gexf	3	106	1	R-MAT	100	25	24	gexf
1408	R-MAT.100.25.24.gexf	5	106	1	R-MAT	100	25	24	gexf
1409	R-MAT.100.25.24.gexf	10	106	1	R-MAT	100	25	24	gexf
1411	R-MAT.500.5.24.gexf	2	41	1	R-MAT	500	5	24	gexf
1412	R-MAT.500.5.24.gexf	3	41	1	R-MAT	500	5	24	gexf
1413	R-MAT.500.5.24.gexf	5	41	1	R-MAT	500	5	24	gexf
1414	R-MAT.500.5.24.gexf	10	41	1	R-MAT	500	5	24	gexf
1416	R-MAT.500.10.24.gexf	2	101	1	R-MAT	500	10	24	gexf
1417	R-MAT.500.10.24.gexf	3	101	1	R-MAT	500	10	24	gexf
1418	R-MAT.500.10.24.gexf	5	101	1	R-MAT	500	10	24	gexf
1419	R-MAT.500.10.24.gexf	10	100.1	2	R-MAT	500	10	24	gexf
1420	R-MAT.500.10.24.gexf	50	75	21	R-MAT	500	10	24	gexf
1421	R-MAT.500.25.24.gexf	2	244	1	R-MAT	500	25	24	gexf
1422	R-MAT.500.25.24.gexf	3	244	1	R-MAT	500	25	24	gexf
1423	R-MAT.500.25.24.gexf	5	244	1	R-MAT	500	25	24	gexf
1424	R-MAT.500.25.24.gexf	10	242	2	R-MAT	500	25	24	gexf
1425	R-MAT.500.25.24.gexf	50	185.692307692308	13	R-MAT	500	25	24	gexf
1426	R-MAT.1000.5.24.gexf	2	62	1	R-MAT	1000	5	24	gexf
1427	R-MAT.1000.5.24.gexf	3	62	1	R-MAT	1000	5	24	gexf
1428	R-MAT.1000.5.24.gexf	5	62	1	R-MAT	1000	5	24	gexf
1429	R-MAT.1000.5.24.gexf	10	62	1	R-MAT	1000	5	24	gexf
1431	R-MAT.1000.10.24.gexf	2	152	1	R-MAT	1000	10	24	gexf
1432	R-MAT.1000.10.24.gexf	3	152	1	R-MAT	1000	10	24	gexf
1433	R-MAT.1000.10.24.gexf	5	152	1	R-MAT	1000	10	24	gexf
1434	R-MAT.1000.10.24.gexf	10	152	1	R-MAT	1000	10	24	gexf
1435	R-MAT.1000.10.24.gexf	50	129.461538461538	14	R-MAT	1000	10	24	gexf
1436	R-MAT.1000.25.24.gexf	2	363	1	R-MAT	1000	25	24	gexf
1437	R-MAT.1000.25.24.gexf	3	363	1	R-MAT	1000	25	24	gexf
1438	R-MAT.1000.25.24.gexf	5	363	1	R-MAT	1000	25	24	gexf
1439	R-MAT.1000.25.24.gexf	10	363	1	R-MAT	1000	25	24	gexf
1440	R-MAT.1000.25.24.gexf	50	320.232558139535	10	R-MAT	1000	25	24	gexf
1441	R-MAT.50.5.25.gexf	2	4.5	2	R-MAT	50	5	25	gexf
1442	R-MAT.50.5.25.gexf	3	4	2	R-MAT	50	5	25	gexf
1446	R-MAT.50.10.25.gexf	2	21	1	R-MAT	50	10	25	gexf
1447	R-MAT.50.10.25.gexf	3	21	1	R-MAT	50	10	25	gexf
1448	R-MAT.50.10.25.gexf	5	18	3	R-MAT	50	10	25	gexf
1449	R-MAT.50.10.25.gexf	10	12.5714285714286	5	R-MAT	50	10	25	gexf
1451	R-MAT.50.25.25.gexf	2	79	1	R-MAT	50	25	25	gexf
1452	R-MAT.50.25.25.gexf	3	79	1	R-MAT	50	25	25	gexf
1453	R-MAT.50.25.25.gexf	5	79	1	R-MAT	50	25	25	gexf
1454	R-MAT.50.25.25.gexf	10	73.8571428571429	5	R-MAT	50	25	25	gexf
1456	R-MAT.100.5.25.gexf	2	13	1	R-MAT	100	5	25	gexf
1457	R-MAT.100.5.25.gexf	3	13	1	R-MAT	100	5	25	gexf
1458	R-MAT.100.5.25.gexf	5	12	2	R-MAT	100	5	25	gexf
1461	R-MAT.100.10.25.gexf	2	45	1	R-MAT	100	10	25	gexf
1462	R-MAT.100.10.25.gexf	3	45	1	R-MAT	100	10	25	gexf
1463	R-MAT.100.10.25.gexf	5	45	1	R-MAT	100	10	25	gexf
1464	R-MAT.100.10.25.gexf	10	42.4285714285714	6	R-MAT	100	10	25	gexf
1466	R-MAT.100.25.25.gexf	2	110	1	R-MAT	100	25	25	gexf
1467	R-MAT.100.25.25.gexf	3	110	1	R-MAT	100	25	25	gexf
1468	R-MAT.100.25.25.gexf	5	110	1	R-MAT	100	25	25	gexf
1469	R-MAT.100.25.25.gexf	10	108.777777777778	4	R-MAT	100	25	25	gexf
1471	R-MAT.500.5.25.gexf	2	35	1	R-MAT	500	5	25	gexf
1472	R-MAT.500.5.25.gexf	3	35	1	R-MAT	500	5	25	gexf
1473	R-MAT.500.5.25.gexf	5	35	1	R-MAT	500	5	25	gexf
1474	R-MAT.500.5.25.gexf	10	33	2	R-MAT	500	5	25	gexf
1476	R-MAT.500.10.25.gexf	2	109	1	R-MAT	500	10	25	gexf
1477	R-MAT.500.10.25.gexf	3	109	1	R-MAT	500	10	25	gexf
1478	R-MAT.500.10.25.gexf	5	109	1	R-MAT	500	10	25	gexf
1479	R-MAT.500.10.25.gexf	10	109	1	R-MAT	500	10	25	gexf
1480	R-MAT.500.10.25.gexf	50	91.1818181818182	20	R-MAT	500	10	25	gexf
1481	R-MAT.500.25.25.gexf	2	256	1	R-MAT	500	25	25	gexf
1482	R-MAT.500.25.25.gexf	3	256	1	R-MAT	500	25	25	gexf
1483	R-MAT.500.25.25.gexf	5	256	1	R-MAT	500	25	25	gexf
1484	R-MAT.500.25.25.gexf	10	255.2	2	R-MAT	500	25	25	gexf
1485	R-MAT.500.25.25.gexf	50	197.461538461538	13	R-MAT	500	25	25	gexf
1486	R-MAT.1000.5.25.gexf	2	68	1	R-MAT	1000	5	25	gexf
1487	R-MAT.1000.5.25.gexf	3	68	1	R-MAT	1000	5	25	gexf
1488	R-MAT.1000.5.25.gexf	5	68	1	R-MAT	1000	5	25	gexf
1489	R-MAT.1000.5.25.gexf	10	68	1	R-MAT	1000	5	25	gexf
1490	R-MAT.1000.5.25.gexf	50	53.6153846153846	14	R-MAT	1000	5	25	gexf
1491	R-MAT.1000.10.25.gexf	2	130	1	R-MAT	1000	10	25	gexf
1492	R-MAT.1000.10.25.gexf	3	130	1	R-MAT	1000	10	25	gexf
1493	R-MAT.1000.10.25.gexf	5	130	1	R-MAT	1000	10	25	gexf
1494	R-MAT.1000.10.25.gexf	10	130	1	R-MAT	1000	10	25	gexf
1495	R-MAT.1000.10.25.gexf	50	108.071428571429	10	R-MAT	1000	10	25	gexf
1496	R-MAT.1000.25.25.gexf	2	361	1	R-MAT	1000	25	25	gexf
1497	R-MAT.1000.25.25.gexf	3	361	1	R-MAT	1000	25	25	gexf
1498	R-MAT.1000.25.25.gexf	5	361	1	R-MAT	1000	25	25	gexf
1499	R-MAT.1000.25.25.gexf	10	361	1	R-MAT	1000	25	25	gexf
1500	R-MAT.1000.25.25.gexf	50	320.733333333333	7	R-MAT	1000	25	25	gexf
1501	R-MAT.50.5.26.gexf	2	10.5	2	R-MAT	50	5	26	gexf
1502	R-MAT.50.5.26.gexf	3	9.33333333333333	2	R-MAT	50	5	26	gexf
1503	R-MAT.50.5.26.gexf	5	8.4	2	R-MAT	50	5	26	gexf
1506	R-MAT.50.10.26.gexf	2	29	1	R-MAT	50	10	26	gexf
1507	R-MAT.50.10.26.gexf	3	29	1	R-MAT	50	10	26	gexf
1508	R-MAT.50.10.26.gexf	5	28.8	2	R-MAT	50	10	26	gexf
1509	R-MAT.50.10.26.gexf	10	25.6666666666667	3	R-MAT	50	10	26	gexf
1511	R-MAT.50.25.26.gexf	2	75	1	R-MAT	50	25	26	gexf
1512	R-MAT.50.25.26.gexf	3	75	1	R-MAT	50	25	26	gexf
1513	R-MAT.50.25.26.gexf	5	75	1	R-MAT	50	25	26	gexf
1514	R-MAT.50.25.26.gexf	10	56.5714285714286	7	R-MAT	50	25	26	gexf
1516	R-MAT.100.5.26.gexf	2	15	1	R-MAT	100	5	26	gexf
1517	R-MAT.100.5.26.gexf	3	15	1	R-MAT	100	5	26	gexf
1518	R-MAT.100.5.26.gexf	5	14.4	2	R-MAT	100	5	26	gexf
1519	R-MAT.100.5.26.gexf	10	11	4	R-MAT	100	5	26	gexf
1521	R-MAT.100.10.26.gexf	2	43	1	R-MAT	100	10	26	gexf
1522	R-MAT.100.10.26.gexf	3	43	1	R-MAT	100	10	26	gexf
1523	R-MAT.100.10.26.gexf	5	42	3	R-MAT	100	10	26	gexf
1524	R-MAT.100.10.26.gexf	10	37.8888888888889	4	R-MAT	100	10	26	gexf
1526	R-MAT.100.25.26.gexf	2	114	1	R-MAT	100	25	26	gexf
1527	R-MAT.100.25.26.gexf	3	114	1	R-MAT	100	25	26	gexf
1528	R-MAT.100.25.26.gexf	5	114	1	R-MAT	100	25	26	gexf
1529	R-MAT.100.25.26.gexf	10	111.222222222222	3	R-MAT	100	25	26	gexf
1531	R-MAT.500.5.26.gexf	2	53	1	R-MAT	500	5	26	gexf
1532	R-MAT.500.5.26.gexf	3	53	1	R-MAT	500	5	26	gexf
1533	R-MAT.500.5.26.gexf	5	53	1	R-MAT	500	5	26	gexf
1534	R-MAT.500.5.26.gexf	10	52.8	2	R-MAT	500	5	26	gexf
1536	R-MAT.500.10.26.gexf	2	117	1	R-MAT	500	10	26	gexf
1537	R-MAT.500.10.26.gexf	3	117	1	R-MAT	500	10	26	gexf
1538	R-MAT.500.10.26.gexf	5	117	1	R-MAT	500	10	26	gexf
1539	R-MAT.500.10.26.gexf	10	110	3	R-MAT	500	10	26	gexf
1540	R-MAT.500.10.26.gexf	50	69.5454545454546	20	R-MAT	500	10	26	gexf
1541	R-MAT.500.25.26.gexf	2	252	1	R-MAT	500	25	26	gexf
1542	R-MAT.500.25.26.gexf	3	252	1	R-MAT	500	25	26	gexf
1543	R-MAT.500.25.26.gexf	5	252	1	R-MAT	500	25	26	gexf
1544	R-MAT.500.25.26.gexf	10	251.9	2	R-MAT	500	25	26	gexf
1545	R-MAT.500.25.26.gexf	50	199.75	16	R-MAT	500	25	26	gexf
1546	R-MAT.1000.5.26.gexf	2	55	1	R-MAT	1000	5	26	gexf
1547	R-MAT.1000.5.26.gexf	3	55	1	R-MAT	1000	5	26	gexf
1548	R-MAT.1000.5.26.gexf	5	55	1	R-MAT	1000	5	26	gexf
1549	R-MAT.1000.5.26.gexf	10	55	1	R-MAT	1000	5	26	gexf
1551	R-MAT.1000.10.26.gexf	2	136	1	R-MAT	1000	10	26	gexf
1552	R-MAT.1000.10.26.gexf	3	136	1	R-MAT	1000	10	26	gexf
1553	R-MAT.1000.10.26.gexf	5	136	1	R-MAT	1000	10	26	gexf
1554	R-MAT.1000.10.26.gexf	10	136	1	R-MAT	1000	10	26	gexf
1555	R-MAT.1000.10.26.gexf	50	114.75	9	R-MAT	1000	10	26	gexf
1556	R-MAT.1000.25.26.gexf	2	360	1	R-MAT	1000	25	26	gexf
1557	R-MAT.1000.25.26.gexf	3	360	1	R-MAT	1000	25	26	gexf
1558	R-MAT.1000.25.26.gexf	5	360	1	R-MAT	1000	25	26	gexf
1559	R-MAT.1000.25.26.gexf	10	360	1	R-MAT	1000	25	26	gexf
1560	R-MAT.1000.25.26.gexf	50	321.866666666667	7	R-MAT	1000	25	26	gexf
1561	R-MAT.50.5.27.gexf	2	14	1	R-MAT	50	5	27	gexf
1562	R-MAT.50.5.27.gexf	3	13.3333333333333	2	R-MAT	50	5	27	gexf
1563	R-MAT.50.5.27.gexf	5	10.5	4	R-MAT	50	5	27	gexf
1566	R-MAT.50.10.27.gexf	2	37	1	R-MAT	50	10	27	gexf
1567	R-MAT.50.10.27.gexf	3	37	1	R-MAT	50	10	27	gexf
1568	R-MAT.50.10.27.gexf	5	36	3	R-MAT	50	10	27	gexf
1569	R-MAT.50.10.27.gexf	10	27.5	6	R-MAT	50	10	27	gexf
1571	R-MAT.50.25.27.gexf	2	66	1	R-MAT	50	25	27	gexf
1572	R-MAT.50.25.27.gexf	3	66	1	R-MAT	50	25	27	gexf
1573	R-MAT.50.25.27.gexf	5	66	1	R-MAT	50	25	27	gexf
1574	R-MAT.50.25.27.gexf	10	57.4444444444444	3	R-MAT	50	25	27	gexf
1576	R-MAT.100.5.27.gexf	2	19	1	R-MAT	100	5	27	gexf
1577	R-MAT.100.5.27.gexf	3	19	1	R-MAT	100	5	27	gexf
1578	R-MAT.100.5.27.gexf	5	19	1	R-MAT	100	5	27	gexf
1579	R-MAT.100.5.27.gexf	10	17.1111111111111	4	R-MAT	100	5	27	gexf
1581	R-MAT.100.10.27.gexf	2	36	1	R-MAT	100	10	27	gexf
1582	R-MAT.100.10.27.gexf	3	36	1	R-MAT	100	10	27	gexf
1583	R-MAT.100.10.27.gexf	5	36	1	R-MAT	100	10	27	gexf
1584	R-MAT.100.10.27.gexf	10	34.2222222222222	4	R-MAT	100	10	27	gexf
1586	R-MAT.100.25.27.gexf	2	121	1	R-MAT	100	25	27	gexf
1587	R-MAT.100.25.27.gexf	3	121	1	R-MAT	100	25	27	gexf
1588	R-MAT.100.25.27.gexf	5	121	1	R-MAT	100	25	27	gexf
1589	R-MAT.100.25.27.gexf	10	119.9	3	R-MAT	100	25	27	gexf
1591	R-MAT.500.5.27.gexf	2	45	1	R-MAT	500	5	27	gexf
1592	R-MAT.500.5.27.gexf	3	45	1	R-MAT	500	5	27	gexf
1593	R-MAT.500.5.27.gexf	5	45	1	R-MAT	500	5	27	gexf
1594	R-MAT.500.5.27.gexf	10	45	1	R-MAT	500	5	27	gexf
1596	R-MAT.500.10.27.gexf	2	104	1	R-MAT	500	10	27	gexf
1597	R-MAT.500.10.27.gexf	3	104	1	R-MAT	500	10	27	gexf
1598	R-MAT.500.10.27.gexf	5	104	1	R-MAT	500	10	27	gexf
1599	R-MAT.500.10.27.gexf	10	103.4	2	R-MAT	500	10	27	gexf
1600	R-MAT.500.10.27.gexf	50	68	19	R-MAT	500	10	27	gexf
1601	R-MAT.500.25.27.gexf	2	260	1	R-MAT	500	25	27	gexf
1602	R-MAT.500.25.27.gexf	3	260	1	R-MAT	500	25	27	gexf
1603	R-MAT.500.25.27.gexf	5	260	1	R-MAT	500	25	27	gexf
1604	R-MAT.500.25.27.gexf	10	260	1	R-MAT	500	25	27	gexf
1605	R-MAT.500.25.27.gexf	50	215.086956521739	6	R-MAT	500	25	27	gexf
1606	R-MAT.1000.5.27.gexf	2	71	1	R-MAT	1000	5	27	gexf
1607	R-MAT.1000.5.27.gexf	3	71	1	R-MAT	1000	5	27	gexf
1608	R-MAT.1000.5.27.gexf	5	71	1	R-MAT	1000	5	27	gexf
