path	k	max.multirute.flow	iterations	k.0	n	multiple	ex	k.4
93	R-MAT.500.5.2.gexf	5	58	1	R-MAT	500	5	2	gexf
94	R-MAT.500.5.2.gexf	10	58	1	R-MAT	500	5	2	gexf
96	R-MAT.500.10.2.gexf	2	94	1	R-MAT	500	10	2	gexf
97	R-MAT.500.10.2.gexf	3	94	1	R-MAT	500	10	2	gexf
98	R-MAT.500.10.2.gexf	5	94	1	R-MAT	500	10	2	gexf
99	R-MAT.500.10.2.gexf	10	94	1	R-MAT	500	10	2	gexf
100	R-MAT.500.10.2.gexf	50	64.5	18	R-MAT	500	10	2	gexf
101	R-MAT.500.25.2.gexf	2	273	1	R-MAT	500	25	2	gexf
102	R-MAT.500.25.2.gexf	3	273	1	R-MAT	500	25	2	gexf
103	R-MAT.500.25.2.gexf	5	273	1	R-MAT	500	25	2	gexf
104	R-MAT.500.25.2.gexf	10	273	1	R-MAT	500	25	2	gexf
105	R-MAT.500.25.2.gexf	50	219.3	12	R-MAT	500	25	2	gexf
106	R-MAT.1000.5.2.gexf	2	69	1	R-MAT	1000	5	2	gexf
107	R-MAT.1000.5.2.gexf	3	69	1	R-MAT	1000	5	2	gexf
108	R-MAT.1000.5.2.gexf	5	69	1	R-MAT	1000	5	2	gexf
109	R-MAT.1000.5.2.gexf	10	69	1	R-MAT	1000	5	2	gexf
111	R-MAT.1000.10.2.gexf	2	147	1	R-MAT	1000	10	2	gexf
112	R-MAT.1000.10.2.gexf	3	147	1	R-MAT	1000	10	2	gexf
113	R-MAT.1000.10.2.gexf	5	147	1	R-MAT	1000	10	2	gexf
114	R-MAT.1000.10.2.gexf	10	147	1	R-MAT	1000	10	2	gexf
115	R-MAT.1000.10.2.gexf	50	123.857142857143	10	R-MAT	1000	10	2	gexf
116	R-MAT.1000.25.2.gexf	2	372	1	R-MAT	1000	25	2	gexf
117	R-MAT.1000.25.2.gexf	3	372	1	R-MAT	1000	25	2	gexf
118	R-MAT.1000.25.2.gexf	5	372	1	R-MAT	1000	25	2	gexf
119	R-MAT.1000.25.2.gexf	10	372	1	R-MAT	1000	25	2	gexf
120	R-MAT.1000.25.2.gexf	50	329.071428571429	10	R-MAT	1000	25	2	gexf
121	R-MAT.50.5.3.gexf	2	13	1	R-MAT	50	5	3	gexf
122	R-MAT.50.5.3.gexf	3	13	1	R-MAT	50	5	3	gexf
123	R-MAT.50.5.3.gexf	5	12	2	R-MAT	50	5	3	gexf
126	R-MAT.50.10.3.gexf	2	20	1	R-MAT	50	10	3	gexf
127	R-MAT.50.10.3.gexf	3	20	1	R-MAT	50	10	3	gexf
128	R-MAT.50.10.3.gexf	5	18	3	R-MAT	50	10	3	gexf
129	R-MAT.50.10.3.gexf	10	12.8333333333333	6	R-MAT	50	10	3	gexf
131	R-MAT.50.25.3.gexf	2	68	1	R-MAT	50	25	3	gexf
132	R-MAT.50.25.3.gexf	3	68	1	R-MAT	50	25	3	gexf
133	R-MAT.50.25.3.gexf	5	68	1	R-MAT	50	25	3	gexf
134	R-MAT.50.25.3.gexf	10	53.1666666666667	6	R-MAT	50	25	3	gexf
136	R-MAT.100.5.3.gexf	2	15	1	R-MAT	100	5	3	gexf
137	R-MAT.100.5.3.gexf	3	15	1	R-MAT	100	5	3	gexf
138	R-MAT.100.5.3.gexf	5	15	1	R-MAT	100	5	3	gexf
139	R-MAT.100.5.3.gexf	10	13.4444444444444	3	R-MAT	100	5	3	gexf
141	R-MAT.100.10.3.gexf	2	40	1	R-MAT	100	10	3	gexf
142	R-MAT.100.10.3.gexf	3	40	1	R-MAT	100	10	3	gexf
143	R-MAT.100.10.3.gexf	5	39.6	3	R-MAT	100	10	3	gexf
144	R-MAT.100.10.3.gexf	10	34.375	4	R-MAT	100	10	3	gexf
146	R-MAT.100.25.3.gexf	2	106	1	R-MAT	100	25	3	gexf
147	R-MAT.100.25.3.gexf	3	106	1	R-MAT	100	25	3	gexf
148	R-MAT.100.25.3.gexf	5	106	1	R-MAT	100	25	3	gexf
149	R-MAT.100.25.3.gexf	10	102.3	3	R-MAT	100	25	3	gexf
151	R-MAT.500.5.3.gexf	2	46	1	R-MAT	500	5	3	gexf
152	R-MAT.500.5.3.gexf	3	46	1	R-MAT	500	5	3	gexf
153	R-MAT.500.5.3.gexf	5	44.4	2	R-MAT	500	5	3	gexf
154	R-MAT.500.5.3.gexf	10	40.7	2	R-MAT	500	5	3	gexf
156	R-MAT.500.10.3.gexf	2	127	1	R-MAT	500	10	3	gexf
157	R-MAT.500.10.3.gexf	3	127	1	R-MAT	500	10	3	gexf
158	R-MAT.500.10.3.gexf	5	127	1	R-MAT	500	10	3	gexf
159	R-MAT.500.10.3.gexf	10	127	1	R-MAT	500	10	3	gexf
160	R-MAT.500.10.3.gexf	50	94.7142857142858	24	R-MAT	500	10	3	gexf
161	R-MAT.500.25.3.gexf	2	267	1	R-MAT	500	25	3	gexf
162	R-MAT.500.25.3.gexf	3	267	1	R-MAT	500	25	3	gexf
163	R-MAT.500.25.3.gexf	5	267	1	R-MAT	500	25	3	gexf
164	R-MAT.500.25.3.gexf	10	256.3	2	R-MAT	500	25	3	gexf
165	R-MAT.500.25.3.gexf	50	196.883720930233	9	R-MAT	500	25	3	gexf
166	R-MAT.1000.5.3.gexf	2	79	1	R-MAT	1000	5	3	gexf
167	R-MAT.1000.5.3.gexf	3	79	1	R-MAT	1000	5	3	gexf
168	R-MAT.1000.5.3.gexf	5	79	1	R-MAT	1000	5	3	gexf
169	R-MAT.1000.5.3.gexf	10	79	1	R-MAT	1000	5	3	gexf
170	R-MAT.1000.5.3.gexf	50	58.8461538461538	13	R-MAT	1000	5	3	gexf
171	R-MAT.1000.10.3.gexf	2	134	1	R-MAT	1000	10	3	gexf
172	R-MAT.1000.10.3.gexf	3	134	1	R-MAT	1000	10	3	gexf
173	R-MAT.1000.10.3.gexf	5	134	1	R-MAT	1000	10	3	gexf
174	R-MAT.1000.10.3.gexf	10	133.1	2	R-MAT	1000	10	3	gexf
175	R-MAT.1000.10.3.gexf	50	108.954545454545	9	R-MAT	1000	10	3	gexf
176	R-MAT.1000.25.3.gexf	2	340	1	R-MAT	1000	25	3	gexf
177	R-MAT.1000.25.3.gexf	3	340	1	R-MAT	1000	25	3	gexf
178	R-MAT.1000.25.3.gexf	5	340	1	R-MAT	1000	25	3	gexf
179	R-MAT.1000.25.3.gexf	10	340	1	R-MAT	1000	25	3	gexf
180	R-MAT.1000.25.3.gexf	50	282.2	7	R-MAT	1000	25	3	gexf
181	R-MAT.50.5.4.gexf	2	7	1	R-MAT	50	5	4	gexf
182	R-MAT.50.5.4.gexf	3	7	1	R-MAT	50	5	4	gexf
183	R-MAT.50.5.4.gexf	5	7	1	R-MAT	50	5	4	gexf
186	R-MAT.50.10.4.gexf	2	30	1	R-MAT	50	10	4	gexf
187	R-MAT.50.10.4.gexf	3	30	1	R-MAT	50	10	4	gexf
188	R-MAT.50.10.4.gexf	5	28.8	2	R-MAT	50	10	4	gexf
189	R-MAT.50.10.4.gexf	10	23.375	4	R-MAT	50	10	4	gexf
191	R-MAT.50.25.4.gexf	2	83	1	R-MAT	50	25	4	gexf
192	R-MAT.50.25.4.gexf	3	83	1	R-MAT	50	25	4	gexf
193	R-MAT.50.25.4.gexf	5	79.2	3	R-MAT	50	25	4	gexf
194	R-MAT.50.25.4.gexf	10	66	5	R-MAT	50	25	4	gexf
196	R-MAT.100.5.4.gexf	2	24	1	R-MAT	100	5	4	gexf
197	R-MAT.100.5.4.gexf	3	24	1	R-MAT	100	5	4	gexf
198	R-MAT.100.5.4.gexf	5	24	1	R-MAT	100	5	4	gexf
199	R-MAT.100.5.4.gexf	10	20.1666666666667	6	R-MAT	100	5	4	gexf
201	R-MAT.100.10.4.gexf	2	38	1	R-MAT	100	10	4	gexf
202	R-MAT.100.10.4.gexf	3	38	1	R-MAT	100	10	4	gexf
203	R-MAT.100.10.4.gexf	5	38	1	R-MAT	100	10	4	gexf
204	R-MAT.100.10.4.gexf	10	33	5	R-MAT	100	10	4	gexf
206	R-MAT.100.25.4.gexf	2	98	1	R-MAT	100	25	4	gexf
207	R-MAT.100.25.4.gexf	3	98	1	R-MAT	100	25	4	gexf
208	R-MAT.100.25.4.gexf	5	98	1	R-MAT	100	25	4	gexf
209	R-MAT.100.25.4.gexf	10	97.9	3	R-MAT	100	25	4	gexf
211	R-MAT.500.5.4.gexf	2	65	1	R-MAT	500	5	4	gexf
212	R-MAT.500.5.4.gexf	3	65	1	R-MAT	500	5	4	gexf
213	R-MAT.500.5.4.gexf	5	65	1	R-MAT	500	5	4	gexf
