path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4,k:5
Rand.Uni.50.10.69.gexf,5,9.626138250452241,1,Rand,Uni,50,10,69,gexf
Rand.Uni.50.10.69.gexf,10,9.446690707603562,3,Rand,Uni,50,10,69,gexf
Rand.Uni.50.10.69.gexf,50,F,F,Rand,Uni,50,10,69,gexf
Rand.Uni.50.25.69.gexf,2,17.16114755211686,1,Rand,Uni,50,25,69,gexf
Rand.Uni.50.25.69.gexf,3,17.16114755211686,1,Rand,Uni,50,25,69,gexf
Rand.Uni.50.25.69.gexf,5,17.16114755211686,1,Rand,Uni,50,25,69,gexf
Rand.Uni.50.25.69.gexf,10,17.16114755211686,1,Rand,Uni,50,25,69,gexf
Rand.Uni.50.25.69.gexf,50,F,F,Rand,Uni,50,25,69,gexf
Rand.Uni.100.5.69.gexf,2,4.151508355818254,1,Rand,Uni,100,5,69,gexf
Rand.Uni.100.5.69.gexf,3,4.151508355818254,1,Rand,Uni,100,5,69,gexf
Rand.Uni.100.5.69.gexf,5,0.9861801619316419,6,Rand,Uni,100,5,69,gexf
Rand.Uni.100.5.69.gexf,10,F,F,Rand,Uni,100,5,69,gexf
Rand.Uni.100.5.69.gexf,50,F,F,Rand,Uni,100,5,69,gexf
Rand.Uni.100.10.69.gexf,2,7.599187364111761,2,Rand,Uni,100,10,69,gexf
Rand.Uni.100.10.69.gexf,3,7.599187364111761,1,Rand,Uni,100,10,69,gexf
Rand.Uni.100.10.69.gexf,5,7.599187364111761,3,Rand,Uni,100,10,69,gexf
Rand.Uni.100.10.69.gexf,10,6.715601752381219,6,Rand,Uni,100,10,69,gexf
Rand.Uni.100.10.69.gexf,50,F,F,Rand,Uni,100,10,69,gexf
Rand.Uni.100.25.69.gexf,2,22.63780766479126,1,Rand,Uni,100,25,69,gexf
Rand.Uni.100.25.69.gexf,3,22.63780766479126,1,Rand,Uni,100,25,69,gexf
Rand.Uni.100.25.69.gexf,5,22.63780766479126,1,Rand,Uni,100,25,69,gexf
Rand.Uni.100.25.69.gexf,10,22.63780766479126,1,Rand,Uni,100,25,69,gexf
Rand.Uni.100.25.69.gexf,50,F,F,Rand,Uni,100,25,69,gexf
Rand.Uni.500.5.69.gexf,2,2.08487047643089,2,Rand,Uni,500,5,69,gexf
Rand.Uni.500.5.69.gexf,3,0.7420090649336943,4,Rand,Uni,500,5,69,gexf
Rand.Uni.500.5.69.gexf,5,F,F,Rand,Uni,500,5,69,gexf
Rand.Uni.500.5.69.gexf,10,F,F,Rand,Uni,500,5,69,gexf
Rand.Uni.500.5.69.gexf,50,F,F,Rand,Uni,500,5,69,gexf
Rand.Uni.500.10.69.gexf,2,9.86983318377032,1,Rand,Uni,500,10,69,gexf
Rand.Uni.500.10.69.gexf,3,9.86983318377032,1,Rand,Uni,500,10,69,gexf
Rand.Uni.500.10.69.gexf,5,9.86983318377032,1,Rand,Uni,500,10,69,gexf
Rand.Uni.500.10.69.gexf,10,9.784782708811349,2,Rand,Uni,500,10,69,gexf
Rand.Uni.500.10.69.gexf,50,F,F,Rand,Uni,500,10,69,gexf
Rand.Uni.500.25.69.gexf,2,24.179494886598413,1,Rand,Uni,500,25,69,gexf
Rand.Uni.500.25.69.gexf,3,24.179494886598413,1,Rand,Uni,500,25,69,gexf
Rand.Uni.500.25.69.gexf,5,24.179494886598413,1,Rand,Uni,500,25,69,gexf
Rand.Uni.500.25.69.gexf,10,24.179494886598413,1,Rand,Uni,500,25,69,gexf
Rand.Uni.500.25.69.gexf,50,5.2910545511594425,46,Rand,Uni,500,25,69,gexf
Rand.Uni.1000.5.69.gexf,2,3.7284067725150343,2,Rand,Uni,1000,5,69,gexf
Rand.Uni.1000.5.69.gexf,3,3.7284067725150343,1,Rand,Uni,1000,5,69,gexf
Rand.Uni.1000.5.69.gexf,5,3.459189189179395,4,Rand,Uni,1000,5,69,gexf
Rand.Uni.1000.5.69.gexf,10,F,F,Rand,Uni,1000,5,69,gexf
Rand.Uni.1000.5.69.gexf,50,F,F,Rand,Uni,1000,5,69,gexf
Rand.Uni.1000.10.69.gexf,2,8.995552351497789,1,Rand,Uni,1000,10,69,gexf
Rand.Uni.1000.10.69.gexf,3,8.995552351497789,1,Rand,Uni,1000,10,69,gexf
Rand.Uni.1000.10.69.gexf,5,8.995552351497789,1,Rand,Uni,1000,10,69,gexf
Rand.Uni.1000.10.69.gexf,10,7.921267168489713,6,Rand,Uni,1000,10,69,gexf
Rand.Uni.1000.10.69.gexf,50,F,F,Rand,Uni,1000,10,69,gexf
Rand.Uni.1000.25.69.gexf,2,22.378096487364893,1,Rand,Uni,1000,25,69,gexf
Rand.Uni.1000.25.69.gexf,3,22.378096487364893,1,Rand,Uni,1000,25,69,gexf
Rand.Uni.1000.25.69.gexf,5,22.378096487364893,1,Rand,Uni,1000,25,69,gexf
Rand.Uni.1000.25.69.gexf,10,22.378096487364893,1,Rand,Uni,1000,25,69,gexf
Rand.Uni.1000.25.69.gexf,50,F,F,Rand,Uni,1000,25,69,gexf
Rand.Uni.50.5.70.gexf,2,4.345842781978916,1,Rand,Uni,50,5,70,gexf
Rand.Uni.50.5.70.gexf,3,4.345842781978916,1,Rand,Uni,50,5,70,gexf
Rand.Uni.50.5.70.gexf,5,3.8687255537156364,5,Rand,Uni,50,5,70,gexf
Rand.Uni.50.5.70.gexf,10,F,F,Rand,Uni,50,5,70,gexf
Rand.Uni.50.5.70.gexf,50,F,F,Rand,Uni,50,5,70,gexf
Rand.Uni.50.10.70.gexf,2,5.152000705187565,1,Rand,Uni,50,10,70,gexf
Rand.Uni.50.10.70.gexf,3,5.152000705187565,1,Rand,Uni,50,10,70,gexf
Rand.Uni.50.10.70.gexf,5,5.152000705187565,1,Rand,Uni,50,10,70,gexf
Rand.Uni.50.10.70.gexf,10,3.3550844697982507,9,Rand,Uni,50,10,70,gexf
Rand.Uni.50.10.70.gexf,50,F,F,Rand,Uni,50,10,70,gexf
Rand.Uni.50.25.70.gexf,2,15.737697232364527,1,Rand,Uni,50,25,70,gexf
Rand.Uni.50.25.70.gexf,3,15.737697232364527,1,Rand,Uni,50,25,70,gexf
Rand.Uni.50.25.70.gexf,5,15.737697232364527,1,Rand,Uni,50,25,70,gexf
Rand.Uni.50.25.70.gexf,10,15.737697232364527,1,Rand,Uni,50,25,70,gexf
Rand.Uni.50.25.70.gexf,50,F,F,Rand,Uni,50,25,70,gexf
Rand.Uni.100.5.70.gexf,2,4.147548417428898,1,Rand,Uni,100,5,70,gexf
Rand.Uni.100.5.70.gexf,3,4.147548417428898,1,Rand,Uni,100,5,70,gexf
Rand.Uni.100.5.70.gexf,5,3.3743016011400155,4,Rand,Uni,100,5,70,gexf
Rand.Uni.100.5.70.gexf,10,F,F,Rand,Uni,100,5,70,gexf
Rand.Uni.100.5.70.gexf,50,F,F,Rand,Uni,100,5,70,gexf
Rand.Uni.100.10.70.gexf,2,8.086493298088428,1,Rand,Uni,100,10,70,gexf
Rand.Uni.100.10.70.gexf,3,8.086493298088428,1,Rand,Uni,100,10,70,gexf
Rand.Uni.100.10.70.gexf,5,8.086493298088428,1,Rand,Uni,100,10,70,gexf
Rand.Uni.100.10.70.gexf,10,6.864591507963003,6,Rand,Uni,100,10,70,gexf
Rand.Uni.100.10.70.gexf,50,F,F,Rand,Uni,100,10,70,gexf
Rand.Uni.100.25.70.gexf,2,17.223479821923615,1,Rand,Uni,100,25,70,gexf
Rand.Uni.100.25.70.gexf,3,17.223479821923615,1,Rand,Uni,100,25,70,gexf
Rand.Uni.100.25.70.gexf,5,17.223479821923615,1,Rand,Uni,100,25,70,gexf
Rand.Uni.100.25.70.gexf,10,17.223479821923615,1,Rand,Uni,100,25,70,gexf
Rand.Uni.100.25.70.gexf,50,F,F,Rand,Uni,100,25,70,gexf
Rand.Uni.500.5.70.gexf,2,3.484429233964039,1,Rand,Uni,500,5,70,gexf
Rand.Uni.500.5.70.gexf,3,3.2588798008174336,3,Rand,Uni,500,5,70,gexf
Rand.Uni.500.5.70.gexf,5,2.21137452832453,6,Rand,Uni,500,5,70,gexf
Rand.Uni.500.5.70.gexf,10,F,F,Rand,Uni,500,5,70,gexf
Rand.Uni.500.5.70.gexf,50,F,F,Rand,Uni,500,5,70,gexf
Rand.Uni.500.10.70.gexf,2,6.859625430135558,1,Rand,Uni,500,10,70,gexf
Rand.Uni.500.10.70.gexf,3,6.859625430135558,1,Rand,Uni,500,10,70,gexf
Rand.Uni.500.10.70.gexf,5,6.859625430135558,1,Rand,Uni,500,10,70,gexf
Rand.Uni.500.10.70.gexf,10,5.3986611103194555,8,Rand,Uni,500,10,70,gexf
Rand.Uni.500.10.70.gexf,50,F,F,Rand,Uni,500,10,70,gexf
Rand.Uni.500.25.70.gexf,2,27.318570069655237,1,Rand,Uni,500,25,70,gexf
Rand.Uni.500.25.70.gexf,3,27.318570069655237,1,Rand,Uni,500,25,70,gexf
Rand.Uni.500.25.70.gexf,5,27.318570069655237,1,Rand,Uni,500,25,70,gexf
Rand.Uni.500.25.70.gexf,10,27.318570069655237,2,Rand,Uni,500,25,70,gexf
Rand.Uni.500.25.70.gexf,50,6.604764703801242,50,Rand,Uni,500,25,70,gexf
