construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	k.2	multiple	ex	k.5	mem	constant	best
33	cut	cap	first	Rand.Uni.50.5.3.gexf	50	250	5	3	[10, 10, 10, 10]	6.27555963594622	2.30907589223967	2.436543889758735	2.3090758922396666	1942	1	0	0	0	[6.275559635946222, 2.436543889758735, 2.3090758922396666]	Rand	Uni	50	5	3	gexf	6.27555963594622	2.71777972176536	0.5
36	cut	cap	first	Rand.Uni.50.10.3.gexf	50	500	2	1	[14, 14, 14, 14]	6.99812495388747	5.08791120974641	5.087911209746409	inf	709	0	0	0	0	[6.998124953887475, 5.087911209746409]	Rand	Uni	50	10	3	gexf	6.99812495388747	1.37544164302275	0
37	cut	cap	first	Rand.Uni.50.10.3.gexf	50	500	3	2	[14, 14, 14, 14]	6.99812495388747	4.15400519727042	4.1540051972704175	inf	615	0	0	0	0	[6.998124953887475, 4.1540051972704175]	Rand	Uni	50	10	3	gexf	6.99812495388747	1.68466928218721	0.5
38	cut	cap	first	Rand.Uni.50.10.3.gexf	50	500	5	3	[14, 14, 14, 14]	6.99812495388747	2.37805006939625	2.3780500693962536	inf	2250	0	0	0	0	[6.998124953887475, 2.3780500693962536]	Rand	Uni	50	10	3	gexf	6.99812495388747	2.94279966765552	0.5
39	cut	cap	first	Rand.Uni.50.10.3.gexf	50	500	10	4	[14, 14, 14, 14]	6.99812495388747	0.535389043875245	0.535389043875245	inf	2353	0	0	0	0	[6.998124953887475, 0.535389043875245]	Rand	Uni	50	10	3	gexf	4.02810309475427	7.52369354740267	0.5
41	cut	cap	first	Rand.Uni.50.25.3.gexf	50	1250	2	1	[37, 37, 37, 37]	19.6816195585619	17.84180904548	17.84180904547998	inf	183	0	0	0	0	[19.681619558561863, 17.84180904547998]	Rand	Uni	50	25	3	gexf	19.6816195585619	1.10311793542864	0
42	cut	cap	first	Rand.Uni.50.25.3.gexf	50	1250	3	2	[37, 37, 37, 37]	19.6816195585619	16.9513995866318	16.951399586631847	inf	388	0	0	0	0	[19.681619558561863, 16.951399586631847]	Rand	Uni	50	25	3	gexf	19.6816195585619	1.16106162550042	0.5
43	cut	cap	first	Rand.Uni.50.25.3.gexf	50	1250	5	3	[37, 37, 37, 37]	19.6816195585619	15.2365102227714	15.236510222771416	inf	401	0	0	0	0	[19.681619558561863, 15.236510222771416]	Rand	Uni	50	25	3	gexf	19.6816195585619	1.29174064604027	0
44	cut	cap	first	Rand.Uni.50.25.3.gexf	50	1250	10	4	[37, 37, 37, 37]	19.6816195585619	11.3003969387245	11.300396938724523	inf	226	0	0	0	0	[19.681619558561863, 11.300396938724523]	Rand	Uni	50	25	3	gexf	19.6816195585619	1.74167506374191	0.5
46	cut	cap	first	Rand.Uni.50.5.4.gexf	50	250	2	1	[6, 6, 6, 6]	2.69528364656203	1.3933267501251	1.393326750125101	inf	3623	0	0	0	0	[2.6952836465620313, 1.393326750125101]	Rand	Uni	50	5	4	gexf	2.69528364656203	1.93442324014811	0.5
47	cut	cap	first	Rand.Uni.50.5.4.gexf	50	250	3	2	[6, 6, 6, 6]	2.69528364656203	0.91513664786675	0.9151366478667503	inf	2357	0	0	0	0	[2.6952836465620313, 0.9151366478667503]	Rand	Uni	50	5	4	gexf	2.60137121261562	2.84260412767821	0.5
48	cut	cap	first	Rand.Uni.50.5.4.gexf	50	250	5	3	[6, 6, 6, 6]	2.69528364656203	0.171153228537816	0.1711532285378159	inf	4041	0	0	0	0	[2.6952836465620313, 0.1711532285378159]	Rand	Uni	50	5	4	gexf	1.0269193712269	6	0.5
51	cut	cap	first	Rand.Uni.50.10.4.gexf	50	500	2	1	[16, 16, 16, 16]	8.55411779241611	6.92378762901211	6.923787629012113	inf	680	0	0	0	0	[8.554117792416115, 6.923787629012113]	Rand	Uni	50	10	4	gexf	8.55411779241611	1.23546796215594	0.5
52	cut	cap	first	Rand.Uni.50.10.4.gexf	50	500	3	2	[16, 16, 16, 16]	8.55411779241611	6.11986602182351	6.119866021823512	inf	911	0	0	0	0	[8.554117792416115, 6.119866021823512]	Rand	Uni	50	10	4	gexf	8.55411779241611	1.39776226504176	0
53	cut	cap	first	Rand.Uni.50.10.4.gexf	50	500	5	3	[16, 16, 16, 16]	8.55411779241611	4.61158037074936	4.611580370749362	inf	1273	0	0	0	0	[8.554117792416115, 4.611580370749362]	Rand	Uni	50	10	4	gexf	8.55411779241611	1.85492111265668	0
54	cut	cap	first	Rand.Uni.50.10.4.gexf	50	500	10	4	[16, 16, 16, 16]	8.55411779241611	1.81823753650739	1.8182375365073864	inf	2228	0	0	0	0	[8.554117792416115, 1.8182375365073864]	Rand	Uni	50	10	4	gexf	8.37249054993135	4.60472869018747	0
56	cut	cap	first	Rand.Uni.50.25.4.gexf	50	1250	2	1	[37, 37, 37, 37]	20.3546503296271	18.3622572948823	18.362257294882287	inf	188	0	0	0	0	[20.354650329627127, 18.362257294882287]	Rand	Uni	50	25	4	gexf	20.3546503296271	1.10850479887896	0.5
57	cut	cap	first	Rand.Uni.50.25.4.gexf	50	1250	3	2	[37, 37, 37, 37]	20.3546503296271	17.3670714715392	17.367071471539237	inf	253	0	0	0	0	[20.354650329627127, 17.367071471539237]	Rand	Uni	50	25	4	gexf	20.3546503296271	1.17202548299429	0.5
58	cut	cap	first	Rand.Uni.50.25.4.gexf	50	1250	5	3	[37, 37, 37, 37]	20.3546503296271	15.4754286763133	15.475428676313292	inf	396	0	0	0	0	[20.354650329627127, 15.475428676313292]	Rand	Uni	50	25	4	gexf	20.3546503296271	1.31528830350154	0.5
59	cut	cap	first	Rand.Uni.50.25.4.gexf	50	1250	10	4	[37, 37, 37, 37]	20.3546503296271	11.2222403795631	11.222240379563143	inf	518	0	0	0	0	[20.354650329627127, 11.222240379563143]	Rand	Uni	50	25	4	gexf	20.3546503296271	1.81377778778425	0.5
61	cut	cap	first	Rand.Uni.50.5.5.gexf	50	250	2	1	[10, 10, 10, 10]	4.88006725245595	3.09795530236305	3.166937305680625	3.0979553023630464	596	1	0	0	0	[4.880067252455947, 3.166937305680625, 3.0979553023630464]	Rand	Uni	50	5	5	gexf	4.88006725245595	1.57525424874063	0
62	cut	cap	first	Rand.Uni.50.5.5.gexf	50	250	3	2	[10, 10, 10, 10]	4.88006725245595	2.28406139335679	2.4196144843936054	2.284061393356787	1900	1	0	0	0	[4.880067252455947, 2.4196144843936054, 2.284061393356787]	Rand	Uni	50	5	5	gexf	4.88006725245595	2.13657446627734	0.5
63	cut	cap	first	Rand.Uni.50.5.5.gexf	50	250	5	3	[10, 10, 10, 10]	4.88006725245595	1.28580868212591	1.2858086821259125	inf	1050	0	0	0	0	[4.880067252455947, 1.2858086821259125]	Rand	Uni	50	5	5	gexf	4.56812278671357	3.55272355072358	0
66	cut	cap	first	Rand.Uni.50.10.5.gexf	50	500	2	1	[15, 15, 15, 15]	6.62609756504353	4.97403502731644	4.974035027316438	inf	896	0	0	0	0	[6.626097565043528, 4.974035027316438]	Rand	Uni	50	10	5	gexf	6.62609756504353	1.33213729470225	0.5
67	cut	cap	first	Rand.Uni.50.10.5.gexf	50	500	3	2	[15, 15, 15, 15]	6.62609756504353	4.35477897617333	4.35477897617333	inf	2084	0	0	0	0	[6.626097565043528, 4.35477897617333]	Rand	Uni	50	10	5	gexf	6.62609756504353	1.52156920048008	0
68	cut	cap	first	Rand.Uni.50.10.5.gexf	50	500	5	3	[15, 15, 15, 15]	6.62609756504353	3.14123009749007	3.141230097490065	inf	615	0	0	0	0	[6.626097565043528, 3.141230097490065]	Rand	Uni	50	10	5	gexf	6.62609756504353	2.10939579699621	0.5
69	cut	cap	first	Rand.Uni.50.10.5.gexf	50	500	10	4	[15, 15, 15, 15]	6.62609756504353	0.963322692229392	0.9633226922293922	inf	2271	0	0	0	0	[6.626097565043528, 0.9633226922293922]	Rand	Uni	50	10	5	gexf	5.60162030289407	5.81489499632817	0.5
71	cut	cap	first	Rand.Uni.50.25.5.gexf	50	1250	2	1	[38, 38, 38, 38]	16.9474267373372	15.0390669494447	15.039066949444711	inf	372	0	0	0	0	[16.947426737337214, 15.039066949444711]	Rand	Uni	50	25	5	gexf	16.9474267373372	1.12689349640557	0.5
72	cut	cap	first	Rand.Uni.50.25.5.gexf	50	1250	3	2	[38, 38, 38, 38]	16.9474267373372	14.1366481432178	14.136648143217755	inf	387	0	0	0	0	[16.947426737337214, 14.136648143217755]	Rand	Uni	50	25	5	gexf	16.9474267373372	1.19882921083156	0
73	cut	cap	first	Rand.Uni.50.25.5.gexf	50	1250	5	3	[38, 38, 38, 38]	16.9474267373372	12.4119763343651	12.41197633436508	inf	255	0	0	0	0	[16.947426737337214, 12.41197633436508]	Rand	Uni	50	25	5	gexf	16.9474267373372	1.36540920485119	0
74	cut	cap	first	Rand.Uni.50.25.5.gexf	50	1250	10	4	[38, 38, 38, 38]	16.9474267373372	8.70919156021498	8.709191560214983	inf	262	0	0	0	0	[16.947426737337214, 8.709191560214983]	Rand	Uni	50	25	5	gexf	16.9474267373372	1.94592421353502	0.5
76	cut	cap	first	Rand.Uni.50.5.6.gexf	50	250	2	1	[9, 9, 9, 9]	4.42396479138037	2.8813578259692	2.8813578259691965	inf	1016	0	0	0	0	[4.423964791380369, 2.8813578259691965]	Rand	Uni	50	5	6	gexf	4.42396479138037	1.53537500670965	0.5
77	cut	cap	first	Rand.Uni.50.5.6.gexf	50	250	3	2	[9, 9, 9, 9]	4.42396479138037	2.19746043092895	2.1974604309289507	inf	1614	0	0	0	0	[4.423964791380369, 2.1974604309289507]	Rand	Uni	50	5	6	gexf	4.42396479138037	2.01321704323485	0.5
78	cut	cap	first	Rand.Uni.50.5.6.gexf	50	250	5	3	[9, 9, 9, 9]	4.42396479138037	1.09046745685735	1.090467456857355	inf	1755	0	0	0	0	[4.423964791380369, 1.090467456857355]	Rand	Uni	50	5	6	gexf	4.32203673895379	3.96347154770632	0.5
81	cut	cap	first	Rand.Uni.50.10.6.gexf	50	500	2	1	[22, 22, 22, 22]	9.41782262386604	7.46797524849243	7.467975248492435	inf	343	0	0	0	0	[9.41782262386604, 7.467975248492435]	Rand	Uni	50	10	6	gexf	9.41782262386604	1.2610945149781	0
82	cut	cap	first	Rand.Uni.50.10.6.gexf	50	500	3	2	[22, 22, 22, 22]	9.41782262386604	6.62836278581161	6.628362785811609	inf	711	0	0	0	0	[9.41782262386604, 6.628362785811609]	Rand	Uni	50	10	6	gexf	9.41782262386604	1.42083692884545	0.5
83	cut	cap	first	Rand.Uni.50.10.6.gexf	50	500	5	3	[22, 22, 22, 22]	9.41782262386604	4.98730621952119	4.98730621952119	inf	2039	0	0	0	0	[9.41782262386604, 4.98730621952119]	Rand	Uni	50	10	6	gexf	9.41782262386604	1.88835860669695	0.5
84	cut	cap	first	Rand.Uni.50.10.6.gexf	50	500	10	4	[22, 22, 22, 22]	9.41782262386604	2.63629204293586	2.6362920429358594	inf	1358	0	0	0	0	[9.41782262386604, 2.6362920429358594]	Rand	Uni	50	10	6	gexf	9.11399883049097	3.45712792135932	0.5
86	cut	cap	first	Rand.Uni.50.25.6.gexf	50	1250	2	1	[38, 38, 38, 38]	21.0240771708857	19.0585621314759	19.058562131475885	inf	359	0	0	0	0	[21.02407717088568, 19.058562131475885]	Rand	Uni	50	25	6	gexf	21.0240771708857	1.10313028998991	0.5
87	cut	cap	first	Rand.Uni.50.25.6.gexf	50	1250	3	2	[38, 38, 38, 38]	21.0240771708857	18.0857603353065	18.08576033530655	inf	242	0	0	0	0	[21.02407717088568, 18.08576033530655]	Rand	Uni	50	25	6	gexf	21.0240771708857	1.16246576207488	0.5
88	cut	cap	first	Rand.Uni.50.25.6.gexf	50	1250	5	3	[38, 38, 38, 38]	21.0240771708857	16.1847309195585	16.18473091955845	inf	513	0	0	0	0	[21.02407717088568, 16.18473091955845]	Rand	Uni	50	25	6	gexf	21.0240771708857	1.29900690196085	0.5
89	cut	cap	first	Rand.Uni.50.25.6.gexf	50	1250	10	4	[38, 38, 38, 38]	21.0240771708857	11.6352425233035	11.635242523303473	inf	393	0	0	0	0	[21.02407717088568, 11.635242523303473]	Rand	Uni	50	25	6	gexf	21.0240771708857	1.8069307217944	0.5
91	cut	cap	first	Rand.Uni.50.5.7.gexf	50	250	2	1	[6, 6, 6, 6]	1.98469944591337	0.638108945931826	0.6381089459318263	inf	1366	0	0	0	0	[1.9846994459133718, 0.6381089459318263]	Rand	Uni	50	5	7	gexf	1.87735439908932	2.94205936315127	0.5
92	cut	cap	first	Rand.Uni.50.5.7.gexf	50	250	3	2	[6, 6, 6, 6]	1.98469944591337	0.364730879080446	0.36473087908044577	inf	3938	0	0	0	0	[1.9846994459133718, 0.36473087908044577]	Rand	Uni	50	5	7	gexf	1.27621789186365	3.4990672988293	0.5
93	cut	cap	first	Rand.Uni.50.5.7.gexf	50	250	5	3	[6, 6, 6, 6]	1.98469944591337	0.060900146782613	0.06090014678261302	inf	2514	0	0	0	0	[1.9846994459133718, 0.06090014678261302]	Rand	Uni	50	5	7	gexf	0.365400880695678	6	0.5
96	cut	cap	first	Rand.Uni.50.10.7.gexf	50	500	2	1	[19, 19, 19, 19]	8.63064409649475	6.88275063223634	6.882750632236344	inf	693	0	0	0	0	[8.630644096494754, 6.882750632236344]	Rand	Uni	50	10	7	gexf	8.63064409649475	1.25395275198144	0.5
97	cut	cap	first	Rand.Uni.50.10.7.gexf	50	500	3	2	[19, 19, 19, 19]	8.63064409649475	6.17567437321283	6.175674373212835	inf	905	0	0	0	0	[8.630644096494754, 6.175674373212835]	Rand	Uni	50	10	7	gexf	8.63064409649475	1.39752253356013	0.5
98	cut	cap	first	Rand.Uni.50.10.7.gexf	50	500	5	3	[19, 19, 19, 19]	8.63064409649475	4.8807027025327	4.880702702532703	inf	726	0	0	0	0	[8.630644096494754, 4.880702702532703]	Rand	Uni	50	10	7	gexf	8.63064409649475	1.76831997819005	0.5
99	cut	cap	first	Rand.Uni.50.10.7.gexf	50	500	10	4	[19, 19, 19, 19]	8.63064409649475	2.12667187270028	2.1266718727002774	inf	2196	0	0	0	0	[8.630644096494754, 2.1266718727002774]	Rand	Uni	50	10	7	gexf	8.41225077273331	3.95559412842194	0.5
101	cut	cap	first	Rand.Uni.50.25.7.gexf	50	1250	2	1	[40, 40, 40, 40]	17.1999507760543	15.3388372100743	15.338837210074345	inf	298	0	0	0	0	[17.199950776054308, 15.338837210074345]	Rand	Uni	50	25	7	gexf	17.1999507760543	1.12133341924756	0.5
102	cut	cap	first	Rand.Uni.50.25.7.gexf	50	1250	3	2	[40, 40, 40, 40]	17.1999507760543	14.4185561156287	14.4185561156287	inf	253	0	0	0	0	[17.199950776054308, 14.4185561156287]	Rand	Uni	50	25	7	gexf	17.1999507760543	1.19290382740965	0.5
103	cut	cap	first	Rand.Uni.50.25.7.gexf	50	1250	5	3	[40, 40, 40, 40]	17.1999507760543	12.6565669125002	12.656566912500182	inf	853	0	0	0	0	[17.199950776054308, 12.656566912500182]	Rand	Uni	50	25	7	gexf	17.1999507760543	1.35897442765991	0.5
104	cut	cap	first	Rand.Uni.50.25.7.gexf	50	1250	10	4	[40, 40, 40, 40]	17.1999507760543	9.22750568317643	9.227505683176428	inf	881	0	0	0	0	[17.199950776054308, 9.227505683176428]	Rand	Uni	50	25	7	gexf	17.1999507760543	1.86398701519233	0.5
106	cut	cap	first	Rand.Uni.50.5.8.gexf	50	250	2	1	[9, 9, 9, 9]	3.31515090459082	2.08072612790329	2.080726127903295	inf	2147	0	0	0	0	[3.31515090459082, 2.080726127903295]	Rand	Uni	50	5	8	gexf	3.31515090459082	1.59326634107845	0.5
107	cut	cap	first	Rand.Uni.50.5.8.gexf	50	250	3	2	[9, 9, 9, 9]	3.31515090459082	1.57248824040533	1.572488240405332	inf	1660	0	0	0	0	[3.31515090459082, 1.572488240405332]	Rand	Uni	50	5	8	gexf	3.31515090459082	2.10821983872915	0.5
108	cut	cap	first	Rand.Uni.50.5.8.gexf	50	250	5	3	[9, 9, 9, 9]	3.31515090459082	0.732839008660089	0.7328390086600894	inf	3876	0	0	0	0	[3.31515090459082, 0.7328390086600894]	Rand	Uni	50	5	8	gexf	3.12108919185494	4.25890155269094	0.5
111	cut	cap	first	Rand.Uni.50.10.8.gexf	50	500	2	1	[16, 16, 16, 16]	8.59012901041066	6.72234914732897	6.722349147328973	inf	546	0	0	0	0	[8.590129010410664, 6.722349147328973]	Rand	Uni	50	10	8	gexf	8.59012901041066	1.27784630374693	0
112	cut	cap	first	Rand.Uni.50.10.8.gexf	50	500	3	2	[16, 16, 16, 16]	8.59012901041066	5.83145242916893	5.831452429168926	inf	894	0	0	0	0	[8.590129010410664, 5.831452429168926]	Rand	Uni	50	10	8	gexf	8.59012901041066	1.47306852190765	0
113	cut	cap	first	Rand.Uni.50.10.8.gexf	50	500	5	3	[16, 16, 16, 16]	8.59012901041066	4.27926566636454	4.2792656663645445	inf	922	0	0	0	0	[8.590129010410664, 4.2792656663645445]	Rand	Uni	50	10	8	gexf	8.59012901041066	2.00738390185258	0.5
114	cut	cap	first	Rand.Uni.50.10.8.gexf	50	500	10	4	[16, 16, 16, 16]	8.59012901041066	1.4037042962064	1.4037042962063953	inf	1000	0	0	0	0	[8.590129010410664, 1.4037042962063953]	Rand	Uni	50	10	8	gexf	7.8090964711903	5.56320621963964	0.5
116	cut	cap	first	Rand.Uni.50.25.8.gexf	50	1250	2	1	[41, 41, 41, 41]	19.8797864054405	17.9818734457072	17.981873445707247	inf	241	0	0	0	0	[19.879786405440527, 17.981873445707247]	Rand	Uni	50	25	8	gexf	19.8797864054405	1.10554589684238	0
117	cut	cap	first	Rand.Uni.50.25.8.gexf	50	1250	3	2	[41, 41, 41, 41]	19.8797864054405	17.1255304996978	17.125530499697838	inf	500	0	0	0	0	[19.879786405440527, 17.125530499697838]	Rand	Uni	50	25	8	gexf	19.8797864054405	1.16082747952195	0
118	cut	cap	first	Rand.Uni.50.25.8.gexf	50	1250	5	3	[41, 41, 41, 41]	19.8797864054405	15.4464866534118	15.446486653411805	inf	819	0	0	0	0	[19.879786405440527, 15.446486653411805]	Rand	Uni	50	25	8	gexf	19.8797864054405	1.28701023420426	0
119	cut	cap	first	Rand.Uni.50.25.8.gexf	50	1250	10	4	[41, 41, 41, 41]	19.8797864054405	11.7013012480109	11.701301248010925	inf	397	0	0	0	0	[19.879786405440527, 11.701301248010925]	Rand	Uni	50	25	8	gexf	19.8797864054405	1.69893809107939	0
121	cut	cap	first	Rand.Uni.50.5.9.gexf	50	250	2	1	[8, 8, 8, 8]	4.65488077504099	3.10964648195327	3.109646481953274	inf	974	0	0	0	0	[4.654880775040991, 3.109646481953274]	Rand	Uni	50	5	9	gexf	4.65488077504099	1.49691638649455	0
122	cut	cap	first	Rand.Uni.50.5.9.gexf	50	250	3	2	[8, 8, 8, 8]	4.65488077504099	2.49820834217713	2.4982083421771275	inf	1556	0	0	0	0	[4.654880775040991, 2.4982083421771275]	Rand	Uni	50	5	9	gexf	4.65488077504099	1.86328765958102	0
123	cut	cap	first	Rand.Uni.50.5.9.gexf	50	250	5	3	[8, 8, 8, 8]	4.65488077504099	1.67998935164959	1.679989351649594	inf	2331	0	0	0	0	[4.654880775040991, 1.679989351649594]	Rand	Uni	50	5	9	gexf	4.33413464866831	2.57985840470512	0
126	cut	cap	first	Rand.Uni.50.10.9.gexf	50	500	2	1	[13, 13, 13, 13]	5.81125962669201	3.94828596049538	3.9482859604953755	inf	700	0	0	0	0	[5.811259626692013, 3.9482859604953755]	Rand	Uni	50	10	9	gexf	5.81125962669201	1.47184365186226	0
127	cut	cap	first	Rand.Uni.50.10.9.gexf	50	500	3	2	[13, 13, 13, 13]	5.81125962669201	3.07292343907645	3.072923439076448	inf	507	0	0	0	0	[5.811259626692013, 3.072923439076448]	Rand	Uni	50	10	9	gexf	5.81125962669201	1.89111760898233	0.5
128	cut	cap	first	Rand.Uni.50.10.9.gexf	50	500	5	3	[13, 13, 13, 13]	5.81125962669201	1.98327071697415	1.983270716974145	inf	980	0	0	0	0	[5.811259626692013, 1.983270716974145]	Rand	Uni	50	10	9	gexf	5.81125962669201	2.93013937883286	0.5
129	cut	cap	first	Rand.Uni.50.10.9.gexf	50	500	10	4	[13, 13, 13, 13]	5.81125962669201	0.234749202916287	0.23474920291628665	inf	2345	0	0	0	0	[5.811259626692013, 0.23474920291628665]	Rand	Uni	50	10	9	gexf	2.43537662854614	10.3743765614174	0.5
131	cut	cap	first	Rand.Uni.50.25.9.gexf	50	1250	2	1	[36, 36, 36, 36]	19.1342182563801	17.1696095007753	17.169609500775298	inf	189	0	0	0	0	[19.13421825638006, 17.169609500775298]	Rand	Uni	50	25	9	gexf	19.1342182563801	1.11442361315882	0.5
