path	k	max.multirute.flow	iterations	k.0	k.1	n	multiple	ex	k.5
89	Rand.Uni.100.25.2.gexf	10	19.0109807324756	1	Rand	Uni	100	25	2	gexf
91	Rand.Uni.500.5.2.gexf	2	7.6847652444047	1	Rand	Uni	500	5	2	gexf
92	Rand.Uni.500.5.2.gexf	3	7.6847652444047	1	Rand	Uni	500	5	2	gexf
93	Rand.Uni.500.5.2.gexf	5	7.6847652444047	1	Rand	Uni	500	5	2	gexf
94	Rand.Uni.500.5.2.gexf	10	6.54853492651476	8	Rand	Uni	500	5	2	gexf
96	Rand.Uni.500.10.2.gexf	2	11.1420558695813	1	Rand	Uni	500	10	2	gexf
97	Rand.Uni.500.10.2.gexf	3	11.1420558695813	1	Rand	Uni	500	10	2	gexf
98	Rand.Uni.500.10.2.gexf	5	11.1420558695813	1	Rand	Uni	500	10	2	gexf
99	Rand.Uni.500.10.2.gexf	10	11.1420558695813	1	Rand	Uni	500	10	2	gexf
101	Rand.Uni.500.25.2.gexf	2	19.7630268388129	1	Rand	Uni	500	25	2	gexf
102	Rand.Uni.500.25.2.gexf	3	19.7630268388129	1	Rand	Uni	500	25	2	gexf
103	Rand.Uni.500.25.2.gexf	5	19.7630268388129	1	Rand	Uni	500	25	2	gexf
104	Rand.Uni.500.25.2.gexf	10	19.7630268388129	1	Rand	Uni	500	25	2	gexf
106	Rand.Uni.1000.5.2.gexf	2	4.42892918005967	1	Rand	Uni	1000	5	2	gexf
107	Rand.Uni.1000.5.2.gexf	3	4.42892918005967	1	Rand	Uni	1000	5	2	gexf
108	Rand.Uni.1000.5.2.gexf	5	4.15743384237932	2	Rand	Uni	1000	5	2	gexf
111	Rand.Uni.1000.10.2.gexf	2	9.90875472016985	1	Rand	Uni	1000	10	2	gexf
112	Rand.Uni.1000.10.2.gexf	3	9.90875472016985	1	Rand	Uni	1000	10	2	gexf
113	Rand.Uni.1000.10.2.gexf	5	9.90875472016985	1	Rand	Uni	1000	10	2	gexf
114	Rand.Uni.1000.10.2.gexf	10	9.73714015043428	3	Rand	Uni	1000	10	2	gexf
116	Rand.Uni.1000.25.2.gexf	2	25.6018940758452	1	Rand	Uni	1000	25	2	gexf
117	Rand.Uni.1000.25.2.gexf	3	25.6018940758452	1	Rand	Uni	1000	25	2	gexf
118	Rand.Uni.1000.25.2.gexf	5	25.6018940758452	1	Rand	Uni	1000	25	2	gexf
119	Rand.Uni.1000.25.2.gexf	10	25.6018940758452	1	Rand	Uni	1000	25	2	gexf
120	Rand.Uni.1000.25.2.gexf	50	4.5314026976507	49	Rand	Uni	1000	25	2	gexf
121	Rand.Uni.50.5.3.gexf	2	6.27555963594622	1	Rand	Uni	50	5	3	gexf
122	Rand.Uni.50.5.3.gexf	3	6.27555963594622	1	Rand	Uni	50	5	3	gexf
123	Rand.Uni.50.5.3.gexf	5	6.27555963594622	1	Rand	Uni	50	5	3	gexf
126	Rand.Uni.50.10.3.gexf	2	6.99812495388747	1	Rand	Uni	50	10	3	gexf
127	Rand.Uni.50.10.3.gexf	3	6.99812495388747	1	Rand	Uni	50	10	3	gexf
128	Rand.Uni.50.10.3.gexf	5	6.99812495388747	1	Rand	Uni	50	10	3	gexf
129	Rand.Uni.50.10.3.gexf	10	4.02810309475427	10	Rand	Uni	50	10	3	gexf
131	Rand.Uni.50.25.3.gexf	2	19.6816195585619	1	Rand	Uni	50	25	3	gexf
132	Rand.Uni.50.25.3.gexf	3	19.6816195585619	1	Rand	Uni	50	25	3	gexf
133	Rand.Uni.50.25.3.gexf	5	19.6816195585619	1	Rand	Uni	50	25	3	gexf
134	Rand.Uni.50.25.3.gexf	10	19.6816195585619	1	Rand	Uni	50	25	3	gexf
136	Rand.Uni.100.5.3.gexf	2	2.91391625163533	1	Rand	Uni	100	5	3	gexf
137	Rand.Uni.100.5.3.gexf	3	2.91391625163533	1	Rand	Uni	100	5	3	gexf
138	Rand.Uni.100.5.3.gexf	5	2.80208985906938	2	Rand	Uni	100	5	3	gexf
141	Rand.Uni.100.10.3.gexf	2	11.2444254642564	1	Rand	Uni	100	10	3	gexf
142	Rand.Uni.100.10.3.gexf	3	11.2444254642564	1	Rand	Uni	100	10	3	gexf
143	Rand.Uni.100.10.3.gexf	5	11.2444254642564	1	Rand	Uni	100	10	3	gexf
144	Rand.Uni.100.10.3.gexf	10	11.2444254642564	1	Rand	Uni	100	10	3	gexf
146	Rand.Uni.100.25.3.gexf	2	13.85727176148	1	Rand	Uni	100	25	3	gexf
147	Rand.Uni.100.25.3.gexf	3	13.85727176148	1	Rand	Uni	100	25	3	gexf
148	Rand.Uni.100.25.3.gexf	5	13.85727176148	1	Rand	Uni	100	25	3	gexf
149	Rand.Uni.100.25.3.gexf	10	13.85727176148	2	Rand	Uni	100	25	3	gexf
151	Rand.Uni.500.5.3.gexf	2	3.61924521831373	1	Rand	Uni	500	5	3	gexf
152	Rand.Uni.500.5.3.gexf	3	3.57874775220514	2	Rand	Uni	500	5	3	gexf
153	Rand.Uni.500.5.3.gexf	5	2.93677584224787	3	Rand	Uni	500	5	3	gexf
156	Rand.Uni.500.10.3.gexf	2	8.51857576191261	1	Rand	Uni	500	10	3	gexf
157	Rand.Uni.500.10.3.gexf	3	8.51857576191261	1	Rand	Uni	500	10	3	gexf
158	Rand.Uni.500.10.3.gexf	5	8.51857576191261	1	Rand	Uni	500	10	3	gexf
159	Rand.Uni.500.10.3.gexf	10	8.19102012141096	4	Rand	Uni	500	10	3	gexf
161	Rand.Uni.500.25.3.gexf	2	19.4529879860461	1	Rand	Uni	500	25	3	gexf
162	Rand.Uni.500.25.3.gexf	3	19.4529879860461	1	Rand	Uni	500	25	3	gexf
163	Rand.Uni.500.25.3.gexf	5	19.4529879860461	1	Rand	Uni	500	25	3	gexf
