path	k	max.multirute.flow	iterations	k.0	k.1	n	multiple	ex	k.5
1448	Rand.Uni.50.10.25.gexf	5	6.14464300782501	1	Rand	Uni	50	10	25	gexf
1449	Rand.Uni.50.10.25.gexf	10	3.56371472732378	7	Rand	Uni	50	10	25	gexf
1451	Rand.Uni.50.25.25.gexf	2	18.3144866385598	1	Rand	Uni	50	25	25	gexf
1452	Rand.Uni.50.25.25.gexf	3	18.3144866385598	1	Rand	Uni	50	25	25	gexf
1453	Rand.Uni.50.25.25.gexf	5	18.3144866385598	1	Rand	Uni	50	25	25	gexf
1454	Rand.Uni.50.25.25.gexf	10	18.3144866385598	1	Rand	Uni	50	25	25	gexf
1456	Rand.Uni.100.5.25.gexf	2	5.17035729470381	1	Rand	Uni	100	5	25	gexf
1457	Rand.Uni.100.5.25.gexf	3	5.17035729470381	1	Rand	Uni	100	5	25	gexf
1458	Rand.Uni.100.5.25.gexf	5	5.17035729470381	1	Rand	Uni	100	5	25	gexf
1461	Rand.Uni.100.10.25.gexf	2	8.75767368180135	1	Rand	Uni	100	10	25	gexf
1462	Rand.Uni.100.10.25.gexf	3	8.75767368180135	1	Rand	Uni	100	10	25	gexf
1463	Rand.Uni.100.10.25.gexf	5	8.75767368180135	1	Rand	Uni	100	10	25	gexf
1464	Rand.Uni.100.10.25.gexf	10	7.46511245360592	7	Rand	Uni	100	10	25	gexf
1466	Rand.Uni.100.25.25.gexf	2	21.8996955205364	1	Rand	Uni	100	25	25	gexf
1467	Rand.Uni.100.25.25.gexf	3	21.8996955205364	1	Rand	Uni	100	25	25	gexf
1468	Rand.Uni.100.25.25.gexf	5	21.8996955205364	1	Rand	Uni	100	25	25	gexf
1469	Rand.Uni.100.25.25.gexf	10	21.8996955205364	1	Rand	Uni	100	25	25	gexf
1471	Rand.Uni.500.5.25.gexf	2	3.38627303742016	1	Rand	Uni	500	5	25	gexf
1472	Rand.Uni.500.5.25.gexf	3	3.38627303742016	1	Rand	Uni	500	5	25	gexf
1473	Rand.Uni.500.5.25.gexf	5	3.38627303742016	1	Rand	Uni	500	5	25	gexf
1474	Rand.Uni.500.5.25.gexf	10	0.691486966803283	11	Rand	Uni	500	5	25	gexf
1476	Rand.Uni.500.10.25.gexf	2	7.03336250745579	1	Rand	Uni	500	10	25	gexf
1477	Rand.Uni.500.10.25.gexf	3	7.03336250745579	1	Rand	Uni	500	10	25	gexf
1478	Rand.Uni.500.10.25.gexf	5	7.03336250745579	1	Rand	Uni	500	10	25	gexf
1479	Rand.Uni.500.10.25.gexf	10	5.94366749792258	6	Rand	Uni	500	10	25	gexf
1481	Rand.Uni.500.25.25.gexf	2	23.3159242793457	1	Rand	Uni	500	25	25	gexf
1482	Rand.Uni.500.25.25.gexf	3	23.3159242793457	1	Rand	Uni	500	25	25	gexf
1483	Rand.Uni.500.25.25.gexf	5	23.3159242793457	1	Rand	Uni	500	25	25	gexf
1484	Rand.Uni.500.25.25.gexf	10	23.3159242793457	1	Rand	Uni	500	25	25	gexf
1485	Rand.Uni.500.25.25.gexf	50	1.72999256184224	50	Rand	Uni	500	25	25	gexf
1486	Rand.Uni.1000.5.25.gexf	2	3.21692273770292	1	Rand	Uni	1000	5	25	gexf
1487	Rand.Uni.1000.5.25.gexf	3	3.18547219721866	2	Rand	Uni	1000	5	25	gexf
1488	Rand.Uni.1000.5.25.gexf	5	1.95659747243594	5	Rand	Uni	1000	5	25	gexf
1491	Rand.Uni.1000.10.25.gexf	2	11.8162873802544	1	Rand	Uni	1000	10	25	gexf
1492	Rand.Uni.1000.10.25.gexf	3	11.8162873802544	1	Rand	Uni	1000	10	25	gexf
1493	Rand.Uni.1000.10.25.gexf	5	11.8162873802544	1	Rand	Uni	1000	10	25	gexf
1494	Rand.Uni.1000.10.25.gexf	10	11.8162873802544	1	Rand	Uni	1000	10	25	gexf
1496	Rand.Uni.1000.25.25.gexf	2	19.3767921775286	1	Rand	Uni	1000	25	25	gexf
1497	Rand.Uni.1000.25.25.gexf	3	19.3767921775286	1	Rand	Uni	1000	25	25	gexf
1498	Rand.Uni.1000.25.25.gexf	5	19.3767921775286	1	Rand	Uni	1000	25	25	gexf
1499	Rand.Uni.1000.25.25.gexf	10	19.3767921775286	1	Rand	Uni	1000	25	25	gexf
1501	Rand.Uni.50.5.26.gexf	2	4.01083743837547	1	Rand	Uni	50	5	26	gexf
1502	Rand.Uni.50.5.26.gexf	3	4.01083743837547	1	Rand	Uni	50	5	26	gexf
1503	Rand.Uni.50.5.26.gexf	5	3.60483325901826	4	Rand	Uni	50	5	26	gexf
1506	Rand.Uni.50.10.26.gexf	2	6.14100698829627	1	Rand	Uni	50	10	26	gexf
1507	Rand.Uni.50.10.26.gexf	3	6.14100698829627	1	Rand	Uni	50	10	26	gexf
1508	Rand.Uni.50.10.26.gexf	5	6.14100698829627	1	Rand	Uni	50	10	26	gexf
1509	Rand.Uni.50.10.26.gexf	10	3.34994751205393	11	Rand	Uni	50	10	26	gexf
1511	Rand.Uni.50.25.26.gexf	2	16.8087527862588	1	Rand	Uni	50	25	26	gexf
1512	Rand.Uni.50.25.26.gexf	3	16.8087527862588	1	Rand	Uni	50	25	26	gexf
1513	Rand.Uni.50.25.26.gexf	5	16.8087527862588	1	Rand	Uni	50	25	26	gexf
1514	Rand.Uni.50.25.26.gexf	10	16.8087527862588	1	Rand	Uni	50	25	26	gexf
1516	Rand.Uni.100.5.26.gexf	2	3.08724568995056	1	Rand	Uni	100	5	26	gexf
1517	Rand.Uni.100.5.26.gexf	3	2.92167952303974	2	Rand	Uni	100	5	26	gexf
1518	Rand.Uni.100.5.26.gexf	5	2.3943087561548	4	Rand	Uni	100	5	26	gexf
1521	Rand.Uni.100.10.26.gexf	2	7.45314211269092	1	Rand	Uni	100	10	26	gexf
1522	Rand.Uni.100.10.26.gexf	3	7.45314211269092	1	Rand	Uni	100	10	26	gexf
1523	Rand.Uni.100.10.26.gexf	5	7.45314211269092	1	Rand	Uni	100	10	26	gexf
1524	Rand.Uni.100.10.26.gexf	10	6.82487519749185	6	Rand	Uni	100	10	26	gexf
1526	Rand.Uni.100.25.26.gexf	2	23.8352786066619	1	Rand	Uni	100	25	26	gexf
1527	Rand.Uni.100.25.26.gexf	3	23.8352786066619	1	Rand	Uni	100	25	26	gexf
1528	Rand.Uni.100.25.26.gexf	5	23.8352786066619	1	Rand	Uni	100	25	26	gexf
1529	Rand.Uni.100.25.26.gexf	10	23.8352786066619	1	Rand	Uni	100	25	26	gexf
1531	Rand.Uni.500.5.26.gexf	2	3.50357816796274	1	Rand	Uni	500	5	26	gexf
1532	Rand.Uni.500.5.26.gexf	3	3.50357816796274	1	Rand	Uni	500	5	26	gexf
1533	Rand.Uni.500.5.26.gexf	5	1.88676914476261	6	Rand	Uni	500	5	26	gexf
1536	Rand.Uni.500.10.26.gexf	2	10.9289414616567	1	Rand	Uni	500	10	26	gexf
1537	Rand.Uni.500.10.26.gexf	3	10.9289414616567	1	Rand	Uni	500	10	26	gexf
1538	Rand.Uni.500.10.26.gexf	5	10.9289414616567	1	Rand	Uni	500	10	26	gexf
1539	Rand.Uni.500.10.26.gexf	10	10.9289414616567	1	Rand	Uni	500	10	26	gexf
1541	Rand.Uni.500.25.26.gexf	2	20.3424704223772	1	Rand	Uni	500	25	26	gexf
1542	Rand.Uni.500.25.26.gexf	3	20.3424704223772	1	Rand	Uni	500	25	26	gexf
1543	Rand.Uni.500.25.26.gexf	5	20.3424704223772	1	Rand	Uni	500	25	26	gexf
1544	Rand.Uni.500.25.26.gexf	10	20.3424704223772	1	Rand	Uni	500	25	26	gexf
1546	Rand.Uni.1000.5.26.gexf	2	3.20448171477017	1	Rand	Uni	1000	5	26	gexf
1547	Rand.Uni.1000.5.26.gexf	3	2.99643897792159	2	Rand	Uni	1000	5	26	gexf
1548	Rand.Uni.1000.5.26.gexf	5	1.68115677685106	6	Rand	Uni	1000	5	26	gexf
1551	Rand.Uni.1000.10.26.gexf	2	9.13078351701616	1	Rand	Uni	1000	10	26	gexf
1552	Rand.Uni.1000.10.26.gexf	3	9.13078351701616	1	Rand	Uni	1000	10	26	gexf
1553	Rand.Uni.1000.10.26.gexf	5	9.13078351701616	1	Rand	Uni	1000	10	26	gexf
1554	Rand.Uni.1000.10.26.gexf	10	8.39940623132636	7	Rand	Uni	1000	10	26	gexf
1556	Rand.Uni.1000.25.26.gexf	2	25.3607944369115	1	Rand	Uni	1000	25	26	gexf
1557	Rand.Uni.1000.25.26.gexf	3	25.3607944369115	1	Rand	Uni	1000	25	26	gexf
1558	Rand.Uni.1000.25.26.gexf	5	25.3607944369115	1	Rand	Uni	1000	25	26	gexf
1559	Rand.Uni.1000.25.26.gexf	10	25.3607944369115	1	Rand	Uni	1000	25	26	gexf
1560	Rand.Uni.1000.25.26.gexf	50	0.629640259554635	51	Rand	Uni	1000	25	26	gexf
1561	Rand.Uni.50.5.27.gexf	2	4.39561090246659	1	Rand	Uni	50	5	27	gexf
1562	Rand.Uni.50.5.27.gexf	3	4.39561090246659	1	Rand	Uni	50	5	27	gexf
1563	Rand.Uni.50.5.27.gexf	5	4.02407485342238	3	Rand	Uni	50	5	27	gexf
1566	Rand.Uni.50.10.27.gexf	2	7.0117666036386	1	Rand	Uni	50	10	27	gexf
1567	Rand.Uni.50.10.27.gexf	3	7.0117666036386	1	Rand	Uni	50	10	27	gexf
1568	Rand.Uni.50.10.27.gexf	5	7.0117666036386	1	Rand	Uni	50	10	27	gexf
1569	Rand.Uni.50.10.27.gexf	10	5.32532323082849	9	Rand	Uni	50	10	27	gexf
1571	Rand.Uni.50.25.27.gexf	2	18.94116634821	1	Rand	Uni	50	25	27	gexf
1572	Rand.Uni.50.25.27.gexf	3	18.94116634821	1	Rand	Uni	50	25	27	gexf
1573	Rand.Uni.50.25.27.gexf	5	18.94116634821	1	Rand	Uni	50	25	27	gexf
1574	Rand.Uni.50.25.27.gexf	10	18.94116634821	1	Rand	Uni	50	25	27	gexf
1576	Rand.Uni.100.5.27.gexf	2	4.50510432002564	1	Rand	Uni	100	5	27	gexf
1577	Rand.Uni.100.5.27.gexf	3	4.50510432002564	1	Rand	Uni	100	5	27	gexf
1578	Rand.Uni.100.5.27.gexf	5	4.15193219470273	5	Rand	Uni	100	5	27	gexf
1581	Rand.Uni.100.10.27.gexf	2	10.040529553351	1	Rand	Uni	100	10	27	gexf
1582	Rand.Uni.100.10.27.gexf	3	10.040529553351	1	Rand	Uni	100	10	27	gexf
1583	Rand.Uni.100.10.27.gexf	5	10.040529553351	1	Rand	Uni	100	10	27	gexf
1584	Rand.Uni.100.10.27.gexf	10	10.040529553351	2	Rand	Uni	100	10	27	gexf
1586	Rand.Uni.100.25.27.gexf	2	22.5246275036745	1	Rand	Uni	100	25	27	gexf
1587	Rand.Uni.100.25.27.gexf	3	22.5246275036745	1	Rand	Uni	100	25	27	gexf
1588	Rand.Uni.100.25.27.gexf	5	22.5246275036745	1	Rand	Uni	100	25	27	gexf
1589	Rand.Uni.100.25.27.gexf	10	22.5246275036745	2	Rand	Uni	100	25	27	gexf
1591	Rand.Uni.500.5.27.gexf	2	3.88347982624378	1	Rand	Uni	500	5	27	gexf
1592	Rand.Uni.500.5.27.gexf	3	3.88347982624378	1	Rand	Uni	500	5	27	gexf
1593	Rand.Uni.500.5.27.gexf	5	2.42593493562643	6	Rand	Uni	500	5	27	gexf
1596	Rand.Uni.500.10.27.gexf	2	9.32006661871194	1	Rand	Uni	500	10	27	gexf
1597	Rand.Uni.500.10.27.gexf	3	9.32006661871194	1	Rand	Uni	500	10	27	gexf
1598	Rand.Uni.500.10.27.gexf	5	9.32006661871194	1	Rand	Uni	500	10	27	gexf
1599	Rand.Uni.500.10.27.gexf	10	9.23251897454578	2	Rand	Uni	500	10	27	gexf
1601	Rand.Uni.500.25.27.gexf	2	22.6006374097531	1	Rand	Uni	500	25	27	gexf
1602	Rand.Uni.500.25.27.gexf	3	22.6006374097531	1	Rand	Uni	500	25	27	gexf
1603	Rand.Uni.500.25.27.gexf	5	22.6006374097531	1	Rand	Uni	500	25	27	gexf
1604	Rand.Uni.500.25.27.gexf	10	22.6006374097531	1	Rand	Uni	500	25	27	gexf
1605	Rand.Uni.500.25.27.gexf	50	0.627590160591143	51	Rand	Uni	500	25	27	gexf
1606	Rand.Uni.1000.5.27.gexf	2	1.61335579330655	2	Rand	Uni	1000	5	27	gexf
1607	Rand.Uni.1000.5.27.gexf	3	1.43409403849471	2	Rand	Uni	1000	5	27	gexf
1608	Rand.Uni.1000.5.27.gexf	5	0.153708217673082	6	Rand	Uni	1000	5	27	gexf
1611	Rand.Uni.1000.10.27.gexf	2	9.89237289838765	1	Rand	Uni	1000	10	27	gexf
1612	Rand.Uni.1000.10.27.gexf	3	9.89237289838765	1	Rand	Uni	1000	10	27	gexf
1613	Rand.Uni.1000.10.27.gexf	5	9.89237289838765	1	Rand	Uni	1000	10	27	gexf
1614	Rand.Uni.1000.10.27.gexf	10	9.62678188521765	4	Rand	Uni	1000	10	27	gexf
1616	Rand.Uni.1000.25.27.gexf	2	20.8931897005514	1	Rand	Uni	1000	25	27	gexf
1617	Rand.Uni.1000.25.27.gexf	3	20.8931897005514	1	Rand	Uni	1000	25	27	gexf
1618	Rand.Uni.1000.25.27.gexf	5	20.8931897005514	1	Rand	Uni	1000	25	27	gexf
1619	Rand.Uni.1000.25.27.gexf	10	20.8931897005514	1	Rand	Uni	1000	25	27	gexf
1621	Rand.Uni.50.5.28.gexf	2	4.50680337442302	1	Rand	Uni	50	5	28	gexf
1622	Rand.Uni.50.5.28.gexf	3	4.50680337442302	1	Rand	Uni	50	5	28	gexf
1623	Rand.Uni.50.5.28.gexf	5	4.31295945773561	2	Rand	Uni	50	5	28	gexf
1626	Rand.Uni.50.10.28.gexf	2	8.74873906941978	1	Rand	Uni	50	10	28	gexf
1627	Rand.Uni.50.10.28.gexf	3	8.74873906941978	1	Rand	Uni	50	10	28	gexf
1628	Rand.Uni.50.10.28.gexf	5	8.74873906941978	1	Rand	Uni	50	10	28	gexf
1629	Rand.Uni.50.10.28.gexf	10	8.66080393807937	3	Rand	Uni	50	10	28	gexf
1631	Rand.Uni.50.25.28.gexf	2	14.415490793496	1	Rand	Uni	50	25	28	gexf
1632	Rand.Uni.50.25.28.gexf	3	14.415490793496	1	Rand	Uni	50	25	28	gexf
1633	Rand.Uni.50.25.28.gexf	5	14.415490793496	1	Rand	Uni	50	25	28	gexf
1634	Rand.Uni.50.25.28.gexf	10	14.415490793496	1	Rand	Uni	50	25	28	gexf
1636	Rand.Uni.100.5.28.gexf	2	4.71548924427304	1	Rand	Uni	100	5	28	gexf
1637	Rand.Uni.100.5.28.gexf	3	4.71548924427304	1	Rand	Uni	100	5	28	gexf
1638	Rand.Uni.100.5.28.gexf	5	3.93918039459729	5	Rand	Uni	100	5	28	gexf
1641	Rand.Uni.100.10.28.gexf	2	8.70170856143961	1	Rand	Uni	100	10	28	gexf
1642	Rand.Uni.100.10.28.gexf	3	8.70170856143961	1	Rand	Uni	100	10	28	gexf
1643	Rand.Uni.100.10.28.gexf	5	8.70170856143961	1	Rand	Uni	100	10	28	gexf
1644	Rand.Uni.100.10.28.gexf	10	8.27997122161499	5	Rand	Uni	100	10	28	gexf
1646	Rand.Uni.100.25.28.gexf	2	17.5150479225291	1	Rand	Uni	100	25	28	gexf
1647	Rand.Uni.100.25.28.gexf	3	17.5150479225291	1	Rand	Uni	100	25	28	gexf
1648	Rand.Uni.100.25.28.gexf	5	17.5150479225291	1	Rand	Uni	100	25	28	gexf
1649	Rand.Uni.100.25.28.gexf	10	17.5150479225291	1	Rand	Uni	100	25	28	gexf
1651	Rand.Uni.500.5.28.gexf	2	5.47199732320338	1	Rand	Uni	500	5	28	gexf
1652	Rand.Uni.500.5.28.gexf	3	5.47199732320338	1	Rand	Uni	500	5	28	gexf
1653	Rand.Uni.500.5.28.gexf	5	5.41677642345898	2	Rand	Uni	500	5	28	gexf
1656	Rand.Uni.500.10.28.gexf	2	10.6583099093373	1	Rand	Uni	500	10	28	gexf
1657	Rand.Uni.500.10.28.gexf	3	10.6583099093373	1	Rand	Uni	500	10	28	gexf
1658	Rand.Uni.500.10.28.gexf	5	10.6583099093373	1	Rand	Uni	500	10	28	gexf
1659	Rand.Uni.500.10.28.gexf	10	10.6105580734414	3	Rand	Uni	500	10	28	gexf
1661	Rand.Uni.500.25.28.gexf	2	16.5946721080936	1	Rand	Uni	500	25	28	gexf
1662	Rand.Uni.500.25.28.gexf	3	16.5946721080936	1	Rand	Uni	500	25	28	gexf
1663	Rand.Uni.500.25.28.gexf	5	16.5946721080936	1	Rand	Uni	500	25	28	gexf
1664	Rand.Uni.500.25.28.gexf	10	16.5946721080936	1	Rand	Uni	500	25	28	gexf
1666	Rand.Uni.1000.5.28.gexf	2	2.76322202538654	1	Rand	Uni	1000	5	28	gexf
1667	Rand.Uni.1000.5.28.gexf	3	2.51682368497568	4	Rand	Uni	1000	5	28	gexf
1668	Rand.Uni.1000.5.28.gexf	5	0.920122875584515	6	Rand	Uni	1000	5	28	gexf
1671	Rand.Uni.1000.10.28.gexf	2	11.7007594004809	1	Rand	Uni	1000	10	28	gexf
1672	Rand.Uni.1000.10.28.gexf	3	11.7007594004809	1	Rand	Uni	1000	10	28	gexf
1673	Rand.Uni.1000.10.28.gexf	5	11.7007594004809	1	Rand	Uni	1000	10	28	gexf
1674	Rand.Uni.1000.10.28.gexf	10	11.7007594004809	1	Rand	Uni	1000	10	28	gexf
1676	Rand.Uni.1000.25.28.gexf	2	22.1333330797326	1	Rand	Uni	1000	25	28	gexf
1677	Rand.Uni.1000.25.28.gexf	3	22.1333330797326	1	Rand	Uni	1000	25	28	gexf
1678	Rand.Uni.1000.25.28.gexf	5	22.1333330797326	1	Rand	Uni	1000	25	28	gexf
1679	Rand.Uni.1000.25.28.gexf	10	22.1333330797326	2	Rand	Uni	1000	25	28	gexf
1681	Rand.Uni.50.5.29.gexf	2	5.29014474502074	1	Rand	Uni	50	5	29	gexf
1682	Rand.Uni.50.5.29.gexf	3	5.29014474502074	1	Rand	Uni	50	5	29	gexf
1683	Rand.Uni.50.5.29.gexf	5	5.28427690565253	2	Rand	Uni	50	5	29	gexf
1684	Rand.Uni.50.5.29.gexf	10	0.484356728912394	11	Rand	Uni	50	5	29	gexf
1686	Rand.Uni.50.10.29.gexf	2	6.81917445958892	1	Rand	Uni	50	10	29	gexf
1687	Rand.Uni.50.10.29.gexf	3	6.81917445958892	1	Rand	Uni	50	10	29	gexf
1688	Rand.Uni.50.10.29.gexf	5	6.81917445958892	1	Rand	Uni	50	10	29	gexf
1689	Rand.Uni.50.10.29.gexf	10	5.13502294643632	9	Rand	Uni	50	10	29	gexf
1691	Rand.Uni.50.25.29.gexf	2	15.617758888454	1	Rand	Uni	50	25	29	gexf
1692	Rand.Uni.50.25.29.gexf	3	15.617758888454	1	Rand	Uni	50	25	29	gexf
1693	Rand.Uni.50.25.29.gexf	5	15.617758888454	1	Rand	Uni	50	25	29	gexf
1694	Rand.Uni.50.25.29.gexf	10	15.617758888454	2	Rand	Uni	50	25	29	gexf
1696	Rand.Uni.100.5.29.gexf	2	2.57872707425609	1	Rand	Uni	100	5	29	gexf
1697	Rand.Uni.100.5.29.gexf	3	2.45543612649056	3	Rand	Uni	100	5	29	gexf
1698	Rand.Uni.100.5.29.gexf	5	0.548762675643553	6	Rand	Uni	100	5	29	gexf
1701	Rand.Uni.100.10.29.gexf	2	8.95908443346568	1	Rand	Uni	100	10	29	gexf
1702	Rand.Uni.100.10.29.gexf	3	8.95908443346568	1	Rand	Uni	100	10	29	gexf
1703	Rand.Uni.100.10.29.gexf	5	8.95908443346568	1	Rand	Uni	100	10	29	gexf
1704	Rand.Uni.100.10.29.gexf	10	8.45370459375668	4	Rand	Uni	100	10	29	gexf
1706	Rand.Uni.100.25.29.gexf	2	18.8594357529815	1	Rand	Uni	100	25	29	gexf
1707	Rand.Uni.100.25.29.gexf	3	18.8594357529815	1	Rand	Uni	100	25	29	gexf
1708	Rand.Uni.100.25.29.gexf	5	18.8594357529815	1	Rand	Uni	100	25	29	gexf
1709	Rand.Uni.100.25.29.gexf	10	18.8594357529815	1	Rand	Uni	100	25	29	gexf
1711	Rand.Uni.500.5.29.gexf	2	1.41825835345454	3	Rand	Uni	500	5	29	gexf
1712	Rand.Uni.500.5.29.gexf	3	0.423705986869294	4	Rand	Uni	500	5	29	gexf
1716	Rand.Uni.500.10.29.gexf	2	6.13503408849261	1	Rand	Uni	500	10	29	gexf
1717	Rand.Uni.500.10.29.gexf	3	6.13503408849261	1	Rand	Uni	500	10	29	gexf
1718	Rand.Uni.500.10.29.gexf	5	6.13503408849261	1	Rand	Uni	500	10	29	gexf
1719	Rand.Uni.500.10.29.gexf	10	3.37941138424077	8	Rand	Uni	500	10	29	gexf
1721	Rand.Uni.500.25.29.gexf	2	25.5907379111173	1	Rand	Uni	500	25	29	gexf
1722	Rand.Uni.500.25.29.gexf	3	25.5907379111173	1	Rand	Uni	500	25	29	gexf
1723	Rand.Uni.500.25.29.gexf	5	25.5907379111173	1	Rand	Uni	500	25	29	gexf
1724	Rand.Uni.500.25.29.gexf	10	25.5907379111173	1	Rand	Uni	500	25	29	gexf
1725	Rand.Uni.500.25.29.gexf	50	0.781853835197105	50	Rand	Uni	500	25	29	gexf
1726	Rand.Uni.1000.5.29.gexf	2	2.51764460141186	2	Rand	Uni	1000	5	29	gexf
1727	Rand.Uni.1000.5.29.gexf	3	2.23790631236609	2	Rand	Uni	1000	5	29	gexf
1728	Rand.Uni.1000.5.29.gexf	5	1.33370919108998	6	Rand	Uni	1000	5	29	gexf
1731	Rand.Uni.1000.10.29.gexf	2	9.92813984738467	1	Rand	Uni	1000	10	29	gexf
1732	Rand.Uni.1000.10.29.gexf	3	9.92813984738467	1	Rand	Uni	1000	10	29	gexf
1733	Rand.Uni.1000.10.29.gexf	5	9.92813984738467	1	Rand	Uni	1000	10	29	gexf
1734	Rand.Uni.1000.10.29.gexf	10	9.92033772962325	2	Rand	Uni	1000	10	29	gexf
1736	Rand.Uni.1000.25.29.gexf	2	22.9136022602445	1	Rand	Uni	1000	25	29	gexf
1737	Rand.Uni.1000.25.29.gexf	3	22.9136022602445	1	Rand	Uni	1000	25	29	gexf
1738	Rand.Uni.1000.25.29.gexf	5	22.9136022602445	1	Rand	Uni	1000	25	29	gexf
1739	Rand.Uni.1000.25.29.gexf	10	22.9136022602445	1	Rand	Uni	1000	25	29	gexf
1741	Rand.Uni.50.5.30.gexf	2	4.82087447043426	1	Rand	Uni	50	5	30	gexf
1742	Rand.Uni.50.5.30.gexf	3	4.82087447043426	1	Rand	Uni	50	5	30	gexf
1743	Rand.Uni.50.5.30.gexf	5	4.42711159839118	4	Rand	Uni	50	5	30	gexf
1744	Rand.Uni.50.5.30.gexf	10	1.07362296039884	11	Rand	Uni	50	5	30	gexf
1746	Rand.Uni.50.10.30.gexf	2	6.50165931781974	1	Rand	Uni	50	10	30	gexf
1747	Rand.Uni.50.10.30.gexf	3	6.50165931781974	1	Rand	Uni	50	10	30	gexf
1748	Rand.Uni.50.10.30.gexf	5	6.50165931781974	1	Rand	Uni	50	10	30	gexf
1749	Rand.Uni.50.10.30.gexf	10	4.21543668421482	7	Rand	Uni	50	10	30	gexf
1751	Rand.Uni.50.25.30.gexf	2	15.1709725736936	2	Rand	Uni	50	25	30	gexf
1752	Rand.Uni.50.25.30.gexf	3	15.1709725736936	1	Rand	Uni	50	25	30	gexf
1753	Rand.Uni.50.25.30.gexf	5	15.1709725736936	3	Rand	Uni	50	25	30	gexf
1754	Rand.Uni.50.25.30.gexf	10	15.1709725736936	1	Rand	Uni	50	25	30	gexf
1756	Rand.Uni.100.5.30.gexf	2	4.18695546456379	1	Rand	Uni	100	5	30	gexf
1757	Rand.Uni.100.5.30.gexf	3	4.18695546456379	1	Rand	Uni	100	5	30	gexf
1758	Rand.Uni.100.5.30.gexf	5	3.14679517604154	6	Rand	Uni	100	5	30	gexf
1761	Rand.Uni.100.10.30.gexf	2	8.48390078152385	1	Rand	Uni	100	10	30	gexf
1762	Rand.Uni.100.10.30.gexf	3	8.48390078152385	1	Rand	Uni	100	10	30	gexf
1763	Rand.Uni.100.10.30.gexf	5	8.48390078152385	1	Rand	Uni	100	10	30	gexf
1764	Rand.Uni.100.10.30.gexf	10	8.0968887442458	5	Rand	Uni	100	10	30	gexf
1766	Rand.Uni.100.25.30.gexf	2	19.5753114311305	1	Rand	Uni	100	25	30	gexf
1767	Rand.Uni.100.25.30.gexf	3	19.5753114311305	1	Rand	Uni	100	25	30	gexf
1768	Rand.Uni.100.25.30.gexf	5	19.5753114311305	1	Rand	Uni	100	25	30	gexf
1769	Rand.Uni.100.25.30.gexf	10	19.5753114311305	1	Rand	Uni	100	25	30	gexf
1771	Rand.Uni.500.5.30.gexf	2	5.15586429818198	1	Rand	Uni	500	5	30	gexf
1772	Rand.Uni.500.5.30.gexf	3	5.15586429818198	1	Rand	Uni	500	5	30	gexf
1773	Rand.Uni.500.5.30.gexf	5	5.10312578650203	3	Rand	Uni	500	5	30	gexf
1774	Rand.Uni.500.5.30.gexf	10	0.194952600755059	11	Rand	Uni	500	5	30	gexf
1776	Rand.Uni.500.10.30.gexf	2	7.66830128971287	1	Rand	Uni	500	10	30	gexf
1777	Rand.Uni.500.10.30.gexf	3	7.66830128971287	1	Rand	Uni	500	10	30	gexf
1778	Rand.Uni.500.10.30.gexf	5	7.66830128971287	1	Rand	Uni	500	10	30	gexf
1779	Rand.Uni.500.10.30.gexf	10	6.50277866596586	8	Rand	Uni	500	10	30	gexf
1781	Rand.Uni.500.25.30.gexf	2	24.3457330279671	1	Rand	Uni	500	25	30	gexf
1782	Rand.Uni.500.25.30.gexf	3	24.3457330279671	1	Rand	Uni	500	25	30	gexf
1783	Rand.Uni.500.25.30.gexf	5	24.3457330279671	1	Rand	Uni	500	25	30	gexf
1784	Rand.Uni.500.25.30.gexf	10	24.3457330279671	2	Rand	Uni	500	25	30	gexf
1786	Rand.Uni.1000.5.30.gexf	2	5.83738663817385	1	Rand	Uni	1000	5	30	gexf
1787	Rand.Uni.1000.5.30.gexf	3	5.83738663817385	1	Rand	Uni	1000	5	30	gexf
1788	Rand.Uni.1000.5.30.gexf	5	5.83738663817385	1	Rand	Uni	1000	5	30	gexf
1789	Rand.Uni.1000.5.30.gexf	10	4.40940177970539	7	Rand	Uni	1000	5	30	gexf
1791	Rand.Uni.1000.10.30.gexf	2	11.8504371342489	1	Rand	Uni	1000	10	30	gexf
1792	Rand.Uni.1000.10.30.gexf	3	11.8504371342489	1	Rand	Uni	1000	10	30	gexf
1793	Rand.Uni.1000.10.30.gexf	5	11.8504371342489	1	Rand	Uni	1000	10	30	gexf
1794	Rand.Uni.1000.10.30.gexf	10	11.8504371342489	1	Rand	Uni	1000	10	30	gexf
1796	Rand.Uni.1000.25.30.gexf	2	20.0798098718829	1	Rand	Uni	1000	25	30	gexf
1797	Rand.Uni.1000.25.30.gexf	3	20.0798098718829	1	Rand	Uni	1000	25	30	gexf
1798	Rand.Uni.1000.25.30.gexf	5	20.0798098718829	1	Rand	Uni	1000	25	30	gexf
1799	Rand.Uni.1000.25.30.gexf	10	20.0798098718829	1	Rand	Uni	1000	25	30	gexf
1801	Rand.Uni.50.5.31.gexf	2	4.06631096449512	1	Rand	Uni	50	5	31	gexf
1802	Rand.Uni.50.5.31.gexf	3	4.06631096449512	1	Rand	Uni	50	5	31	gexf
1803	Rand.Uni.50.5.31.gexf	5	3.92870662928145	3	Rand	Uni	50	5	31	gexf
1806	Rand.Uni.50.10.31.gexf	2	9.71877523807729	1	Rand	Uni	50	10	31	gexf
