construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4
cut,cap,first,Complete.500.1.51.gexf,500,249500,2,1,"[499, 499, 499, 499]",253.819949000913,251.82623155540276,251.82623155540276,inf,2,0,0,0,0,"[253.819949000913, 251.82623155540276]",Complete,500,1,51,gexf
cut,cap,first,Complete.500.1.51.gexf,500,249500,3,2,"[499, 499, 499, 499]",253.819949000913,250.8321130757003,250.8321130757003,inf,2,0,0,0,0,"[253.819949000913, 250.8321130757003]",Complete,500,1,51,gexf
cut,cap,first,Complete.500.1.51.gexf,500,249500,5,3,"[499, 499, 499, 499]",253.819949000913,248.84994929804733,248.84994929804733,inf,2,0,0,0,0,"[253.819949000913, 248.84994929804733]",Complete,500,1,51,gexf
cut,cap,first,Complete.500.1.51.gexf,500,249500,10,4,"[499, 499, 499, 499]",253.819949000913,243.92461134742544,243.92461134742544,inf,1,0,0,0,0,"[253.819949000913, 243.92461134742544]",Complete,500,1,51,gexf
cut,cap,first,Complete.500.1.51.gexf,500,249500,50,5,"[499, 499, 499, 499]",253.819949000913,206.45420437590607,206.45420437590607,inf,2,0,0,0,0,"[253.819949000913, 206.45420437590607]",Complete,500,1,51,gexf
cut,cap,first,Complete.500.20.51.gexf,500,249500,2,1,"[499, 499, 499, 499]",4968,4930,4930,inf,2,0,0,0,0,"[4968, 4930]",Complete,500,20,51,gexf
cut,cap,first,Complete.500.20.51.gexf,500,249500,3,2,"[499, 499, 499, 499]",4968,4911,4911,inf,1,0,0,0,0,"[4968, 4911]",Complete,500,20,51,gexf
cut,cap,first,Complete.500.20.51.gexf,500,249500,5,3,"[499, 499, 499, 499]",4968,4873,4873,inf,2,0,0,0,0,"[4968, 4873]",Complete,500,20,51,gexf
cut,cap,first,Complete.500.20.51.gexf,500,249500,10,4,"[499, 499, 499, 499]",4968,4778,4778,inf,2,0,0,0,0,"[4968, 4778]",Complete,500,20,51,gexf
cut,cap,first,Complete.500.20.51.gexf,500,249500,50,5,"[499, 499, 499, 499]",4968,4044,4044,inf,3,0,0,0,0,"[4968, 4044]",Complete,500,20,51,gexf
cut,cap,first,Complete.500.1.52.gexf,500,249500,2,1,"[499, 499, 499, 499]",250.34580732028897,248.35081409060032,248.35081409060032,inf,2,0,0,0,0,"[250.34580732028897, 248.35081409060032]",Complete,500,1,52,gexf
cut,cap,first,Complete.500.1.52.gexf,500,249500,3,2,"[499, 499, 499, 499]",250.34580732028897,247.35670440199837,247.35670440199837,inf,3,0,0,0,0,"[250.34580732028897, 247.35670440199837]",Complete,500,1,52,gexf
cut,cap,first,Complete.500.1.52.gexf,500,249500,5,3,"[499, 499, 499, 499]",250.34580732028897,245.36908178156122,245.36908178156122,inf,1,0,0,0,0,"[250.34580732028897, 245.36908178156122]",Complete,500,1,52,gexf
cut,cap,first,Complete.500.1.52.gexf,500,249500,10,4,"[499, 499, 499, 499]",250.34580732028897,240.43829461995531,240.43829461995531,inf,2,0,0,0,0,"[250.34580732028897, 240.43829461995531]",Complete,500,1,52,gexf
cut,cap,first,Complete.500.1.52.gexf,500,249500,50,5,"[499, 499, 499, 499]",250.34580732028897,202.8833046458577,202.8833046458577,inf,2,0,0,0,0,"[250.34580732028897, 202.8833046458577]",Complete,500,1,52,gexf
cut,cap,first,Complete.500.20.52.gexf,500,249500,2,1,"[499, 499, 499, 499]",4939,4901,4901,inf,2,0,0,0,0,"[4939, 4901]",Complete,500,20,52,gexf
cut,cap,first,Complete.500.20.52.gexf,500,249500,3,2,"[499, 499, 499, 499]",4939,4882,4882,inf,2,0,0,0,0,"[4939, 4882]",Complete,500,20,52,gexf
cut,cap,first,Complete.500.20.52.gexf,500,249500,5,3,"[499, 499, 499, 499]",4939,4844,4844,inf,2,0,0,0,0,"[4939, 4844]",Complete,500,20,52,gexf
cut,cap,first,Complete.500.20.52.gexf,500,249500,10,4,"[499, 499, 499, 499]",4939,4749,4749,inf,2,0,0,0,0,"[4939, 4749]",Complete,500,20,52,gexf
cut,cap,first,Complete.500.20.52.gexf,500,249500,50,5,"[499, 499, 499, 499]",4939,4005,4005,inf,3,0,0,0,0,"[4939, 4005]",Complete,500,20,52,gexf
