path	k	max.multirute.flow	iterations	k.0	n	max.c	ex	k.4
84	Complete.50.1.3.gexf	10	24.341771101625	1	Complete	50	1	3	gexf
86	Complete.50.20.3.gexf	2	478	1	Complete	50	20	3	gexf
87	Complete.50.20.3.gexf	3	478	1	Complete	50	20	3	gexf
88	Complete.50.20.3.gexf	5	478	1	Complete	50	20	3	gexf
89	Complete.50.20.3.gexf	10	478	1	Complete	50	20	3	gexf
91	Complete.100.1.3.gexf	2	48.4409491149289	1	Complete	100	1	3	gexf
92	Complete.100.1.3.gexf	3	48.4409491149289	1	Complete	100	1	3	gexf
93	Complete.100.1.3.gexf	5	48.4409491149289	1	Complete	100	1	3	gexf
94	Complete.100.1.3.gexf	10	48.4409491149289	1	Complete	100	1	3	gexf
95	Complete.100.1.3.gexf	50	48.3011360532101	8	Complete	100	1	3	gexf
96	Complete.100.20.3.gexf	2	972	1	Complete	100	20	3	gexf
97	Complete.100.20.3.gexf	3	972	1	Complete	100	20	3	gexf
98	Complete.100.20.3.gexf	5	972	1	Complete	100	20	3	gexf
99	Complete.100.20.3.gexf	10	972	1	Complete	100	20	3	gexf
100	Complete.100.20.3.gexf	50	972	1	Complete	100	20	3	gexf
101	Complete.500.1.3.gexf	2	254.628338111687	1	Complete	500	1	3	gexf
102	Complete.500.1.3.gexf	3	254.628338111687	1	Complete	500	1	3	gexf
103	Complete.500.1.3.gexf	5	254.628338111687	1	Complete	500	1	3	gexf
104	Complete.500.1.3.gexf	10	254.628338111687	1	Complete	500	1	3	gexf
105	Complete.500.1.3.gexf	50	254.628338111687	1	Complete	500	1	3	gexf
106	Complete.500.20.3.gexf	2	4877	1	Complete	500	20	3	gexf
107	Complete.500.20.3.gexf	3	4877	1	Complete	500	20	3	gexf
108	Complete.500.20.3.gexf	5	4877	1	Complete	500	20	3	gexf
109	Complete.500.20.3.gexf	10	4877	1	Complete	500	20	3	gexf
110	Complete.500.20.3.gexf	50	4877	1	Complete	500	20	3	gexf
111	Complete.1000.1.3.gexf	2	489.121304456693	1	Complete	1000	1	3	gexf
112	Complete.1000.1.3.gexf	3	489.121304456693	1	Complete	1000	1	3	gexf
113	Complete.1000.1.3.gexf	5	489.121304456693	1	Complete	1000	1	3	gexf
114	Complete.1000.1.3.gexf	10	489.121304456693	1	Complete	1000	1	3	gexf
115	Complete.1000.1.3.gexf	50	489.121304456693	1	Complete	1000	1	3	gexf
116	Complete.1000.20.3.gexf	2	9934	1	Complete	1000	20	3	gexf
117	Complete.1000.20.3.gexf	3	9934	1	Complete	1000	20	3	gexf
118	Complete.1000.20.3.gexf	5	9934	1	Complete	1000	20	3	gexf
119	Complete.1000.20.3.gexf	10	9934	1	Complete	1000	20	3	gexf
120	Complete.1000.20.3.gexf	50	9934	1	Complete	1000	20	3	gexf
121	Complete.50.1.4.gexf	2	22.1031482036976	1	Complete	50	1	4	gexf
122	Complete.50.1.4.gexf	3	22.1031482036976	1	Complete	50	1	4	gexf
123	Complete.50.1.4.gexf	5	22.1031482036976	1	Complete	50	1	4	gexf
124	Complete.50.1.4.gexf	10	22.1031482036976	1	Complete	50	1	4	gexf
126	Complete.50.20.4.gexf	2	480	1	Complete	50	20	4	gexf
127	Complete.50.20.4.gexf	3	480	1	Complete	50	20	4	gexf
128	Complete.50.20.4.gexf	5	480	1	Complete	50	20	4	gexf
129	Complete.50.20.4.gexf	10	480	1	Complete	50	20	4	gexf
131	Complete.100.1.4.gexf	2	47.6363440528146	1	Complete	100	1	4	gexf
132	Complete.100.1.4.gexf	3	47.6363440528146	1	Complete	100	1	4	gexf
133	Complete.100.1.4.gexf	5	47.6363440528146	1	Complete	100	1	4	gexf
134	Complete.100.1.4.gexf	10	47.6363440528146	1	Complete	100	1	4	gexf
135	Complete.100.1.4.gexf	50	47.4645139869671	6	Complete	100	1	4	gexf
136	Complete.100.20.4.gexf	2	937	1	Complete	100	20	4	gexf
137	Complete.100.20.4.gexf	3	937	1	Complete	100	20	4	gexf
138	Complete.100.20.4.gexf	5	937	1	Complete	100	20	4	gexf
139	Complete.100.20.4.gexf	10	937	1	Complete	100	20	4	gexf
140	Complete.100.20.4.gexf	50	932.733333333333	7	Complete	100	20	4	gexf
141	Complete.500.1.4.gexf	2	245.992010445526	1	Complete	500	1	4	gexf
142	Complete.500.1.4.gexf	3	245.992010445526	1	Complete	500	1	4	gexf
143	Complete.500.1.4.gexf	5	245.992010445526	1	Complete	500	1	4	gexf
144	Complete.500.1.4.gexf	10	245.992010445526	1	Complete	500	1	4	gexf
145	Complete.500.1.4.gexf	50	245.992010445526	1	Complete	500	1	4	gexf
146	Complete.500.20.4.gexf	2	4794	1	Complete	500	20	4	gexf
147	Complete.500.20.4.gexf	3	4794	1	Complete	500	20	4	gexf
148	Complete.500.20.4.gexf	5	4794	1	Complete	500	20	4	gexf
149	Complete.500.20.4.gexf	10	4794	1	Complete	500	20	4	gexf
150	Complete.500.20.4.gexf	50	4794	1	Complete	500	20	4	gexf
