construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	k.2	multiple	ex	k.5
27	cut	cap	first	Rand.Uni.50.25.2.gexf	50	1250	3	2	[35, 35, 35, 35]	15.8084323845438	13.1248982314093	13.124898231409322	inf	262	0	0	0	0	[15.808432384543801, 13.124898231409322]	Rand	Uni	50	25	2	gexf
28	cut	cap	first	Rand.Uni.50.25.2.gexf	50	1250	5	3	[35, 35, 35, 35]	15.8084323845438	11.4500275510747	11.450027551074735	inf	407	0	0	0	0	[15.808432384543801, 11.450027551074735]	Rand	Uni	50	25	2	gexf
29	cut	cap	first	Rand.Uni.50.25.2.gexf	50	1250	10	4	[35, 35, 35, 35]	15.8084323845438	7.82205613803722	7.822056138037223	inf	927	0	0	0	0	[15.808432384543801, 7.822056138037223]	Rand	Uni	50	25	2	gexf
31	cut	cap	first	Rand.Uni.50.5.3.gexf	50	250	2	1	[10, 10, 10, 10]	6.27555963594622	4.49434708417331	4.494347084173309	inf	2514	0	0	0	0	[6.275559635946222, 4.494347084173309]	Rand	Uni	50	5	3	gexf
32	cut	cap	first	Rand.Uni.50.5.3.gexf	50	250	3	2	[10, 10, 10, 10]	6.27555963594622	3.71051368855504	3.7839915612996746	3.710513688555039	2739	1	0	0	0	[6.275559635946222, 3.7839915612996746, 3.710513688555039]	Rand	Uni	50	5	3	gexf
33	cut	cap	first	Rand.Uni.50.5.3.gexf	50	250	5	3	[10, 10, 10, 10]	6.27555963594622	2.30907589223967	2.436543889758735	2.3090758922396666	1942	1	0	0	0	[6.275559635946222, 2.436543889758735, 2.3090758922396666]	Rand	Uni	50	5	3	gexf
36	cut	cap	first	Rand.Uni.50.10.3.gexf	50	500	2	1	[14, 14, 14, 14]	6.99812495388747	5.08791120974641	5.087911209746409	inf	709	0	0	0	0	[6.998124953887475, 5.087911209746409]	Rand	Uni	50	10	3	gexf
37	cut	cap	first	Rand.Uni.50.10.3.gexf	50	500	3	2	[14, 14, 14, 14]	6.99812495388747	4.15400519727042	4.1540051972704175	inf	615	0	0	0	0	[6.998124953887475, 4.1540051972704175]	Rand	Uni	50	10	3	gexf
38	cut	cap	first	Rand.Uni.50.10.3.gexf	50	500	5	3	[14, 14, 14, 14]	6.99812495388747	2.37805006939625	2.3780500693962536	inf	2250	0	0	0	0	[6.998124953887475, 2.3780500693962536]	Rand	Uni	50	10	3	gexf
39	cut	cap	first	Rand.Uni.50.10.3.gexf	50	500	10	4	[14, 14, 14, 14]	6.99812495388747	0.535389043875245	0.535389043875245	inf	2353	0	0	0	0	[6.998124953887475, 0.535389043875245]	Rand	Uni	50	10	3	gexf
41	cut	cap	first	Rand.Uni.50.25.3.gexf	50	1250	2	1	[37, 37, 37, 37]	19.6816195585619	17.84180904548	17.84180904547998	inf	183	0	0	0	0	[19.681619558561863, 17.84180904547998]	Rand	Uni	50	25	3	gexf
42	cut	cap	first	Rand.Uni.50.25.3.gexf	50	1250	3	2	[37, 37, 37, 37]	19.6816195585619	16.9513995866318	16.951399586631847	inf	388	0	0	0	0	[19.681619558561863, 16.951399586631847]	Rand	Uni	50	25	3	gexf
43	cut	cap	first	Rand.Uni.50.25.3.gexf	50	1250	5	3	[37, 37, 37, 37]	19.6816195585619	15.2365102227714	15.236510222771416	inf	401	0	0	0	0	[19.681619558561863, 15.236510222771416]	Rand	Uni	50	25	3	gexf
44	cut	cap	first	Rand.Uni.50.25.3.gexf	50	1250	10	4	[37, 37, 37, 37]	19.6816195585619	11.3003969387245	11.300396938724523	inf	226	0	0	0	0	[19.681619558561863, 11.300396938724523]	Rand	Uni	50	25	3	gexf
46	cut	cap	first	Rand.Uni.50.5.4.gexf	50	250	2	1	[6, 6, 6, 6]	2.69528364656203	1.3933267501251	1.393326750125101	inf	3623	0	0	0	0	[2.6952836465620313, 1.393326750125101]	Rand	Uni	50	5	4	gexf
47	cut	cap	first	Rand.Uni.50.5.4.gexf	50	250	3	2	[6, 6, 6, 6]	2.69528364656203	0.91513664786675	0.9151366478667503	inf	2357	0	0	0	0	[2.6952836465620313, 0.9151366478667503]	Rand	Uni	50	5	4	gexf
