construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	k.2	multiple	ex	k.5
926	cut	cap	first	Rand.Uni.50.25.62.gexf	50	1250	2	1	[33, 33, 33, 33]	14.7808937617388	12.8817344268535	12.8817344268535	inf	389	0	0	0	0	[14.780893761738767, 12.8817344268535]	Rand	Uni	50	25	62	gexf
927	cut	cap	first	Rand.Uni.50.25.62.gexf	50	1250	3	2	[33, 33, 33, 33]	14.7808937617388	11.9929078070621	11.992907807062052	inf	263	0	0	0	0	[14.780893761738767, 11.992907807062052]	Rand	Uni	50	25	62	gexf
928	cut	cap	first	Rand.Uni.50.25.62.gexf	50	1250	5	3	[33, 33, 33, 33]	14.7808937617388	10.2626729007056	10.26267290070556	inf	559	0	0	0	0	[14.780893761738767, 10.26267290070556]	Rand	Uni	50	25	62	gexf
929	cut	cap	first	Rand.Uni.50.25.62.gexf	50	1250	10	4	[33, 33, 33, 33]	14.7808937617388	6.62272401087734	6.622724010877338	inf	919	0	0	0	0	[14.780893761738767, 6.622724010877338]	Rand	Uni	50	25	62	gexf
931	cut	cap	first	Rand.Uni.50.5.63.gexf	50	250	2	1	[10, 10, 10, 10]	5.24981359665463	3.41874482659809	3.418744826598086	inf	831	0	0	0	0	[5.2498135966546275, 3.418744826598086]	Rand	Uni	50	5	63	gexf
932	cut	cap	first	Rand.Uni.50.5.63.gexf	50	250	3	2	[10, 10, 10, 10]	5.24981359665463	2.79179971826638	2.7917997182663754	inf	1500	0	0	0	0	[5.2498135966546275, 2.7917997182663754]	Rand	Uni	50	5	63	gexf
933	cut	cap	first	Rand.Uni.50.5.63.gexf	50	250	5	3	[10, 10, 10, 10]	5.24981359665463	1.70565309719283	1.7056530971928332	inf	1640	0	0	0	0	[5.2498135966546275, 1.7056530971928332]	Rand	Uni	50	5	63	gexf
936	cut	cap	first	Rand.Uni.50.10.63.gexf	50	500	2	1	[15, 15, 15, 15]	6.73716624118282	4.8810973446497	4.881097344649702	inf	736	0	0	0	0	[6.737166241182824, 4.881097344649702]	Rand	Uni	50	10	63	gexf
937	cut	cap	first	Rand.Uni.50.10.63.gexf	50	500	3	2	[15, 15, 15, 15]	6.73716624118282	4.02092144399214	4.020921443992142	inf	2059	0	0	0	0	[6.737166241182824, 4.020921443992142]	Rand	Uni	50	10	63	gexf
938	cut	cap	first	Rand.Uni.50.10.63.gexf	50	500	5	3	[15, 15, 15, 15]	6.73716624118282	2.44139809753155	2.4413980975315503	inf	1378	0	0	0	0	[6.737166241182824, 2.4413980975315503]	Rand	Uni	50	10	63	gexf
939	cut	cap	first	Rand.Uni.50.10.63.gexf	50	500	10	4	[15, 15, 15, 15]	6.73716624118282	0.356125683513832	0.3561256835138318	inf	1424	0	0	0	0	[6.737166241182824, 0.3561256835138318]	Rand	Uni	50	10	63	gexf
941	cut	cap	first	Rand.Uni.50.25.63.gexf	50	1250	2	1	[37, 37, 37, 37]	18.392866924486	16.4473308682295	16.447330868229475	inf	386	0	0	0	0	[18.392866924485983, 16.447330868229475]	Rand	Uni	50	25	63	gexf
942	cut	cap	first	Rand.Uni.50.25.63.gexf	50	1250	3	2	[37, 37, 37, 37]	18.392866924486	15.5392069240425	15.539206924042537	inf	223	0	0	0	0	[18.392866924485983, 15.539206924042537]	Rand	Uni	50	25	63	gexf
943	cut	cap	first	Rand.Uni.50.25.63.gexf	50	1250	5	3	[37, 37, 37, 37]	18.392866924486	13.8088746391665	13.808874639166458	inf	263	0	0	0	0	[18.392866924485983, 13.808874639166458]	Rand	Uni	50	25	63	gexf
944	cut	cap	first	Rand.Uni.50.25.63.gexf	50	1250	10	4	[37, 37, 37, 37]	18.392866924486	10.0646396336588	10.064639633658821	inf	565	0	0	0	0	[18.392866924485983, 10.064639633658821]	Rand	Uni	50	25	63	gexf
946	cut	cap	first	Rand.Uni.50.5.64.gexf	50	250	2	1	[11, 11, 11, 11]	5.30178241253942	3.45731571886357	3.4573157188635664	inf	1176	0	0	0	0	[5.301782412539419, 3.4573157188635664]	Rand	Uni	50	5	64	gexf
947	cut	cap	first	Rand.Uni.50.5.64.gexf	50	250	3	2	[11, 11, 11, 11]	5.30178241253942	2.68655531046504	2.686555310465044	inf	2120	0	0	0	0	[5.301782412539419, 2.686555310465044]	Rand	Uni	50	5	64	gexf
948	cut	cap	first	Rand.Uni.50.5.64.gexf	50	250	5	3	[11, 11, 11, 11]	5.30178241253942	1.45983747675679	1.4598374767567897	inf	1631	0	0	0	0	[5.301782412539419, 1.4598374767567897]	Rand	Uni	50	5	64	gexf
949	cut	cap	first	Rand.Uni.50.5.64.gexf	50	250	10	4	[11, 11, 11, 11]	5.30178241253942	0.00102486977681959	0.0010248697768195925	inf	4339	0	0	0	0	[5.301782412539419, 0.0010248697768195925]	Rand	Uni	50	5	64	gexf
951	cut	cap	first	Rand.Uni.50.10.64.gexf	50	500	2	1	[19, 19, 19, 19]	9.41437617172213	7.52968307698247	7.529683076982474	inf	422	0	0	0	0	[9.414376171722129, 7.529683076982474]	Rand	Uni	50	10	64	gexf
952	cut	cap	first	Rand.Uni.50.10.64.gexf	50	500	3	2	[19, 19, 19, 19]	9.41437617172213	6.63913370237537	6.639133702375368	inf	1107	0	0	0	0	[9.414376171722129, 6.639133702375368]	Rand	Uni	50	10	64	gexf
953	cut	cap	first	Rand.Uni.50.10.64.gexf	50	500	5	3	[19, 19, 19, 19]	9.41437617172213	4.88869001773292	4.888690017732923	inf	1812	0	0	0	0	[9.414376171722129, 4.888690017732923]	Rand	Uni	50	10	64	gexf
954	cut	cap	first	Rand.Uni.50.10.64.gexf	50	500	10	4	[19, 19, 19, 19]	9.41437617172213	1.57670565157986	1.5767056515798554	inf	2229	0	0	0	0	[9.414376171722129, 1.5767056515798554]	Rand	Uni	50	10	64	gexf
956	cut	cap	first	Rand.Uni.50.25.64.gexf	50	1250	2	1	[32, 32, 32, 32]	15.3780509247125	13.4844012604618	13.48440126046175	inf	526	0	0	0	0	[15.378050924712523, 13.48440126046175]	Rand	Uni	50	25	64	gexf
957	cut	cap	first	Rand.Uni.50.25.64.gexf	50	1250	3	2	[32, 32, 32, 32]	15.3780509247125	12.600051869021	12.600051869021021	inf	314	0	0	0	0	[15.378050924712523, 12.600051869021021]	Rand	Uni	50	25	64	gexf
958	cut	cap	first	Rand.Uni.50.25.64.gexf	50	1250	5	3	[32, 32, 32, 32]	15.3780509247125	10.8890539886498	10.889053988649774	inf	317	0	0	0	0	[15.378050924712523, 10.889053988649774]	Rand	Uni	50	25	64	gexf
959	cut	cap	first	Rand.Uni.50.25.64.gexf	50	1250	10	4	[32, 32, 32, 32]	15.3780509247125	7.14543550288828	7.145435502888276	inf	881	0	0	0	0	[15.378050924712523, 7.145435502888276]	Rand	Uni	50	25	64	gexf
961	cut	cap	first	Rand.Uni.50.5.65.gexf	50	250	2	1	[8, 8, 8, 8]	2.51746277282695	0.847300396295803	0.8473003962958027	inf	2299	0	0	0	0	[2.5174627728269496, 0.8473003962958027]	Rand	Uni	50	5	65	gexf
962	cut	cap	first	Rand.Uni.50.5.65.gexf	50	250	3	2	[8, 8, 8, 8]	2.51746277282695	0.572468540757075	0.5724685407570749	inf	3889	0	0	0	0	[2.5174627728269496, 0.5724685407570749]	Rand	Uni	50	5	65	gexf
963	cut	cap	first	Rand.Uni.50.5.65.gexf	50	250	5	3	[8, 8, 8, 8]	2.51746277282695	0.212841373339558	0.21284137333955766	inf	4039	0	0	0	0	[2.5174627728269496, 0.21284137333955766]	Rand	Uni	50	5	65	gexf
966	cut	cap	first	Rand.Uni.50.10.65.gexf	50	500	2	1	[15, 15, 15, 15]	7.51053166494759	5.71699420922798	5.716994209227985	inf	507	0	0	0	0	[7.510531664947587, 5.716994209227985]	Rand	Uni	50	10	65	gexf
967	cut	cap	first	Rand.Uni.50.10.65.gexf	50	500	3	2	[15, 15, 15, 15]	7.51053166494759	4.93772567380426	4.937725673804262	inf	2008	0	0	0	0	[7.510531664947587, 4.937725673804262]	Rand	Uni	50	10	65	gexf
968	cut	cap	first	Rand.Uni.50.10.65.gexf	50	500	5	3	[15, 15, 15, 15]	7.51053166494759	3.76513143908895	3.7651314390889485	inf	531	0	0	0	0	[7.510531664947587, 3.7651314390889485]	Rand	Uni	50	10	65	gexf
969	cut	cap	first	Rand.Uni.50.10.65.gexf	50	500	10	4	[15, 15, 15, 15]	7.51053166494759	1.32339525346931	1.3233952534693085	inf	2361	0	0	0	0	[7.510531664947587, 1.3233952534693085]	Rand	Uni	50	10	65	gexf
971	cut	cap	first	Rand.Uni.50.25.65.gexf	50	1250	2	1	[35, 35, 35, 35]	14.0818910026389	12.3007277577048	12.300727757704758	inf	550	0	0	0	0	[14.081891002638875, 12.300727757704758]	Rand	Uni	50	25	65	gexf
972	cut	cap	first	Rand.Uni.50.25.65.gexf	50	1250	3	2	[35, 35, 35, 35]	14.0818910026389	11.4885982332384	11.488598233238397	inf	221	0	0	0	0	[14.081891002638875, 11.488598233238397]	Rand	Uni	50	25	65	gexf
973	cut	cap	first	Rand.Uni.50.25.65.gexf	50	1250	5	3	[35, 35, 35, 35]	14.0818910026389	9.92710862154729	9.927108621547287	inf	405	0	0	0	0	[14.081891002638875, 9.927108621547287]	Rand	Uni	50	25	65	gexf
974	cut	cap	first	Rand.Uni.50.25.65.gexf	50	1250	10	4	[35, 35, 35, 35]	14.0818910026389	6.33263061617212	6.332630616172115	inf	927	0	0	0	0	[14.081891002638875, 6.332630616172115]	Rand	Uni	50	25	65	gexf
976	cut	cap	first	Rand.Uni.50.5.66.gexf	50	250	2	1	[5, 5, 5, 5]	2.18084675342251	0.389335166934272	0.3893351669342715	inf	2408	0	0	0	0	[2.1808467534225118, 0.3893351669342715]	Rand	Uni	50	5	66	gexf
977	cut	cap	first	Rand.Uni.50.5.66.gexf	50	250	3	2	[5, 5, 5, 5]	2.18084675342251	0.0671241194799503	0.06712411947995034	inf	4042	0	0	0	0	[2.1808467534225118, 0.06712411947995034]	Rand	Uni	50	5	66	gexf
981	cut	cap	first	Rand.Uni.50.10.66.gexf	50	500	2	1	[18, 18, 18, 18]	8.40635615017652	6.74446635897066	6.744466358970664	inf	502	0	0	0	0	[8.406356150176517, 6.744466358970664]	Rand	Uni	50	10	66	gexf
982	cut	cap	first	Rand.Uni.50.10.66.gexf	50	500	3	2	[18, 18, 18, 18]	8.40635615017652	5.93894396425398	5.938943964253977	inf	509	0	0	0	0	[8.406356150176517, 5.938943964253977]	Rand	Uni	50	10	66	gexf
983	cut	cap	first	Rand.Uni.50.10.66.gexf	50	500	5	3	[18, 18, 18, 18]	8.40635615017652	4.42339657483304	4.423396574833045	inf	2106	0	0	0	0	[8.406356150176517, 4.423396574833045]	Rand	Uni	50	10	66	gexf
984	cut	cap	first	Rand.Uni.50.10.66.gexf	50	500	10	4	[18, 18, 18, 18]	8.40635615017652	1.67383895582498	1.6738389558249773	inf	2292	0	0	0	0	[8.406356150176517, 1.6738389558249773]	Rand	Uni	50	10	66	gexf
986	cut	cap	first	Rand.Uni.50.25.66.gexf	50	1250	2	1	[36, 36, 36, 36]	18.2174434946369	16.4129193399036	16.412919339903617	inf	220	0	0	0	0	[18.21744349463689, 16.412919339903617]	Rand	Uni	50	25	66	gexf
987	cut	cap	first	Rand.Uni.50.25.66.gexf	50	1250	3	2	[36, 36, 36, 36]	18.2174434946369	15.5231988603784	15.523198860378375	inf	376	0	0	0	0	[18.21744349463689, 15.523198860378375]	Rand	Uni	50	25	66	gexf
988	cut	cap	first	Rand.Uni.50.25.66.gexf	50	1250	5	3	[36, 36, 36, 36]	18.2174434946369	13.8399214332458	13.839921433245832	inf	884	0	0	0	0	[18.21744349463689, 13.839921433245832]	Rand	Uni	50	25	66	gexf
989	cut	cap	first	Rand.Uni.50.25.66.gexf	50	1250	10	4	[36, 36, 36, 36]	18.2174434946369	9.77896997742078	9.77896997742078	inf	270	0	0	0	0	[18.21744349463689, 9.77896997742078]	Rand	Uni	50	25	66	gexf
991	cut	cap	first	Rand.Uni.50.5.67.gexf	50	250	2	1	[9, 9, 9, 9]	4.19057355482463	2.58307430006314	2.5830743000631404	inf	968	0	0	0	0	[4.190573554824635, 2.5830743000631404]	Rand	Uni	50	5	67	gexf
992	cut	cap	first	Rand.Uni.50.5.67.gexf	50	250	3	2	[9, 9, 9, 9]	4.19057355482463	1.93255815844492	1.9325581584449174	inf	1229	0	0	0	0	[4.190573554824635, 1.9325581584449174]	Rand	Uni	50	5	67	gexf
993	cut	cap	first	Rand.Uni.50.5.67.gexf	50	250	5	3	[9, 9, 9, 9]	4.19057355482463	1.10004830341957	1.1000483034195727	inf	1585	0	0	0	0	[4.190573554824635, 1.1000483034195727]	Rand	Uni	50	5	67	gexf
996	cut	cap	first	Rand.Uni.50.10.67.gexf	50	500	2	1	[16, 16, 16, 16]	9.75094873456258	7.82785497415569	7.827854974155694	inf	879	0	0	0	0	[9.750948734562575, 7.827854974155694]	Rand	Uni	50	10	67	gexf
997	cut	cap	first	Rand.Uni.50.10.67.gexf	50	500	3	2	[16, 16, 16, 16]	9.75094873456258	6.89468582874197	6.8946858287419746	inf	903	0	0	0	0	[9.750948734562575, 6.8946858287419746]	Rand	Uni	50	10	67	gexf
998	cut	cap	first	Rand.Uni.50.10.67.gexf	50	500	5	3	[16, 16, 16, 16]	9.75094873456258	5.13686525071761	5.136865250717611	inf	724	0	0	0	0	[9.750948734562575, 5.136865250717611]	Rand	Uni	50	10	67	gexf
999	cut	cap	first	Rand.Uni.50.10.67.gexf	50	500	10	4	[16, 16, 16, 16]	9.75094873456258	1.44255658298766	1.4425565829876552	inf	2268	0	0	0	0	[9.750948734562575, 1.4425565829876552]	Rand	Uni	50	10	67	gexf
1001	cut	cap	first	Rand.Uni.50.25.67.gexf	50	1250	2	1	[37, 37, 37, 37]	16.5114603424382	14.6629283087437	14.662928308743659	inf	371	0	0	0	0	[16.511460342438205, 14.662928308743659]	Rand	Uni	50	25	67	gexf
1002	cut	cap	first	Rand.Uni.50.25.67.gexf	50	1250	3	2	[37, 37, 37, 37]	16.5114603424382	13.8131693910372	13.813169391037237	inf	251	0	0	0	0	[16.511460342438205, 13.813169391037237]	Rand	Uni	50	25	67	gexf
1003	cut	cap	first	Rand.Uni.50.25.67.gexf	50	1250	5	3	[37, 37, 37, 37]	16.5114603424382	12.144568499119	12.144568499118956	inf	307	0	0	0	0	[16.511460342438205, 12.144568499118956]	Rand	Uni	50	25	67	gexf
1004	cut	cap	first	Rand.Uni.50.25.67.gexf	50	1250	10	4	[37, 37, 37, 37]	16.5114603424382	8.29591850765822	8.295918507658216	inf	400	0	0	0	0	[16.511460342438205, 8.295918507658216]	Rand	Uni	50	25	67	gexf
1006	cut	cap	first	Rand.Uni.50.5.68.gexf	50	250	2	1	[6, 6, 6, 6]	1.5447757106598	0.558126620301438	0.5581266203014382	inf	3896	0	0	0	0	[1.5447757106598012, 0.5581266203014382]	Rand	Uni	50	5	68	gexf
1007	cut	cap	first	Rand.Uni.50.5.68.gexf	50	250	3	2	[6, 6, 6, 6]	1.5447757106598	0.273018003163392	0.27301800316339175	inf	3833	0	0	0	0	[1.5447757106598012, 0.27301800316339175]	Rand	Uni	50	5	68	gexf
1008	cut	cap	first	Rand.Uni.50.5.68.gexf	50	250	5	3	[6, 6, 6, 6]	1.5447757106598	0.0468582268913877	0.046858226891387744	inf	4153	0	0	0	0	[1.5447757106598012, 0.046858226891387744]	Rand	Uni	50	5	68	gexf
1011	cut	cap	first	Rand.Uni.50.10.68.gexf	50	500	2	1	[17, 17, 17, 17]	9.06152072074202	7.15302532354464	7.153025323544645	inf	489	0	0	0	0	[9.061520720742019, 7.153025323544645]	Rand	Uni	50	10	68	gexf
1012	cut	cap	first	Rand.Uni.50.10.68.gexf	50	500	3	2	[17, 17, 17, 17]	9.06152072074202	6.23617429408793	6.2361742940879274	inf	1927	0	0	0	0	[9.061520720742019, 6.2361742940879274]	Rand	Uni	50	10	68	gexf
1013	cut	cap	first	Rand.Uni.50.10.68.gexf	50	500	5	3	[17, 17, 17, 17]	9.06152072074202	4.51457881072708	4.514578810727077	inf	929	0	0	0	0	[9.061520720742019, 4.514578810727077]	Rand	Uni	50	10	68	gexf
1014	cut	cap	first	Rand.Uni.50.10.68.gexf	50	500	10	4	[17, 17, 17, 17]	9.06152072074202	1.67383970996764	1.673839709967642	inf	1386	0	0	0	0	[9.061520720742019, 1.673839709967642]	Rand	Uni	50	10	68	gexf
1016	cut	cap	first	Rand.Uni.50.25.68.gexf	50	1250	2	1	[38, 38, 38, 38]	19.5240816303675	17.6408234384132	17.640823438413197	inf	367	0	0	0	0	[19.524081630367473, 17.640823438413197]	Rand	Uni	50	25	68	gexf
1017	cut	cap	first	Rand.Uni.50.25.68.gexf	50	1250	3	2	[38, 38, 38, 38]	19.5240816303675	16.7364295435686	16.736429543568637	inf	377	0	0	0	0	[19.524081630367473, 16.736429543568637]	Rand	Uni	50	25	68	gexf
1018	cut	cap	first	Rand.Uni.50.25.68.gexf	50	1250	5	3	[38, 38, 38, 38]	19.5240816303675	14.9483118368288	14.948311836828799	inf	388	0	0	0	0	[19.524081630367473, 14.948311836828799]	Rand	Uni	50	25	68	gexf
1019	cut	cap	first	Rand.Uni.50.25.68.gexf	50	1250	10	4	[38, 38, 38, 38]	19.5240816303675	10.7715546341241	10.771554634124138	inf	221	0	0	0	0	[19.524081630367473, 10.771554634124138]	Rand	Uni	50	25	68	gexf
1021	cut	cap	first	Rand.Uni.50.5.69.gexf	50	250	2	1	[8, 8, 8, 8]	4.85859484892131	3.17234902262419	3.1723490226241933	inf	754	0	0	0	0	[4.8585948489213076, 3.1723490226241933]	Rand	Uni	50	5	69	gexf
1022	cut	cap	first	Rand.Uni.50.5.69.gexf	50	250	3	2	[8, 8, 8, 8]	4.85859484892131	2.4148165276515	2.414816527651499	inf	2138	0	0	0	0	[4.8585948489213076, 2.414816527651499]	Rand	Uni	50	5	69	gexf
1023	cut	cap	first	Rand.Uni.50.5.69.gexf	50	250	5	3	[8, 8, 8, 8]	4.85859484892131	1.10302996867144	1.1030299686714362	inf	1097	0	0	0	0	[4.8585948489213076, 1.1030299686714362]	Rand	Uni	50	5	69	gexf
1026	cut	cap	first	Rand.Uni.50.10.69.gexf	50	500	2	1	[21, 21, 21, 21]	9.62613825045224	7.72911057894837	7.729110578948367	inf	467	0	0	0	0	[9.626138250452236, 7.729110578948367]	Rand	Uni	50	10	69	gexf
1027	cut	cap	first	Rand.Uni.50.10.69.gexf	50	500	3	2	[21, 21, 21, 21]	9.62613825045224	6.98758714828801	6.987587148288008	inf	825	0	0	0	0	[9.626138250452236, 6.987587148288008]	Rand	Uni	50	10	69	gexf
1028	cut	cap	first	Rand.Uni.50.10.69.gexf	50	500	5	3	[21, 21, 21, 21]	9.62613825045224	5.67815237251011	5.678152372510114	inf	1203	0	0	0	0	[9.626138250452236, 5.678152372510114]	Rand	Uni	50	10	69	gexf
1029	cut	cap	first	Rand.Uni.50.10.69.gexf	50	500	10	4	[21, 21, 21, 21]	9.62613825045224	2.99871661150834	2.9987166115083372	inf	1336	0	0	0	0	[9.626138250452236, 2.9987166115083372]	Rand	Uni	50	10	69	gexf
1031	cut	cap	first	Rand.Uni.50.25.69.gexf	50	1250	2	1	[37, 37, 37, 37]	17.1611475521169	15.1881087255578	15.188108725557802	inf	254	0	0	0	0	[17.16114755211687, 15.188108725557802]	Rand	Uni	50	25	69	gexf
1032	cut	cap	first	Rand.Uni.50.25.69.gexf	50	1250	3	2	[37, 37, 37, 37]	17.1611475521169	14.2128301537363	14.2128301537363	inf	382	0	0	0	0	[17.16114755211687, 14.2128301537363]	Rand	Uni	50	25	69	gexf
1033	cut	cap	first	Rand.Uni.50.25.69.gexf	50	1250	5	3	[37, 37, 37, 37]	17.1611475521169	12.2961028158678	12.296102815867828	inf	307	0	0	0	0	[17.16114755211687, 12.296102815867828]	Rand	Uni	50	25	69	gexf
1034	cut	cap	first	Rand.Uni.50.25.69.gexf	50	1250	10	4	[37, 37, 37, 37]	17.1611475521169	8.08993364501398	8.089933645013978	inf	234	0	0	0	0	[17.16114755211687, 8.089933645013978]	Rand	Uni	50	25	69	gexf
1036	cut	cap	first	Rand.Uni.50.5.70.gexf	50	250	2	1	[8, 8, 8, 8]	4.34584278197891	2.65457393473011	2.682466506058814	2.654573934730106	1113	1	0	0	0	[4.345842781978915, 2.682466506058814, 2.654573934730106]	Rand	Uni	50	5	70	gexf
1037	cut	cap	first	Rand.Uni.50.5.70.gexf	50	250	3	2	[8, 8, 8, 8]	4.34584278197891	1.93471003347927	1.9919470197867886	1.9347100334792655	1563	1	0	0	0	[4.345842781978915, 1.9919470197867886, 1.9347100334792655]	Rand	Uni	50	5	70	gexf
1038	cut	cap	first	Rand.Uni.50.5.70.gexf	50	250	5	3	[8, 8, 8, 8]	4.34584278197891	0.947888653128508	0.9478886531285076	inf	3543	0	0	0	0	[4.345842781978915, 0.9478886531285076]	Rand	Uni	50	5	70	gexf
1041	cut	cap	first	Rand.Uni.50.10.70.gexf	50	500	2	1	[13, 13, 13, 13]	5.15200070518757	3.58647518524093	3.586475185240927	inf	736	0	0	0	0	[5.152000705187566, 3.586475185240927]	Rand	Uni	50	10	70	gexf
1042	cut	cap	first	Rand.Uni.50.10.70.gexf	50	500	3	2	[13, 13, 13, 13]	5.15200070518757	2.96177623224838	2.961776232248375	inf	932	0	0	0	0	[5.152000705187566, 2.961776232248375]	Rand	Uni	50	10	70	gexf
1043	cut	cap	first	Rand.Uni.50.10.70.gexf	50	500	5	3	[13, 13, 13, 13]	5.15200070518757	1.94114596400414	1.9411459640041402	inf	2103	0	0	0	0	[5.152000705187566, 1.9411459640041402]	Rand	Uni	50	10	70	gexf
1044	cut	cap	first	Rand.Uni.50.10.70.gexf	50	500	10	4	[13, 13, 13, 13]	5.15200070518757	0.535705461923252	0.5357054619232515	inf	2342	0	0	0	0	[5.152000705187566, 0.5357054619232515]	Rand	Uni	50	10	70	gexf
1046	cut	cap	first	Rand.Uni.50.25.70.gexf	50	1250	2	1	[34, 34, 34, 34]	15.7376972323645	13.8434906666106	13.843490666610615	inf	290	0	0	0	0	[15.737697232364527, 13.843490666610615]	Rand	Uni	50	25	70	gexf
1047	cut	cap	first	Rand.Uni.50.25.70.gexf	50	1250	3	2	[34, 34, 34, 34]	15.7376972323645	12.9186457533857	12.918645753385656	inf	186	0	0	0	0	[15.737697232364527, 12.918645753385656]	Rand	Uni	50	25	70	gexf
1048	cut	cap	first	Rand.Uni.50.25.70.gexf	50	1250	5	3	[34, 34, 34, 34]	15.7376972323645	11.0726960792597	11.072696079259734	inf	311	0	0	0	0	[15.737697232364527, 11.072696079259734]	Rand	Uni	50	25	70	gexf
1049	cut	cap	first	Rand.Uni.50.25.70.gexf	50	1250	10	4	[34, 34, 34, 34]	15.7376972323645	7.32343848560785	7.323438485607852	inf	559	0	0	0	0	[15.737697232364527, 7.323438485607852]	Rand	Uni	50	25	70	gexf
1051	cut	cap	first	Rand.Uni.50.5.71.gexf	50	250	2	1	[8, 8, 8, 8]	2.45263886542873	1.1777143902272	1.1777143902272007	inf	1252	0	0	0	0	[2.4526388654287303, 1.1777143902272007]	Rand	Uni	50	5	71	gexf
1052	cut	cap	first	Rand.Uni.50.5.71.gexf	50	250	3	2	[8, 8, 8, 8]	2.45263886542873	0.626145845064041	0.6261458450640406	inf	1327	0	0	0	0	[2.4526388654287303, 0.6261458450640406]	Rand	Uni	50	5	71	gexf
1053	cut	cap	first	Rand.Uni.50.5.71.gexf	50	250	5	3	[8, 8, 8, 8]	2.45263886542873	0.288673510159055	0.28867351015905485	inf	2433	0	0	0	0	[2.4526388654287303, 0.28867351015905485]	Rand	Uni	50	5	71	gexf
1056	cut	cap	first	Rand.Uni.50.10.71.gexf	50	500	2	1	[21, 21, 21, 21]	9.31281223205996	7.44889688173955	7.448896881739555	inf	425	0	0	0	0	[9.312812232059956, 7.448896881739555]	Rand	Uni	50	10	71	gexf
1057	cut	cap	first	Rand.Uni.50.10.71.gexf	50	500	3	2	[21, 21, 21, 21]	9.31281223205996	6.53718074255729	6.537180742557286	inf	912	0	0	0	0	[9.312812232059956, 6.537180742557286]	Rand	Uni	50	10	71	gexf
1058	cut	cap	first	Rand.Uni.50.10.71.gexf	50	500	5	3	[21, 21, 21, 21]	9.31281223205996	4.94884627799019	4.948846277990187	inf	748	0	0	0	0	[9.312812232059956, 4.948846277990187]	Rand	Uni	50	10	71	gexf
1059	cut	cap	first	Rand.Uni.50.10.71.gexf	50	500	10	4	[21, 21, 21, 21]	9.31281223205996	1.68945905730597	1.6894590573059687	inf	2310	0	0	0	0	[9.312812232059956, 1.6894590573059687]	Rand	Uni	50	10	71	gexf
1061	cut	cap	first	Rand.Uni.50.25.71.gexf	50	1250	2	1	[39, 39, 39, 39]	18.6567786920804	16.7509104524367	16.750910452436653	inf	247	0	0	0	0	[18.65677869208036, 16.750910452436653]	Rand	Uni	50	25	71	gexf
1062	cut	cap	first	Rand.Uni.50.25.71.gexf	50	1250	3	2	[39, 39, 39, 39]	18.6567786920804	15.8844872016622	15.8844872016622	inf	514	0	0	0	0	[18.65677869208036, 15.8844872016622]	Rand	Uni	50	25	71	gexf
1063	cut	cap	first	Rand.Uni.50.25.71.gexf	50	1250	5	3	[39, 39, 39, 39]	18.6567786920804	14.2435763449601	14.2435763449601	inf	832	0	0	0	0	[18.65677869208036, 14.2435763449601]	Rand	Uni	50	25	71	gexf
1064	cut	cap	first	Rand.Uni.50.25.71.gexf	50	1250	10	4	[39, 39, 39, 39]	18.6567786920804	10.2984470788186	10.29844707881859	inf	260	0	0	0	0	[18.65677869208036, 10.29844707881859]	Rand	Uni	50	25	71	gexf
1066	cut	cap	first	Rand.Uni.50.5.72.gexf	50	250	2	1	[9, 9, 9, 9]	3.7233243874555	2.26427820213744	2.264278202137439	inf	903	0	0	0	0	[3.7233243874555026, 2.264278202137439]	Rand	Uni	50	5	72	gexf
1067	cut	cap	first	Rand.Uni.50.5.72.gexf	50	250	3	2	[9, 9, 9, 9]	3.7233243874555	1.61850296539089	1.6185029653908853	inf	2999	0	0	0	0	[3.7233243874555026, 1.6185029653908853]	Rand	Uni	50	5	72	gexf
1068	cut	cap	first	Rand.Uni.50.5.72.gexf	50	250	5	3	[9, 9, 9, 9]	3.7233243874555	0.858801159513481	0.8588011595134809	inf	2187	0	0	0	0	[3.7233243874555026, 0.8588011595134809]	Rand	Uni	50	5	72	gexf
1071	cut	cap	first	Rand.Uni.50.10.72.gexf	50	500	2	1	[13, 13, 13, 13]	5.1696799352406	3.58177624997399	3.5817762499739896	inf	917	0	0	0	0	[5.1696799352406, 3.5817762499739896]	Rand	Uni	50	10	72	gexf
1072	cut	cap	first	Rand.Uni.50.10.72.gexf	50	500	3	2	[13, 13, 13, 13]	5.1696799352406	2.79598882862909	2.795988828629093	inf	955	0	0	0	0	[5.1696799352406, 2.795988828629093]	Rand	Uni	50	10	72	gexf
1073	cut	cap	first	Rand.Uni.50.10.72.gexf	50	500	5	3	[13, 13, 13, 13]	5.1696799352406	1.68659087251905	1.686590872519046	inf	1377	0	0	0	0	[5.1696799352406, 1.686590872519046]	Rand	Uni	50	10	72	gexf
1074	cut	cap	first	Rand.Uni.50.10.72.gexf	50	500	10	4	[13, 13, 13, 13]	5.1696799352406	0.220493727635718	0.22049372763571806	inf	2293	0	0	0	0	[5.1696799352406, 0.22049372763571806]	Rand	Uni	50	10	72	gexf
