construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4
cut,cap,first,Complete.500.1.1.gexf,500,249500,2,1,"[499, 499, 499, 499]",237.31019059260217,235.31842241108026,235.31842241108026,inf,2,0,0,0,0,"[237.31019059260217, 235.31842241108026]",Complete,500,1,1,gexf
cut,cap,first,Complete.500.1.1.gexf,500,249500,3,2,"[499, 499, 499, 499]",237.31019059260217,234.32628947895185,234.32628947895185,inf,3,0,0,0,0,"[237.31019059260217, 234.32628947895185]",Complete,500,1,1,gexf
cut,cap,first,Complete.500.1.1.gexf,500,249500,5,3,"[499, 499, 499, 499]",237.31019059260217,232.35132550537443,232.35132550537443,inf,2,0,0,0,0,"[237.31019059260217, 232.35132550537443]",Complete,500,1,1,gexf
cut,cap,first,Complete.500.1.1.gexf,500,249500,10,4,"[499, 499, 499, 499]",237.31019059260217,227.4405215714601,227.4405215714601,inf,2,0,0,0,0,"[237.31019059260217, 227.4405215714601]",Complete,500,1,1,gexf
cut,cap,first,Complete.500.1.1.gexf,500,249500,50,5,"[499, 499, 499, 499]",237.31019059260217,190.9164193769405,190.9164193769405,inf,2,0,0,0,0,"[237.31019059260217, 190.9164193769405]",Complete,500,1,1,gexf
cut,cap,first,Complete.500.20.1.gexf,500,249500,2,1,"[499, 499, 499, 499]",4873,4835,4835,inf,2,0,0,0,0,"[4873, 4835]",Complete,500,20,1,gexf
cut,cap,first,Complete.500.20.1.gexf,500,249500,3,2,"[499, 499, 499, 499]",4873,4816,4816,inf,2,0,0,0,0,"[4873, 4816]",Complete,500,20,1,gexf
cut,cap,first,Complete.500.20.1.gexf,500,249500,5,3,"[499, 499, 499, 499]",4873,4778,4778,inf,2,0,0,0,0,"[4873, 4778]",Complete,500,20,1,gexf
cut,cap,first,Complete.500.20.1.gexf,500,249500,10,4,"[499, 499, 499, 499]",4873,4683,4683,inf,2,0,0,0,0,"[4873, 4683]",Complete,500,20,1,gexf
cut,cap,first,Complete.500.20.1.gexf,500,249500,50,5,"[499, 499, 499, 499]",4873,3952,3952,inf,2,0,0,0,0,"[4873, 3952]",Complete,500,20,1,gexf
cut,cap,first,Complete.500.1.2.gexf,500,249500,2,1,"[499, 499, 499, 499]",243.4051530057544,241.4111642615335,241.4111642615335,inf,2,0,0,0,0,"[243.4051530057544, 241.4111642615335]",Complete,500,1,2,gexf
cut,cap,first,Complete.500.1.2.gexf,500,249500,3,2,"[499, 499, 499, 499]",243.4051530057544,240.41809863182797,240.41809863182797,inf,2,0,0,0,0,"[243.4051530057544, 240.41809863182797]",Complete,500,1,2,gexf
cut,cap,first,Complete.500.1.2.gexf,500,249500,5,3,"[499, 499, 499, 499]",243.4051530057544,238.43675649687358,238.43675649687358,inf,2,0,0,0,0,"[243.4051530057544, 238.43675649687358]",Complete,500,1,2,gexf
cut,cap,first,Complete.500.1.2.gexf,500,249500,10,4,"[499, 499, 499, 499]",243.4051530057544,233.5145122897378,233.5145122897378,inf,2,0,0,0,0,"[243.4051530057544, 233.5145122897378]",Complete,500,1,2,gexf
cut,cap,first,Complete.500.1.2.gexf,500,249500,50,5,"[499, 499, 499, 499]",243.4051530057544,196.0025485996594,196.0025485996594,inf,3,0,0,0,0,"[243.4051530057544, 196.0025485996594]",Complete,500,1,2,gexf
cut,cap,first,Complete.500.20.2.gexf,500,249500,2,1,"[499, 499, 499, 499]",4813,4775,4775,inf,2,0,0,0,0,"[4813, 4775]",Complete,500,20,2,gexf
cut,cap,first,Complete.500.20.2.gexf,500,249500,3,2,"[499, 499, 499, 499]",4813,4756,4756,inf,2,0,0,0,0,"[4813, 4756]",Complete,500,20,2,gexf
cut,cap,first,Complete.500.20.2.gexf,500,249500,5,3,"[499, 499, 499, 499]",4813,4718,4718,inf,2,0,0,0,0,"[4813, 4718]",Complete,500,20,2,gexf
cut,cap,first,Complete.500.20.2.gexf,500,249500,10,4,"[499, 499, 499, 499]",4813,4623,4623,inf,2,0,0,0,0,"[4813, 4623]",Complete,500,20,2,gexf
cut,cap,first,Complete.500.20.2.gexf,500,249500,50,5,"[499, 499, 499, 499]",4813,3899,3899,inf,3,0,0,0,0,"[4813, 3899]",Complete,500,20,2,gexf
cut,cap,first,Complete.500.1.3.gexf,500,249500,2,1,"[499, 499, 499, 499]",254.62833811168707,252.63301852720542,252.63301852720542,inf,2,0,0,0,0,"[254.62833811168707, 252.63301852720542]",Complete,500,1,3,gexf
cut,cap,first,Complete.500.1.3.gexf,500,249500,3,2,"[499, 499, 499, 499]",254.62833811168707,251.63880063951177,251.63880063951177,inf,2,0,0,0,0,"[254.62833811168707, 251.63880063951177]",Complete,500,1,3,gexf
cut,cap,first,Complete.500.1.3.gexf,500,249500,5,3,"[499, 499, 499, 499]",254.62833811168707,249.65603451284562,249.65603451284562,inf,1,0,0,0,0,"[254.62833811168707, 249.65603451284562]",Complete,500,1,3,gexf
cut,cap,first,Complete.500.1.3.gexf,500,249500,10,4,"[499, 499, 499, 499]",254.62833811168707,244.72354509825894,244.72354509825894,inf,2,0,0,0,0,"[254.62833811168707, 244.72354509825894]",Complete,500,1,3,gexf
cut,cap,first,Complete.500.1.3.gexf,500,249500,50,5,"[499, 499, 499, 499]",254.62833811168707,207.18341646047196,207.18341646047196,inf,3,0,0,0,0,"[254.62833811168707, 207.18341646047196]",Complete,500,1,3,gexf
cut,cap,first,Complete.500.20.3.gexf,500,249500,2,1,"[499, 499, 499, 499]",4877,4839,4839,inf,3,0,0,0,0,"[4877, 4839]",Complete,500,20,3,gexf
cut,cap,first,Complete.500.20.3.gexf,500,249500,3,2,"[499, 499, 499, 499]",4877,4820,4820,inf,3,0,0,0,0,"[4877, 4820]",Complete,500,20,3,gexf
cut,cap,first,Complete.500.20.3.gexf,500,249500,5,3,"[499, 499, 499, 499]",4877,4782,4782,inf,2,0,0,0,0,"[4877, 4782]",Complete,500,20,3,gexf
cut,cap,first,Complete.500.20.3.gexf,500,249500,10,4,"[499, 499, 499, 499]",4877,4687,4687,inf,2,0,0,0,0,"[4877, 4687]",Complete,500,20,3,gexf
cut,cap,first,Complete.500.20.3.gexf,500,249500,50,5,"[499, 499, 499, 499]",4877,3958,3958,inf,3,0,0,0,0,"[4877, 3958]",Complete,500,20,3,gexf
cut,cap,first,Complete.500.1.4.gexf,500,249500,2,1,"[499, 499, 499, 499]",245.99201044552572,244.00017761259687,244.00017761259687,inf,2,0,0,0,0,"[245.99201044552572, 244.00017761259687]",Complete,500,1,4,gexf
cut,cap,first,Complete.500.1.4.gexf,500,249500,3,2,"[499, 499, 499, 499]",245.99201044552572,243.0078653407222,243.0078653407222,inf,2,0,0,0,0,"[245.99201044552572, 243.0078653407222]",Complete,500,1,4,gexf
cut,cap,first,Complete.500.1.4.gexf,500,249500,5,3,"[499, 499, 499, 499]",245.99201044552572,241.03119538809287,241.03119538809287,inf,2,0,0,0,0,"[245.99201044552572, 241.03119538809287]",Complete,500,1,4,gexf
cut,cap,first,Complete.500.1.4.gexf,500,249500,10,4,"[499, 499, 499, 499]",245.99201044552572,236.11855913909912,236.11855913909912,inf,2,0,0,0,0,"[245.99201044552572, 236.11855913909912]",Complete,500,1,4,gexf
