construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5
3089	cut	cap	first	Small.100.24.5.3.gexf	100	2400	10	4	[21, 21, 21, 21]	21	11	11.0	inf	506	0	0	0	0	[21.0, 11.0]	Small	100	24	5	3	gexf
3091	cut	cap	first	Small.100.6.2.4.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1803	0	0	0	0	[5.0, 3.0]	Small	100	6	2	4	gexf
3092	cut	cap	first	Small.100.6.2.4.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1841	0	0	0	0	[5.0, 2.0]	Small	100	6	2	4	gexf
3096	cut	cap	first	Small.100.6.5.4.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1824	0	0	0	0	[6.0, 4.0]	Small	100	6	5	4	gexf
3097	cut	cap	first	Small.100.6.5.4.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1834	0	0	0	0	[6.0, 3.0]	Small	100	6	5	4	gexf
3098	cut	cap	first	Small.100.6.5.4.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1851	0	0	0	0	[6.0, 1.0]	Small	100	6	5	4	gexf
3101	cut	cap	first	Small.100.10.2.4.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1149	0	0	0	0	[9.0, 7.0]	Small	100	10	2	4	gexf
3102	cut	cap	first	Small.100.10.2.4.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1187	0	0	0	0	[9.0, 6.0]	Small	100	10	2	4	gexf
3103	cut	cap	first	Small.100.10.2.4.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1188	0	0	0	0	[9.0, 4.0]	Small	100	10	2	4	gexf
3106	cut	cap	first	Small.100.10.5.4.gexf	100	1000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	1159	0	0	0	0	[8.0, 6.0]	Small	100	10	5	4	gexf
3107	cut	cap	first	Small.100.10.5.4.gexf	100	1000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	1157	0	0	0	0	[8.0, 5.0]	Small	100	10	5	4	gexf
3108	cut	cap	first	Small.100.10.5.4.gexf	100	1000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	1157	0	0	0	0	[8.0, 3.0]	Small	100	10	5	4	gexf
3111	cut	cap	first	Small.100.24.2.4.gexf	100	2400	2	1	[24, 24, 24, 24]	24	22	22.0	inf	503	0	0	0	0	[24.0, 22.0]	Small	100	24	2	4	gexf
3112	cut	cap	first	Small.100.24.2.4.gexf	100	2400	3	2	[24, 24, 24, 24]	24	21	21.0	inf	508	0	0	0	0	[24.0, 21.0]	Small	100	24	2	4	gexf
3113	cut	cap	first	Small.100.24.2.4.gexf	100	2400	5	3	[24, 24, 24, 24]	24	19	19.0	inf	510	0	0	0	0	[24.0, 19.0]	Small	100	24	2	4	gexf
3114	cut	cap	first	Small.100.24.2.4.gexf	100	2400	10	4	[24, 24, 24, 24]	24	14	14.0	inf	512	0	0	0	0	[24.0, 14.0]	Small	100	24	2	4	gexf
3116	cut	cap	first	Small.100.24.5.4.gexf	100	2400	2	1	[25, 25, 25, 25]	25	23	23.0	inf	508	0	0	0	0	[25.0, 23.0]	Small	100	24	5	4	gexf
3117	cut	cap	first	Small.100.24.5.4.gexf	100	2400	3	2	[25, 25, 25, 25]	25	22	22.0	inf	506	0	0	0	0	[25.0, 22.0]	Small	100	24	5	4	gexf
3118	cut	cap	first	Small.100.24.5.4.gexf	100	2400	5	3	[25, 25, 25, 25]	25	20	20.0	inf	513	0	0	0	0	[25.0, 20.0]	Small	100	24	5	4	gexf
3119	cut	cap	first	Small.100.24.5.4.gexf	100	2400	10	4	[25, 25, 25, 25]	25	15	15.0	inf	510	0	0	0	0	[25.0, 15.0]	Small	100	24	5	4	gexf
3121	cut	cap	first	Small.100.6.2.5.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1820	0	0	0	0	[5.0, 3.0]	Small	100	6	2	5	gexf
3122	cut	cap	first	Small.100.6.2.5.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1827	0	0	0	0	[5.0, 2.0]	Small	100	6	2	5	gexf
3126	cut	cap	first	Small.100.6.5.5.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1765	0	0	0	0	[5.0, 3.0]	Small	100	6	5	5	gexf
3127	cut	cap	first	Small.100.6.5.5.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1793	0	0	0	0	[5.0, 2.0]	Small	100	6	5	5	gexf
3131	cut	cap	first	Small.100.10.2.5.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1168	0	0	0	0	[9.0, 7.0]	Small	100	10	2	5	gexf
3132	cut	cap	first	Small.100.10.2.5.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1182	0	0	0	0	[9.0, 6.0]	Small	100	10	2	5	gexf
3133	cut	cap	first	Small.100.10.2.5.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1180	0	0	0	0	[9.0, 4.0]	Small	100	10	2	5	gexf
3136	cut	cap	first	Small.100.10.5.5.gexf	100	1000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	1174	0	0	0	0	[8.0, 6.0]	Small	100	10	5	5	gexf
3137	cut	cap	first	Small.100.10.5.5.gexf	100	1000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	1174	0	0	0	0	[8.0, 5.0]	Small	100	10	5	5	gexf
3138	cut	cap	first	Small.100.10.5.5.gexf	100	1000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	1180	0	0	0	0	[8.0, 3.0]	Small	100	10	5	5	gexf
3141	cut	cap	first	Small.100.24.2.5.gexf	100	2400	2	1	[21, 21, 21, 21]	21	19	19.0	inf	508	0	0	0	0	[21.0, 19.0]	Small	100	24	2	5	gexf
3142	cut	cap	first	Small.100.24.2.5.gexf	100	2400	3	2	[21, 21, 21, 21]	21	18	18.0	inf	515	0	0	0	0	[21.0, 18.0]	Small	100	24	2	5	gexf
3143	cut	cap	first	Small.100.24.2.5.gexf	100	2400	5	3	[21, 21, 21, 21]	21	16	16.0	inf	518	0	0	0	0	[21.0, 16.0]	Small	100	24	2	5	gexf
3144	cut	cap	first	Small.100.24.2.5.gexf	100	2400	10	4	[21, 21, 21, 21]	21	11	11.0	inf	522	0	0	0	0	[21.0, 11.0]	Small	100	24	2	5	gexf
3146	cut	cap	first	Small.100.24.5.5.gexf	100	2400	2	1	[23, 23, 23, 23]	23	21	21.0	inf	505	0	0	0	0	[23.0, 21.0]	Small	100	24	5	5	gexf
3147	cut	cap	first	Small.100.24.5.5.gexf	100	2400	3	2	[23, 23, 23, 23]	23	20	20.0	inf	510	0	0	0	0	[23.0, 20.0]	Small	100	24	5	5	gexf
3148	cut	cap	first	Small.100.24.5.5.gexf	100	2400	5	3	[23, 23, 23, 23]	23	18	18.0	inf	514	0	0	0	0	[23.0, 18.0]	Small	100	24	5	5	gexf
3149	cut	cap	first	Small.100.24.5.5.gexf	100	2400	10	4	[23, 23, 23, 23]	23	13	13.0	inf	514	0	0	0	0	[23.0, 13.0]	Small	100	24	5	5	gexf
3151	cut	cap	first	Small.100.6.2.6.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1830	0	0	0	0	[5.0, 3.0]	Small	100	6	2	6	gexf
3152	cut	cap	first	Small.100.6.2.6.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1845	0	0	0	0	[5.0, 2.0]	Small	100	6	2	6	gexf
3156	cut	cap	first	Small.100.6.5.6.gexf	100	600	2	1	[4, 4, 4, 4]	4	2	2.0	inf	1803	0	0	0	0	[4.0, 2.0]	Small	100	6	5	6	gexf
3157	cut	cap	first	Small.100.6.5.6.gexf	100	600	3	2	[4, 4, 4, 4]	4	1	1.0	inf	1823	0	0	0	0	[4.0, 1.0]	Small	100	6	5	6	gexf
3161	cut	cap	first	Small.100.10.2.6.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1182	0	0	0	0	[9.0, 7.0]	Small	100	10	2	6	gexf
3162	cut	cap	first	Small.100.10.2.6.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1188	0	0	0	0	[9.0, 6.0]	Small	100	10	2	6	gexf
3163	cut	cap	first	Small.100.10.2.6.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1188	0	0	0	0	[9.0, 4.0]	Small	100	10	2	6	gexf
3166	cut	cap	first	Small.100.10.5.6.gexf	100	1000	2	1	[11, 11, 11, 11]	11	9	9.0	inf	1156	0	0	0	0	[11.0, 9.0]	Small	100	10	5	6	gexf
3167	cut	cap	first	Small.100.10.5.6.gexf	100	1000	3	2	[11, 11, 11, 11]	11	8	8.0	inf	1156	0	0	0	0	[11.0, 8.0]	Small	100	10	5	6	gexf
3168	cut	cap	first	Small.100.10.5.6.gexf	100	1000	5	3	[11, 11, 11, 11]	11	6	6.0	inf	1165	0	0	0	0	[11.0, 6.0]	Small	100	10	5	6	gexf
3169	cut	cap	first	Small.100.10.5.6.gexf	100	1000	10	4	[11, 11, 11, 11]	11	1	1.0	inf	1181	0	0	0	0	[11.0, 1.0]	Small	100	10	5	6	gexf
3171	cut	cap	first	Small.100.24.2.6.gexf	100	2400	2	1	[21, 21, 21, 21]	21	19	19.0	inf	513	0	0	0	0	[21.0, 19.0]	Small	100	24	2	6	gexf
3172	cut	cap	first	Small.100.24.2.6.gexf	100	2400	3	2	[21, 21, 21, 21]	21	18	18.0	inf	514	0	0	0	0	[21.0, 18.0]	Small	100	24	2	6	gexf
3173	cut	cap	first	Small.100.24.2.6.gexf	100	2400	5	3	[21, 21, 21, 21]	21	16	16.0	inf	516	0	0	0	0	[21.0, 16.0]	Small	100	24	2	6	gexf
3174	cut	cap	first	Small.100.24.2.6.gexf	100	2400	10	4	[21, 21, 21, 21]	21	11	11.0	inf	512	0	0	0	0	[21.0, 11.0]	Small	100	24	2	6	gexf
3176	cut	cap	first	Small.100.24.5.6.gexf	100	2400	2	1	[21, 21, 21, 21]	21	19	19.0	inf	507	0	0	0	0	[21.0, 19.0]	Small	100	24	5	6	gexf
3177	cut	cap	first	Small.100.24.5.6.gexf	100	2400	3	2	[21, 21, 21, 21]	21	18	18.0	inf	503	0	0	0	0	[21.0, 18.0]	Small	100	24	5	6	gexf
3178	cut	cap	first	Small.100.24.5.6.gexf	100	2400	5	3	[21, 21, 21, 21]	21	16	16.0	inf	503	0	0	0	0	[21.0, 16.0]	Small	100	24	5	6	gexf
3179	cut	cap	first	Small.100.24.5.6.gexf	100	2400	10	4	[21, 21, 21, 21]	21	11	11.0	inf	506	0	0	0	0	[21.0, 11.0]	Small	100	24	5	6	gexf
3181	cut	cap	first	Small.100.6.2.7.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1781	0	0	0	0	[6.0, 4.0]	Small	100	6	2	7	gexf
3182	cut	cap	first	Small.100.6.2.7.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1828	0	0	0	0	[6.0, 3.0]	Small	100	6	2	7	gexf
3183	cut	cap	first	Small.100.6.2.7.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1839	0	0	0	0	[6.0, 1.0]	Small	100	6	2	7	gexf
3186	cut	cap	first	Small.100.6.5.7.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1791	0	0	0	0	[6.0, 4.0]	Small	100	6	5	7	gexf
3187	cut	cap	first	Small.100.6.5.7.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1802	0	0	0	0	[6.0, 3.0]	Small	100	6	5	7	gexf
3188	cut	cap	first	Small.100.6.5.7.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1844	0	0	0	0	[6.0, 1.0]	Small	100	6	5	7	gexf
3191	cut	cap	first	Small.100.10.2.7.gexf	100	1000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	1191	0	0	0	0	[10.0, 8.0]	Small	100	10	2	7	gexf
3192	cut	cap	first	Small.100.10.2.7.gexf	100	1000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	1207	0	0	0	0	[10.0, 7.0]	Small	100	10	2	7	gexf
3193	cut	cap	first	Small.100.10.2.7.gexf	100	1000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	1213	0	0	0	0	[10.0, 5.0]	Small	100	10	2	7	gexf
3196	cut	cap	first	Small.100.10.5.7.gexf	100	1000	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1174	0	0	0	0	[6.0, 4.0]	Small	100	10	5	7	gexf
3197	cut	cap	first	Small.100.10.5.7.gexf	100	1000	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1191	0	0	0	0	[6.0, 3.0]	Small	100	10	5	7	gexf
3198	cut	cap	first	Small.100.10.5.7.gexf	100	1000	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1191	0	0	0	0	[6.0, 1.0]	Small	100	10	5	7	gexf
3201	cut	cap	first	Small.100.24.2.7.gexf	100	2400	2	1	[22, 22, 22, 22]	22	20	20.0	inf	504	0	0	0	0	[22.0, 20.0]	Small	100	24	2	7	gexf
3202	cut	cap	first	Small.100.24.2.7.gexf	100	2400	3	2	[22, 22, 22, 22]	22	19	19.0	inf	507	0	0	0	0	[22.0, 19.0]	Small	100	24	2	7	gexf
3203	cut	cap	first	Small.100.24.2.7.gexf	100	2400	5	3	[22, 22, 22, 22]	22	17	17.0	inf	499	0	0	0	0	[22.0, 17.0]	Small	100	24	2	7	gexf
3204	cut	cap	first	Small.100.24.2.7.gexf	100	2400	10	4	[22, 22, 22, 22]	22	12	12.0	inf	508	0	0	0	0	[22.0, 12.0]	Small	100	24	2	7	gexf
3206	cut	cap	first	Small.100.24.5.7.gexf	100	2400	2	1	[26, 26, 26, 26]	26	24	24.0	inf	500	0	0	0	0	[26.0, 24.0]	Small	100	24	5	7	gexf
3207	cut	cap	first	Small.100.24.5.7.gexf	100	2400	3	2	[26, 26, 26, 26]	26	23	23.0	inf	503	0	0	0	0	[26.0, 23.0]	Small	100	24	5	7	gexf
3208	cut	cap	first	Small.100.24.5.7.gexf	100	2400	5	3	[26, 26, 26, 26]	26	21	21.0	inf	511	0	0	0	0	[26.0, 21.0]	Small	100	24	5	7	gexf
3209	cut	cap	first	Small.100.24.5.7.gexf	100	2400	10	4	[26, 26, 26, 26]	26	16	16.0	inf	505	0	0	0	0	[26.0, 16.0]	Small	100	24	5	7	gexf
3211	cut	cap	first	Small.100.6.2.8.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1831	0	0	0	0	[6.0, 4.0]	Small	100	6	2	8	gexf
3212	cut	cap	first	Small.100.6.2.8.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1811	0	0	0	0	[6.0, 3.0]	Small	100	6	2	8	gexf
3213	cut	cap	first	Small.100.6.2.8.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1836	0	0	0	0	[6.0, 1.0]	Small	100	6	2	8	gexf
3216	cut	cap	first	Small.100.6.5.8.gexf	100	600	2	1	[4, 4, 4, 4]	4	2	2.0	inf	1821	0	0	0	0	[4.0, 2.0]	Small	100	6	5	8	gexf
3217	cut	cap	first	Small.100.6.5.8.gexf	100	600	3	2	[4, 4, 4, 4]	4	1	1.0	inf	1830	0	0	0	0	[4.0, 1.0]	Small	100	6	5	8	gexf
3221	cut	cap	first	Small.100.10.2.8.gexf	100	1000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	1181	0	0	0	0	[8.0, 6.0]	Small	100	10	2	8	gexf
3222	cut	cap	first	Small.100.10.2.8.gexf	100	1000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	1180	0	0	0	0	[8.0, 5.0]	Small	100	10	2	8	gexf
3223	cut	cap	first	Small.100.10.2.8.gexf	100	1000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	1191	0	0	0	0	[8.0, 3.0]	Small	100	10	2	8	gexf
3226	cut	cap	first	Small.100.10.5.8.gexf	100	1000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	1168	0	0	0	0	[10.0, 8.0]	Small	100	10	5	8	gexf
3227	cut	cap	first	Small.100.10.5.8.gexf	100	1000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	1165	0	0	0	0	[10.0, 7.0]	Small	100	10	5	8	gexf
3228	cut	cap	first	Small.100.10.5.8.gexf	100	1000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	1160	0	0	0	0	[10.0, 5.0]	Small	100	10	5	8	gexf
3231	cut	cap	first	Small.100.24.2.8.gexf	100	2400	2	1	[24, 24, 24, 24]	24	22	22.0	inf	505	0	0	0	0	[24.0, 22.0]	Small	100	24	2	8	gexf
3232	cut	cap	first	Small.100.24.2.8.gexf	100	2400	3	2	[24, 24, 24, 24]	24	21	21.0	inf	512	0	0	0	0	[24.0, 21.0]	Small	100	24	2	8	gexf
3233	cut	cap	first	Small.100.24.2.8.gexf	100	2400	5	3	[24, 24, 24, 24]	24	19	19.0	inf	513	0	0	0	0	[24.0, 19.0]	Small	100	24	2	8	gexf
3234	cut	cap	first	Small.100.24.2.8.gexf	100	2400	10	4	[24, 24, 24, 24]	24	14	14.0	inf	516	0	0	0	0	[24.0, 14.0]	Small	100	24	2	8	gexf
3236	cut	cap	first	Small.100.24.5.8.gexf	100	2400	2	1	[23, 23, 23, 23]	23	21	21.0	inf	505	0	0	0	0	[23.0, 21.0]	Small	100	24	5	8	gexf
3237	cut	cap	first	Small.100.24.5.8.gexf	100	2400	3	2	[23, 23, 23, 23]	23	20	20.0	inf	508	0	0	0	0	[23.0, 20.0]	Small	100	24	5	8	gexf
3238	cut	cap	first	Small.100.24.5.8.gexf	100	2400	5	3	[23, 23, 23, 23]	23	18	18.0	inf	503	0	0	0	0	[23.0, 18.0]	Small	100	24	5	8	gexf
3239	cut	cap	first	Small.100.24.5.8.gexf	100	2400	10	4	[23, 23, 23, 23]	23	13	13.0	inf	506	0	0	0	0	[23.0, 13.0]	Small	100	24	5	8	gexf
3241	cut	cap	first	Small.100.6.2.9.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1809	0	0	0	0	[6.0, 4.0]	Small	100	6	2	9	gexf
3242	cut	cap	first	Small.100.6.2.9.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1808	0	0	0	0	[6.0, 3.0]	Small	100	6	2	9	gexf
3243	cut	cap	first	Small.100.6.2.9.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1820	0	0	0	0	[6.0, 1.0]	Small	100	6	2	9	gexf
3246	cut	cap	first	Small.100.6.5.9.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1814	0	0	0	0	[5.0, 3.0]	Small	100	6	5	9	gexf
3247	cut	cap	first	Small.100.6.5.9.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1811	0	0	0	0	[5.0, 2.0]	Small	100	6	5	9	gexf
3251	cut	cap	first	Small.100.10.2.9.gexf	100	1000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	1160	0	0	0	0	[8.0, 6.0]	Small	100	10	2	9	gexf
3252	cut	cap	first	Small.100.10.2.9.gexf	100	1000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	1166	0	0	0	0	[8.0, 5.0]	Small	100	10	2	9	gexf
3253	cut	cap	first	Small.100.10.2.9.gexf	100	1000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	1178	0	0	0	0	[8.0, 3.0]	Small	100	10	2	9	gexf
3256	cut	cap	first	Small.100.10.5.9.gexf	100	1000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	1168	0	0	0	0	[10.0, 8.0]	Small	100	10	5	9	gexf
3257	cut	cap	first	Small.100.10.5.9.gexf	100	1000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	1170	0	0	0	0	[10.0, 7.0]	Small	100	10	5	9	gexf
3258	cut	cap	first	Small.100.10.5.9.gexf	100	1000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	1186	0	0	0	0	[10.0, 5.0]	Small	100	10	5	9	gexf
3261	cut	cap	first	Small.100.24.2.9.gexf	100	2400	2	1	[23, 23, 23, 23]	23	21	21.0	inf	518	0	0	0	0	[23.0, 21.0]	Small	100	24	2	9	gexf
3262	cut	cap	first	Small.100.24.2.9.gexf	100	2400	3	2	[23, 23, 23, 23]	23	20	20.0	inf	517	0	0	0	0	[23.0, 20.0]	Small	100	24	2	9	gexf
3263	cut	cap	first	Small.100.24.2.9.gexf	100	2400	5	3	[23, 23, 23, 23]	23	18	18.0	inf	514	0	0	0	0	[23.0, 18.0]	Small	100	24	2	9	gexf
3264	cut	cap	first	Small.100.24.2.9.gexf	100	2400	10	4	[23, 23, 23, 23]	23	13	13.0	inf	517	0	0	0	0	[23.0, 13.0]	Small	100	24	2	9	gexf
3266	cut	cap	first	Small.100.24.5.9.gexf	100	2400	2	1	[22, 22, 22, 22]	22	20	20.0	inf	521	0	0	0	0	[22.0, 20.0]	Small	100	24	5	9	gexf
3267	cut	cap	first	Small.100.24.5.9.gexf	100	2400	3	2	[22, 22, 22, 22]	22	19	19.0	inf	519	0	0	0	0	[22.0, 19.0]	Small	100	24	5	9	gexf
3268	cut	cap	first	Small.100.24.5.9.gexf	100	2400	5	3	[22, 22, 22, 22]	22	17	17.0	inf	519	0	0	0	0	[22.0, 17.0]	Small	100	24	5	9	gexf
3269	cut	cap	first	Small.100.24.5.9.gexf	100	2400	10	4	[22, 22, 22, 22]	22	12	12.0	inf	524	0	0	0	0	[22.0, 12.0]	Small	100	24	5	9	gexf
3271	cut	cap	first	Small.100.6.2.10.gexf	100	600	2	1	[4, 4, 4, 4]	4	2	2.0	inf	1839	0	0	0	0	[4.0, 2.0]	Small	100	6	2	10	gexf
3272	cut	cap	first	Small.100.6.2.10.gexf	100	600	3	2	[4, 4, 4, 4]	4	1	1.0	inf	1851	0	0	0	0	[4.0, 1.0]	Small	100	6	2	10	gexf
3276	cut	cap	first	Small.100.6.5.10.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1838	0	0	0	0	[6.0, 4.0]	Small	100	6	5	10	gexf
3277	cut	cap	first	Small.100.6.5.10.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1841	0	0	0	0	[6.0, 3.0]	Small	100	6	5	10	gexf
3278	cut	cap	first	Small.100.6.5.10.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1849	0	0	0	0	[6.0, 1.0]	Small	100	6	5	10	gexf
3281	cut	cap	first	Small.100.10.2.10.gexf	100	1000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	1190	0	0	0	0	[8.0, 6.0]	Small	100	10	2	10	gexf
3282	cut	cap	first	Small.100.10.2.10.gexf	100	1000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	1199	0	0	0	0	[8.0, 5.0]	Small	100	10	2	10	gexf
3283	cut	cap	first	Small.100.10.2.10.gexf	100	1000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	1202	0	0	0	0	[8.0, 3.0]	Small	100	10	2	10	gexf
3286	cut	cap	first	Small.100.10.5.10.gexf	100	1000	2	1	[11, 11, 11, 11]	11	9	9.0	inf	1139	0	0	0	0	[11.0, 9.0]	Small	100	10	5	10	gexf
3287	cut	cap	first	Small.100.10.5.10.gexf	100	1000	3	2	[11, 11, 11, 11]	11	8	8.0	inf	1155	0	0	0	0	[11.0, 8.0]	Small	100	10	5	10	gexf
3288	cut	cap	first	Small.100.10.5.10.gexf	100	1000	5	3	[11, 11, 11, 11]	11	6	6.0	inf	1159	0	0	0	0	[11.0, 6.0]	Small	100	10	5	10	gexf
3289	cut	cap	first	Small.100.10.5.10.gexf	100	1000	10	4	[11, 11, 11, 11]	11	1	1.0	inf	1187	0	0	0	0	[11.0, 1.0]	Small	100	10	5	10	gexf
3291	cut	cap	first	Small.100.24.2.10.gexf	100	2400	2	1	[24, 24, 24, 24]	24	22	22.0	inf	506	0	0	0	0	[24.0, 22.0]	Small	100	24	2	10	gexf
3292	cut	cap	first	Small.100.24.2.10.gexf	100	2400	3	2	[24, 24, 24, 24]	24	21	21.0	inf	506	0	0	0	0	[24.0, 21.0]	Small	100	24	2	10	gexf
3293	cut	cap	first	Small.100.24.2.10.gexf	100	2400	5	3	[24, 24, 24, 24]	24	19	19.0	inf	506	0	0	0	0	[24.0, 19.0]	Small	100	24	2	10	gexf
3294	cut	cap	first	Small.100.24.2.10.gexf	100	2400	10	4	[24, 24, 24, 24]	24	14	14.0	inf	511	0	0	0	0	[24.0, 14.0]	Small	100	24	2	10	gexf
3296	cut	cap	first	Small.100.24.5.10.gexf	100	2400	2	1	[18, 18, 18, 18]	18	16	16.0	inf	507	0	0	0	0	[18.0, 16.0]	Small	100	24	5	10	gexf
3297	cut	cap	first	Small.100.24.5.10.gexf	100	2400	3	2	[18, 18, 18, 18]	18	15	15.0	inf	515	0	0	0	0	[18.0, 15.0]	Small	100	24	5	10	gexf
3298	cut	cap	first	Small.100.24.5.10.gexf	100	2400	5	3	[18, 18, 18, 18]	18	13	13.0	inf	508	0	0	0	0	[18.0, 13.0]	Small	100	24	5	10	gexf
3299	cut	cap	first	Small.100.24.5.10.gexf	100	2400	10	4	[18, 18, 18, 18]	18	8	8.0	inf	513	0	0	0	0	[18.0, 8.0]	Small	100	24	5	10	gexf
3301	cut	cap	first	Small.100.6.2.11.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1830	0	0	0	0	[6.0, 4.0]	Small	100	6	2	11	gexf
3302	cut	cap	first	Small.100.6.2.11.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1807	0	0	0	0	[6.0, 3.0]	Small	100	6	2	11	gexf
3303	cut	cap	first	Small.100.6.2.11.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1820	0	0	0	0	[6.0, 1.0]	Small	100	6	2	11	gexf
3306	cut	cap	first	Small.100.6.5.11.gexf	100	600	2	1	[4, 4, 4, 4]	4	2	2.0	inf	1814	0	0	0	0	[4.0, 2.0]	Small	100	6	5	11	gexf
3307	cut	cap	first	Small.100.6.5.11.gexf	100	600	3	2	[4, 4, 4, 4]	4	1	1.0	inf	1802	0	0	0	0	[4.0, 1.0]	Small	100	6	5	11	gexf
3311	cut	cap	first	Small.100.10.2.11.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1172	0	0	0	0	[9.0, 7.0]	Small	100	10	2	11	gexf
3312	cut	cap	first	Small.100.10.2.11.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1172	0	0	0	0	[9.0, 6.0]	Small	100	10	2	11	gexf
3313	cut	cap	first	Small.100.10.2.11.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1189	0	0	0	0	[9.0, 4.0]	Small	100	10	2	11	gexf
3316	cut	cap	first	Small.100.10.5.11.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1177	0	0	0	0	[9.0, 7.0]	Small	100	10	5	11	gexf
3317	cut	cap	first	Small.100.10.5.11.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1175	0	0	0	0	[9.0, 6.0]	Small	100	10	5	11	gexf
