construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5
54	cut	cap	first	Small.50.24.2.2.gexf	50	1200	10	4	[23, 23, 23, 23]	23	13	13.0	inf	1044	0	0	0	0	[23.0, 13.0]	Small	50	24	2	2	gexf
56	cut	cap	first	Small.50.24.5.2.gexf	50	1200	2	1	[24, 24, 24, 24]	24	22	22.0	inf	1034	0	0	0	0	[24.0, 22.0]	Small	50	24	5	2	gexf
57	cut	cap	first	Small.50.24.5.2.gexf	50	1200	3	2	[24, 24, 24, 24]	24	21	21.0	inf	1038	0	0	0	0	[24.0, 21.0]	Small	50	24	5	2	gexf
58	cut	cap	first	Small.50.24.5.2.gexf	50	1200	5	3	[24, 24, 24, 24]	24	19	19.0	inf	1040	0	0	0	0	[24.0, 19.0]	Small	50	24	5	2	gexf
59	cut	cap	first	Small.50.24.5.2.gexf	50	1200	10	4	[24, 24, 24, 24]	24	14	14.0	inf	1057	0	0	0	0	[24.0, 14.0]	Small	50	24	5	2	gexf
61	cut	cap	first	Small.50.6.2.3.gexf	50	300	2	1	[7, 7, 7, 7]	7	5	5.0	inf	3486	0	0	0	0	[7.0, 5.0]	Small	50	6	2	3	gexf
62	cut	cap	first	Small.50.6.2.3.gexf	50	300	3	2	[7, 7, 7, 7]	7	4	4.0	inf	3549	0	0	0	0	[7.0, 4.0]	Small	50	6	2	3	gexf
63	cut	cap	first	Small.50.6.2.3.gexf	50	300	5	3	[7, 7, 7, 7]	7	2	2.0	inf	3655	0	0	0	0	[7.0, 2.0]	Small	50	6	2	3	gexf
66	cut	cap	first	Small.50.6.5.3.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3690	0	0	0	0	[5.0, 3.0]	Small	50	6	5	3	gexf
67	cut	cap	first	Small.50.6.5.3.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3709	0	0	0	0	[5.0, 2.0]	Small	50	6	5	3	gexf
71	cut	cap	first	Small.50.10.2.3.gexf	50	500	2	1	[10, 10, 10, 10]	10	8	8.0	inf	2397	0	0	0	0	[10.0, 8.0]	Small	50	10	2	3	gexf
72	cut	cap	first	Small.50.10.2.3.gexf	50	500	3	2	[10, 10, 10, 10]	10	7	7.0	inf	2409	0	0	0	0	[10.0, 7.0]	Small	50	10	2	3	gexf
73	cut	cap	first	Small.50.10.2.3.gexf	50	500	5	3	[10, 10, 10, 10]	10	5	5.0	inf	2417	0	0	0	0	[10.0, 5.0]	Small	50	10	2	3	gexf
76	cut	cap	first	Small.50.10.5.3.gexf	50	500	2	1	[9, 9, 9, 9]	9	7	7.0	inf	2297	0	0	0	0	[9.0, 7.0]	Small	50	10	5	3	gexf
77	cut	cap	first	Small.50.10.5.3.gexf	50	500	3	2	[9, 9, 9, 9]	9	6	6.0	inf	2350	0	0	0	0	[9.0, 6.0]	Small	50	10	5	3	gexf
78	cut	cap	first	Small.50.10.5.3.gexf	50	500	5	3	[9, 9, 9, 9]	9	4	4.0	inf	2375	0	0	0	0	[9.0, 4.0]	Small	50	10	5	3	gexf
81	cut	cap	first	Small.50.24.2.3.gexf	50	1200	2	1	[21, 21, 21, 21]	21	19	19.0	inf	1040	0	0	0	0	[21.0, 19.0]	Small	50	24	2	3	gexf
82	cut	cap	first	Small.50.24.2.3.gexf	50	1200	3	2	[21, 21, 21, 21]	21	18	18.0	inf	1044	0	0	0	0	[21.0, 18.0]	Small	50	24	2	3	gexf
83	cut	cap	first	Small.50.24.2.3.gexf	50	1200	5	3	[21, 21, 21, 21]	21	16	16.0	inf	1039	0	0	0	0	[21.0, 16.0]	Small	50	24	2	3	gexf
84	cut	cap	first	Small.50.24.2.3.gexf	50	1200	10	4	[21, 21, 21, 21]	21	11	11.0	inf	1046	0	0	0	0	[21.0, 11.0]	Small	50	24	2	3	gexf
86	cut	cap	first	Small.50.24.5.3.gexf	50	1200	2	1	[22, 22, 22, 22]	22	20	20.0	inf	1025	0	0	0	0	[22.0, 20.0]	Small	50	24	5	3	gexf
87	cut	cap	first	Small.50.24.5.3.gexf	50	1200	3	2	[22, 22, 22, 22]	22	19	19.0	inf	1024	0	0	0	0	[22.0, 19.0]	Small	50	24	5	3	gexf
88	cut	cap	first	Small.50.24.5.3.gexf	50	1200	5	3	[22, 22, 22, 22]	22	17	17.0	inf	1019	0	0	0	0	[22.0, 17.0]	Small	50	24	5	3	gexf
89	cut	cap	first	Small.50.24.5.3.gexf	50	1200	10	4	[22, 22, 22, 22]	22	12	12.0	inf	1026	0	0	0	0	[22.0, 12.0]	Small	50	24	5	3	gexf
91	cut	cap	first	Small.50.6.2.4.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3719	0	0	0	0	[5.0, 3.0]	Small	50	6	2	4	gexf
92	cut	cap	first	Small.50.6.2.4.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3742	0	0	0	0	[5.0, 2.0]	Small	50	6	2	4	gexf
96	cut	cap	first	Small.50.6.5.4.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3539	0	0	0	0	[6.0, 4.0]	Small	50	6	5	4	gexf
97	cut	cap	first	Small.50.6.5.4.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3566	0	0	0	0	[6.0, 3.0]	Small	50	6	5	4	gexf
98	cut	cap	first	Small.50.6.5.4.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3698	0	0	0	0	[6.0, 1.0]	Small	50	6	5	4	gexf
101	cut	cap	first	Small.50.10.2.4.gexf	50	500	2	1	[9, 9, 9, 9]	9	7	7.0	inf	2399	0	0	0	0	[9.0, 7.0]	Small	50	10	2	4	gexf
102	cut	cap	first	Small.50.10.2.4.gexf	50	500	3	2	[9, 9, 9, 9]	9	6	6.0	inf	2400	0	0	0	0	[9.0, 6.0]	Small	50	10	2	4	gexf
103	cut	cap	first	Small.50.10.2.4.gexf	50	500	5	3	[9, 9, 9, 9]	9	4	4.0	inf	2415	0	0	0	0	[9.0, 4.0]	Small	50	10	2	4	gexf
106	cut	cap	first	Small.50.10.5.4.gexf	50	500	2	1	[6, 6, 6, 6]	6	4	4.0	inf	2378	0	0	0	0	[6.0, 4.0]	Small	50	10	5	4	gexf
107	cut	cap	first	Small.50.10.5.4.gexf	50	500	3	2	[6, 6, 6, 6]	6	3	3.0	inf	2400	0	0	0	0	[6.0, 3.0]	Small	50	10	5	4	gexf
108	cut	cap	first	Small.50.10.5.4.gexf	50	500	5	3	[6, 6, 6, 6]	6	1	1.0	inf	2407	0	0	0	0	[6.0, 1.0]	Small	50	10	5	4	gexf
111	cut	cap	first	Small.50.24.2.4.gexf	50	1200	2	1	[26, 26, 26, 26]	26	24	24.0	inf	1023	0	0	0	0	[26.0, 24.0]	Small	50	24	2	4	gexf
112	cut	cap	first	Small.50.24.2.4.gexf	50	1200	3	2	[26, 26, 26, 26]	26	23	23.0	inf	1035	0	0	0	0	[26.0, 23.0]	Small	50	24	2	4	gexf
113	cut	cap	first	Small.50.24.2.4.gexf	50	1200	5	3	[26, 26, 26, 26]	26	21	21.0	inf	1025	0	0	0	0	[26.0, 21.0]	Small	50	24	2	4	gexf
114	cut	cap	first	Small.50.24.2.4.gexf	50	1200	10	4	[26, 26, 26, 26]	26	16	16.0	inf	1040	0	0	0	0	[26.0, 16.0]	Small	50	24	2	4	gexf
116	cut	cap	first	Small.50.24.5.4.gexf	50	1200	2	1	[26, 26, 26, 26]	26	24	24.0	inf	1016	0	0	0	0	[26.0, 24.0]	Small	50	24	5	4	gexf
117	cut	cap	first	Small.50.24.5.4.gexf	50	1200	3	2	[26, 26, 26, 26]	26	23	23.0	inf	1021	0	0	0	0	[26.0, 23.0]	Small	50	24	5	4	gexf
118	cut	cap	first	Small.50.24.5.4.gexf	50	1200	5	3	[26, 26, 26, 26]	26	21	21.0	inf	1017	0	0	0	0	[26.0, 21.0]	Small	50	24	5	4	gexf
119	cut	cap	first	Small.50.24.5.4.gexf	50	1200	10	4	[26, 26, 26, 26]	26	16	16.0	inf	1029	0	0	0	0	[26.0, 16.0]	Small	50	24	5	4	gexf
121	cut	cap	first	Small.50.6.2.5.gexf	50	300	2	1	[7, 7, 7, 7]	7	5	5.0	inf	3604	0	0	0	0	[7.0, 5.0]	Small	50	6	2	5	gexf
122	cut	cap	first	Small.50.6.2.5.gexf	50	300	3	2	[7, 7, 7, 7]	7	4	4.0	inf	3705	0	0	0	0	[7.0, 4.0]	Small	50	6	2	5	gexf
123	cut	cap	first	Small.50.6.2.5.gexf	50	300	5	3	[7, 7, 7, 7]	7	2	2.0	inf	3735	0	0	0	0	[7.0, 2.0]	Small	50	6	2	5	gexf
126	cut	cap	first	Small.50.6.5.5.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3635	0	0	0	0	[5.0, 3.0]	Small	50	6	5	5	gexf
127	cut	cap	first	Small.50.6.5.5.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3736	0	0	0	0	[5.0, 2.0]	Small	50	6	5	5	gexf
131	cut	cap	first	Small.50.10.2.5.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2331	0	0	0	0	[8.0, 6.0]	Small	50	10	2	5	gexf
132	cut	cap	first	Small.50.10.2.5.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2346	0	0	0	0	[8.0, 5.0]	Small	50	10	2	5	gexf
133	cut	cap	first	Small.50.10.2.5.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2374	0	0	0	0	[8.0, 3.0]	Small	50	10	2	5	gexf
136	cut	cap	first	Small.50.10.5.5.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2358	0	0	0	0	[8.0, 6.0]	Small	50	10	5	5	gexf
137	cut	cap	first	Small.50.10.5.5.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2370	0	0	0	0	[8.0, 5.0]	Small	50	10	5	5	gexf
138	cut	cap	first	Small.50.10.5.5.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2356	0	0	0	0	[8.0, 3.0]	Small	50	10	5	5	gexf
141	cut	cap	first	Small.50.24.2.5.gexf	50	1200	2	1	[24, 24, 24, 24]	24	22	22.0	inf	1034	0	0	0	0	[24.0, 22.0]	Small	50	24	2	5	gexf
142	cut	cap	first	Small.50.24.2.5.gexf	50	1200	3	2	[24, 24, 24, 24]	24	21	21.0	inf	1031	0	0	0	0	[24.0, 21.0]	Small	50	24	2	5	gexf
143	cut	cap	first	Small.50.24.2.5.gexf	50	1200	5	3	[24, 24, 24, 24]	24	19	19.0	inf	1029	0	0	0	0	[24.0, 19.0]	Small	50	24	2	5	gexf
144	cut	cap	first	Small.50.24.2.5.gexf	50	1200	10	4	[24, 24, 24, 24]	24	14	14.0	inf	1044	0	0	0	0	[24.0, 14.0]	Small	50	24	2	5	gexf
146	cut	cap	first	Small.50.24.5.5.gexf	50	1200	2	1	[25, 25, 25, 25]	25	23	23.0	inf	1045	0	0	0	0	[25.0, 23.0]	Small	50	24	5	5	gexf
147	cut	cap	first	Small.50.24.5.5.gexf	50	1200	3	2	[25, 25, 25, 25]	25	22	22.0	inf	1037	0	0	0	0	[25.0, 22.0]	Small	50	24	5	5	gexf
148	cut	cap	first	Small.50.24.5.5.gexf	50	1200	5	3	[25, 25, 25, 25]	25	20	20.0	inf	1028	0	0	0	0	[25.0, 20.0]	Small	50	24	5	5	gexf
149	cut	cap	first	Small.50.24.5.5.gexf	50	1200	10	4	[25, 25, 25, 25]	25	15	15.0	inf	1034	0	0	0	0	[25.0, 15.0]	Small	50	24	5	5	gexf
151	cut	cap	first	Small.50.6.2.6.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3758	0	0	0	0	[6.0, 4.0]	Small	50	6	2	6	gexf
152	cut	cap	first	Small.50.6.2.6.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3748	0	0	0	0	[6.0, 3.0]	Small	50	6	2	6	gexf
153	cut	cap	first	Small.50.6.2.6.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3797	0	0	0	0	[6.0, 1.0]	Small	50	6	2	6	gexf
156	cut	cap	first	Small.50.6.5.6.gexf	50	300	2	1	[4, 4, 4, 4]	4	2	2.0	inf	3714	0	0	0	0	[4.0, 2.0]	Small	50	6	5	6	gexf
157	cut	cap	first	Small.50.6.5.6.gexf	50	300	3	2	[4, 4, 4, 4]	4	1	1.0	inf	3722	0	0	0	0	[4.0, 1.0]	Small	50	6	5	6	gexf
161	cut	cap	first	Small.50.10.2.6.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2396	0	0	0	0	[8.0, 6.0]	Small	50	10	2	6	gexf
162	cut	cap	first	Small.50.10.2.6.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2420	0	0	0	0	[8.0, 5.0]	Small	50	10	2	6	gexf
163	cut	cap	first	Small.50.10.2.6.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2446	0	0	0	0	[8.0, 3.0]	Small	50	10	2	6	gexf
166	cut	cap	first	Small.50.10.5.6.gexf	50	500	2	1	[10, 10, 10, 10]	10	8	8.0	inf	2303	0	0	0	0	[10.0, 8.0]	Small	50	10	5	6	gexf
167	cut	cap	first	Small.50.10.5.6.gexf	50	500	3	2	[10, 10, 10, 10]	10	7	7.0	inf	2329	0	0	0	0	[10.0, 7.0]	Small	50	10	5	6	gexf
168	cut	cap	first	Small.50.10.5.6.gexf	50	500	5	3	[10, 10, 10, 10]	10	5	5.0	inf	2323	0	0	0	0	[10.0, 5.0]	Small	50	10	5	6	gexf
171	cut	cap	first	Small.50.24.2.6.gexf	50	1200	2	1	[24, 24, 24, 24]	24	22	22.0	inf	1039	0	0	0	0	[24.0, 22.0]	Small	50	24	2	6	gexf
172	cut	cap	first	Small.50.24.2.6.gexf	50	1200	3	2	[24, 24, 24, 24]	24	21	21.0	inf	1041	0	0	0	0	[24.0, 21.0]	Small	50	24	2	6	gexf
173	cut	cap	first	Small.50.24.2.6.gexf	50	1200	5	3	[24, 24, 24, 24]	24	19	19.0	inf	1048	0	0	0	0	[24.0, 19.0]	Small	50	24	2	6	gexf
174	cut	cap	first	Small.50.24.2.6.gexf	50	1200	10	4	[24, 24, 24, 24]	24	14	14.0	inf	1047	0	0	0	0	[24.0, 14.0]	Small	50	24	2	6	gexf
176	cut	cap	first	Small.50.24.5.6.gexf	50	1200	2	1	[20, 20, 20, 20]	20	18	18.0	inf	1044	0	0	0	0	[20.0, 18.0]	Small	50	24	5	6	gexf
177	cut	cap	first	Small.50.24.5.6.gexf	50	1200	3	2	[20, 20, 20, 20]	20	17	17.0	inf	1049	0	0	0	0	[20.0, 17.0]	Small	50	24	5	6	gexf
178	cut	cap	first	Small.50.24.5.6.gexf	50	1200	5	3	[20, 20, 20, 20]	20	15	15.0	inf	1052	0	0	0	0	[20.0, 15.0]	Small	50	24	5	6	gexf
179	cut	cap	first	Small.50.24.5.6.gexf	50	1200	10	4	[20, 20, 20, 20]	20	10	10.0	inf	1064	0	0	0	0	[20.0, 10.0]	Small	50	24	5	6	gexf
181	cut	cap	first	Small.50.6.2.7.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3707	0	0	0	0	[6.0, 4.0]	Small	50	6	2	7	gexf
182	cut	cap	first	Small.50.6.2.7.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3706	0	0	0	0	[6.0, 3.0]	Small	50	6	2	7	gexf
183	cut	cap	first	Small.50.6.2.7.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3750	0	0	0	0	[6.0, 1.0]	Small	50	6	2	7	gexf
186	cut	cap	first	Small.50.6.5.7.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3665	0	0	0	0	[5.0, 3.0]	Small	50	6	5	7	gexf
187	cut	cap	first	Small.50.6.5.7.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3716	0	0	0	0	[5.0, 2.0]	Small	50	6	5	7	gexf
191	cut	cap	first	Small.50.10.2.7.gexf	50	500	2	1	[11, 11, 11, 11]	11	9	9.0	inf	2366	0	0	0	0	[11.0, 9.0]	Small	50	10	2	7	gexf
192	cut	cap	first	Small.50.10.2.7.gexf	50	500	3	2	[11, 11, 11, 11]	11	8	8.0	inf	2382	0	0	0	0	[11.0, 8.0]	Small	50	10	2	7	gexf
193	cut	cap	first	Small.50.10.2.7.gexf	50	500	5	3	[11, 11, 11, 11]	11	6	6.0	inf	2385	0	0	0	0	[11.0, 6.0]	Small	50	10	2	7	gexf
