path,edge connectivity,k,max multirute flow,iterations
R-MAT.64.2.1.gexf,6,1,10.0,1
R-MAT.64.2.1.gexf,6,2,10.0,1
R-MAT.64.2.1.gexf,6,3,9.333333333333334,2
R-MAT.64.2.1.gexf,6,4,7.5,4
R-MAT.64.2.1.gexf,6,5,6.0,4
R-MAT.64.4.1.gexf,9,1,13.0,1
R-MAT.64.4.1.gexf,9,2,13.0,1
R-MAT.64.4.1.gexf,9,3,13.0,1
R-MAT.64.4.1.gexf,9,4,13.0,1
R-MAT.64.4.1.gexf,9,5,13.0,1
R-MAT.64.4.1.gexf,9,6,11.666666666666668,5
R-MAT.64.4.1.gexf,9,7,10.0,6
R-MAT.64.4.1.gexf,9,8,8.999999999999998,6
R-MAT.64.8.1.gexf,13,1,21.0,1
R-MAT.64.8.1.gexf,13,2,21.0,1
R-MAT.64.8.1.gexf,13,3,21.0,1
R-MAT.64.8.1.gexf,13,4,21.0,1
R-MAT.64.8.1.gexf,13,5,21.0,1
R-MAT.64.8.1.gexf,13,6,21.0,1
R-MAT.64.8.1.gexf,13,7,20.571428571428573,2
R-MAT.64.8.1.gexf,13,8,20.25,2
R-MAT.64.8.1.gexf,13,9,20.0,2
R-MAT.64.8.1.gexf,13,10,16.5,8
R-MAT.64.8.1.gexf,13,11,14.399999999999997,8
R-MAT.64.8.1.gexf,13,12,12.999999999999998,9
R-MAT.64.16.1.gexf,26,1,47.0,1
R-MAT.64.16.1.gexf,26,2,47.0,1
R-MAT.64.16.1.gexf,26,3,47.0,1
R-MAT.64.16.1.gexf,26,4,47.0,1
R-MAT.64.16.1.gexf,26,5,47.0,1
R-MAT.64.16.1.gexf,26,6,46.66666666666667,2
R-MAT.64.16.1.gexf,26,7,45.714285714285715,2
R-MAT.64.16.1.gexf,26,8,45.0,2
R-MAT.64.16.1.gexf,26,9,43.75,3
R-MAT.64.16.1.gexf,26,10,42.625,4
R-MAT.64.16.1.gexf,26,11,41.33333333333333,5
R-MAT.64.16.1.gexf,26,12,40.300000000000004,4
R-MAT.64.16.1.gexf,26,13,38.888888888888886,6
R-MAT.64.16.1.gexf,26,14,37.5,6
R-MAT.64.16.1.gexf,26,15,36.36363636363637,6
R-MAT.64.16.1.gexf,26,16,35.416666666666664,7
R-MAT.64.16.1.gexf,26,17,34.0,11
R-MAT.64.16.1.gexf,26,18,32.3,11
R-MAT.64.16.1.gexf,26,19,30.909090909090917,10
R-MAT.64.16.1.gexf,26,20,29.75,10
R-MAT.64.16.1.gexf,26,21,28.769230769230763,12
R-MAT.64.16.1.gexf,26,22,27.928571428571427,10
R-MAT.64.16.1.gexf,26,23,27.199999999999996,11
R-MAT.64.16.1.gexf,26,24,26.5625,10
R-MAT.64.16.1.gexf,26,25,25.999999999999996,10
R-MAT.64.32.1.gexf,34,1,92.0,1
R-MAT.64.32.1.gexf,34,2,92.0,1
R-MAT.64.32.1.gexf,34,3,92.0,1
R-MAT.64.32.1.gexf,34,4,92.0,1
R-MAT.64.32.1.gexf,34,5,92.0,1
R-MAT.64.32.1.gexf,34,6,91.0,2
R-MAT.64.32.1.gexf,34,7,89.14285714285714,2
R-MAT.64.32.1.gexf,34,8,87.75,2
R-MAT.64.32.1.gexf,34,9,86.25,3
R-MAT.64.32.1.gexf,34,10,84.33333333333333,4
R-MAT.64.32.1.gexf,34,11,82.8,4
R-MAT.64.32.1.gexf,34,12,81.54545454545455,3
R-MAT.64.32.1.gexf,34,13,79.8,5
R-MAT.64.32.1.gexf,34,14,77.72727272727272,6
R-MAT.64.32.1.gexf,34,15,75.2,7
R-MAT.64.32.1.gexf,34,16,72.63636363636364,7
R-MAT.64.32.1.gexf,34,17,70.2,9
R-MAT.64.32.1.gexf,34,18,67.36363636363637,9
R-MAT.64.32.1.gexf,34,19,65.0,9
R-MAT.64.32.1.gexf,34,20,63.0,10
R-MAT.64.32.1.gexf,34,21,59.400000000000006,13
R-MAT.64.32.1.gexf,34,22,56.45454545454544,13
R-MAT.64.32.1.gexf,34,23,53.99999999999999,13
R-MAT.64.32.1.gexf,34,24,51.923076923076934,14
R-MAT.64.32.1.gexf,34,25,49.11111111111114,18
R-MAT.64.32.1.gexf,34,26,45.900000000000006,18
R-MAT.64.32.1.gexf,34,27,43.272727272727295,18
R-MAT.64.32.1.gexf,34,28,41.0833333333333,19
R-MAT.64.32.1.gexf,34,29,39.23076923076922,19
R-MAT.64.32.1.gexf,34,30,37.64285714285716,18
R-MAT.64.32.1.gexf,34,31,36.26666666666666,18
R-MAT.64.32.1.gexf,34,32,35.0625,18
R-MAT.64.32.1.gexf,34,33,33.99999999999999,18
R-MAT.64.64.1.gexf,45,1,197.0,1
R-MAT.64.64.1.gexf,45,2,197.0,1
R-MAT.64.64.1.gexf,45,3,197.0,1
R-MAT.64.64.1.gexf,45,4,197.0,1
R-MAT.64.64.1.gexf,45,5,197.0,1
R-MAT.64.64.1.gexf,45,6,197.0,1
R-MAT.64.64.1.gexf,45,7,197.0,1
R-MAT.64.64.1.gexf,45,8,197.0,1
R-MAT.64.64.1.gexf,45,9,196.66666666666669,2
R-MAT.64.64.1.gexf,45,10,194.7,2
R-MAT.64.64.1.gexf,45,11,193.0909090909091,3
R-MAT.64.64.1.gexf,45,12,191.75,2
R-MAT.64.64.1.gexf,45,13,190.6153846153846,2
R-MAT.64.64.1.gexf,45,14,189.23076923076923,3
R-MAT.64.64.1.gexf,45,15,187.0769230769231,4
R-MAT.64.64.1.gexf,45,16,184.3846153846154,5
R-MAT.64.64.1.gexf,45,17,181.2857142857143,5
R-MAT.64.64.1.gexf,45,18,177.7857142857143,6
R-MAT.64.64.1.gexf,45,19,173.8461538461538,9
R-MAT.64.64.1.gexf,45,20,169.50000000000003,8
R-MAT.64.64.1.gexf,45,21,165.0,10
R-MAT.64.64.1.gexf,45,22,161.0,9
R-MAT.64.64.1.gexf,45,23,155.076923076923,14
R-MAT.64.64.1.gexf,45,24,150.0,12
R-MAT.64.64.1.gexf,45,25,145.59999999999994,14
R-MAT.64.64.1.gexf,45,26,141.75,12
R-MAT.64.64.1.gexf,45,27,138.00000000000006,15
R-MAT.64.64.1.gexf,45,28,133.40000000000006,15
R-MAT.64.64.1.gexf,45,29,129.375,15
R-MAT.64.64.1.gexf,45,30,125.82352941176475,15
R-MAT.64.64.1.gexf,45,31,121.1428571428572,19
R-MAT.64.64.1.gexf,45,32,116.59999999999998,20
R-MAT.64.64.1.gexf,45,33,112.62499999999997,19
R-MAT.64.64.1.gexf,45,34,109.11764705882356,20
R-MAT.64.64.1.gexf,45,35,104.40000000000012,28
R-MAT.64.64.1.gexf,45,36,97.54545454545455,28
R-MAT.64.64.1.gexf,45,37,91.83333333333334,27
R-MAT.64.64.1.gexf,45,38,86.99999999999989,28
R-MAT.64.64.1.gexf,45,39,82.85714285714282,27
R-MAT.64.64.1.gexf,45,40,73.79999999999984,37
R-MAT.64.64.1.gexf,45,41,62.999999999999744,38
R-MAT.64.64.1.gexf,45,42,55.285714285714064,39
R-MAT.64.64.1.gexf,45,43,49.49999999999992,37
R-MAT.64.64.1.gexf,45,44,44.99999999999997,37
R-MAT.64.128.1.gexf,53,1,421.0,1
R-MAT.64.128.1.gexf,53,2,421.0,1
R-MAT.64.128.1.gexf,53,3,421.0,1
R-MAT.64.128.1.gexf,53,4,421.0,1
R-MAT.64.128.1.gexf,53,5,421.0,1
R-MAT.64.128.1.gexf,53,6,421.0,1
R-MAT.64.128.1.gexf,53,7,417.1428571428571,3
R-MAT.64.128.1.gexf,53,8,410.625,2
R-MAT.64.128.1.gexf,53,9,405.55555555555554,2
R-MAT.64.128.1.gexf,53,10,401.5,2
R-MAT.64.128.1.gexf,53,11,398.1818181818182,3
R-MAT.64.128.1.gexf,53,12,394.72727272727275,4
R-MAT.64.128.1.gexf,53,13,389.66666666666663,3
R-MAT.64.128.1.gexf,53,14,385.38461538461536,4
R-MAT.64.128.1.gexf,53,15,380.3076923076923,4
R-MAT.64.128.1.gexf,53,16,375.21428571428567,5
R-MAT.64.128.1.gexf,53,17,370.8,4
R-MAT.64.128.1.gexf,53,18,365.0714285714286,6
R-MAT.64.128.1.gexf,53,19,357.1428571428571,8
R-MAT.64.128.1.gexf,53,20,350.0,7
R-MAT.64.128.1.gexf,53,21,343.20000000000005,8
R-MAT.64.128.1.gexf,53,22,335.142857142857,11
R-MAT.64.128.1.gexf,53,23,325.7142857142856,11
R-MAT.64.128.1.gexf,53,24,316.0714285714286,14
R-MAT.64.128.1.gexf,53,25,306.8,12
R-MAT.64.128.1.gexf,53,26,298.6875,12
R-MAT.64.128.1.gexf,53,27,289.3333333333333,15
R-MAT.64.128.1.gexf,53,28,280.3333333333332,16
R-MAT.64.128.1.gexf,53,29,271.875,16
R-MAT.64.128.1.gexf,53,30,262.4666666666667,18
R-MAT.64.128.1.gexf,53,31,253.86666666666667,18
R-MAT.64.128.1.gexf,53,32,245.43749999999997,19
R-MAT.64.128.1.gexf,53,33,238.0,18
R-MAT.64.128.1.gexf,53,34,231.3888888888889,18
R-MAT.64.128.1.gexf,53,35,225.4736842105263,18
R-MAT.64.128.1.gexf,53,36,219.5333333333334,23
R-MAT.64.128.1.gexf,53,37,211.375,23
R-MAT.64.128.1.gexf,53,38,204.17647058823522,23
R-MAT.64.128.1.gexf,53,39,197.14285714285703,28
R-MAT.64.128.1.gexf,53,40,188.59999999999985,28
R-MAT.64.128.1.gexf,53,41,181.12499999999997,27
R-MAT.64.128.1.gexf,53,42,174.52941176470594,27
R-MAT.64.128.1.gexf,53,43,164.00000000000003,34
R-MAT.64.128.1.gexf,53,44,153.7499999999997,36
R-MAT.64.128.1.gexf,53,45,145.07692307692318,34
R-MAT.64.128.1.gexf,53,46,135.12499999999957,42
R-MAT.64.128.1.gexf,53,47,122.66666666666659,40
R-MAT.64.128.1.gexf,53,48,112.69999999999975,41
