path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5	small_1	constant1	small_2	constant2	best.constant	best.alg
82	Small.500.24.2.1.gexf	3	22	1	Small	500	24	2	1	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
83	Small.500.24.2.1.gexf	5	22	1	Small	500	24	2	1	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
84	Small.500.24.2.1.gexf	10	22	1	Small	500	24	2	1	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
86	Small.500.24.5.1.gexf	2	20	1	Small	500	24	5	1	gexf	18	1.11111111111111	18	1.11111111111111	1.11111111111111	NA
87	Small.500.24.5.1.gexf	3	20	1	Small	500	24	5	1	gexf	17	1.17647058823529	17	1.17647058823529	1.17647058823529	NA
88	Small.500.24.5.1.gexf	5	20	1	Small	500	24	5	1	gexf	15	1.33333333333333	15	1.33333333333333	1.33333333333333	NA
89	Small.500.24.5.1.gexf	10	20	1	Small	500	24	5	1	gexf	10	2	10	2	2	NA
91	Small.1000.6.2.1.gexf	2	6	1	Small	1000	6	2	1	gexf	4	1.5	4	1.5	1.5	NA
92	Small.1000.6.2.1.gexf	3	6	1	Small	1000	6	2	1	gexf	3	2	3	2	2	NA
93	Small.1000.6.2.1.gexf	5	6	1	Small	1000	6	2	1	gexf	1	6	1	6	6	NA
96	Small.1000.6.5.1.gexf	2	8	1	Small	1000	6	5	1	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
97	Small.1000.6.5.1.gexf	3	8	1	Small	1000	6	5	1	gexf	5	1.6	5	1.6	1.6	NA
98	Small.1000.6.5.1.gexf	5	8	1	Small	1000	6	5	1	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
101	Small.1000.10.2.1.gexf	2	9	1	Small	1000	10	2	1	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
102	Small.1000.10.2.1.gexf	3	9	1	Small	1000	10	2	1	gexf	6	1.5	6	1.5	1.5	NA
103	Small.1000.10.2.1.gexf	5	9	1	Small	1000	10	2	1	gexf	4	2.25	4	2.25	2.25	NA
106	Small.1000.10.5.1.gexf	2	11	1	Small	1000	10	5	1	gexf	9	1.22222222222222	9	1.22222222222222	1.22222222222222	NA
107	Small.1000.10.5.1.gexf	3	11	1	Small	1000	10	5	1	gexf	8	1.375	8	1.375	1.375	NA
108	Small.1000.10.5.1.gexf	5	11	1	Small	1000	10	5	1	gexf	6	1.83333333333333	6	1.83333333333333	1.83333333333333	NA
109	Small.1000.10.5.1.gexf	10	11	1	Small	1000	10	5	1	gexf	1	11	1	11	11	NA
111	Small.1000.24.2.1.gexf	2	23	1	Small	1000	24	2	1	gexf	21	1.0952380952381	21	1.0952380952381	1.0952380952381	NA
112	Small.1000.24.2.1.gexf	3	23	1	Small	1000	24	2	1	gexf	20	1.15	20	1.15	1.15	NA
113	Small.1000.24.2.1.gexf	5	23	1	Small	1000	24	2	1	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
114	Small.1000.24.2.1.gexf	10	23	1	Small	1000	24	2	1	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
116	Small.1000.24.5.1.gexf	2	22	1	Small	1000	24	5	1	gexf	20	1.1	20	1.1	1.1	NA
117	Small.1000.24.5.1.gexf	3	22	1	Small	1000	24	5	1	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
118	Small.1000.24.5.1.gexf	5	22	1	Small	1000	24	5	1	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
119	Small.1000.24.5.1.gexf	10	22	1	Small	1000	24	5	1	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
121	Small.50.6.2.2.gexf	2	5	1	Small	50	6	2	2	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
122	Small.50.6.2.2.gexf	3	5	1	Small	50	6	2	2	gexf	2	2.5	2	2.5	2.5	NA
126	Small.50.6.5.2.gexf	2	4	1	Small	50	6	5	2	gexf	2	2	2	2	2	NA
127	Small.50.6.5.2.gexf	3	4	1	Small	50	6	5	2	gexf	1	4	1	4	4	NA
131	Small.50.10.2.2.gexf	2	8	1	Small	50	10	2	2	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
132	Small.50.10.2.2.gexf	3	8	1	Small	50	10	2	2	gexf	5	1.6	5	1.6	1.6	NA
133	Small.50.10.2.2.gexf	5	8	1	Small	50	10	2	2	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
136	Small.50.10.5.2.gexf	2	9	1	Small	50	10	5	2	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
137	Small.50.10.5.2.gexf	3	9	1	Small	50	10	5	2	gexf	6	1.5	6	1.5	1.5	NA
138	Small.50.10.5.2.gexf	5	9	1	Small	50	10	5	2	gexf	4	2.25	4	2.25	2.25	NA
141	Small.50.24.2.2.gexf	2	23	1	Small	50	24	2	2	gexf	21	1.0952380952381	21	1.0952380952381	1.0952380952381	NA
142	Small.50.24.2.2.gexf	3	23	1	Small	50	24	2	2	gexf	20	1.15	20	1.15	1.15	NA
143	Small.50.24.2.2.gexf	5	23	1	Small	50	24	2	2	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
144	Small.50.24.2.2.gexf	10	23	1	Small	50	24	2	2	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
146	Small.50.24.5.2.gexf	2	24	1	Small	50	24	5	2	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
147	Small.50.24.5.2.gexf	3	24	1	Small	50	24	5	2	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
148	Small.50.24.5.2.gexf	5	24	1	Small	50	24	5	2	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
149	Small.50.24.5.2.gexf	10	24	1	Small	50	24	5	2	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
151	Small.100.6.2.2.gexf	2	5	1	Small	100	6	2	2	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
152	Small.100.6.2.2.gexf	3	5	1	Small	100	6	2	2	gexf	2	2.5	2	2.5	2.5	NA
156	Small.100.6.5.2.gexf	2	5	1	Small	100	6	5	2	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
157	Small.100.6.5.2.gexf	3	5	1	Small	100	6	5	2	gexf	2	2.5	2	2.5	2.5	NA
161	Small.100.10.2.2.gexf	2	10	1	Small	100	10	2	2	gexf	8	1.25	8	1.25	1.25	NA
162	Small.100.10.2.2.gexf	3	10	1	Small	100	10	2	2	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
163	Small.100.10.2.2.gexf	5	10	1	Small	100	10	2	2	gexf	5	2	5	2	2	NA
166	Small.100.10.5.2.gexf	2	6	1	Small	100	10	5	2	gexf	4	1.5	4	1.5	1.5	NA
167	Small.100.10.5.2.gexf	3	6	1	Small	100	10	5	2	gexf	3	2	3	2	2	NA
168	Small.100.10.5.2.gexf	5	6	1	Small	100	10	5	2	gexf	1	6	1	6	6	NA
171	Small.100.24.2.2.gexf	2	24	1	Small	100	24	2	2	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
172	Small.100.24.2.2.gexf	3	24	1	Small	100	24	2	2	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
173	Small.100.24.2.2.gexf	5	24	1	Small	100	24	2	2	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
174	Small.100.24.2.2.gexf	10	24	1	Small	100	24	2	2	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
176	Small.100.24.5.2.gexf	2	21	1	Small	100	24	5	2	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
177	Small.100.24.5.2.gexf	3	21	1	Small	100	24	5	2	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
178	Small.100.24.5.2.gexf	5	21	1	Small	100	24	5	2	gexf	16	1.3125	16	1.3125	1.3125	NA
179	Small.100.24.5.2.gexf	10	21	1	Small	100	24	5	2	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
181	Small.500.6.2.2.gexf	2	4	1	Small	500	6	2	2	gexf	2	2	2	2	2	NA
182	Small.500.6.2.2.gexf	3	4	1	Small	500	6	2	2	gexf	1	4	1	4	4	NA
186	Small.500.6.5.2.gexf	2	5	1	Small	500	6	5	2	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
187	Small.500.6.5.2.gexf	3	5	1	Small	500	6	5	2	gexf	2	2.5	2	2.5	2.5	NA
191	Small.500.10.2.2.gexf	2	8	1	Small	500	10	2	2	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
192	Small.500.10.2.2.gexf	3	8	1	Small	500	10	2	2	gexf	5	1.6	5	1.6	1.6	NA
193	Small.500.10.2.2.gexf	5	8	1	Small	500	10	2	2	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
196	Small.500.10.5.2.gexf	2	8	1	Small	500	10	5	2	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
197	Small.500.10.5.2.gexf	3	8	1	Small	500	10	5	2	gexf	5	1.6	5	1.6	1.6	NA
198	Small.500.10.5.2.gexf	5	8	1	Small	500	10	5	2	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
201	Small.500.24.2.2.gexf	2	25	1	Small	500	24	2	2	gexf	23	1.08695652173913	23	1.08695652173913	1.08695652173913	NA
202	Small.500.24.2.2.gexf	3	25	1	Small	500	24	2	2	gexf	22	1.13636363636364	22	1.13636363636364	1.13636363636364	NA
203	Small.500.24.2.2.gexf	5	25	1	Small	500	24	2	2	gexf	20	1.25	20	1.25	1.25	NA
204	Small.500.24.2.2.gexf	10	25	2	Small	500	24	2	2	gexf	15	1.66666666666667	15	1.66666666666667	1.66666666666667	NA
206	Small.500.24.5.2.gexf	2	26	1	Small	500	24	5	2	gexf	24	1.08333333333333	24	1.08333333333333	1.08333333333333	NA
207	Small.500.24.5.2.gexf	3	26	1	Small	500	24	5	2	gexf	23	1.1304347826087	23	1.1304347826087	1.1304347826087	NA
208	Small.500.24.5.2.gexf	5	26	1	Small	500	24	5	2	gexf	21	1.23809523809524	21	1.23809523809524	1.23809523809524	NA
209	Small.500.24.5.2.gexf	10	26	1	Small	500	24	5	2	gexf	16	1.625	16	1.625	1.625	NA
