path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5	small_1	constant1	small_2	constant2	best.constant	best.alg
2634	Small.1000.24.2.22.gexf	10	24	1	Small	1000	24	2	22	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
2636	Small.1000.24.5.22.gexf	2	22	1	Small	1000	24	5	22	gexf	20	1.1	20	1.1	1.1	NA
2637	Small.1000.24.5.22.gexf	3	22	1	Small	1000	24	5	22	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
2638	Small.1000.24.5.22.gexf	5	22	1	Small	1000	24	5	22	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
2639	Small.1000.24.5.22.gexf	10	22	1	Small	1000	24	5	22	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
2641	Small.50.6.2.23.gexf	2	5	1	Small	50	6	2	23	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
2642	Small.50.6.2.23.gexf	3	5	1	Small	50	6	2	23	gexf	2	2.5	2	2.5	2.5	NA
2646	Small.50.6.5.23.gexf	2	3	1	Small	50	6	5	23	gexf	1	3	1	3	3	NA
2651	Small.50.10.2.23.gexf	2	10	1	Small	50	10	2	23	gexf	8	1.25	8	1.25	1.25	NA
2652	Small.50.10.2.23.gexf	3	10	1	Small	50	10	2	23	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
2653	Small.50.10.2.23.gexf	5	10	1	Small	50	10	2	23	gexf	5	2	5	2	2	NA
2656	Small.50.10.5.23.gexf	2	9	1	Small	50	10	5	23	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
2657	Small.50.10.5.23.gexf	3	9	1	Small	50	10	5	23	gexf	6	1.5	6	1.5	1.5	NA
2658	Small.50.10.5.23.gexf	5	9	1	Small	50	10	5	23	gexf	4	2.25	4	2.25	2.25	NA
2661	Small.50.24.2.23.gexf	2	21	1	Small	50	24	2	23	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
2662	Small.50.24.2.23.gexf	3	21	1	Small	50	24	2	23	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
2663	Small.50.24.2.23.gexf	5	21	1	Small	50	24	2	23	gexf	16	1.3125	16	1.3125	1.3125	NA
2664	Small.50.24.2.23.gexf	10	21	1	Small	50	24	2	23	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
2666	Small.50.24.5.23.gexf	2	24	1	Small	50	24	5	23	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
2667	Small.50.24.5.23.gexf	3	24	1	Small	50	24	5	23	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
2668	Small.50.24.5.23.gexf	5	24	1	Small	50	24	5	23	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
2669	Small.50.24.5.23.gexf	10	24	1	Small	50	24	5	23	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
2671	Small.100.6.2.23.gexf	2	6	1	Small	100	6	2	23	gexf	4	1.5	4	1.5	1.5	NA
2672	Small.100.6.2.23.gexf	3	6	1	Small	100	6	2	23	gexf	3	2	3	2	2	NA
2673	Small.100.6.2.23.gexf	5	6	1	Small	100	6	2	23	gexf	1	6	1	6	6	NA
2676	Small.100.6.5.23.gexf	2	4	1	Small	100	6	5	23	gexf	2	2	2	2	2	NA
2677	Small.100.6.5.23.gexf	3	4	1	Small	100	6	5	23	gexf	1	4	1	4	4	NA
2681	Small.100.10.2.23.gexf	2	9	1	Small	100	10	2	23	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
2682	Small.100.10.2.23.gexf	3	9	1	Small	100	10	2	23	gexf	6	1.5	6	1.5	1.5	NA
2683	Small.100.10.2.23.gexf	5	9	1	Small	100	10	2	23	gexf	4	2.25	4	2.25	2.25	NA
2686	Small.100.10.5.23.gexf	2	7	1	Small	100	10	5	23	gexf	5	1.4	5	1.4	1.4	NA
2687	Small.100.10.5.23.gexf	3	7	1	Small	100	10	5	23	gexf	4	1.75	4	1.75	1.75	NA
2688	Small.100.10.5.23.gexf	5	7	1	Small	100	10	5	23	gexf	2	3.5	2	3.5	3.5	NA
2691	Small.100.24.2.23.gexf	2	20	1	Small	100	24	2	23	gexf	18	1.11111111111111	18	1.11111111111111	1.11111111111111	NA
2692	Small.100.24.2.23.gexf	3	20	1	Small	100	24	2	23	gexf	17	1.17647058823529	17	1.17647058823529	1.17647058823529	NA
2693	Small.100.24.2.23.gexf	5	20	1	Small	100	24	2	23	gexf	15	1.33333333333333	15	1.33333333333333	1.33333333333333	NA
2694	Small.100.24.2.23.gexf	10	20	1	Small	100	24	2	23	gexf	10	2	10	2	2	NA
2696	Small.100.24.5.23.gexf	2	25	1	Small	100	24	5	23	gexf	23	1.08695652173913	23	1.08695652173913	1.08695652173913	NA
2697	Small.100.24.5.23.gexf	3	25	1	Small	100	24	5	23	gexf	22	1.13636363636364	22	1.13636363636364	1.13636363636364	NA
2698	Small.100.24.5.23.gexf	5	25	1	Small	100	24	5	23	gexf	20	1.25	20	1.25	1.25	NA
2699	Small.100.24.5.23.gexf	10	25	2	Small	100	24	5	23	gexf	15	1.66666666666667	15	1.66666666666667	1.66666666666667	NA
2701	Small.500.6.2.23.gexf	2	5	1	Small	500	6	2	23	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
2702	Small.500.6.2.23.gexf	3	5	1	Small	500	6	2	23	gexf	2	2.5	2	2.5	2.5	NA
2706	Small.500.6.5.23.gexf	2	7	1	Small	500	6	5	23	gexf	5	1.4	5	1.4	1.4	NA
2707	Small.500.6.5.23.gexf	3	7	1	Small	500	6	5	23	gexf	4	1.75	4	1.75	1.75	NA
2708	Small.500.6.5.23.gexf	5	7	1	Small	500	6	5	23	gexf	2	3.5	2	3.5	3.5	NA
2711	Small.500.10.2.23.gexf	2	10	1	Small	500	10	2	23	gexf	8	1.25	8	1.25	1.25	NA
2712	Small.500.10.2.23.gexf	3	10	1	Small	500	10	2	23	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
2713	Small.500.10.2.23.gexf	5	10	1	Small	500	10	2	23	gexf	5	2	5	2	2	NA
2716	Small.500.10.5.23.gexf	2	11	1	Small	500	10	5	23	gexf	9	1.22222222222222	9	1.22222222222222	1.22222222222222	NA
2717	Small.500.10.5.23.gexf	3	11	1	Small	500	10	5	23	gexf	8	1.375	8	1.375	1.375	NA
2718	Small.500.10.5.23.gexf	5	11	1	Small	500	10	5	23	gexf	6	1.83333333333333	6	1.83333333333333	1.83333333333333	NA
2719	Small.500.10.5.23.gexf	10	11	1	Small	500	10	5	23	gexf	1	11	1	11	11	NA
2721	Small.500.24.2.23.gexf	2	23	1	Small	500	24	2	23	gexf	21	1.0952380952381	21	1.0952380952381	1.0952380952381	NA
2722	Small.500.24.2.23.gexf	3	23	1	Small	500	24	2	23	gexf	20	1.15	20	1.15	1.15	NA
2723	Small.500.24.2.23.gexf	5	23	1	Small	500	24	2	23	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
2724	Small.500.24.2.23.gexf	10	23	1	Small	500	24	2	23	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
2726	Small.500.24.5.23.gexf	2	20	1	Small	500	24	5	23	gexf	18	1.11111111111111	18	1.11111111111111	1.11111111111111	NA
2727	Small.500.24.5.23.gexf	3	20	1	Small	500	24	5	23	gexf	17	1.17647058823529	17	1.17647058823529	1.17647058823529	NA
2728	Small.500.24.5.23.gexf	5	20	1	Small	500	24	5	23	gexf	15	1.33333333333333	15	1.33333333333333	1.33333333333333	NA
2729	Small.500.24.5.23.gexf	10	20	1	Small	500	24	5	23	gexf	10	2	10	2	2	NA
2731	Small.1000.6.2.23.gexf	2	4	1	Small	1000	6	2	23	gexf	2	2	2	2	2	NA
2732	Small.1000.6.2.23.gexf	3	4	1	Small	1000	6	2	23	gexf	1	4	1	4	4	NA
2736	Small.1000.6.5.23.gexf	2	4	1	Small	1000	6	5	23	gexf	2	2	2	2	2	NA
2737	Small.1000.6.5.23.gexf	3	4	1	Small	1000	6	5	23	gexf	1	4	1	4	4	NA
2741	Small.1000.10.2.23.gexf	2	10	1	Small	1000	10	2	23	gexf	8	1.25	8	1.25	1.25	NA
2742	Small.1000.10.2.23.gexf	3	10	1	Small	1000	10	2	23	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
2743	Small.1000.10.2.23.gexf	5	10	1	Small	1000	10	2	23	gexf	5	2	5	2	2	NA
2746	Small.1000.10.5.23.gexf	2	9	1	Small	1000	10	5	23	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
2747	Small.1000.10.5.23.gexf	3	9	1	Small	1000	10	5	23	gexf	6	1.5	6	1.5	1.5	NA
2748	Small.1000.10.5.23.gexf	5	9	1	Small	1000	10	5	23	gexf	4	2.25	4	2.25	2.25	NA
2751	Small.1000.24.2.23.gexf	2	22	1	Small	1000	24	2	23	gexf	20	1.1	20	1.1	1.1	NA
2752	Small.1000.24.2.23.gexf	3	22	1	Small	1000	24	2	23	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
2753	Small.1000.24.2.23.gexf	5	22	1	Small	1000	24	2	23	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
2754	Small.1000.24.2.23.gexf	10	22	1	Small	1000	24	2	23	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
2756	Small.1000.24.5.23.gexf	2	20	1	Small	1000	24	5	23	gexf	18	1.11111111111111	18	1.11111111111111	1.11111111111111	NA
2757	Small.1000.24.5.23.gexf	3	20	1	Small	1000	24	5	23	gexf	17	1.17647058823529	17	1.17647058823529	1.17647058823529	NA
2758	Small.1000.24.5.23.gexf	5	20	1	Small	1000	24	5	23	gexf	15	1.33333333333333	15	1.33333333333333	1.33333333333333	NA
2759	Small.1000.24.5.23.gexf	10	20	1	Small	1000	24	5	23	gexf	10	2	10	2	2	NA
2761	Small.50.6.2.24.gexf	2	6	1	Small	50	6	2	24	gexf	4	1.5	4	1.5	1.5	NA
2762	Small.50.6.2.24.gexf	3	6	1	Small	50	6	2	24	gexf	3	2	3	2	2	NA
2763	Small.50.6.2.24.gexf	5	6	1	Small	50	6	2	24	gexf	1	6	1	6	6	NA
2766	Small.50.6.5.24.gexf	2	4	1	Small	50	6	5	24	gexf	2	2	2	2	2	NA
2767	Small.50.6.5.24.gexf	3	4	1	Small	50	6	5	24	gexf	1	4	1	4	4	NA
2771	Small.50.10.2.24.gexf	2	9	1	Small	50	10	2	24	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
2772	Small.50.10.2.24.gexf	3	9	1	Small	50	10	2	24	gexf	6	1.5	6	1.5	1.5	NA
2773	Small.50.10.2.24.gexf	5	9	1	Small	50	10	2	24	gexf	4	2.25	4	2.25	2.25	NA
2776	Small.50.10.5.24.gexf	2	11	1	Small	50	10	5	24	gexf	9	1.22222222222222	9	1.22222222222222	1.22222222222222	NA
2777	Small.50.10.5.24.gexf	3	11	1	Small	50	10	5	24	gexf	8	1.375	8	1.375	1.375	NA
2778	Small.50.10.5.24.gexf	5	11	1	Small	50	10	5	24	gexf	6	1.83333333333333	6	1.83333333333333	1.83333333333333	NA
2779	Small.50.10.5.24.gexf	10	11	1	Small	50	10	5	24	gexf	1	11	1	11	11	NA
2781	Small.50.24.2.24.gexf	2	24	1	Small	50	24	2	24	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
2782	Small.50.24.2.24.gexf	3	24	1	Small	50	24	2	24	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
2783	Small.50.24.2.24.gexf	5	24	1	Small	50	24	2	24	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
2784	Small.50.24.2.24.gexf	10	24	1	Small	50	24	2	24	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
2786	Small.50.24.5.24.gexf	2	25	1	Small	50	24	5	24	gexf	23	1.08695652173913	23	1.08695652173913	1.08695652173913	NA
2787	Small.50.24.5.24.gexf	3	25	1	Small	50	24	5	24	gexf	22	1.13636363636364	22	1.13636363636364	1.13636363636364	NA
2788	Small.50.24.5.24.gexf	5	25	1	Small	50	24	5	24	gexf	20	1.25	20	1.25	1.25	NA
2789	Small.50.24.5.24.gexf	10	25	2	Small	50	24	5	24	gexf	15	1.66666666666667	15	1.66666666666667	1.66666666666667	NA
2791	Small.100.6.2.24.gexf	2	6	1	Small	100	6	2	24	gexf	4	1.5	4	1.5	1.5	NA
2792	Small.100.6.2.24.gexf	3	6	1	Small	100	6	2	24	gexf	3	2	3	2	2	NA
2793	Small.100.6.2.24.gexf	5	6	1	Small	100	6	2	24	gexf	1	6	1	6	6	NA
2796	Small.100.6.5.24.gexf	2	6	1	Small	100	6	5	24	gexf	4	1.5	4	1.5	1.5	NA
2797	Small.100.6.5.24.gexf	3	6	1	Small	100	6	5	24	gexf	3	2	3	2	2	NA
2798	Small.100.6.5.24.gexf	5	6	1	Small	100	6	5	24	gexf	1	6	1	6	6	NA
2801	Small.100.10.2.24.gexf	2	7	1	Small	100	10	2	24	gexf	5	1.4	5	1.4	1.4	NA
2802	Small.100.10.2.24.gexf	3	7	1	Small	100	10	2	24	gexf	4	1.75	4	1.75	1.75	NA
2803	Small.100.10.2.24.gexf	5	7	1	Small	100	10	2	24	gexf	2	3.5	2	3.5	3.5	NA
2806	Small.100.10.5.24.gexf	2	9	1	Small	100	10	5	24	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
2807	Small.100.10.5.24.gexf	3	9	1	Small	100	10	5	24	gexf	6	1.5	6	1.5	1.5	NA
2808	Small.100.10.5.24.gexf	5	9	1	Small	100	10	5	24	gexf	4	2.25	4	2.25	2.25	NA
2811	Small.100.24.2.24.gexf	2	23	1	Small	100	24	2	24	gexf	21	1.0952380952381	21	1.0952380952381	1.0952380952381	NA
2812	Small.100.24.2.24.gexf	3	23	1	Small	100	24	2	24	gexf	20	1.15	20	1.15	1.15	NA
2813	Small.100.24.2.24.gexf	5	23	1	Small	100	24	2	24	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
2814	Small.100.24.2.24.gexf	10	23	1	Small	100	24	2	24	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
2816	Small.100.24.5.24.gexf	2	21	1	Small	100	24	5	24	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
2817	Small.100.24.5.24.gexf	3	21	1	Small	100	24	5	24	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
2818	Small.100.24.5.24.gexf	5	21	1	Small	100	24	5	24	gexf	16	1.3125	16	1.3125	1.3125	NA
2819	Small.100.24.5.24.gexf	10	21	1	Small	100	24	5	24	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
2821	Small.500.6.2.24.gexf	2	7	1	Small	500	6	2	24	gexf	5	1.4	5	1.4	1.4	NA
2822	Small.500.6.2.24.gexf	3	7	1	Small	500	6	2	24	gexf	4	1.75	4	1.75	1.75	NA
2823	Small.500.6.2.24.gexf	5	7	1	Small	500	6	2	24	gexf	2	3.5	2	3.5	3.5	NA
2826	Small.500.6.5.24.gexf	2	7	1	Small	500	6	5	24	gexf	5	1.4	5	1.4	1.4	NA
2827	Small.500.6.5.24.gexf	3	7	1	Small	500	6	5	24	gexf	4	1.75	4	1.75	1.75	NA
2828	Small.500.6.5.24.gexf	5	7	1	Small	500	6	5	24	gexf	2	3.5	2	3.5	3.5	NA
2831	Small.500.10.2.24.gexf	2	9	1	Small	500	10	2	24	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
2832	Small.500.10.2.24.gexf	3	9	1	Small	500	10	2	24	gexf	6	1.5	6	1.5	1.5	NA
2833	Small.500.10.2.24.gexf	5	9	1	Small	500	10	2	24	gexf	4	2.25	4	2.25	2.25	NA
2836	Small.500.10.5.24.gexf	2	6	1	Small	500	10	5	24	gexf	4	1.5	4	1.5	1.5	NA
2837	Small.500.10.5.24.gexf	3	6	1	Small	500	10	5	24	gexf	3	2	3	2	2	NA
2838	Small.500.10.5.24.gexf	5	6	1	Small	500	10	5	24	gexf	1	6	1	6	6	NA
2841	Small.500.24.2.24.gexf	2	24	1	Small	500	24	2	24	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
2842	Small.500.24.2.24.gexf	3	24	1	Small	500	24	2	24	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
2843	Small.500.24.2.24.gexf	5	24	1	Small	500	24	2	24	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
2844	Small.500.24.2.24.gexf	10	24	1	Small	500	24	2	24	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
2846	Small.500.24.5.24.gexf	2	21	1	Small	500	24	5	24	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
2847	Small.500.24.5.24.gexf	3	21	1	Small	500	24	5	24	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
2848	Small.500.24.5.24.gexf	5	21	1	Small	500	24	5	24	gexf	16	1.3125	16	1.3125	1.3125	NA
2849	Small.500.24.5.24.gexf	10	21	1	Small	500	24	5	24	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
2851	Small.1000.6.2.24.gexf	2	5	1	Small	1000	6	2	24	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
2852	Small.1000.6.2.24.gexf	3	5	1	Small	1000	6	2	24	gexf	2	2.5	2	2.5	2.5	NA
2856	Small.1000.6.5.24.gexf	2	5	1	Small	1000	6	5	24	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
2857	Small.1000.6.5.24.gexf	3	5	1	Small	1000	6	5	24	gexf	2	2.5	2	2.5	2.5	NA
2861	Small.1000.10.2.24.gexf	2	8	1	Small	1000	10	2	24	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
2862	Small.1000.10.2.24.gexf	3	8	1	Small	1000	10	2	24	gexf	5	1.6	5	1.6	1.6	NA
2863	Small.1000.10.2.24.gexf	5	8	1	Small	1000	10	2	24	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
2866	Small.1000.10.5.24.gexf	2	7	1	Small	1000	10	5	24	gexf	5	1.4	5	1.4	1.4	NA
2867	Small.1000.10.5.24.gexf	3	7	1	Small	1000	10	5	24	gexf	4	1.75	4	1.75	1.75	NA
2868	Small.1000.10.5.24.gexf	5	7	1	Small	1000	10	5	24	gexf	2	3.5	2	3.5	3.5	NA
2871	Small.1000.24.2.24.gexf	2	25	1	Small	1000	24	2	24	gexf	23	1.08695652173913	23	1.08695652173913	1.08695652173913	NA
2872	Small.1000.24.2.24.gexf	3	25	1	Small	1000	24	2	24	gexf	22	1.13636363636364	22	1.13636363636364	1.13636363636364	NA
2873	Small.1000.24.2.24.gexf	5	25	1	Small	1000	24	2	24	gexf	20	1.25	20	1.25	1.25	NA
2874	Small.1000.24.2.24.gexf	10	25	2	Small	1000	24	2	24	gexf	15	1.66666666666667	15	1.66666666666667	1.66666666666667	NA
2876	Small.1000.24.5.24.gexf	2	20	1	Small	1000	24	5	24	gexf	18	1.11111111111111	18	1.11111111111111	1.11111111111111	NA
2877	Small.1000.24.5.24.gexf	3	20	1	Small	1000	24	5	24	gexf	17	1.17647058823529	17	1.17647058823529	1.17647058823529	NA
2878	Small.1000.24.5.24.gexf	5	20	1	Small	1000	24	5	24	gexf	15	1.33333333333333	15	1.33333333333333	1.33333333333333	NA
2879	Small.1000.24.5.24.gexf	10	20	1	Small	1000	24	5	24	gexf	10	2	10	2	2	NA
2881	Small.50.6.2.25.gexf	2	5	1	Small	50	6	2	25	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
2882	Small.50.6.2.25.gexf	3	5	1	Small	50	6	2	25	gexf	2	2.5	2	2.5	2.5	NA
2886	Small.50.6.5.25.gexf	2	4	1	Small	50	6	5	25	gexf	2	2	2	2	2	NA
2887	Small.50.6.5.25.gexf	3	4	1	Small	50	6	5	25	gexf	1	4	1	4	4	NA
2891	Small.50.10.2.25.gexf	2	8	1	Small	50	10	2	25	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
2892	Small.50.10.2.25.gexf	3	8	1	Small	50	10	2	25	gexf	5	1.6	5	1.6	1.6	NA
2893	Small.50.10.2.25.gexf	5	8	1	Small	50	10	2	25	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
2896	Small.50.10.5.25.gexf	2	9	1	Small	50	10	5	25	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
2897	Small.50.10.5.25.gexf	3	9	1	Small	50	10	5	25	gexf	6	1.5	6	1.5	1.5	NA
2898	Small.50.10.5.25.gexf	5	9	1	Small	50	10	5	25	gexf	4	2.25	4	2.25	2.25	NA
2901	Small.50.24.2.25.gexf	2	24	1	Small	50	24	2	25	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
2902	Small.50.24.2.25.gexf	3	24	1	Small	50	24	2	25	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
2903	Small.50.24.2.25.gexf	5	24	1	Small	50	24	2	25	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
2904	Small.50.24.2.25.gexf	10	24	1	Small	50	24	2	25	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
2906	Small.50.24.5.25.gexf	2	24	1	Small	50	24	5	25	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
2907	Small.50.24.5.25.gexf	3	24	1	Small	50	24	5	25	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
2908	Small.50.24.5.25.gexf	5	24	1	Small	50	24	5	25	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
2909	Small.50.24.5.25.gexf	10	24	1	Small	50	24	5	25	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
2911	Small.100.6.2.25.gexf	2	5	1	Small	100	6	2	25	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
2912	Small.100.6.2.25.gexf	3	5	1	Small	100	6	2	25	gexf	2	2.5	2	2.5	2.5	NA
2916	Small.100.6.5.25.gexf	2	5	1	Small	100	6	5	25	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
2917	Small.100.6.5.25.gexf	3	5	1	Small	100	6	5	25	gexf	2	2.5	2	2.5	2.5	NA
2921	Small.100.10.2.25.gexf	2	10	1	Small	100	10	2	25	gexf	8	1.25	8	1.25	1.25	NA
2922	Small.100.10.2.25.gexf	3	10	1	Small	100	10	2	25	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
2923	Small.100.10.2.25.gexf	5	10	1	Small	100	10	2	25	gexf	5	2	5	2	2	NA
2926	Small.100.10.5.25.gexf	2	8	1	Small	100	10	5	25	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
2927	Small.100.10.5.25.gexf	3	8	1	Small	100	10	5	25	gexf	5	1.6	5	1.6	1.6	NA
2928	Small.100.10.5.25.gexf	5	8	1	Small	100	10	5	25	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
2931	Small.100.24.2.25.gexf	2	26	1	Small	100	24	2	25	gexf	24	1.08333333333333	24	1.08333333333333	1.08333333333333	NA
2932	Small.100.24.2.25.gexf	3	26	1	Small	100	24	2	25	gexf	23	1.1304347826087	23	1.1304347826087	1.1304347826087	NA
2933	Small.100.24.2.25.gexf	5	26	1	Small	100	24	2	25	gexf	21	1.23809523809524	21	1.23809523809524	1.23809523809524	NA
2934	Small.100.24.2.25.gexf	10	26	1	Small	100	24	2	25	gexf	16	1.625	16	1.625	1.625	NA
2936	Small.100.24.5.25.gexf	2	24	1	Small	100	24	5	25	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
2937	Small.100.24.5.25.gexf	3	24	1	Small	100	24	5	25	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
2938	Small.100.24.5.25.gexf	5	24	1	Small	100	24	5	25	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
2939	Small.100.24.5.25.gexf	10	24	1	Small	100	24	5	25	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
2941	Small.500.6.2.25.gexf	2	5	1	Small	500	6	2	25	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
2942	Small.500.6.2.25.gexf	3	5	1	Small	500	6	2	25	gexf	2	2.5	2	2.5	2.5	NA
2946	Small.500.6.5.25.gexf	2	5	1	Small	500	6	5	25	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
2947	Small.500.6.5.25.gexf	3	5	1	Small	500	6	5	25	gexf	2	2.5	2	2.5	2.5	NA
2951	Small.500.10.2.25.gexf	2	9	1	Small	500	10	2	25	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
2952	Small.500.10.2.25.gexf	3	9	1	Small	500	10	2	25	gexf	6	1.5	6	1.5	1.5	NA
2953	Small.500.10.2.25.gexf	5	9	1	Small	500	10	2	25	gexf	4	2.25	4	2.25	2.25	NA
2956	Small.500.10.5.25.gexf	2	9	1	Small	500	10	5	25	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
2957	Small.500.10.5.25.gexf	3	9	1	Small	500	10	5	25	gexf	6	1.5	6	1.5	1.5	NA
2958	Small.500.10.5.25.gexf	5	9	1	Small	500	10	5	25	gexf	4	2.25	4	2.25	2.25	NA
2961	Small.500.24.2.25.gexf	2	21	1	Small	500	24	2	25	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
2962	Small.500.24.2.25.gexf	3	21	1	Small	500	24	2	25	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
2963	Small.500.24.2.25.gexf	5	21	1	Small	500	24	2	25	gexf	16	1.3125	16	1.3125	1.3125	NA
2964	Small.500.24.2.25.gexf	10	21	1	Small	500	24	2	25	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
2966	Small.500.24.5.25.gexf	2	22	1	Small	500	24	5	25	gexf	20	1.1	20	1.1	1.1	NA
2967	Small.500.24.5.25.gexf	3	22	1	Small	500	24	5	25	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
2968	Small.500.24.5.25.gexf	5	22	1	Small	500	24	5	25	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
2969	Small.500.24.5.25.gexf	10	22	1	Small	500	24	5	25	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
2971	Small.1000.6.2.25.gexf	2	5	1	Small	1000	6	2	25	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
2972	Small.1000.6.2.25.gexf	3	5	1	Small	1000	6	2	25	gexf	2	2.5	2	2.5	2.5	NA
2976	Small.1000.6.5.25.gexf	2	4	1	Small	1000	6	5	25	gexf	2	2	2	2	2	NA
2977	Small.1000.6.5.25.gexf	3	4	1	Small	1000	6	5	25	gexf	1	4	1	4	4	NA
2981	Small.1000.10.2.25.gexf	2	9	1	Small	1000	10	2	25	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
2982	Small.1000.10.2.25.gexf	3	9	1	Small	1000	10	2	25	gexf	6	1.5	6	1.5	1.5	NA
2983	Small.1000.10.2.25.gexf	5	9	1	Small	1000	10	2	25	gexf	4	2.25	4	2.25	2.25	NA
