path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4,k:5
Rand.Uni.50.10.2.gexf,5,10.065049541384731,1,Rand,Uni,50,10,2,gexf
Rand.Uni.50.10.2.gexf,10,9.969830244776201,4,Rand,Uni,50,10,2,gexf
Rand.Uni.50.10.2.gexf,50,F,F,Rand,Uni,50,10,2,gexf
Rand.Uni.50.25.2.gexf,2,15.808432384543796,1,Rand,Uni,50,25,2,gexf
Rand.Uni.50.25.2.gexf,3,15.808432384543796,1,Rand,Uni,50,25,2,gexf
Rand.Uni.50.25.2.gexf,5,15.808432384543796,1,Rand,Uni,50,25,2,gexf
Rand.Uni.50.25.2.gexf,10,15.808432384543796,1,Rand,Uni,50,25,2,gexf
Rand.Uni.50.25.2.gexf,50,F,F,Rand,Uni,50,25,2,gexf
Rand.Uni.100.5.2.gexf,2,3.208296738476842,1,Rand,Uni,100,5,2,gexf
Rand.Uni.100.5.2.gexf,3,3.1373341219010675,2,Rand,Uni,100,5,2,gexf
Rand.Uni.100.5.2.gexf,5,2.6500771847243714,6,Rand,Uni,100,5,2,gexf
Rand.Uni.100.5.2.gexf,10,F,F,Rand,Uni,100,5,2,gexf
Rand.Uni.100.5.2.gexf,50,F,F,Rand,Uni,100,5,2,gexf
Rand.Uni.100.10.2.gexf,2,8.162833114575713,1,Rand,Uni,100,10,2,gexf
Rand.Uni.100.10.2.gexf,3,8.162833114575713,1,Rand,Uni,100,10,2,gexf
Rand.Uni.100.10.2.gexf,5,8.162833114575713,1,Rand,Uni,100,10,2,gexf
Rand.Uni.100.10.2.gexf,10,6.259155172182364,7,Rand,Uni,100,10,2,gexf
Rand.Uni.100.10.2.gexf,50,F,F,Rand,Uni,100,10,2,gexf
Rand.Uni.100.25.2.gexf,2,19.010980732475627,1,Rand,Uni,100,25,2,gexf
Rand.Uni.100.25.2.gexf,3,19.010980732475627,1,Rand,Uni,100,25,2,gexf
Rand.Uni.100.25.2.gexf,5,19.010980732475627,1,Rand,Uni,100,25,2,gexf
Rand.Uni.100.25.2.gexf,10,19.010980732475627,1,Rand,Uni,100,25,2,gexf
Rand.Uni.100.25.2.gexf,50,F,F,Rand,Uni,100,25,2,gexf
Rand.Uni.500.5.2.gexf,2,7.6847652444047005,1,Rand,Uni,500,5,2,gexf
Rand.Uni.500.5.2.gexf,3,7.6847652444047005,1,Rand,Uni,500,5,2,gexf
Rand.Uni.500.5.2.gexf,5,7.6847652444047005,1,Rand,Uni,500,5,2,gexf
Rand.Uni.500.5.2.gexf,10,6.5485349265147645,8,Rand,Uni,500,5,2,gexf
Rand.Uni.500.5.2.gexf,50,F,F,Rand,Uni,500,5,2,gexf
Rand.Uni.500.10.2.gexf,2,11.14205586958128,1,Rand,Uni,500,10,2,gexf
Rand.Uni.500.10.2.gexf,3,11.14205586958128,1,Rand,Uni,500,10,2,gexf
Rand.Uni.500.10.2.gexf,5,11.14205586958128,1,Rand,Uni,500,10,2,gexf
Rand.Uni.500.10.2.gexf,10,11.14205586958128,1,Rand,Uni,500,10,2,gexf
Rand.Uni.500.10.2.gexf,50,F,F,Rand,Uni,500,10,2,gexf
Rand.Uni.500.25.2.gexf,2,19.76302683881293,1,Rand,Uni,500,25,2,gexf
Rand.Uni.500.25.2.gexf,3,19.76302683881293,1,Rand,Uni,500,25,2,gexf
Rand.Uni.500.25.2.gexf,5,19.76302683881293,1,Rand,Uni,500,25,2,gexf
Rand.Uni.500.25.2.gexf,10,19.76302683881293,1,Rand,Uni,500,25,2,gexf
Rand.Uni.500.25.2.gexf,50,F,F,Rand,Uni,500,25,2,gexf
Rand.Uni.1000.5.2.gexf,2,4.428929180059671,1,Rand,Uni,1000,5,2,gexf
Rand.Uni.1000.5.2.gexf,3,4.428929180059671,1,Rand,Uni,1000,5,2,gexf
Rand.Uni.1000.5.2.gexf,5,4.157433842379317,2,Rand,Uni,1000,5,2,gexf
Rand.Uni.1000.5.2.gexf,10,F,F,Rand,Uni,1000,5,2,gexf
Rand.Uni.1000.5.2.gexf,50,F,F,Rand,Uni,1000,5,2,gexf
Rand.Uni.1000.10.2.gexf,2,9.90875472016985,1,Rand,Uni,1000,10,2,gexf
Rand.Uni.1000.10.2.gexf,3,9.90875472016985,1,Rand,Uni,1000,10,2,gexf
Rand.Uni.1000.10.2.gexf,5,9.90875472016985,1,Rand,Uni,1000,10,2,gexf
Rand.Uni.1000.10.2.gexf,10,9.737140150434278,3,Rand,Uni,1000,10,2,gexf
Rand.Uni.1000.10.2.gexf,50,F,F,Rand,Uni,1000,10,2,gexf
Rand.Uni.1000.25.2.gexf,2,25.601894075845216,1,Rand,Uni,1000,25,2,gexf
Rand.Uni.1000.25.2.gexf,3,25.601894075845216,1,Rand,Uni,1000,25,2,gexf
Rand.Uni.1000.25.2.gexf,5,25.601894075845216,1,Rand,Uni,1000,25,2,gexf
Rand.Uni.1000.25.2.gexf,10,25.601894075845216,1,Rand,Uni,1000,25,2,gexf
Rand.Uni.1000.25.2.gexf,50,4.531402697650703,49,Rand,Uni,1000,25,2,gexf
Rand.Uni.50.5.3.gexf,2,6.275559635946222,1,Rand,Uni,50,5,3,gexf
Rand.Uni.50.5.3.gexf,3,6.275559635946222,1,Rand,Uni,50,5,3,gexf
Rand.Uni.50.5.3.gexf,5,6.275559635946222,1,Rand,Uni,50,5,3,gexf
Rand.Uni.50.5.3.gexf,10,F,F,Rand,Uni,50,5,3,gexf
Rand.Uni.50.5.3.gexf,50,F,F,Rand,Uni,50,5,3,gexf
Rand.Uni.50.10.3.gexf,2,6.998124953887475,1,Rand,Uni,50,10,3,gexf
Rand.Uni.50.10.3.gexf,3,6.998124953887475,1,Rand,Uni,50,10,3,gexf
Rand.Uni.50.10.3.gexf,5,6.998124953887475,1,Rand,Uni,50,10,3,gexf
