construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4
cut,cap,first,R-MAT.100.5.1.gexf,100,419,2,1,"[15, 15, 15, 15]",21.0,16.0,17.0,16.0,1318,1,0,0,0,"[21.0, 17.0, 16.0]",R-MAT,100,5,1,gexf
cut,cap,first,R-MAT.100.5.1.gexf,100,419,3,2,"[15, 15, 15, 15]",21.0,14.0,15.0,14.0,1335,1,0,0,0,"[21.0, 15.0, 14.0]",R-MAT,100,5,1,gexf
cut,cap,first,R-MAT.100.5.1.gexf,100,419,5,3,"[15, 15, 15, 15]",21.0,10.0,12.0,10.0,1545,1,0,0,0,"[21.0, 12.0, 10.0]",R-MAT,100,5,1,gexf
cut,cap,first,R-MAT.100.5.1.gexf,100,419,10,4,"[15, 15, 15, 15]",21.0,7.0,7.0,inf,2366,0,0,0,0,"[21.0, 7.0]",R-MAT,100,5,1,gexf
cut,cap,first,R-MAT.100.5.1.gexf,100,F,50,5,"[15, 15, 15, 15]",F,F,F,F,F,F,F,F,F,F,R-MAT,100,5,1,gexf
cut,cap,first,R-MAT.100.10.1.gexf,100,719,2,1,"[26, 26, 26, 26]",54.0,45.0,45.0,inf,451,0,0,0,0,"[54.0, 45.0]",R-MAT,100,10,1,gexf
cut,cap,first,R-MAT.100.10.1.gexf,100,719,3,2,"[26, 26, 26, 26]",54.0,41.0,41.0,inf,458,0,0,0,0,"[54.0, 41.0]",R-MAT,100,10,1,gexf
cut,cap,first,R-MAT.100.10.1.gexf,100,719,5,3,"[26, 26, 26, 26]",54.0,33.0,33.0,inf,503,0,0,0,0,"[54.0, 33.0]",R-MAT,100,10,1,gexf
cut,cap,first,R-MAT.100.10.1.gexf,100,719,10,4,"[26, 26, 26, 26]",54.0,22.0,22.0,inf,955,0,0,0,0,"[54.0, 22.0]",R-MAT,100,10,1,gexf
cut,cap,first,R-MAT.100.10.1.gexf,100,F,50,5,"[26, 26, 26, 26]",F,F,F,F,F,F,F,F,F,F,R-MAT,100,10,1,gexf
cut,cap,first,R-MAT.100.25.1.gexf,100,1402,2,1,"[40, 40, 40, 40]",118.0,95.0,95.0,inf,143,0,0,0,0,"[118.0, 95.0]",R-MAT,100,25,1,gexf
cut,cap,first,R-MAT.100.25.1.gexf,100,1402,3,2,"[40, 40, 40, 40]",118.0,88.0,88.0,inf,186,0,0,0,0,"[118.0, 88.0]",R-MAT,100,25,1,gexf
cut,cap,first,R-MAT.100.25.1.gexf,100,1402,5,3,"[40, 40, 40, 40]",118.0,75.0,75.0,inf,191,0,0,0,0,"[118.0, 75.0]",R-MAT,100,25,1,gexf
cut,cap,first,R-MAT.100.25.1.gexf,100,1402,10,4,"[40, 40, 40, 40]",118.0,52.0,52.0,inf,350,0,0,0,0,"[118.0, 52.0]",R-MAT,100,25,1,gexf
cut,cap,first,R-MAT.100.25.1.gexf,100,F,50,5,"[40, 40, 40, 40]",F,F,F,F,F,F,F,F,F,F,R-MAT,100,25,1,gexf
cut,cap,first,R-MAT.100.5.2.gexf,100,423,2,1,"[14, 14, 14, 14]",19.0,13.0,14.0,13.0,1021,1,0,0,0,"[19.0, 14.0, 13.0]",R-MAT,100,5,2,gexf
cut,cap,first,R-MAT.100.5.2.gexf,100,423,3,2,"[14, 14, 14, 14]",19.0,11.0,13.0,11.0,1385,1,0,0,0,"[19.0, 13.0, 11.0]",R-MAT,100,5,2,gexf
cut,cap,first,R-MAT.100.5.2.gexf,100,423,5,3,"[14, 14, 14, 14]",19.0,9.0,11.0,9.0,2234,2,0,0,0,"[19.0, 11.0, 10.0, 9.0]",R-MAT,100,5,2,gexf
cut,cap,first,R-MAT.100.5.2.gexf,100,423,10,4,"[14, 14, 14, 14]",19.0,5.0,6.0,5.0,2353,1,0,0,0,"[19.0, 6.0, 5.0]",R-MAT,100,5,2,gexf
cut,cap,first,R-MAT.100.5.2.gexf,100,F,50,5,"[14, 14, 14, 14]",F,F,F,F,F,F,F,F,F,F,R-MAT,100,5,2,gexf
cut,cap,first,R-MAT.100.10.2.gexf,100,729,2,1,"[21, 21, 21, 21]",41.0,29.0,29.0,inf,476,0,0,0,0,"[41.0, 29.0]",R-MAT,100,10,2,gexf
