path	k	max.multirute.flow	iterations	k.0	n	multiple	ex	k.4	small_1	constant1	rmat_2	constant2	best.constant	best.alg
449	R-MAT.100.25.8.gexf	10	107.8	3	R-MAT	100	25	8	gexf	41	2.62926829268293	41	2.62926829268293	2.62926829268293	NA
451	R-MAT.500.5.8.gexf	2	49	1	R-MAT	500	5	8	gexf	41	1.19512195121951	41	1.19512195121951	1.19512195121951	NA
452	R-MAT.500.5.8.gexf	3	49	1	R-MAT	500	5	8	gexf	38	1.28947368421053	38	1.28947368421053	1.28947368421053	NA
453	R-MAT.500.5.8.gexf	5	49	1	R-MAT	500	5	8	gexf	34	1.44117647058824	34	1.44117647058824	1.44117647058824	NA
454	R-MAT.500.5.8.gexf	10	49	1	R-MAT	500	5	8	gexf	25	1.96	25	1.96	1.96	NA
456	R-MAT.500.10.8.gexf	2	104	1	R-MAT	500	10	8	gexf	88	1.18181818181818	88	1.18181818181818	1.18181818181818	NA
457	R-MAT.500.10.8.gexf	3	104	1	R-MAT	500	10	8	gexf	83	1.25301204819277	83	1.25301204819277	1.25301204819277	NA
458	R-MAT.500.10.8.gexf	5	104	1	R-MAT	500	10	8	gexf	74	1.40540540540541	74	1.40540540540541	1.40540540540541	NA
459	R-MAT.500.10.8.gexf	10	104	1	R-MAT	500	10	8	gexf	62	1.67741935483871	62	1.67741935483871	1.67741935483871	NA
460	R-MAT.500.10.8.gexf	50	73.6666666666666	17	R-MAT	500	10	8	gexf	17	4.33333333333333	17	4.33333333333333	4.33333333333333	NA
461	R-MAT.500.25.8.gexf	2	245	1	R-MAT	500	25	8	gexf	203	1.20689655172414	203	1.20689655172414	1.20689655172414	NA
462	R-MAT.500.25.8.gexf	3	245	1	R-MAT	500	25	8	gexf	194	1.26288659793814	194	1.26288659793814	1.26288659793814	NA
463	R-MAT.500.25.8.gexf	5	245	1	R-MAT	500	25	8	gexf	180	1.36111111111111	180	1.36111111111111	1.36111111111111	NA
464	R-MAT.500.25.8.gexf	10	239.8	2	R-MAT	500	25	8	gexf	156	1.53717948717949	156	1.53717948717949	1.53717948717949	NA
465	R-MAT.500.25.8.gexf	50	193.8	12	R-MAT	500	25	8	gexf	72	2.69166666666667	72	2.69166666666667	2.69166666666667	NA
466	R-MAT.1000.5.8.gexf	2	75	1	R-MAT	1000	5	8	gexf	66	1.13636363636364	66	1.13636363636364	1.13636363636364	NA
467	R-MAT.1000.5.8.gexf	3	75	1	R-MAT	1000	5	8	gexf	63	1.19047619047619	63	1.19047619047619	1.19047619047619	NA
468	R-MAT.1000.5.8.gexf	5	75	1	R-MAT	1000	5	8	gexf	59	1.27118644067797	59	1.27118644067797	1.27118644067797	NA
469	R-MAT.1000.5.8.gexf	10	75	1	R-MAT	1000	5	8	gexf	49	1.53061224489796	49	1.53061224489796	1.53061224489796	NA
470	R-MAT.1000.5.8.gexf	50	59.925	12	R-MAT	1000	5	8	gexf	8	7.490625	8	7.490625	7.490625	NA
471	R-MAT.1000.10.8.gexf	2	154	1	R-MAT	1000	10	8	gexf	135	1.14074074074074	135	1.14074074074074	1.14074074074074	NA
472	R-MAT.1000.10.8.gexf	3	154	1	R-MAT	1000	10	8	gexf	129	1.1937984496124	129	1.1937984496124	1.1937984496124	NA
473	R-MAT.1000.10.8.gexf	5	154	1	R-MAT	1000	10	8	gexf	121	1.27272727272727	121	1.27272727272727	1.27272727272727	NA
474	R-MAT.1000.10.8.gexf	10	154	1	R-MAT	1000	10	8	gexf	104	1.48076923076923	104	1.48076923076923	1.48076923076923	NA
475	R-MAT.1000.10.8.gexf	50	128.153846153846	13	R-MAT	1000	10	8	gexf	51	2.51282051282051	51	2.51282051282051	2.51282051282051	NA
476	R-MAT.1000.25.8.gexf	2	361	1	R-MAT	1000	25	8	gexf	335	1.07761194029851	335	1.07761194029851	1.07761194029851	NA
477	R-MAT.1000.25.8.gexf	3	361	1	R-MAT	1000	25	8	gexf	324	1.1141975308642	324	1.1141975308642	1.1141975308642	NA
478	R-MAT.1000.25.8.gexf	5	361	1	R-MAT	1000	25	8	gexf	305	1.18360655737705	305	1.18360655737705	1.18360655737705	NA
479	R-MAT.1000.25.8.gexf	10	361	1	R-MAT	1000	25	8	gexf	275	1.31272727272727	275	1.31272727272727	1.31272727272727	NA
480	R-MAT.1000.25.8.gexf	50	336.136363636364	8	R-MAT	1000	25	8	gexf	165	2.03719008264463	165	2.03719008264463	2.03719008264463	NA
481	R-MAT.50.5.9.gexf	2	10	1	R-MAT	50	5	9	gexf	6	1.66666666666667	6	1.66666666666667	1.66666666666667	NA
482	R-MAT.50.5.9.gexf	3	10	1	R-MAT	50	5	9	gexf	5	2	5	2	2	NA
483	R-MAT.50.5.9.gexf	5	9	3	R-MAT	50	5	9	gexf	3	3	3	3	3	NA
486	R-MAT.50.10.9.gexf	2	38	1	R-MAT	50	10	9	gexf	26	1.46153846153846	26	1.46153846153846	1.46153846153846	NA
487	R-MAT.50.10.9.gexf	3	38	1	R-MAT	50	10	9	gexf	23	1.65217391304348	23	1.65217391304348	1.65217391304348	NA
488	R-MAT.50.10.9.gexf	5	36	2	R-MAT	50	10	9	gexf	17	2.11764705882353	17	2.11764705882353	2.11764705882353	NA
489	R-MAT.50.10.9.gexf	10	31.1666666666667	6	R-MAT	50	10	9	gexf	8	3.89583333333333	7	4.45238095238095	4.45238095238095	2
491	R-MAT.50.25.9.gexf	2	66	1	R-MAT	50	25	9	gexf	49	1.3469387755102	49	1.3469387755102	1.3469387755102	NA
492	R-MAT.50.25.9.gexf	3	66	1	R-MAT	50	25	9	gexf	43	1.53488372093023	43	1.53488372093023	1.53488372093023	NA
493	R-MAT.50.25.9.gexf	5	66	1	R-MAT	50	25	9	gexf	33	2	33	2	2	NA
