construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4,k:5
cut,cap,first,Rand.Uni.500.25.2.gexf,500,12500,3,2,"[39, 39, 39, 39]",19.76302683881294,17.102768599111393,17.102768599111393,inf,36,0,0,0,0,"[19.76302683881294, 17.102768599111393]",Rand,Uni,500,25,2,gexf
cut,cap,first,Rand.Uni.500.25.2.gexf,500,12500,5,3,"[39, 39, 39, 39]",19.76302683881294,15.368244961093188,15.368244961093188,inf,36,0,0,0,0,"[19.76302683881294, 15.368244961093188]",Rand,Uni,500,25,2,gexf
cut,cap,first,Rand.Uni.500.25.2.gexf,500,12500,10,4,"[39, 39, 39, 39]",19.76302683881294,11.355699273645614,11.355699273645614,inf,23,0,0,0,0,"[19.76302683881294, 11.355699273645614]",Rand,Uni,500,25,2,gexf
cut,cap,first,Rand.Uni.500.25.2.gexf,500,F,50,5,"[39, 39, 39, 39]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,25,2,gexf
cut,cap,first,Rand.Uni.500.5.3.gexf,500,2500,2,1,"[7, 7, 7, 7]",3.6192452183137345,1.9578505614985784,1.9578505614985784,inf,167,0,0,0,0,"[3.6192452183137345, 1.9578505614985784]",Rand,Uni,500,5,3,gexf
cut,cap,first,Rand.Uni.500.5.3.gexf,500,2500,3,2,"[7, 7, 7, 7]",3.6192452183137345,1.5430455651457184,1.5430455651457184,inf,169,0,0,0,0,"[3.6192452183137345, 1.5430455651457184]",Rand,Uni,500,5,3,gexf
cut,cap,first,Rand.Uni.500.5.3.gexf,500,2500,5,3,"[7, 7, 7, 7]",3.6192452183137345,0.7895626401337181,0.7895626401337181,inf,382,0,0,0,0,"[3.6192452183137345, 0.7895626401337181]",Rand,Uni,500,5,3,gexf
cut,cap,first,Rand.Uni.500.5.3.gexf,500,F,10,4,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,3,gexf
cut,cap,first,Rand.Uni.500.5.3.gexf,500,F,50,5,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,3,gexf
cut,cap,first,Rand.Uni.500.10.3.gexf,500,5000,2,1,"[20, 20, 20, 20]",8.51857576191261,6.713153643458105,6.713153643458105,inf,56,0,0,0,0,"[8.51857576191261, 6.713153643458105]",Rand,Uni,500,10,3,gexf
cut,cap,first,Rand.Uni.500.10.3.gexf,500,5000,3,2,"[20, 20, 20, 20]",8.51857576191261,5.957105542844332,5.957105542844332,inf,37,0,0,0,0,"[8.51857576191261, 5.957105542844332]",Rand,Uni,500,10,3,gexf
cut,cap,first,Rand.Uni.500.10.3.gexf,500,5000,5,3,"[20, 20, 20, 20]",8.51857576191261,4.627335683450689,4.627335683450689,inf,70,0,0,0,0,"[8.51857576191261, 4.627335683450689]",Rand,Uni,500,10,3,gexf
cut,cap,first,Rand.Uni.500.10.3.gexf,500,5000,10,4,"[20, 20, 20, 20]",8.51857576191261,1.7840092225334891,1.7840092225334891,inf,91,0,0,0,0,"[8.51857576191261, 1.7840092225334891]",Rand,Uni,500,10,3,gexf
cut,cap,first,Rand.Uni.500.10.3.gexf,500,F,50,5,"[20, 20, 20, 20]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,10,3,gexf
cut,cap,first,Rand.Uni.500.25.3.gexf,500,12500,2,1,"[43, 43, 43, 43]",19.452987986046068,17.532229641842147,17.532229641842147,inf,20,0,0,0,0,"[19.452987986046068, 17.532229641842147]",Rand,Uni,500,25,3,gexf
cut,cap,first,Rand.Uni.500.25.3.gexf,500,12500,3,2,"[43, 43, 43, 43]",19.452987986046068,16.62886163654304,16.62886163654304,inf,36,0,0,0,0,"[19.452987986046068, 16.62886163654304]",Rand,Uni,500,25,3,gexf
cut,cap,first,Rand.Uni.500.25.3.gexf,500,12500,5,3,"[43, 43, 43, 43]",19.452987986046068,14.88197843518297,14.88197843518297,inf,18,0,0,0,0,"[19.452987986046068, 14.88197843518297]",Rand,Uni,500,25,3,gexf
cut,cap,first,Rand.Uni.500.25.3.gexf,500,12500,10,4,"[43, 43, 43, 43]",19.452987986046068,10.958414086584474,10.958414086584474,inf,50,0,0,0,0,"[19.452987986046068, 10.958414086584474]",Rand,Uni,500,25,3,gexf
cut,cap,first,Rand.Uni.500.25.3.gexf,500,F,50,5,"[43, 43, 43, 43]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,25,3,gexf
cut,cap,first,Rand.Uni.500.5.4.gexf,500,2500,2,1,"[5, 5, 5, 5]",2.5500507355549993,1.4431088223734752,1.4431088223734752,inf,88,0,0,0,0,"[2.5500507355549993, 1.4431088223734752]",Rand,Uni,500,5,4,gexf
cut,cap,first,Rand.Uni.500.5.4.gexf,500,2500,3,2,"[5, 5, 5, 5]",2.5500507355549993,0.6657812416019084,1.0078614899558322,0.6657812416019084,155,1,0,0,0,"[2.5500507355549993, 1.0078614899558322, 0.6657812416019084]",Rand,Uni,500,5,4,gexf
cut,cap,first,Rand.Uni.500.5.4.gexf,500,F,5,3,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,4,gexf
cut,cap,first,Rand.Uni.500.5.4.gexf,500,F,10,4,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,4,gexf
cut,cap,first,Rand.Uni.500.5.4.gexf,500,F,50,5,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,4,gexf
cut,cap,first,Rand.Uni.500.10.4.gexf,500,5000,2,1,"[11, 11, 11, 11]",5.8009201176217875,3.942291419717093,3.942291419717093,inf,59,0,0,0,0,"[5.8009201176217875, 3.942291419717093]",Rand,Uni,500,10,4,gexf
cut,cap,first,Rand.Uni.500.10.4.gexf,500,5000,3,2,"[11, 11, 11, 11]",5.8009201176217875,3.120968358677487,3.120968358677487,inf,59,0,0,0,0,"[5.8009201176217875, 3.120968358677487]",Rand,Uni,500,10,4,gexf
cut,cap,first,Rand.Uni.500.10.4.gexf,500,5000,5,3,"[11, 11, 11, 11]",5.8009201176217875,1.7201113173928515,1.7201113173928515,inf,72,0,0,0,0,"[5.8009201176217875, 1.7201113173928515]",Rand,Uni,500,10,4,gexf
