construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4
cut,cap,first,R-MAT.50.5.3.gexf,50,197,5,3,"[9, 9, 9, 9]",13.0,5.0,5.0,inf,4967,0,0,0,0,"[13.0, 5.0]",R-MAT,50,5,3,gexf
cut,cap,first,R-MAT.50.5.3.gexf,50,F,10,4,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,3,gexf
cut,cap,first,R-MAT.50.5.3.gexf,50,F,50,5,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,3,gexf
cut,cap,first,R-MAT.50.10.3.gexf,50,314,2,1,"[12, 12, 12, 12]",20.0,13.0,13.0,inf,3203,0,0,0,0,"[20.0, 13.0]",R-MAT,50,10,3,gexf
cut,cap,first,R-MAT.50.10.3.gexf,50,314,3,2,"[12, 12, 12, 12]",20.0,11.0,11.0,inf,2535,0,0,0,0,"[20.0, 11.0]",R-MAT,50,10,3,gexf
cut,cap,first,R-MAT.50.10.3.gexf,50,314,5,3,"[12, 12, 12, 12]",20.0,7.0,7.0,inf,2154,0,0,0,0,"[20.0, 7.0]",R-MAT,50,10,3,gexf
cut,cap,first,R-MAT.50.10.3.gexf,50,314,10,4,"[12, 12, 12, 12]",20.0,2.0,2.0,inf,3680,0,0,0,0,"[20.0, 2.0]",R-MAT,50,10,3,gexf
cut,cap,first,R-MAT.50.10.3.gexf,50,F,50,5,"[12, 12, 12, 12]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,10,3,gexf
cut,cap,first,R-MAT.50.25.3.gexf,50,573,2,1,"[24, 24, 24, 24]",68.0,48.0,48.0,inf,356,0,0,0,0,"[68.0, 48.0]",R-MAT,50,25,3,gexf
cut,cap,first,R-MAT.50.25.3.gexf,50,573,3,2,"[24, 24, 24, 24]",68.0,39.0,39.0,inf,343,0,0,0,0,"[68.0, 39.0]",R-MAT,50,25,3,gexf
cut,cap,first,R-MAT.50.25.3.gexf,50,573,5,3,"[24, 24, 24, 24]",68.0,29.0,29.0,inf,1019,0,0,0,0,"[68.0, 29.0]",R-MAT,50,25,3,gexf
cut,cap,first,R-MAT.50.25.3.gexf,50,573,10,4,"[24, 24, 24, 24]",68.0,17.0,17.0,inf,1570,0,0,0,0,"[68.0, 17.0]",R-MAT,50,25,3,gexf
cut,cap,first,R-MAT.50.25.3.gexf,50,F,50,5,"[24, 24, 24, 24]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,25,3,gexf
cut,cap,first,R-MAT.50.5.4.gexf,50,190,2,1,"[7, 7, 7, 7]",7.0,5.0,5.0,inf,5081,0,0,0,0,"[7.0, 5.0]",R-MAT,50,5,4,gexf
cut,cap,first,R-MAT.50.5.4.gexf,50,190,3,2,"[7, 7, 7, 7]",7.0,4.0,4.0,inf,5134,0,0,0,0,"[7.0, 4.0]",R-MAT,50,5,4,gexf
cut,cap,first,R-MAT.50.5.4.gexf,50,190,5,3,"[7, 7, 7, 7]",7.0,2.0,2.0,inf,5337,0,0,0,0,"[7.0, 2.0]",R-MAT,50,5,4,gexf
cut,cap,first,R-MAT.50.5.4.gexf,50,F,10,4,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,4,gexf
cut,cap,first,R-MAT.50.5.4.gexf,50,F,50,5,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,4,gexf
cut,cap,first,R-MAT.50.10.4.gexf,50,324,2,1,"[16, 16, 16, 16]",30.0,20.0,20.0,inf,2748,0,0,0,0,"[30.0, 20.0]",R-MAT,50,10,4,gexf
cut,cap,first,R-MAT.50.10.4.gexf,50,324,3,2,"[16, 16, 16, 16]",30.0,17.0,17.0,inf,1371,0,0,0,0,"[30.0, 17.0]",R-MAT,50,10,4,gexf
cut,cap,first,R-MAT.50.10.4.gexf,50,324,5,3,"[16, 16, 16, 16]",30.0,13.0,13.0,inf,2395,0,0,0,0,"[30.0, 13.0]",R-MAT,50,10,4,gexf
cut,cap,first,R-MAT.50.10.4.gexf,50,324,10,4,"[16, 16, 16, 16]",30.0,7.0,7.0,inf,3402,0,0,0,0,"[30.0, 7.0]",R-MAT,50,10,4,gexf
cut,cap,first,R-MAT.50.10.4.gexf,50,F,50,5,"[16, 16, 16, 16]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,10,4,gexf
cut,cap,first,R-MAT.50.25.4.gexf,50,562,2,1,"[23, 23, 23, 23]",83.0,55.0,55.0,inf,1587,0,0,0,0,"[83.0, 55.0]",R-MAT,50,25,4,gexf
cut,cap,first,R-MAT.50.25.4.gexf,50,562,3,2,"[23, 23, 23, 23]",83.0,48.0,48.0,inf,810,0,0,0,0,"[83.0, 48.0]",R-MAT,50,25,4,gexf
cut,cap,first,R-MAT.50.25.4.gexf,50,562,5,3,"[23, 23, 23, 23]",83.0,38.0,38.0,inf,661,0,0,0,0,"[83.0, 38.0]",R-MAT,50,25,4,gexf
cut,cap,first,R-MAT.50.25.4.gexf,50,562,10,4,"[23, 23, 23, 23]",83.0,21.0,21.0,inf,1104,0,0,0,0,"[83.0, 21.0]",R-MAT,50,25,4,gexf
cut,cap,first,R-MAT.50.25.4.gexf,50,F,50,5,"[23, 23, 23, 23]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,25,4,gexf
cut,cap,first,R-MAT.50.5.5.gexf,50,199,2,1,"[10, 10, 10, 10]",12.0,9.0,10.0,9.0,6024,1,0,0,0,"[12.0, 10.0, 9.0]",R-MAT,50,5,5,gexf
cut,cap,first,R-MAT.50.5.5.gexf,50,199,3,2,"[10, 10, 10, 10]",12.0,9.0,9.0,inf,4361,0,0,0,0,"[12.0, 9.0]",R-MAT,50,5,5,gexf
cut,cap,first,R-MAT.50.5.5.gexf,50,199,5,3,"[10, 10, 10, 10]",12.0,7.0,7.0,inf,4565,0,0,0,0,"[12.0, 7.0]",R-MAT,50,5,5,gexf
cut,cap,first,R-MAT.50.5.5.gexf,50,F,10,4,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,5,gexf
cut,cap,first,R-MAT.50.5.5.gexf,50,F,50,5,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,5,gexf
cut,cap,first,R-MAT.50.10.5.gexf,50,317,2,1,"[17, 17, 17, 17]",24.0,20.0,20.0,inf,1854,0,0,0,0,"[24.0, 20.0]",R-MAT,50,10,5,gexf
cut,cap,first,R-MAT.50.10.5.gexf,50,317,3,2,"[17, 17, 17, 17]",24.0,18.0,18.0,inf,1889,0,0,0,0,"[24.0, 18.0]",R-MAT,50,10,5,gexf
cut,cap,first,R-MAT.50.10.5.gexf,50,317,5,3,"[17, 17, 17, 17]",24.0,15.0,16.0,15.0,3091,1,0,0,0,"[24.0, 16.0, 15.0]",R-MAT,50,10,5,gexf
cut,cap,first,R-MAT.50.10.5.gexf,50,317,10,4,"[17, 17, 17, 17]",24.0,11.0,11.0,inf,3391,0,0,0,0,"[24.0, 11.0]",R-MAT,50,10,5,gexf
